date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,gu,0.0,0.0,154.397471368,39.0446597386,87.0
2011-09-09,gu,0.0,0.0,172.293097595,31.6067571339,90.0
2011-09-11,gu,0.0,0.0,167.702409712,44.3528772387,79.0
2011-09-12,gu,0.0,0.0,151.656734778,45.1932819248,78.0
2011-09-13,gu,0.0,0.0,113.678939231,26.718277136,88.0
2011-09-14,gu,0.0,0.0,143.891706895,41.2889924966,70.0
2011-09-15,gu,0.0,0.0,166.430842265,39.9983963354,78.0
2011-09-16,gu,0.0,0.0,178.885671822,33.4668789456,91.0
2011-09-17,gu,0.0,0.0,173.971370829,30.0798789453,90.0
2011-09-18,gu,0.0,0.0,163.309270805,24.6258301954,82.0
2011-09-19,gu,0.0,0.0,171.243150463,24.7481581521,85.0
2011-09-20,gu,0.0,0.0,176.550991822,30.3787149983,87.0
2011-09-21,gu,0.0,0.0,145.872926672,22.2099792384,84.0
2011-09-22,gu,0.0,0.0,148.588994614,29.2476365361,79.0
2011-09-23,gu,0.0,0.0,168.817414153,38.3277303858,95.0
2011-09-24,gu,0.0,0.0,162.491370903,39.3086331361,101.0
2011-09-25,gu,0.0,0.0,150.446105359,33.7082101818,95.0
2011-09-26,gu,0.0,0.0,142.133088051,36.2652082702,78.0
2011-09-27,gu,0.0,0.0,148.346751681,39.9673911731,71.0
2011-09-28,gu,0.0,0.0,141.053206842,39.0707606,75.0
2011-09-29,gu,0.0,0.0,130.763003789,35.1775058742,67.0
2011-09-30,gu,0.0,0.0,166.685807766,43.3456956107,77.0
2011-10-01,gu,0.0,0.0,185.775171982,47.2658228349,70.0
2011-10-02,gu,0.0,0.0,160.262927637,42.1194412461,64.0
2011-10-03,gu,0.0,0.0,150.700895325,33.2864339123,82.0
2011-10-04,gu,0.0,0.0,136.373722392,28.1099444625,81.0
2011-10-05,gu,0.0,0.0,151.455993622,31.9213121591,73.0
2011-10-06,gu,0.0,0.0,121.29428453,31.5171042692,67.0
2011-10-07,gu,0.0,0.0,132.727589047,37.4209616187,73.0
2011-10-08,gu,0.0,0.0,127.66222479,30.346754797,72.0
2011-10-09,gu,0.0,0.0,129.43012878,29.0910234944,70.0
2011-10-10,gu,0.0,0.0,145.167452402,37.3897761502,73.0
2011-10-11,gu,0.0,0.0,149.400993208,36.2111513652,77.0
2011-10-12,gu,0.0,0.0,129.692857748,29.4385117734,76.0
2011-10-13,gu,0.0,0.0,130.635273212,31.2290774511,78.0
2011-10-14,gu,0.0,0.0,150.206960345,32.1985328552,67.0
