date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,hk,0.0,0.0,2372.04105724,992.076239148,1399.0
2011-09-09,hk,0.0,0.0,2662.89711823,765.315170061,1464.0
2011-09-11,hk,0.0,0.0,2341.62286568,1073.05867235,1586.0
2011-09-12,hk,0.0,0.0,2068.32718764,1096.4914601,1466.0
2011-09-13,hk,0.0,0.0,2025.34436647,1076.33868675,1454.0
2011-09-14,hk,0.0,0.0,1998.6282407,1058.83452703,1500.0
2011-09-15,hk,0.0,0.0,2074.46722612,891.556689776,1589.0
2011-09-16,hk,0.0,0.0,2261.92051542,763.48147168,1577.0
2011-09-17,hk,0.0,0.0,2354.12116531,762.056383338,1534.0
2011-09-18,hk,0.0,0.0,2474.36158862,737.591714101,1607.0
2011-09-19,hk,0.0,0.0,2440.38228244,680.352438737,1587.0
2011-09-20,hk,0.0,0.0,2257.48136355,706.35813497,1547.0
2011-09-21,hk,0.0,0.0,2333.85872163,725.082015999,1528.0
2011-09-22,hk,0.0,0.0,2311.11889917,875.939463287,1588.0
2011-09-23,hk,0.0,0.0,2308.27528347,907.160002608,1563.0
2011-09-24,hk,0.0,0.0,2172.0994633,933.22837001,1477.0
2011-09-25,hk,0.0,0.0,2250.43474494,944.476405049,1576.0
2011-09-26,hk,0.0,0.0,2000.7433505,1011.44135696,1662.0
2011-09-27,hk,0.0,0.0,1992.65166761,1035.79055906,1654.0
2011-09-28,hk,0.0,0.0,1929.91721248,1065.50913946,1671.0
2011-09-29,hk,0.0,0.0,1953.53466893,1086.67888055,1675.0
2011-09-30,hk,0.0,0.0,2143.48848691,1006.60244659,1577.0
2011-10-01,hk,0.0,0.0,2142.06265473,959.040034774,1603.0
2011-10-02,hk,0.0,0.0,2082.57233408,985.251185132,1473.0
2011-10-03,hk,0.0,0.0,2396.67814277,1091.12304893,1503.0
2011-10-04,hk,0.0,0.0,2322.83582858,1054.47024233,1369.0
2011-10-05,hk,0.0,0.0,2371.59245994,1215.91135194,1475.0
2011-10-06,hk,0.0,0.0,2227.76903573,1229.95143634,1455.0
2011-10-07,hk,0.0,0.0,2029.95558116,1146.64674652,1457.0
2011-10-08,hk,0.0,0.0,2174.69361508,1079.83050483,1445.0
2011-10-09,hk,0.0,0.0,2193.12717614,1044.56739942,1517.0
2011-10-10,hk,0.0,0.0,2028.56035717,1004.78780474,1461.0
2011-10-11,hk,0.0,0.0,1885.02530434,926.102047638,1536.0
2011-10-12,hk,0.0,0.0,1952.29391739,922.990220919,1530.0
2011-10-13,hk,0.0,0.0,2125.41463631,1049.04322013,1618.0
2011-10-14,hk,0.0,0.0,2227.40911886,994.464663784,1626.0
2011-10-15,hk,0.0,0.0,1818.45160839,970.258126396,1425.0
2011-10-16,hk,0.0,0.0,1878.69724674,1059.9376807,1403.0
2011-10-17,hk,0.0,0.0,1899.32472975,948.755292266,1381.0
2011-10-18,hk,0.0,0.0,1951.01692423,1037.60061774,1398.0
2011-10-19,hk,0.0,0.0,2039.04883565,1023.15225367,1412.0
2011-10-20,hk,0.0,0.0,2217.85487052,1010.06513206,1518.0
2011-10-21,hk,0.0,0.0,1966.40409316,953.025324387,1297.0
2011-10-22,hk,0.0,0.0,1829.62406937,894.881643152,1252.0
2011-10-23,hk,0.0,0.0,1692.58806542,901.594748772,1281.0
2011-10-24,hk,0.0,0.0,1839.51831389,800.545798635,1283.0
2011-10-25,hk,0.0,0.0,1615.17659187,894.064843325,1209.0
2011-10-26,hk,0.0,0.0,1884.67753873,799.932239857,1205.0
2011-10-27,hk,0.0,0.0,1973.67266032,721.96143079,1192.0
2011-10-28,hk,0.0,0.0,1794.68776852,614.807250633,1185.0
2011-10-29,hk,0.0,0.0,1708.12673167,699.591060501,1163.0
2011-10-30,hk,0.0,0.0,1703.67686599,665.054339133,1107.0
2011-10-31,hk,0.0,0.0,1704.73216321,716.919200846,1136.0
2011-11-01,hk,0.0,0.0,1649.43636883,746.550926611,1122.0
2011-11-02,hk,0.0,0.0,1603.7324381,640.776471273,1095.0
2011-11-03,hk,0.0,0.0,1574.45923665,688.644860264,1073.0
2011-11-04,hk,0.0,0.0,1829.59866736,607.23417344,1058.0
2011-11-05,hk,0.0,0.0,1864.3533017,679.728136853,1109.0
2011-11-06,hk,0.0,0.0,1711.6375476,721.724062098,1111.0
2011-11-07,hk,0.0,0.0,1538.57659583,742.434004222,1121.0
2011-11-08,hk,0.0,0.0,1694.94690761,627.359001659,1117.0
2011-11-09,hk,0.0,0.0,2021.28908521,463.034043611,1142.0
2011-11-10,hk,0.0,0.0,1835.45493001,592.928407483,1124.0
2011-11-11,hk,0.0,0.0,1316.51278065,726.659136696,1053.0
2011-11-12,hk,0.0,0.0,1275.22762422,683.672425303,1039.0
2011-11-13,hk,0.0,0.0,1368.35849442,663.062177403,1054.0
2011-11-14,hk,0.0,0.0,1469.11547046,678.393382799,1048.0
2011-11-15,hk,0.0,0.0,1589.19956534,591.924832422,1058.0
2011-11-16,hk,0.0,0.0,1657.13345678,505.802844677,1078.0
2011-11-17,hk,0.0,0.0,1440.66906774,617.72957972,1091.0
2011-11-18,hk,0.0,0.0,1372.18124887,692.176361612,1033.0
2011-11-19,hk,0.0,0.0,1387.15991885,699.171079732,1035.0
2011-11-20,hk,0.0,0.0,1436.38946572,687.330943569,1033.0
2011-11-21,hk,0.0,0.0,1464.18310084,692.347370117,1002.0
2011-11-22,hk,0.0,0.0,1505.74810971,633.613988906,1080.0
2011-11-23,hk,0.0,0.0,1843.87140296,600.459452306,1258.0
2011-11-24,hk,0.0,0.0,2723.32660223,651.562642718,1778.0
2011-11-25,hk,0.0,0.0,2416.74722673,241.016309727,1427.0
2011-11-26,hk,0.0,0.0,2235.26521663,359.165730754,1126.0
2011-11-27,hk,0.0,0.0,1469.39624784,679.97211176,1046.0
2011-11-28,hk,0.0,0.0,1365.16432706,648.45975894,1085.0
2011-11-29,hk,0.0,0.0,1447.57425969,577.143734129,1128.0
2011-11-30,hk,0.0,0.0,1611.26819567,443.499962302,1009.0
2011-12-01,hk,0.0,0.0,2057.88309939,451.491207961,1196.0
2011-12-02,hk,0.0,0.0,2269.6132892,308.860831566,1151.0
2011-12-03,hk,0.0,0.0,1677.67218913,305.612253668,1069.0
2011-12-04,hk,0.0,0.0,1294.63534521,556.16735638,946.0
2011-12-05,hk,0.0,0.0,1725.053442,743.70435137,1176.0
2011-12-06,hk,0.0,0.0,1687.19793628,743.083699678,1070.0
2011-12-07,hk,0.0,0.0,1537.51436835,708.555204627,1115.0
2011-12-08,hk,0.0,0.0,1595.72501983,755.723495245,1070.0
2011-12-09,hk,0.0,0.0,1614.58584217,728.65232497,1050.0
2011-12-10,hk,0.0,0.0,1500.85345893,690.80093865,1025.0
2011-12-11,hk,0.0,0.0,1502.05784204,671.294637137,1066.0
2011-12-12,hk,0.0,0.0,1464.52875397,760.055937678,1064.0
2011-12-13,hk,0.0,0.0,1496.45086088,727.952224855,1049.0
2011-12-14,hk,0.0,0.0,1569.33882963,695.897318895,1072.0
2011-12-15,hk,0.0,0.0,1502.23471183,658.764198652,1040.0
2011-12-16,hk,0.0,0.0,1495.34911493,714.98046848,1113.0
2011-12-17,hk,0.0,0.0,1503.41879446,681.567804029,1110.0
2011-12-18,hk,0.0,0.0,1494.16202888,727.488906399,1081.0
2011-12-19,hk,0.0,0.0,1451.89010931,691.633157974,1056.0
2011-12-20,hk,0.0,0.0,1423.87537773,719.514692794,1088.0
2011-12-21,hk,0.0,0.0,1505.97728523,706.974541248,1085.0
2011-12-22,hk,0.0,0.0,1468.45951248,697.687840222,1100.0
2011-12-23,hk,0.0,0.0,1411.9078979,758.286062244,1102.0
2011-12-24,hk,0.0,0.0,1376.53295213,735.099576514,1041.0
2011-12-25,hk,0.0,0.0,1642.8728221,750.905090138,1246.0
2011-12-26,hk,0.0,0.0,1343.36217266,680.469877183,1046.0
2011-12-27,hk,0.0,0.0,1498.47514356,755.737006935,1072.0
2011-12-28,hk,0.0,0.0,1542.60935498,703.482631701,1070.0
2011-12-29,hk,0.0,0.0,1533.40671536,736.328902465,1038.0
2011-12-30,hk,0.0,0.0,1630.51179604,714.771937655,1015.0
2011-12-31,hk,0.0,0.0,1503.56116492,637.245272391,948.0
2012-01-01,hk,0.0,0.0,1551.66924777,623.897385165,982.0
2012-01-02,hk,0.0,0.0,1710.51933675,588.675967543,1019.0
2012-01-03,hk,0.0,0.0,1545.50477997,659.398914853,1018.0
2012-01-04,hk,0.0,0.0,1573.62618189,732.494259797,1038.0
2012-01-05,hk,0.0,0.0,1769.70966412,696.761123152,1154.0
2012-01-06,hk,0.0,0.0,2146.63317193,433.064870102,1153.0
2012-01-07,hk,0.0,0.0,2309.33467629,603.713653211,1381.0
2012-01-09,hk,0.0,0.0,2704.97751389,510.546293139,1420.0
2012-01-10,hk,0.0,0.0,2228.90767924,519.418108506,1341.0
