date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,hn,0.0,0.0,290.046678356,92.2873775639,194.0
2011-09-09,hn,0.0,0.0,335.718168109,78.7660455558,148.0
2011-09-11,hn,0.0,0.0,263.884674105,83.7776570065,129.0
2011-09-12,hn,0.0,0.0,255.421869099,93.3500577464,131.0
2011-09-13,hn,0.0,0.0,270.140274947,94.6590389962,112.0
2011-09-14,hn,0.0,0.0,291.380706462,111.956691193,133.0
2011-09-15,hn,0.0,0.0,332.861684531,104.723074042,129.0
2011-09-16,hn,0.0,0.0,274.66697642,61.6495138472,134.0
2011-09-17,hn,0.0,0.0,238.509137427,47.0339925326,159.0
2011-09-18,hn,0.0,0.0,247.828981134,45.6603934873,152.0
2011-09-19,hn,0.0,0.0,266.714995412,47.9166466348,119.0
2011-09-20,hn,0.0,0.0,216.09841399,41.4255204522,123.0
2011-09-21,hn,0.0,0.0,252.091077161,49.8370265836,137.0
2011-09-22,hn,0.0,0.0,227.485805914,55.3838223769,168.0
2011-09-23,hn,0.0,0.0,234.250520414,61.4565332048,162.0
2011-09-24,hn,0.0,0.0,266.127599589,78.6172662722,142.0
2011-09-25,hn,0.0,0.0,254.993398913,71.3820921496,132.0
2011-09-26,hn,0.0,0.0,190.293886482,55.4241862243,139.0
2011-09-27,hn,0.0,0.0,198.593232089,61.0411065189,152.0
2011-09-28,hn,0.0,0.0,215.106140435,72.1306349539,132.0
2011-09-29,hn,0.0,0.0,250.055568649,89.4094940969,146.0
2011-09-30,hn,0.0,0.0,264.441394275,83.1384653518,114.0
2011-10-01,hn,0.0,0.0,249.469516662,71.6148830831,126.0
2011-10-02,hn,0.0,0.0,213.282242043,62.8339205475,116.0
2011-10-03,hn,0.0,0.0,246.722704735,68.6975338191,116.0
2011-10-04,hn,0.0,0.0,262.257158447,72.2827143323,122.0
2011-10-05,hn,0.0,0.0,245.942301569,64.5519868106,156.0
2011-10-06,hn,0.0,0.0,236.462595094,83.2374805058,149.0
2011-10-07,hn,0.0,0.0,184.870570459,61.3066818009,140.0
2011-10-08,hn,0.0,0.0,210.704642857,63.6541685986,153.0
2011-10-09,hn,0.0,0.0,213.020420284,61.3270225018,125.0
2011-10-10,hn,0.0,0.0,194.376758301,57.1843635238,119.0
2011-10-11,hn,0.0,0.0,210.69370837,60.1105112663,108.0
2011-10-12,hn,0.0,0.0,248.476970452,76.6770539214,112.0
2011-10-13,hn,0.0,0.0,258.631449995,84.8790310209,119.0
2011-10-14,hn,0.0,0.0,261.107426394,73.3827027862,109.0
2011-10-15,hn,0.0,0.0,230.876992223,81.0342947343,95.0
2011-10-16,hn,0.0,0.0,191.640307184,66.3495094649,89.0
2011-10-17,hn,0.0,0.0,191.417243469,58.5975395825,101.0
2011-10-18,hn,0.0,0.0,171.667458671,53.8117211022,108.0
2011-10-19,hn,0.0,0.0,178.975683136,57.522159827,130.0
2011-10-20,hn,0.0,0.0,213.453418011,52.0425115126,108.0
2011-10-21,hn,0.0,0.0,169.114528983,45.0742743679,109.0
2011-10-22,hn,0.0,0.0,158.408050796,41.3152206434,115.0
2011-10-23,hn,0.0,0.0,137.292142653,40.3850252269,99.0
2011-10-24,hn,0.0,0.0,170.808020684,42.2044976479,92.0
2011-10-25,hn,0.0,0.0,161.829196987,49.0261008511,103.0
2011-10-26,hn,0.0,0.0,220.232258088,50.9327322866,106.0
2011-10-27,hn,0.0,0.0,176.689359529,36.6680281435,94.0
2011-10-28,hn,0.0,0.0,185.75207352,38.3531851794,99.0
2011-10-29,hn,0.0,0.0,190.058548838,48.8800984531,89.0
2011-10-30,hn,0.0,0.0,165.28076791,36.8871242703,90.0
2011-10-31,hn,0.0,0.0,154.375529634,36.8787231285,84.0
2011-11-01,hn,0.0,0.0,159.319130307,52.7594137912,91.0
2011-11-02,hn,0.0,0.0,174.854848127,41.3945246006,101.0
2011-11-03,hn,0.0,0.0,160.347005018,37.5607835452,102.0
2011-11-04,hn,0.0,0.0,190.623714312,37.4165770369,110.0
2011-11-05,hn,0.0,0.0,183.731838547,35.1257204915,113.0
2011-11-06,hn,0.0,0.0,176.462282385,41.3775555807,104.0
2011-11-07,hn,0.0,0.0,142.871813345,40.0725622576,101.0
2011-11-08,hn,0.0,0.0,171.670743117,38.4430374585,107.0
2011-11-09,hn,0.0,0.0,230.305391342,32.3391475637,113.0
2011-11-10,hn,0.0,0.0,208.578617439,44.4838037703,119.0
2011-11-11,hn,0.0,0.0,168.81512966,56.477143166,114.0
2011-11-12,hn,0.0,0.0,162.133892715,52.3302187084,113.0
2011-11-13,hn,0.0,0.0,160.499770946,45.5354782929,102.0
2011-11-14,hn,0.0,0.0,164.826921456,44.9896110213,96.0
2011-11-15,hn,0.0,0.0,183.705474073,44.3105804544,91.0
2011-11-16,hn,0.0,0.0,199.901380949,38.9681791475,94.0
2011-11-17,hn,0.0,0.0,186.358655507,50.6281809259,110.0
2011-11-18,hn,0.0,0.0,173.834294339,60.8622885071,113.0
2011-11-19,hn,0.0,0.0,181.95918589,58.9677604877,101.0
2011-11-20,hn,0.0,0.0,172.577891129,49.6923131687,93.0
2011-11-21,hn,0.0,0.0,168.530206342,46.3693988495,97.0
2011-11-22,hn,0.0,0.0,164.935375447,39.0853218079,113.0
2011-11-23,hn,0.0,0.0,203.431796921,37.4983279408,108.0
2011-11-24,hn,0.0,0.0,338.785261475,49.8815370262,123.0
2011-11-25,hn,0.0,0.0,327.170628359,20.1065536225,94.0
2011-11-26,hn,0.0,0.0,277.577422919,23.4945712255,96.0
2011-11-27,hn,0.0,0.0,180.895059467,39.711056897,100.0
2011-11-28,hn,0.0,0.0,165.660104788,46.6803632548,109.0
2011-11-29,hn,0.0,0.0,188.50864905,45.4352648857,92.0
2011-11-30,hn,0.0,0.0,172.59998932,28.3068249621,89.0
2011-12-01,hn,0.0,0.0,179.437154224,20.9679681878,106.0
2011-12-02,hn,0.0,0.0,196.616002269,10.2591136191,104.0
2011-12-03,hn,0.0,0.0,182.96510169,18.016146823,104.0
2011-12-04,hn,0.0,0.0,153.721509169,38.9675340783,82.0
2011-12-05,hn,0.0,0.0,210.30155633,56.4499880038,112.0
2011-12-06,hn,0.0,0.0,171.816464664,44.938148228,107.0
2011-12-07,hn,0.0,0.0,172.405917369,44.1124460135,124.0
2011-12-08,hn,0.0,0.0,181.213675739,44.3673215366,141.0
2011-12-09,hn,0.0,0.0,188.012580316,44.6047978666,113.0
2011-12-10,hn,0.0,0.0,179.73226842,49.6416303278,98.0
2011-12-11,hn,0.0,0.0,163.880735507,42.0119677785,91.0
2011-12-12,hn,0.0,0.0,172.733976246,53.7980021475,103.0
2011-12-13,hn,0.0,0.0,184.082903118,54.6694148102,106.0
2011-12-14,hn,0.0,0.0,212.708811326,59.2117407174,115.0
2011-12-15,hn,0.0,0.0,235.546112351,69.054507131,112.0
2011-12-16,hn,0.0,0.0,197.241240644,58.8045229765,124.0
2011-12-17,hn,0.0,0.0,179.016108254,47.458411544,104.0
2011-12-18,hn,0.0,0.0,161.922584282,44.3426413943,89.0
2011-12-19,hn,0.0,0.0,172.694095855,50.5230030393,107.0
2011-12-20,hn,0.0,0.0,178.193552373,53.5617217504,119.0
2011-12-21,hn,0.0,0.0,195.556382104,57.6139188445,118.0
2011-12-22,hn,0.0,0.0,190.027797161,57.795940458,129.0
2011-12-23,hn,0.0,0.0,187.888180486,65.4269762211,127.0
2011-12-24,hn,0.0,0.0,162.466723842,49.4764013055,127.0
2011-12-25,hn,0.0,0.0,172.931834688,43.5289417003,106.0
2011-12-26,hn,0.0,0.0,172.01762592,49.0505320836,93.0
2011-12-27,hn,0.0,0.0,206.54170487,58.7483327969,114.0
2011-12-28,hn,0.0,0.0,207.801047104,55.3276599463,125.0
2011-12-29,hn,0.0,0.0,218.943485237,64.9532129178,131.0
2011-12-30,hn,0.0,0.0,225.725242941,63.7914724307,126.0
2011-12-31,hn,0.0,0.0,213.098297006,63.4699031577,110.0
2012-01-01,hn,0.0,0.0,162.10326236,40.3017891694,122.0
2012-01-02,hn,0.0,0.0,188.941514749,39.5642554083,112.0
2012-01-03,hn,0.0,0.0,200.129760429,55.253006628,103.0
2012-01-04,hn,0.0,0.0,225.994705954,65.5500265817,111.0
2012-01-05,hn,0.0,0.0,287.468032226,62.4286136148,122.0
2012-01-06,hn,0.0,0.0,324.63062884,41.2902312479,130.0
2012-01-07,hn,0.0,0.0,340.925632404,50.1536489324,116.0
2012-01-09,hn,0.0,0.0,362.796230864,44.391872034,107.0
2012-01-10,hn,0.0,0.0,282.421752336,39.2995787324,127.0
2012-01-11,hn,0.0,0.0,204.930768397,50.4542274464,126.0
2012-01-12,hn,0.0,0.0,234.608060756,45.2695459159,117.0
2012-01-13,hn,0.0,0.0,251.160828117,39.7186058931,115.0
2012-01-14,hn,0.0,0.0,203.523904125,31.6537713409,118.0
2012-01-16,hn,0.0,0.0,183.65755206,26.0178064676,125.0
2012-01-17,hn,0.0,0.0,239.932975022,31.0496617789,129.0
2012-01-18,hn,0.0,0.0,205.501947745,66.0855796758,123.0
2012-01-19,hn,0.0,0.0,200.13021025,51.0441478449,129.0
2012-01-20,hn,0.0,0.0,213.366089784,51.9085489757,125.0
2012-01-21,hn,0.0,0.0,212.005388928,47.6601268173,111.0
2012-01-22,hn,0.0,0.0,218.826762833,49.0541189262,106.0
2012-01-23,hn,0.0,0.0,223.83378287,43.0396660779,112.0
2012-01-24,hn,0.0,0.0,228.943610499,53.4262667453,146.0
2012-01-25,hn,0.0,0.0,226.34561951,56.836778174,139.0
2012-01-26,hn,0.0,0.0,219.633815432,54.8090578681,137.0
2012-01-27,hn,0.0,0.0,213.603232115,49.9663187839,167.0
2012-01-28,hn,0.0,0.0,191.242281349,43.4954436902,140.0
2012-01-29,hn,0.0,0.0,195.457172916,42.7030454494,141.0
2012-01-30,hn,0.0,0.0,199.024345661,55.6259813683,141.0
2012-01-31,hn,0.0,0.0,250.932406737,78.0179923804,153.0
2012-02-01,hn,0.0,0.0,258.125385554,67.9771451077,162.0
2012-02-02,hn,0.0,0.0,252.732180507,69.8181128841,153.0
2012-02-03,hn,0.0,0.0,310.721933839,86.8680137726,146.0
2012-02-04,hn,0.0,0.0,247.228817991,75.5233797701,173.0
2012-02-05,hn,0.0,0.0,235.4833108,71.6713171125,205.0
2012-02-06,hn,0.0,0.0,235.397024169,72.904351295,182.0
2012-02-07,hn,0.0,0.0,247.767406231,70.3711771675,114.0
2012-02-08,hn,0.0,0.0,289.991341992,90.8512355693,129.0
2012-02-09,hn,0.0,0.0,290.413382953,85.2018765632,139.0
2012-02-10,hn,0.0,0.0,240.139524638,76.4967062636,139.0
2012-02-11,hn,0.0,0.0,277.274544226,104.835343325,157.0
2012-02-12,hn,0.0,0.0,315.029600897,130.832217617,147.0
2012-02-13,hn,0.0,0.0,335.079658949,103.482636085,148.0
2012-02-14,hn,0.0,0.0,231.200965075,57.087293418,144.0
2012-02-15,hn,0.0,0.0,211.077040137,61.8462318117,144.0
2012-02-16,hn,0.0,0.0,218.53848309,68.2262038337,123.0
2012-02-17,hn,0.0,0.0,234.805511795,75.789558482,122.0
2012-02-18,hn,0.0,0.0,248.707780721,87.8636151131,127.0
2012-02-19,hn,0.0,0.0,238.526453871,78.6119670465,127.0
2012-02-20,hn,0.0,0.0,245.962490853,70.4393913514,149.0
2012-02-21,hn,0.0,0.0,249.096509181,60.4077202562,141.0
2012-02-22,hn,0.0,0.0,243.972808809,74.7437117589,148.0
2012-02-23,hn,0.0,0.0,208.979971548,57.7046341381,161.0
2012-02-24,hn,0.0,0.0,199.896212986,58.8142434589,138.0
2012-02-25,hn,0.0,0.0,223.628429237,68.1637955619,143.0
2012-02-26,hn,0.0,0.0,218.808089423,66.6837569594,136.0
2012-02-27,hn,0.0,0.0,255.56010895,68.1587511284,128.0
2012-02-28,hn,0.0,0.0,239.587334293,68.4862317261,132.0
2012-02-29,hn,0.0,0.0,225.950234059,77.0129512857,143.0
2012-03-01,hn,0.0,0.0,255.44656455,97.6585602879,130.0
2012-03-02,hn,0.0,0.0,214.203643697,79.3904745729,110.0
2012-03-03,hn,0.0,0.0,219.264341625,73.1903387216,103.0
2012-03-04,hn,0.0,0.0,222.700724371,70.5873319755,100.0
2012-03-05,hn,0.0,0.0,217.485968117,67.780245049,108.0
2012-03-06,hn,0.0,0.0,220.342421186,67.4941403351,124.0
2012-03-07,hn,0.0,0.0,241.306150485,76.5646155304,125.0
2012-03-08,hn,0.0,0.0,195.794715148,69.2894956768,124.0
2012-03-09,hn,0.0,0.0,183.421438837,58.6634374245,123.0
2012-03-10,hn,0.0,0.0,164.651364614,58.2749598442,114.0
2012-03-11,hn,0.0,0.0,169.398368393,51.936528769,102.0
2012-03-12,hn,0.0,0.0,172.380826814,57.087453093,111.0
2012-03-13,hn,0.0,0.0,185.162572706,69.5037516383,98.0
2012-03-14,hn,0.0,0.0,183.330026496,71.5864085097,122.0
2012-03-15,hn,0.0,0.0,192.948122509,69.2733987633,123.0
2012-03-16,hn,0.0,0.0,185.986583676,67.3975248086,130.0
2012-03-17,hn,0.0,0.0,178.287221329,60.5154672948,111.0
2012-03-18,hn,0.0,0.0,167.673281309,46.5470254017,100.0
2012-03-19,hn,0.0,0.0,175.714505572,59.0555212413,129.0
2012-03-20,hn,0.0,0.0,164.530182415,50.5019491799,131.0
2012-03-21,hn,0.0,0.0,191.903733512,67.7112276907,118.0
2012-03-22,hn,0.0,0.0,208.62068019,66.2412754411,126.0
2012-03-23,hn,0.0,0.0,201.106635977,74.1769684366,116.0
2012-03-24,hn,0.0,0.0,186.930150302,55.7621844857,107.0
2012-03-25,hn,0.0,0.0,176.325931488,49.7911079238,110.0
2012-03-26,hn,0.0,0.0,200.457899386,74.3995477639,123.0
2012-03-27,hn,0.0,0.0,203.234760668,76.8723329274,131.0
2012-03-28,hn,0.0,0.0,181.737660786,70.0723087509,128.0
2012-03-29,hn,0.0,0.0,198.635266082,65.2279544134,126.0
2012-03-30,hn,0.0,0.0,201.9127509,59.9710463212,123.0
2012-03-31,hn,0.0,0.0,187.937356315,50.915724968,88.0
2012-04-01,hn,0.0,0.0,195.395400442,54.635716425,78.0
2012-04-02,hn,0.0,0.0,193.970976611,66.7673265562,87.0
2012-04-03,hn,0.0,0.0,206.586191553,71.1384041015,103.0
2012-04-04,hn,0.0,0.0,202.988452199,71.7326322207,88.0
2012-04-05,hn,0.0,0.0,223.682135711,56.545272851,77.0
2012-04-06,hn,0.0,0.0,231.053835813,49.2445467114,84.0
2012-04-07,hn,0.0,0.0,161.433734622,38.5560732549,84.0
2012-04-08,hn,0.0,0.0,140.75090655,33.6013148995,85.0
2012-04-09,hn,0.0,0.0,155.475794867,43.2280221506,99.0
2012-04-10,hn,0.0,0.0,183.476252287,51.6951275784,125.0
2012-04-11,hn,0.0,0.0,158.984883797,42.331934289,141.0
2012-04-12,hn,0.0,0.0,146.375210013,33.8489064009,127.0
2012-04-13,hn,0.0,0.0,179.27148914,28.8086259789,133.0
2012-04-14,hn,0.0,0.0,171.589544561,33.2921430736,115.0
2012-04-15,hn,0.0,0.0,166.027850356,33.9814557745,90.0
2012-04-16,hn,0.0,0.0,173.290202698,46.0276689275,93.0
2012-04-17,hn,0.0,0.0,198.35217345,72.118704671,93.0
2012-04-18,hn,0.0,0.0,247.877914572,75.0360069191,91.0
2012-04-19,hn,0.0,0.0,222.424305161,70.6575502499,95.0
2012-04-20,hn,0.0,0.0,223.70119155,70.6770756575,111.0
2012-04-21,hn,0.0,0.0,203.098477612,56.8330127994,112.0
2012-04-22,hn,0.0,0.0,166.367682835,43.6498700081,97.0
2012-04-23,hn,0.0,0.0,158.500482356,46.9285242372,98.0
2012-04-24,hn,0.0,0.0,158.833365791,44.3120252736,105.0
2012-04-25,hn,0.0,0.0,180.532913458,31.2186413,117.0
2012-04-26,hn,0.0,0.0,169.687791764,38.1645861526,115.0
