date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,hr,0.0,0.0,1392.55859463,551.090405156,803.0
2011-09-09,hr,0.0,0.0,1443.85225657,388.608002023,829.0
2011-09-11,hr,0.0,0.0,1459.27222064,635.145910818,900.0
2011-09-12,hr,0.0,0.0,1266.79282094,636.31733327,899.0
2011-09-13,hr,0.0,0.0,1265.6892642,637.571473176,909.0
2011-09-14,hr,0.0,0.0,1288.46191062,648.963097211,853.0
2011-09-15,hr,0.0,0.0,1225.82154271,494.524312871,939.0
2011-09-16,hr,0.0,0.0,1319.453634,417.492889347,957.0
2011-09-17,hr,0.0,0.0,1310.94425082,396.312990189,805.0
2011-09-18,hr,0.0,0.0,1445.27802469,405.163226287,852.0
2011-09-19,hr,0.0,0.0,1534.51722664,405.338179941,933.0
2011-09-20,hr,0.0,0.0,1445.18362635,429.513051629,938.0
2011-09-21,hr,0.0,0.0,1366.85286005,398.848502173,891.0
2011-09-22,hr,0.0,0.0,1402.08765878,502.011043755,904.0
2011-09-23,hr,0.0,0.0,1435.48792961,535.040560588,850.0
2011-09-24,hr,0.0,0.0,1179.02901902,471.313896221,805.0
2011-09-25,hr,0.0,0.0,1232.74667769,482.588628881,841.0
2011-09-26,hr,0.0,0.0,1208.27851161,576.96377198,884.0
2011-09-27,hr,0.0,0.0,1239.0884116,609.809694784,920.0
2011-09-28,hr,0.0,0.0,1156.79813811,601.608770442,872.0
2011-09-29,hr,0.0,0.0,1144.24527789,598.351616613,828.0
2011-09-30,hr,0.0,0.0,1203.20819855,528.146840807,864.0
2011-10-01,hr,0.0,0.0,1205.73563734,503.926724859,898.0
2011-10-02,hr,0.0,0.0,1147.46598477,506.05144729,779.0
2011-10-03,hr,0.0,0.0,1315.79741649,559.624247169,888.0
2011-10-04,hr,0.0,0.0,1330.45660353,566.821545547,884.0
2011-10-05,hr,0.0,0.0,1278.71067429,610.753631085,887.0
2011-10-06,hr,0.0,0.0,1141.29009649,583.117959657,859.0
2011-10-07,hr,0.0,0.0,1146.03745896,606.576930201,898.0
2011-10-08,hr,0.0,0.0,1254.72630471,585.15540406,885.0
2011-10-09,hr,0.0,0.0,1199.57821439,530.910007063,869.0
2011-10-10,hr,0.0,0.0,1231.40625684,575.113666344,852.0
2011-10-11,hr,0.0,0.0,1245.44084058,582.378597218,922.0
2011-10-12,hr,0.0,0.0,1205.1197021,538.295646083,894.0
2011-10-13,hr,0.0,0.0,1289.3384598,599.909126645,951.0
2011-10-14,hr,0.0,0.0,1407.956295,595.772680126,964.0
2011-10-15,hr,0.0,0.0,1142.83041887,577.251580559,782.0
2011-10-16,hr,0.0,0.0,1107.57331674,587.825700651,857.0
2011-10-17,hr,0.0,0.0,1139.59483785,535.784593513,843.0
2011-10-18,hr,0.0,0.0,1201.4278803,604.52162427,825.0
2011-10-19,hr,0.0,0.0,1223.67233462,579.073193317,823.0
2011-10-20,hr,0.0,0.0,1338.23107442,575.414398824,866.0
2011-10-21,hr,0.0,0.0,1196.65310956,548.731090022,755.0
2011-10-22,hr,0.0,0.0,1036.16465153,472.820137796,722.0
2011-10-23,hr,0.0,0.0,1061.15624827,534.120111832,695.0
2011-10-24,hr,0.0,0.0,1152.57130384,473.897392445,732.0
2011-10-25,hr,0.0,0.0,980.230628204,510.489046149,761.0
2011-10-26,hr,0.0,0.0,1130.32140676,450.82523408,837.0
2011-10-27,hr,0.0,0.0,1159.3104275,398.522709796,772.0
2011-10-28,hr,0.0,0.0,1075.81074191,345.664162373,757.0
2011-10-29,hr,0.0,0.0,1015.50968752,388.730918747,686.0
2011-10-30,hr,0.0,0.0,956.513494677,346.40656447,691.0
2011-10-31,hr,0.0,0.0,1003.84439794,394.554490743,729.0
2011-11-01,hr,0.0,0.0,1065.97902642,456.0722389,693.0
