date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,ht,1.0,0.0,247.47602992,62.9543773844,50.0
2011-09-09,ht,1.0,0.0,315.056689334,68.921847844,64.0
2011-09-11,ht,0.0,0.0,111.589841903,21.4922875733,53.0
2011-09-12,ht,0.0,0.0,128.643533037,28.3283274017,47.0
2011-09-13,ht,0.0,0.0,81.6352869315,14.591406372,41.0
2011-09-14,ht,0.0,0.0,75.2982328038,13.5113858137,56.0
2011-09-15,ht,0.0,0.0,105.992418099,17.8315372858,51.0
2011-09-16,ht,0.0,0.0,135.720663864,20.6883920571,50.0
2011-09-17,ht,0.0,0.0,92.2940290975,10.213704687,50.0
2011-09-18,ht,0.0,0.0,117.331971297,13.8760781724,53.0
2011-09-19,ht,0.0,0.0,110.174140086,13.1501275667,53.0
2011-09-20,ht,0.0,0.0,94.7738631856,10.1909847214,42.0
2011-09-21,ht,0.0,0.0,118.421185306,16.8616444449,48.0
2011-09-22,ht,0.0,0.0,105.560161633,16.515825428,46.0
2011-09-23,ht,0.0,0.0,103.658501262,16.7860047708,50.0
2011-09-24,ht,0.0,0.0,100.118219537,17.8601414949,61.0
2011-09-25,ht,0.0,0.0,104.876902477,18.5054684165,65.0
2011-09-26,ht,0.0,0.0,96.4419202802,19.3735114809,62.0
2011-09-27,ht,0.0,0.0,80.8278612593,14.7504940535,70.0
2011-09-28,ht,0.0,0.0,87.8409005173,19.48546573,72.0
2011-09-29,ht,0.0,0.0,84.0437765931,16.7378016077,49.0
2011-09-30,ht,0.0,0.0,97.0119803657,18.5286975883,43.0
2011-10-01,ht,0.0,0.0,120.154927394,24.9528415536,39.0
2011-10-02,ht,0.0,0.0,116.118406563,25.6206339864,55.0
2011-10-03,ht,0.0,0.0,122.522640687,24.9220798293,56.0
2011-10-04,ht,0.0,0.0,133.231769792,27.8920980694,50.0
2011-10-05,ht,0.0,0.0,141.575759424,33.1313384564,52.0
2011-10-06,ht,0.0,0.0,96.6240196507,19.5275423945,43.0
2011-10-07,ht,0.0,0.0,81.6920480624,16.7662819457,45.0
2011-10-08,ht,0.0,0.0,79.6979214233,13.1901772885,45.0
2011-10-09,ht,0.0,0.0,115.215677968,23.4867824338,51.0
2011-10-10,ht,0.0,0.0,106.159372831,22.0035302306,48.0
2011-10-11,ht,0.0,0.0,98.1376934353,19.5697041403,42.0
2011-10-12,ht,0.0,0.0,97.6742097894,18.8164110461,37.0
2011-10-13,ht,0.0,0.0,90.7305506184,17.0268465883,23.0
2011-10-14,ht,0.0,0.0,100.617258447,16.8839581256,36.0
2011-10-15,ht,0.0,0.0,82.4809655155,16.5764173188,50.0
2011-10-16,ht,0.0,0.0,90.9142383072,20.924212169,45.0
2011-10-17,ht,0.0,0.0,92.9570227447,17.4088032648,32.0
2011-10-18,ht,0.0,0.0,79.8020666969,14.744669704,42.0
2011-10-19,ht,0.0,0.0,75.4027054481,12.5132480771,41.0
2011-10-20,ht,0.0,0.0,53.9071796332,5.5396940626,30.0
2011-10-21,ht,0.0,0.0,66.5125656038,10.1722046475,34.0
2011-10-22,ht,0.0,0.0,91.0345450769,18.0048863101,23.0
2011-10-23,ht,0.0,0.0,81.1426887342,14.7066586733,31.0
2011-10-24,ht,0.0,0.0,67.4454552621,8.03382709991,36.0
2011-10-25,ht,0.0,0.0,72.547367966,13.6464781397,45.0
2011-10-26,ht,0.0,0.0,84.2955472149,10.6769269984,44.0
2011-10-27,ht,0.0,0.0,60.7910675062,6.36052673903,41.0
2011-10-28,ht,0.0,0.0,71.7350988304,8.12870946394,47.0
2011-10-29,ht,0.0,1.0,52.6818256825,4.98636341084,67.0
2011-10-30,ht,0.0,0.0,64.8443103659,7.46997700608,36.0
2011-10-31,ht,0.0,0.0,72.3530918718,9.84871079664,29.0
2011-11-01,ht,0.0,0.0,89.0473515786,15.0443834005,41.0
2011-11-02,ht,0.0,0.0,92.712045181,11.2612068101,32.0
2011-11-03,ht,0.0,0.0,80.5905359033,12.1298512415,33.0
2011-11-04,ht,0.0,0.0,103.653017354,14.0986081749,50.0
2011-11-05,ht,0.0,0.0,146.171887382,24.4781285192,53.0
2011-11-06,ht,0.0,0.0,85.3061493072,11.3389893184,53.0
2011-11-07,ht,0.0,0.0,60.7367296725,8.50664844442,56.0
2011-11-08,ht,0.0,0.0,88.7583423182,12.8128915535,50.0
2011-11-09,ht,0.0,0.0,90.2239191933,6.60707281029,53.0
2011-11-10,ht,0.0,0.0,85.6132171428,8.85081000643,37.0
2011-11-11,ht,0.0,0.0,85.6909737002,20.8126464374,32.0
2011-11-12,ht,0.0,0.0,85.1274332877,19.163123524,35.0
2011-11-13,ht,0.0,0.0,91.7277050821,18.3445603138,45.0
2011-11-14,ht,0.0,0.0,102.851194931,19.540473395,46.0
2011-11-15,ht,0.0,0.0,95.9048469635,16.423297892,36.0
2011-11-16,ht,0.0,0.0,105.78111155,13.8797946353,35.0
2011-11-17,ht,0.0,0.0,70.9355112235,10.5409436516,28.0
2011-11-18,ht,0.0,0.0,61.7082155788,10.1827433129,24.0
2011-11-19,ht,0.0,0.0,69.2283204407,11.6060171682,28.0
2011-11-20,ht,0.0,0.0,87.9996246651,16.0678818052,34.0
2011-11-21,ht,0.0,0.0,91.4360205919,17.0777953625,43.0
2011-11-22,ht,0.0,0.0,77.7454239548,10.5610726903,41.0
2011-11-23,ht,0.0,0.0,92.6125978613,9.09454906515,50.0
2011-11-24,ht,0.0,0.0,111.281350697,7.87140222605,42.0
2011-11-25,ht,0.0,0.0,92.4151949766,2.24576969187,21.0
2011-11-26,ht,0.0,0.0,99.4498662668,4.0423956701,34.0
2011-11-27,ht,0.0,0.0,80.323580679,9.90739709473,46.0
2011-11-28,ht,0.0,0.0,86.3938089614,14.8612803877,32.0
2011-11-29,ht,0.0,0.0,79.3865097622,11.782543176,35.0
