date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,hu,0.0,0.0,2642.71887264,1117.92848109,1935.0
2011-09-09,hu,0.0,0.0,3041.15922427,993.927656007,1885.0
2011-09-11,hu,0.0,0.0,2918.25707573,1326.16748463,2079.0
2011-09-12,hu,0.0,0.0,2669.19601251,1269.89796857,2051.0
2011-09-13,hu,0.0,0.0,2691.35048853,1401.08510219,2115.0
2011-09-14,hu,0.0,0.0,2593.09671262,1420.62353795,2079.0
2011-09-15,hu,0.0,0.0,2835.51114953,1269.91985165,2014.0
2011-09-16,hu,0.0,0.0,2888.59846924,995.460422454,1881.0
2011-09-17,hu,0.0,0.0,2894.5986254,946.330462495,1796.0
2011-09-18,hu,0.0,0.0,3224.3187257,970.148679977,1930.0
2011-09-19,hu,0.0,0.0,3367.5455056,974.204534474,1988.0
2011-09-20,hu,0.0,0.0,3228.93184172,1057.69812426,1915.0
2011-09-21,hu,0.0,0.0,3193.97267665,1013.78816364,1806.0
2011-09-22,hu,0.0,0.0,2901.44771343,1119.24376748,1868.0
2011-09-23,hu,0.0,0.0,2724.58699879,1099.81266365,1768.0
2011-09-24,hu,0.0,0.0,2526.89481055,1103.73601145,1678.0
2011-09-25,hu,0.0,0.0,2694.97472924,1142.13494407,1805.0
2011-09-26,hu,0.0,0.0,2517.44583126,1250.62461517,1803.0
2011-09-27,hu,0.0,0.0,2475.64790246,1270.02753888,1895.0
2011-09-28,hu,0.0,0.0,2285.80114713,1245.90453382,1913.0
2011-09-29,hu,0.0,0.0,2305.79404209,1266.45972448,1848.0
2011-09-30,hu,0.0,0.0,2414.7260961,1147.15770964,1771.0
2011-10-01,hu,0.0,0.0,2424.04025275,1097.59010826,1726.0
2011-10-02,hu,0.0,0.0,2368.39131846,1134.35198907,1730.0
2011-10-03,hu,0.0,0.0,2613.94552172,1170.95795222,1838.0
2011-10-04,hu,0.0,0.0,2682.49825274,1188.12759207,1794.0
2011-10-05,hu,0.0,0.0,2797.28696726,1358.10912778,1873.0
2011-10-06,hu,0.0,0.0,2440.73314161,1393.72863865,1676.0
2011-10-07,hu,0.0,0.0,2288.6027071,1291.74521017,1611.0
2011-10-08,hu,0.0,0.0,2343.89551509,1170.3811763,1595.0
2011-10-09,hu,0.0,0.0,2553.58429715,1241.09398111,1709.0
2011-10-10,hu,0.0,0.0,2466.64886925,1231.98500404,1710.0
2011-10-11,hu,0.0,0.0,2476.93178883,1195.51242534,1703.0
2011-10-12,hu,0.0,0.0,2458.48754938,1172.88112313,1685.0
2011-10-13,hu,0.0,0.0,2414.37070939,1219.12130466,1788.0
2011-10-14,hu,0.0,0.0,2478.23998068,1095.36198951,1708.0
2011-10-15,hu,0.0,0.0,2001.98359091,1077.73137943,1479.0
2011-10-16,hu,0.0,0.0,2117.53180267,1205.29389561,1617.0
2011-10-17,hu,0.0,0.0,2208.74978224,1129.15965477,1617.0
2011-10-18,hu,0.0,0.0,2151.95267709,1160.04970017,1578.0
2011-10-19,hu,0.0,0.0,2236.17576948,1133.39243201,1605.0
2011-10-20,hu,0.0,0.0,2464.95376856,1118.30732276,1751.0
2011-10-21,hu,0.0,0.0,2103.42255588,978.450462297,1494.0
2011-10-22,hu,0.0,0.0,1937.69268496,905.561342537,1424.0
2011-10-23,hu,0.0,0.0,1948.7963064,1042.98351789,1515.0
2011-10-24,hu,0.0,0.0,2158.16154501,939.596054417,1502.0
2011-10-25,hu,0.0,0.0,1876.85999006,975.700830791,1450.0
2011-10-26,hu,0.0,0.0,2220.83151149,826.63232364,1550.0
2011-10-27,hu,0.0,0.0,2269.01540698,817.317574763,1537.0
2011-10-28,hu,0.0,0.0,2032.78756214,720.990078565,1366.0
2011-10-29,hu,0.0,0.0,1924.80222859,806.458613531,1331.0
2011-10-30,hu,0.0,0.0,2005.25799637,789.772737016,1288.0
2011-10-31,hu,0.0,0.0,1970.43709373,846.791598708,1313.0
2011-11-01,hu,0.0,0.0,1955.32788437,905.015280084,1357.0
2011-11-02,hu,0.0,0.0,2183.76040124,738.247918334,1368.0
2011-11-03,hu,0.0,0.0,2047.67173294,873.061604743,1373.0
2011-11-04,hu,0.0,0.0,2078.2758651,722.620055261,1387.0
2011-11-05,hu,0.0,0.0,2144.20650195,744.883602069,1438.0
2011-11-06,hu,0.0,0.0,1986.10162596,826.475540865,1443.0
2011-11-07,hu,0.0,0.0,1767.58663388,857.10127582,1346.0
2011-11-08,hu,0.0,0.0,1971.93846675,813.122545194,1359.0
2011-11-09,hu,0.0,0.0,2439.0296274,627.540847641,1367.0
2011-11-10,hu,0.0,0.0,2296.40304385,779.925071554,1367.0
2011-11-11,hu,0.0,0.0,1652.1675521,1017.65654431,1243.0
2011-11-12,hu,0.0,0.0,1643.76847658,895.905971775,1166.0
2011-11-13,hu,0.0,0.0,1765.26814866,871.916225495,1232.0
2011-11-14,hu,0.0,0.0,1759.74088808,821.509791506,1247.0
2011-11-15,hu,0.0,0.0,1856.76010678,774.083413198,1320.0
2011-11-16,hu,0.0,0.0,1935.87771138,638.306835982,1331.0
2011-11-17,hu,0.0,0.0,1730.47703133,763.479639225,1347.0
2011-11-18,hu,0.0,0.0,1533.85885498,877.442096254,1272.0
2011-11-19,hu,0.0,0.0,1519.60060588,807.139176379,1238.0
2011-11-20,hu,0.0,0.0,1667.17724292,808.96250841,1290.0
2011-11-21,hu,0.0,0.0,1727.75298499,829.156060127,1301.0
2011-11-22,hu,0.0,0.0,1859.27278351,793.29333157,1323.0
2011-11-23,hu,0.0,0.0,2242.25213195,749.593395774,1477.0
2011-11-24,hu,0.0,0.0,3320.75983593,820.46711625,1896.0
2011-11-25,hu,0.0,0.0,2956.99168049,293.979576933,1333.0
2011-11-26,hu,0.0,0.0,2715.74688814,396.560392997,1364.0
2011-11-27,hu,0.0,0.0,1973.78606023,768.515791032,1309.0
2011-11-28,hu,0.0,0.0,1751.22560867,852.757510338,1283.0
2011-11-29,hu,0.0,0.0,1756.80093935,719.374766324,1191.0
2011-11-30,hu,0.0,0.0,1794.19443315,621.44785691,1161.0
2011-12-01,hu,0.0,0.0,2229.09955765,433.533418187,1354.0
2011-12-02,hu,0.0,0.0,2194.52315397,206.967363925,1254.0
2011-12-03,hu,0.0,0.0,2027.23141639,356.428045735,1204.0
2011-12-04,hu,0.0,0.0,1601.28976178,704.738238127,1117.0
2011-12-05,hu,0.0,0.0,2018.03004309,889.171481036,1374.0
2011-12-06,hu,0.0,0.0,1743.88133671,817.945179299,1253.0
2011-12-07,hu,0.0,0.0,1767.91546007,815.759141599,1284.0
2011-12-08,hu,0.0,0.0,1859.97236367,773.997711426,1307.0
2011-12-09,hu,0.0,0.0,1762.86257621,769.126821618,1254.0
2011-12-10,hu,0.0,0.0,1690.14078602,774.797961313,1203.0
2011-12-11,hu,0.0,0.0,1766.0576233,796.522777947,1295.0
2011-12-12,hu,0.0,0.0,1718.4720983,883.678484066,1306.0
2011-12-13,hu,0.0,0.0,1728.6192874,865.897179095,1276.0
2011-12-14,hu,0.0,0.0,1807.38526131,802.698521518,1241.0
2011-12-15,hu,0.0,0.0,1822.12445484,818.222725452,1204.0
2011-12-16,hu,0.0,0.0,1765.35326637,872.353103503,1267.0
2011-12-17,hu,0.0,0.0,1751.51005547,809.530762743,1231.0
2011-12-18,hu,0.0,0.0,1800.43705828,889.830154669,1265.0
2011-12-19,hu,0.0,0.0,1768.9288413,855.313849774,1255.0
2011-12-20,hu,0.0,0.0,1722.45648913,877.267498296,1303.0
2011-12-21,hu,0.0,0.0,1732.76988504,821.713277734,1305.0
2011-12-22,hu,0.0,0.0,1687.34583193,812.707709849,1293.0
2011-12-23,hu,0.0,0.0,1603.50313553,859.28663433,1256.0
2011-12-24,hu,0.0,0.0,1540.70870481,800.706841369,1177.0
2011-12-25,hu,0.0,0.0,1909.43495809,882.272614374,1370.0
2011-12-26,hu,0.0,0.0,1616.78932958,770.591196355,1104.0
2011-12-27,hu,0.0,0.0,1835.03063572,849.197945702,1198.0
2011-12-28,hu,0.0,0.0,1876.05180379,805.973597692,1183.0
2011-12-29,hu,0.0,0.0,1812.27064216,842.312617994,1224.0
2011-12-30,hu,0.0,0.0,1842.65213635,817.071777167,1238.0
2011-12-31,hu,0.0,0.0,1641.81862126,752.802213216,1187.0
2012-01-01,hu,0.0,0.0,1694.27413826,692.058585856,1204.0
2012-01-02,hu,0.0,0.0,1803.21183581,628.704540968,1298.0
2012-01-03,hu,0.0,0.0,1733.67072308,738.087012359,1311.0
2012-01-04,hu,0.0,0.0,1755.91432953,803.493814413,1325.0
2012-01-05,hu,0.0,0.0,2101.24648615,815.41846408,1427.0
2012-01-06,hu,0.0,0.0,2583.71911765,544.84370083,1395.0
2012-01-07,hu,0.0,0.0,2978.86821744,710.932957571,1593.0
2012-01-09,hu,0.0,0.0,3425.61328012,683.337669878,1818.0
2012-01-10,hu,0.0,0.0,2876.9295527,684.698473492,1542.0
2012-01-11,hu,0.0,0.0,1996.83173616,801.115643402,1341.0
2012-01-12,hu,0.0,0.0,2237.47381961,704.07235867,1386.0
2012-01-13,hu,0.0,0.0,2213.53074143,567.854719415,1347.0
2012-01-14,hu,0.0,0.0,2321.30731393,555.688827278,1405.0
2012-01-16,hu,0.0,0.0,2469.59892616,600.331268333,1374.0
2012-01-17,hu,0.0,0.0,2370.71490021,497.998812639,1345.0
2012-01-18,hu,0.0,0.0,1789.5826748,930.872685761,1270.0
