date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,id,0.0,1.0,2413.77094585,933.016157132,2944.0
2011-09-09,id,0.0,1.0,2690.89401874,853.271890914,2743.0
2011-09-11,id,0.0,0.0,2873.438429,1293.56705832,2542.0
2011-09-12,id,0.0,0.0,3902.99624761,1849.90565916,3068.0
2011-09-13,id,0.0,0.0,4022.06092777,2217.12579979,3246.0
2011-09-14,id,0.0,0.0,3865.30928393,2245.27440728,3427.0
2011-09-15,id,0.0,0.0,4277.7452843,1881.91301201,3329.0
2011-09-16,id,0.0,0.0,4156.44533082,1425.82161475,2758.0
2011-09-17,id,0.0,0.0,3262.45408916,1068.1384849,2111.0
2011-09-18,id,0.0,0.0,3909.15787296,1168.06843758,2381.0
2011-09-19,id,0.0,0.0,4812.40643897,1569.2485563,3120.0
2011-09-20,id,0.0,0.0,4894.29203914,1628.41208496,3064.0
2011-09-21,id,0.0,0.0,5021.88445128,1804.75801042,3106.0
2011-09-22,id,0.0,0.0,4678.95416437,1906.66029108,3086.0
2011-09-23,id,0.0,0.0,3927.06245166,1656.0039322,2637.0
2011-09-24,id,0.0,0.0,2931.66683876,1334.01518397,1957.0
2011-09-25,id,0.0,0.0,3280.60066896,1455.32290904,2144.0
2011-09-26,id,0.0,0.0,3916.48286016,2016.22901626,2758.0
2011-09-27,id,0.0,0.0,3889.24650059,2109.32064964,2860.0
2011-09-28,id,0.0,0.0,3831.48138441,2261.09344331,2779.0
2011-09-29,id,0.0,0.0,3793.4827928,2097.3193145,2665.0
2011-09-30,id,0.0,0.0,3519.7936466,1744.54814216,2556.0
2011-10-01,id,0.0,0.0,2774.01158463,1317.36325261,2139.0
2011-10-02,id,0.0,0.0,2774.87078776,1366.89544565,2057.0
2011-10-03,id,0.0,0.0,3893.05809924,1826.43242177,2624.0
2011-10-04,id,0.0,0.0,3959.44123625,1811.62578436,2650.0
2011-10-05,id,0.0,0.0,3976.14184723,1991.7327886,2790.0
2011-10-06,id,0.0,0.0,3587.63730106,1933.22669706,2735.0
2011-10-07,id,0.0,0.0,3251.10672434,1892.19467672,2533.0
2011-10-08,id,0.0,0.0,2880.33269144,1442.85883783,2028.0
2011-10-09,id,0.0,0.0,3020.00624133,1479.66729333,2131.0
2011-10-10,id,0.0,0.0,3477.33666588,1786.68665472,2778.0
2011-10-11,id,0.0,0.0,3578.25128372,1852.34776497,2866.0
2011-10-12,id,0.0,0.0,3604.29892667,1809.16307688,2747.0
2011-10-13,id,0.0,0.0,3855.39093353,2061.87004162,2915.0
2011-10-14,id,0.0,0.0,3803.89135406,1801.97880358,2771.0
2011-10-15,id,0.0,0.0,2517.96058615,1403.7211575,1957.0
2011-10-16,id,0.0,0.0,2619.46649123,1519.71778013,2055.0
2011-10-17,id,0.0,0.0,3640.00131169,1799.37390545,2673.0
2011-10-18,id,0.0,0.0,3599.30791999,1967.676172,2702.0
2011-10-19,id,0.0,0.0,3580.41233612,1879.93150523,2725.0
2011-10-20,id,0.0,0.0,3908.89735107,1880.72613425,2707.0
2011-10-21,id,0.0,0.0,3291.26345463,1638.36071104,2469.0
2011-10-22,id,0.0,0.0,2478.94068902,1243.02965103,1894.0
2011-10-23,id,0.0,0.0,2508.66146003,1262.76719245,1969.0
2011-10-24,id,0.0,0.0,3515.74764066,1534.46097608,2573.0
2011-10-25,id,0.0,0.0,3090.73124996,1713.31533044,2583.0
2011-10-26,id,0.0,0.0,3675.03423007,1423.40295195,2773.0
2011-10-27,id,0.0,0.0,3393.77824943,1333.59043962,2596.0
2011-10-28,id,0.0,0.0,3284.97280161,1238.8153223,2212.0
2011-10-29,id,0.0,0.0,2521.37668034,1080.7942693,1788.0
2011-10-30,id,0.0,0.0,2564.95272114,1037.75219023,1845.0
2011-10-31,id,0.0,0.0,3333.06576556,1469.30454197,2308.0
2011-11-01,id,0.0,0.0,3430.79657332,1638.47011943,2411.0
2011-11-02,id,0.0,0.0,3879.54205962,1320.12056197,2376.0
2011-11-03,id,0.0,0.0,3353.52856863,1537.93745478,2288.0
2011-11-04,id,0.0,0.0,3301.69411279,1197.79425286,2003.0
2011-11-05,id,0.0,0.0,2874.71378518,1024.9431762,1589.0
2011-11-06,id,0.0,0.0,2853.49069433,1195.55468626,1645.0
2011-11-07,id,0.0,0.0,2964.19059127,1647.96980319,2134.0
2011-11-08,id,0.0,0.0,3439.05457698,1504.50321346,2235.0
2011-11-09,id,0.0,0.0,4197.87289483,1116.59530494,2315.0
2011-11-10,id,0.0,0.0,3773.09678408,1335.20790954,2319.0
2011-11-11,id,0.0,0.0,2386.16403688,1472.09449225,1887.0
2011-11-12,id,0.0,0.0,1805.32446936,987.585258757,1425.0
2011-11-13,id,0.0,0.0,2011.29772851,980.123651052,1469.0
2011-11-14,id,0.0,0.0,2760.23904535,1279.24965826,1897.0
2011-11-15,id,0.0,0.0,2966.90250927,1301.86219059,2095.0
2011-11-16,id,0.0,0.0,3219.8738345,1059.82146179,2058.0
2011-11-17,id,0.0,0.0,2860.30287192,1328.1589001,2051.0
2011-11-18,id,0.0,0.0,2301.15545731,1353.52157266,1861.0
2011-11-19,id,0.0,0.0,1839.83061781,995.796273035,1411.0
2011-11-20,id,0.0,0.0,1972.65825291,970.646132685,1488.0
2011-11-21,id,0.0,0.0,2581.50189644,1289.74480629,1931.0
2011-11-22,id,0.0,0.0,2937.48126842,1271.94919213,1963.0
2011-11-23,id,0.0,0.0,3498.8725531,1146.51948548,2098.0
2011-11-24,id,0.0,0.0,4945.34322498,1348.87210874,2585.0
2011-11-25,id,0.0,0.0,4251.09896892,478.068223156,2258.0
2011-11-26,id,0.0,0.0,3088.91284625,467.815426185,1557.0
2011-11-27,id,0.0,0.0,2262.90915223,889.684259107,1437.0
2011-11-28,id,0.0,0.0,2625.62054191,1252.59363268,1831.0
2011-11-29,id,0.0,0.0,2523.78008647,1116.24093246,1752.0
2011-11-30,id,0.0,0.0,2503.16041382,902.325935158,1732.0
2011-12-01,id,0.0,0.0,2899.80625624,668.691998922,1881.0
2011-12-02,id,0.0,0.0,3546.50526445,415.026482878,1632.0
2011-12-03,id,0.0,0.0,2278.1083163,421.781817649,1243.0
2011-12-04,id,0.0,0.0,1787.70749431,759.107360472,1222.0
2011-12-05,id,0.0,0.0,2834.33080092,1314.34569964,2088.0
2011-12-06,id,0.0,0.0,2469.44820023,1291.92542028,1956.0
2011-12-07,id,0.0,0.0,2538.45346227,1304.4147115,2000.0
2011-12-08,id,0.0,0.0,2493.00716102,1150.18439748,1960.0
2011-12-09,id,0.0,0.0,2291.50178005,993.836834376,1833.0
2011-12-10,id,0.0,0.0,1702.0200973,815.814466951,1412.0
2011-12-11,id,0.0,0.0,1853.96038029,915.566624307,1502.0
2011-12-12,id,0.0,0.0,2526.24876265,1391.21385368,2010.0
2011-12-13,id,0.0,0.0,2584.85427574,1417.52784042,1975.0
2011-12-14,id,0.0,0.0,2770.54545216,1266.79305088,1912.0
2011-12-15,id,0.0,0.0,2670.37695096,1255.47550162,1868.0
2011-12-16,id,0.0,0.0,2547.22542004,1303.71506267,1761.0
2011-12-17,id,0.0,0.0,2036.23364706,969.601641814,1367.0
2011-12-18,id,0.0,0.0,2066.64038991,1053.16065726,1465.0
2011-12-19,id,0.0,0.0,2676.40840556,1352.64354566,1903.0
2011-12-20,id,0.0,0.0,2648.22733245,1380.00877297,1989.0
2011-12-21,id,0.0,0.0,2631.74312981,1299.27832255,1950.0
2011-12-22,id,0.0,0.0,2570.51185708,1294.00235132,1981.0
2011-12-23,id,0.0,0.0,2190.73325471,1220.85146372,1753.0
2011-12-24,id,0.0,0.0,1695.40906595,914.682840318,1161.0
2011-12-25,id,0.0,0.0,2183.61014615,1061.86600614,1315.0
2011-12-26,id,0.0,0.0,2322.92234184,1281.14299344,1422.0
2011-12-27,id,0.0,0.0,2573.21778357,1480.65155096,1919.0
2011-12-28,id,0.0,0.0,2606.08538772,1357.91465899,1970.0
2011-12-29,id,0.0,0.0,2655.7579784,1373.75716718,1951.0
2011-12-30,id,0.0,0.0,2525.06191876,1159.81189898,1698.0
2011-12-31,id,0.0,0.0,1618.24265536,739.456128173,1174.0
2012-01-01,id,0.0,0.0,1628.78043549,656.780484602,1325.0
2012-01-02,id,0.0,0.0,2290.14578378,802.300396865,1821.0
2012-01-03,id,0.0,0.0,2719.22949535,1186.21497154,1949.0
2012-01-04,id,0.0,0.0,2817.10561208,1394.86183029,2051.0
2012-01-05,id,0.0,0.0,3299.49044155,1330.93456535,2257.0
2012-01-06,id,0.0,0.0,3461.65167082,794.321100702,2069.0
2012-01-07,id,0.0,0.0,2699.53267989,895.715175367,1512.0
2012-01-09,id,0.0,0.0,4564.685929,1120.01380374,2132.0
2012-01-10,id,0.0,0.0,3997.30718459,1218.18106305,2126.0
2012-01-11,id,0.0,0.0,3048.46655392,1270.58533985,1905.0
2012-01-12,id,0.0,0.0,3521.75304736,1111.27451449,2088.0
2012-01-13,id,0.0,0.0,3098.78620346,940.178126391,1916.0
2012-01-14,id,0.0,0.0,2207.16256145,538.419878422,1619.0
2012-01-16,id,0.0,0.0,2846.65830067,728.718914973,2034.0
2012-01-17,id,0.0,0.0,3144.51210609,751.279617845,2058.0
2012-01-18,id,0.0,0.0,2496.1097895,1338.54509173,2015.0
2012-01-19,id,0.0,0.0,2991.04950631,1050.38025976,2130.0
2012-01-20,id,0.0,0.0,2813.27862864,1168.96154407,1984.0
2012-01-21,id,0.0,0.0,2344.32896835,848.97360146,1436.0
2012-01-22,id,0.0,0.0,2486.25347308,869.331649524,1384.0
2012-01-23,id,0.0,0.0,3019.29770215,796.571584772,1382.0
2012-01-24,id,0.0,0.0,2977.65556466,1083.28700639,1836.0
2012-01-25,id,0.0,0.0,2916.98696148,1354.26243468,1948.0
2012-01-26,id,0.0,0.0,2931.8702922,1209.88662168,1899.0
2012-01-27,id,0.0,0.0,2714.63549011,1057.49045629,1747.0
2012-01-28,id,0.0,0.0,1976.1752399,771.346451101,1386.0
2012-01-29,id,0.0,0.0,2043.60666467,761.562765907,1547.0
2012-01-30,id,0.0,0.0,2084.26391264,845.559299137,1968.0
2012-01-31,id,0.0,0.0,2739.79974168,1132.91509327,2083.0
2012-02-01,id,0.0,0.0,3010.63916874,1161.70748862,2114.0
2012-02-02,id,0.0,0.0,2840.67481174,1271.50527617,1998.0
2012-02-03,id,0.0,0.0,2697.9429504,1189.78433162,1798.0
2012-02-04,id,0.0,0.0,2021.18465644,987.618528028,1315.0
2012-02-05,id,0.0,0.0,2155.85383416,1025.71681087,1352.0
2012-02-06,id,0.0,0.0,2704.87256658,1332.48092215,1822.0
2012-02-07,id,0.0,0.0,2797.92664914,1246.06721591,1782.0
2012-02-08,id,0.0,0.0,3103.81624501,1588.42894013,2042.0
2012-02-09,id,0.0,0.0,3132.2404782,1441.47153626,2122.0
2012-02-10,id,0.0,0.0,2508.59913889,1145.19758598,1706.0
2012-02-11,id,0.0,0.0,1824.4188915,956.990490572,1323.0
2012-02-12,id,0.0,0.0,1814.65610567,1031.344962,1416.0
2012-02-13,id,0.0,0.0,2961.23789436,1152.00010147,1981.0
2012-02-14,id,0.0,0.0,2992.46731723,1079.95184907,1980.0
2012-02-15,id,0.0,0.0,2749.91550556,1247.35893415,1926.0
2012-02-16,id,0.0,0.0,2712.0075009,1365.58553892,1990.0
2012-02-17,id,0.0,0.0,2374.25002298,1210.0400668,1855.0
2012-02-18,id,0.0,0.0,1760.34753991,925.932019985,1444.0
2012-02-19,id,0.0,0.0,1923.13977071,964.759299443,1461.0
2012-02-20,id,0.0,0.0,2837.34266691,1135.8581276,2003.0
2012-02-21,id,0.0,0.0,2811.94426139,1067.70878409,1998.0
2012-02-22,id,0.0,0.0,2693.64999646,1257.2604898,1973.0
2012-02-23,id,0.0,0.0,2773.97592305,1185.57663165,1904.0
2012-02-24,id,0.0,0.0,2511.95367361,1138.20195151,1651.0
2012-02-25,id,0.0,0.0,2119.28213839,1006.93478467,1329.0
2012-02-26,id,0.0,0.0,2165.13583455,943.728739905,1448.0
2012-02-27,id,0.0,0.0,2789.51877596,1205.874396,1889.0
2012-02-28,id,0.0,0.0,2783.18115945,1272.41516026,1953.0
2012-02-29,id,0.0,0.0,2513.14346635,1323.3753051,1817.0
2012-03-01,id,0.0,0.0,2516.33771606,1472.39006066,1896.0
2012-03-02,id,0.0,0.0,2136.38425445,1186.60099354,1673.0
2012-03-03,id,0.0,0.0,1678.65813147,871.904033261,1305.0
2012-03-04,id,0.0,0.0,1871.34292416,1024.90999027,1486.0
2012-03-05,id,0.0,0.0,2638.91468312,1268.23293459,1979.0
2012-03-06,id,0.0,0.0,2613.49168541,1339.02035782,2025.0
2012-03-07,id,0.0,0.0,2525.06972239,1232.79582889,1942.0
2012-03-08,id,0.0,0.0,2346.4253735,1316.60329928,1904.0
2012-03-09,id,0.0,0.0,2227.10590248,1205.82010239,1755.0
2012-03-10,id,0.0,0.0,1676.77225849,1005.95137514,1352.0
2012-03-11,id,0.0,0.0,2040.78721734,1040.49357732,1445.0
2012-03-12,id,0.0,0.0,2498.39881803,1436.38525747,1846.0
2012-03-13,id,0.0,0.0,2433.39917846,1521.16692301,1818.0
2012-03-14,id,0.0,0.0,2341.8518036,1443.38678603,1822.0
2012-03-15,id,0.0,0.0,2385.27761574,1428.70362381,1839.0
2012-03-16,id,0.0,0.0,2229.61267888,1233.04086627,1667.0
2012-03-17,id,0.0,0.0,1718.48764321,941.366663069,1301.0
2012-03-18,id,0.0,0.0,1842.44945909,912.515241886,1361.0
2012-03-19,id,0.0,0.0,2336.61190522,1330.76631577,1837.0
2012-03-20,id,0.0,0.0,2381.69043215,1326.2437825,1925.0
2012-03-21,id,0.0,0.0,2330.66977671,1337.67957527,1821.0
2012-03-22,id,0.0,0.0,2372.71583279,1454.72276814,1632.0
2012-03-23,id,1.0,0.0,2049.54607288,1293.53393862,1235.0
2012-03-24,id,0.0,0.0,1719.06305343,918.050097264,1214.0
2012-03-25,id,0.0,0.0,1784.21354593,1021.80173545,1339.0
2012-03-26,id,0.0,0.0,2315.54445646,1394.87294906,1820.0
2012-03-27,id,0.0,0.0,2412.52512805,1482.57771606,1955.0
2012-03-28,id,0.0,0.0,2291.28001867,1398.53816558,1875.0
2012-03-29,id,0.0,0.0,2149.96480062,1052.08888749,1839.0
2012-03-30,id,0.0,0.0,1749.5061659,845.839662971,1637.0
2012-03-31,id,0.0,0.0,1636.6963745,824.783751027,1259.0
2012-04-01,id,0.0,0.0,1909.10584364,904.873627739,1379.0
2012-04-02,id,0.0,0.0,2245.58167839,1361.61748523,1782.0
2012-04-03,id,0.0,0.0,2483.64269157,1401.50067806,1810.0
2012-04-04,id,0.0,0.0,2528.97414388,1319.25139617,1788.0
2012-04-05,id,0.0,0.0,2665.28450631,1069.41584575,1567.0
2012-04-06,id,0.0,0.0,2432.69397436,908.247693092,1236.0
2012-04-07,id,0.0,0.0,1795.45804079,793.570044535,1254.0
2012-04-08,id,0.0,0.0,1889.9032887,889.925505793,1389.0
2012-04-09,id,0.0,0.0,2436.48398323,1277.12266881,1804.0
2012-04-10,id,0.0,0.0,2539.68069665,1251.15906391,1900.0
2012-04-11,id,0.0,0.0,2518.23322433,1198.0235046,1859.0
2012-04-12,id,0.0,0.0,2245.20551567,1013.04457422,1808.0
2012-04-13,id,0.0,0.0,2046.1981183,608.793340146,1673.0
2012-04-14,id,0.0,0.0,1977.71433425,712.159597317,1365.0
2012-04-15,id,0.0,0.0,2089.08875344,795.512675127,1443.0
2012-04-16,id,0.0,0.0,2560.98039779,1109.56594358,1857.0
2012-04-17,id,0.0,0.0,2411.55726977,1465.22997677,1989.0
2012-04-18,id,0.0,0.0,2662.47414834,1306.81612386,2023.0
2012-04-19,id,0.0,0.0,2514.81001783,1374.96739018,2054.0
2012-04-20,id,0.0,0.0,2306.13873776,1152.93447107,1773.0
2012-04-21,id,0.0,0.0,1959.1116038,905.898280224,1456.0
2012-04-22,id,0.0,0.0,2086.03530123,1004.90439463,1599.0
2012-04-23,id,0.0,0.0,2521.097314,1282.66080283,1993.0
2012-04-24,id,0.0,0.0,2635.88777899,1371.15431846,2048.0
2012-04-25,id,0.0,0.0,2921.20085016,1203.64824105,2008.0
2012-04-26,id,0.0,0.0,2848.86863541,1187.79750181,1949.0
2012-04-27,id,0.0,0.0,2473.02971484,1256.98093554,1830.0
2012-04-28,id,0.0,0.0,1953.98961345,1001.86282797,1359.0
2012-04-29,id,0.0,0.0,2249.25026465,1049.22636288,1490.0
2012-04-30,id,0.0,0.0,2832.09215607,1269.41363398,1816.0
2012-05-01,id,0.0,0.0,2931.10218205,1265.41632559,1915.0
2012-05-02,id,0.0,0.0,2669.77927696,1461.01362373,1952.0
2012-05-03,id,0.0,0.0,2784.26034148,1439.21586328,1991.0
2012-05-04,id,0.0,0.0,2878.36627552,1461.84879996,2056.0
2012-05-05,id,0.0,0.0,2350.32980181,953.334390916,1547.0
2012-05-06,id,0.0,0.0,2320.02532804,1187.19008502,1597.0
2012-05-07,id,0.0,0.0,2787.1985484,1379.5501249,1983.0
2012-05-08,id,0.0,0.0,2913.85910457,1403.38765323,2019.0
2012-05-09,id,0.0,0.0,2707.78755032,1517.29140157,2115.0
2012-05-10,id,0.0,0.0,2817.93794635,1544.73966944,2116.0
2012-05-11,id,0.0,0.0,2486.0426415,1451.52762255,1924.0
2012-05-12,id,0.0,0.0,1985.14604178,1029.01381502,1530.0
2012-05-13,id,0.0,0.0,2087.83946259,1082.65697746,1658.0
2012-05-14,id,0.0,0.0,2747.09468471,1405.51076291,2074.0
2012-05-15,id,0.0,0.0,2657.72883816,1585.94356721,2066.0
2012-05-16,id,0.0,0.0,3038.68584964,1565.93497002,1925.0
2012-05-17,id,0.0,0.0,2936.52972182,1562.3078504,1577.0
2012-05-18,id,0.0,0.0,2802.92603102,1369.86504548,1617.0
2012-05-19,id,0.0,0.0,2240.44510414,1029.27897219,1447.0
2012-05-20,id,0.0,0.0,2468.61574663,1056.68383932,1620.0
2012-05-21,id,0.0,0.0,2925.59927937,1498.8989252,2164.0
2012-05-22,id,0.0,0.0,2780.96772954,1602.24341973,2188.0
2012-05-23,id,0.0,0.0,2605.10448037,1322.69387296,2164.0
2012-05-24,id,0.0,1.0,2111.51921076,1062.93503923,2132.0
2012-05-25,id,0.0,0.0,2127.47533849,1132.52401773,1923.0
2012-05-26,id,0.0,0.0,1892.41385492,1023.11682434,1524.0
2012-05-27,id,0.0,0.0,2139.00983177,1203.34062434,1718.0
2012-05-28,id,0.0,0.0,2753.51671398,1586.5697874,2041.0
2012-05-29,id,0.0,0.0,2923.71638117,1556.13558004,2090.0
2012-05-30,id,0.0,0.0,2724.18462544,1614.90014953,2115.0
2012-05-31,id,0.0,0.0,2714.77953076,1568.87560957,2076.0
2012-06-01,id,0.0,0.0,2456.04927906,1426.74117035,1909.0
2012-06-02,id,0.0,0.0,2111.14912138,1019.82137842,1479.0
2012-06-03,id,0.0,0.0,2283.83218615,1146.26268041,1612.0
2012-06-04,id,0.0,0.0,2577.30001934,1591.2899186,2088.0
2012-06-05,id,0.0,0.0,2660.71213792,1557.36214541,2129.0
2012-06-06,id,0.0,0.0,2568.60845722,1721.53403663,2096.0
2012-06-07,id,0.0,0.0,2566.17158646,1575.60491776,2044.0
2012-06-08,id,0.0,0.0,2340.56741499,1439.31119589,1824.0
2012-06-09,id,0.0,0.0,1955.36988514,1077.72329433,1477.0
2012-06-10,id,0.0,0.0,2076.38000126,1201.03208262,1636.0
2012-06-11,id,0.0,0.0,2569.24553063,1414.58719804,1954.0
2012-06-12,id,0.0,0.0,2624.58701577,1412.6935759,1914.0
2012-06-13,id,0.0,0.0,2503.37234603,1473.53620257,1938.0
2012-06-14,id,0.0,0.0,2676.12453893,1512.18875128,2059.0
2012-06-15,id,0.0,0.0,2378.66179423,1368.0285808,1828.0
2012-06-16,id,0.0,0.0,1905.67849095,1078.87015042,1439.0
2012-06-17,id,0.0,0.0,2196.77407624,1127.69106674,1585.0
2012-06-18,id,0.0,0.0,2679.33163077,1489.36808645,1971.0
2012-06-19,id,0.0,0.0,2799.81665015,1381.91424084,2021.0
2012-06-20,id,0.0,0.0,2623.742136,1460.60403613,1968.0
2012-06-21,id,0.0,0.0,2495.68889455,1562.97155748,1953.0
2012-06-22,id,0.0,0.0,2290.35241055,1468.01160789,1849.0
2012-06-23,id,0.0,0.0,1846.81976387,1089.27026938,1437.0
2012-06-24,id,0.0,0.0,2007.04322208,1244.13679783,1625.0
2012-06-25,id,0.0,0.0,2615.97027698,1523.41112494,2085.0
2012-06-26,id,0.0,0.0,2705.96154642,1474.11335492,2083.0
2012-06-27,id,0.0,0.0,2548.90295455,1511.59936562,2009.0
2012-06-28,id,0.0,0.0,2560.88453897,1562.56588103,2094.0
2012-06-29,id,0.0,0.0,2315.75154901,1386.18342782,1942.0
2012-06-30,id,0.0,0.0,1820.2899612,1082.97098901,1524.0
2012-07-01,id,0.0,0.0,2070.14046836,1210.95365339,1607.0
2012-07-02,id,0.0,0.0,2608.84579941,1479.89891341,1965.0
2012-07-03,id,0.0,0.0,2571.08988009,1574.11768084,1998.0
2012-07-04,id,0.0,0.0,2458.7495284,1527.73129994,1981.0
2012-07-05,id,0.0,0.0,2536.89139555,1560.70671766,2022.0
2012-07-06,id,0.0,0.0,2359.82241126,1470.99987577,1818.0
2012-07-07,id,0.0,0.0,1898.66745346,1096.56863723,1404.0
2012-07-08,id,0.0,0.0,1984.77573188,1166.71515262,1511.0
2012-07-09,id,0.0,0.0,2515.58935846,1393.77531338,1918.0
2012-07-10,id,0.0,0.0,2559.98992664,1452.25387307,1968.0
2012-07-11,id,0.0,0.0,2562.87746772,1513.26210362,1868.0
