date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,ie,0.0,0.0,3093.67359024,1446.39386994,2044.0
2011-09-09,ie,0.0,0.0,3471.98980667,1142.33973146,2085.0
2011-09-11,ie,0.0,0.0,3284.90586954,1545.28921704,2352.0
2011-09-12,ie,0.0,0.0,2980.75305556,1486.40145971,2126.0
2011-09-13,ie,0.0,0.0,3084.03989157,1670.93983362,2092.0
2011-09-14,ie,0.0,0.0,2826.42324327,1624.11754692,2040.0
2011-09-15,ie,0.0,0.0,2939.02607343,1370.60304175,2232.0
2011-09-16,ie,0.0,0.0,3168.64711714,1110.68893607,2294.0
2011-09-17,ie,0.0,0.0,3294.62503287,1098.581179,2253.0
2011-09-18,ie,0.0,0.0,3609.60670469,1102.29711339,2342.0
2011-09-19,ie,0.0,0.0,3378.65236576,1071.38181366,2371.0
2011-09-20,ie,0.0,0.0,3192.02327919,1049.32931555,2283.0
2011-09-21,ie,0.0,0.0,3043.33092123,1053.59473429,2177.0
2011-09-22,ie,0.0,0.0,3180.26928277,1259.37942356,2201.0
2011-09-23,ie,0.0,0.0,3285.80309525,1364.24617141,2144.0
2011-09-24,ie,0.0,0.0,3121.34505983,1426.0837487,2192.0
2011-09-25,ie,0.0,0.0,3220.87151497,1430.13484106,2321.0
2011-09-26,ie,0.0,0.0,2986.28068505,1524.048474,2040.0
2011-09-27,ie,0.0,0.0,2929.39185943,1558.42238428,1985.0
2011-09-28,ie,0.0,0.0,2718.38284165,1563.07755841,1987.0
2011-09-29,ie,0.0,0.0,2701.77786913,1516.21769798,1994.0
2011-09-30,ie,0.0,0.0,2874.98371278,1417.21383881,2122.0
2011-10-01,ie,0.0,0.0,3081.02547643,1481.48165229,2241.0
2011-10-02,ie,0.0,0.0,2989.74404651,1485.24509196,2169.0
2011-10-03,ie,0.0,0.0,2906.45733877,1333.23117374,2193.0
2011-10-04,ie,0.0,0.0,2762.38438856,1247.60359662,2152.0
2011-10-05,ie,0.0,0.0,2759.30037033,1473.65118422,2265.0
2011-10-06,ie,0.0,0.0,2707.32476333,1433.48289103,2149.0
2011-10-07,ie,0.0,0.0,2697.02822543,1569.60391511,2077.0
2011-10-08,ie,0.0,0.0,3003.6350036,1533.04453432,2244.0
2011-10-09,ie,0.0,0.0,3168.85679364,1579.40267369,2271.0
2011-10-10,ie,0.0,0.0,2905.64411917,1509.78573447,2041.0
2011-10-11,ie,0.0,0.0,2924.33914974,1497.39299546,2052.0
2011-10-12,ie,0.0,0.0,2946.89845781,1457.69077031,2078.0
2011-10-13,ie,0.0,0.0,3048.64415727,1619.4803235,2303.0
2011-10-14,ie,0.0,0.0,3142.89261916,1465.83268791,2269.0
2011-10-15,ie,0.0,0.0,2771.63592834,1556.46867487,2051.0
