date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,il,0.0,0.0,8448.85020107,4155.29833339,7170.0
2011-09-09,il,0.0,0.0,9033.98587465,3269.5434324,7278.0
2011-09-11,il,0.0,0.0,10411.1135676,5472.30023455,8302.0
2011-09-12,il,0.0,0.0,9456.31053769,5652.1237345,7929.0
2011-09-13,il,0.0,0.0,9462.24374825,5420.75674122,8240.0
2011-09-14,il,0.0,0.0,9444.09236252,5740.7579952,8037.0
2011-09-15,il,0.0,0.0,10048.9331939,4986.70915767,8225.0
2011-09-16,il,0.0,0.0,10700.7436916,4088.24347541,8533.0
2011-09-17,il,0.0,0.0,11107.5108295,3975.46618279,8737.0
2011-09-18,il,0.0,0.0,12381.4212944,4086.34869804,9276.0
2011-09-19,il,0.0,0.0,12520.4505232,4001.82982884,9575.0
2011-09-20,il,0.0,0.0,12118.4600787,4366.24985567,9798.0
2011-09-21,il,0.0,0.0,11858.1943206,4174.39268319,9594.0
2011-09-22,il,0.0,0.0,11261.2048662,4909.86919723,9439.0
2011-09-23,il,0.0,0.0,11619.6110098,5413.46150552,9023.0
2011-09-24,il,0.0,0.0,11626.449507,5787.33419786,8858.0
2011-09-25,il,0.0,0.0,12285.5819596,5895.63205532,9655.0
2011-09-26,il,0.0,0.0,11677.231639,6303.9879961,9403.0
2011-09-27,il,0.0,0.0,12164.4336378,6854.04424627,9675.0
2011-09-28,il,0.0,0.0,11707.4161679,6936.56272806,9002.0
2011-09-29,il,0.0,0.0,11243.3242381,6654.41152786,8427.0
2011-09-30,il,0.0,0.0,11753.2293626,6162.19462846,8987.0
2011-10-01,il,0.0,0.0,12221.3523854,6094.42655037,9923.0
2011-10-02,il,0.0,0.0,12077.5588249,6415.96472228,10131.0
2011-10-03,il,0.0,0.0,13024.2915375,6405.86797313,9779.0
2011-10-04,il,0.0,0.0,13169.2432114,6231.70697359,9763.0
2011-10-05,il,0.0,0.0,13001.5938745,6136.69492196,9813.0
2011-10-06,il,0.0,0.0,10746.1835315,6536.1625469,9197.0
2011-10-07,il,0.0,0.0,11070.9030079,6876.69884044,8294.0
2011-10-08,il,0.0,0.0,12761.2647227,7072.2741972,7884.0
2011-10-09,il,0.0,0.0,14165.8579489,7672.95400763,9553.0
2011-10-10,il,0.0,0.0,12485.6311392,6900.97966474,9238.0
2011-10-11,il,0.0,0.0,12939.1475571,6806.24801061,8943.0
2011-10-12,il,0.0,0.0,12343.851059,6467.57257496,8702.0
2011-10-13,il,0.0,0.0,12609.6027355,7080.19238006,9087.0
2011-10-14,il,0.0,0.0,12121.8420802,5958.22618438,9564.0
2011-10-15,il,0.0,0.0,9437.24063734,5617.38652305,8679.0
2011-10-16,il,0.0,0.0,11247.8118755,7091.68245351,9389.0
2011-10-17,il,0.0,0.0,11340.8808815,6426.19684088,9184.0
2011-10-18,il,0.0,0.0,10711.3581427,6422.27943654,9780.0
2011-10-19,il,0.0,0.0,10587.639922,6409.50252899,9298.0
2011-10-20,il,0.0,0.0,12443.5437018,5612.23874151,9386.0
2011-10-21,il,0.0,0.0,11195.3818187,5760.74267685,8836.0
2011-10-22,il,0.0,0.0,10752.6908465,5645.28465677,8372.0
2011-10-23,il,0.0,0.0,10624.8863731,6512.806479,8528.0
2011-10-24,il,0.0,0.0,11643.0067242,5646.45021562,8294.0
2011-10-25,il,0.0,0.0,11023.935231,6410.16268628,7453.0
2011-10-26,il,0.0,0.0,12225.4217292,5060.4499123,7310.0
2011-10-27,il,0.0,0.0,11559.5159509,4597.76330666,7245.0
2011-10-28,il,0.0,0.0,11377.9336767,4521.94706928,6688.0
2011-10-29,il,0.0,0.0,10548.8547425,5100.03520743,7056.0
2011-10-30,il,0.0,0.0,10628.2719887,4718.67010001,6935.0
2011-10-31,il,0.0,0.0,10254.0976799,4973.62711751,6997.0
2011-11-01,il,0.0,0.0,8663.39550536,5617.69638786,7155.0
2011-11-02,il,0.0,0.0,9137.96226855,4135.90435795,7137.0
2011-11-03,il,0.0,0.0,9188.36928756,4338.89651253,7246.0
2011-11-04,il,0.0,0.0,9661.03085433,3733.47282746,7090.0
2011-11-05,il,0.0,0.0,10748.312555,4231.39482921,7408.0
2011-11-06,il,0.0,0.0,10069.4658302,4810.68527778,7653.0
2011-11-07,il,0.0,0.0,8703.27462962,5153.94800729,7031.0
