date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,in,0.0,0.0,23947.0478092,12205.5972686,19769.0
2011-09-09,in,0.0,0.0,30782.188863,11615.2323994,21375.0
2011-09-11,in,0.0,0.0,25779.3130694,13970.4523163,19417.0
2011-09-12,in,0.0,0.0,24063.2486768,14844.8818021,20067.0
2011-09-13,in,0.0,0.0,25038.7031313,14834.7508453,20496.0
2011-09-14,in,0.0,0.0,25187.0441944,15833.5346033,20752.0
2011-09-15,in,0.0,0.0,27238.2863946,13997.9842302,21278.0
2011-09-16,in,0.0,0.0,30876.7937954,12231.8506855,19917.0
2011-09-17,in,0.0,0.0,29554.088117,10937.5908914,19493.0
2011-09-18,in,0.0,0.0,28560.4994038,9696.93367756,18812.0
2011-09-19,in,0.0,0.0,31211.7161676,10289.9682257,18561.0
2011-09-20,in,0.0,0.0,29704.3512721,11028.0258847,18292.0
2011-09-21,in,0.0,0.0,30151.7923188,10952.2282986,18712.0
2011-09-22,in,0.0,0.0,28696.0852165,12905.0529039,19441.0
2011-09-23,in,0.0,0.0,26754.288488,12816.0000535,19382.0
2011-09-24,in,0.0,0.0,25607.1047027,13086.3267086,17520.0
2011-09-25,in,0.0,0.0,24637.462203,12097.9427288,15584.0
2011-09-26,in,0.0,0.0,22400.6445384,12354.8037835,16416.0
2011-09-27,in,0.0,0.0,22487.6926721,12928.3610247,17607.0
2011-09-28,in,0.0,0.0,22595.5482927,13678.5230139,16757.0
2011-09-29,in,0.0,0.0,22897.2901898,13869.4645556,16101.0
2011-09-30,in,0.0,0.0,24942.7138808,13405.8998917,15616.0
2011-10-01,in,0.0,0.0,23903.956772,12196.0145891,13395.0
2011-10-02,in,0.0,0.0,19339.9999141,10441.4785332,11416.0
2011-10-03,in,0.0,0.0,22531.7843054,11290.4750943,12480.0
2011-10-04,in,0.0,0.0,23738.2066968,11455.4716529,12331.0
2011-10-05,in,0.0,0.0,23956.4475783,11547.0026517,12470.0
2011-10-06,in,1.0,0.0,20307.6036979,12631.8937649,10964.0
2011-10-07,in,1.0,0.0,19059.4447736,12064.677264,11838.0
2011-10-08,in,0.0,0.0,17138.9635378,9597.71632812,11407.0
2011-10-09,in,0.0,0.0,15929.3434535,8665.19378195,11501.0
2011-10-10,in,0.0,0.0,15867.5406872,8846.71429028,14322.0
2011-10-11,in,0.0,0.0,16275.7697387,8632.73848547,16081.0
2011-10-12,in,0.0,1.0,15620.1108206,8254.42177794,16338.0
2011-10-13,in,0.0,1.0,14984.7895211,8469.48595385,16627.0
2011-10-14,in,0.0,0.0,17189.5722376,8563.31213329,15976.0
2011-10-15,in,0.0,1.0,13560.8645283,8186.69406985,15774.0
2011-10-16,in,0.0,1.0,13496.4670775,8566.80178021,15000.0
2011-10-17,in,0.0,0.0,17450.8720295,10040.4352082,14650.0
2011-10-18,in,0.0,0.0,19073.5220021,11668.174859,15347.0
2011-10-19,in,0.0,0.0,19669.7785094,12167.8542087,15439.0
2011-10-20,in,0.0,0.0,22543.0526466,10376.3772954,15136.0
2011-10-21,in,0.0,0.0,18543.9718181,9708.49787357,14101.0
2011-10-22,in,0.0,0.0,19346.0298427,10368.7657841,11589.0
2011-10-23,in,1.0,0.0,16843.3487392,10490.7314639,9895.0
2011-10-24,in,0.0,0.0,18425.3052026,9081.64053933,10577.0
2011-10-25,in,1.0,0.0,17171.2725125,10137.5081871,9594.0
2011-10-26,in,0.0,0.0,20128.4689677,8476.90441023,8698.0
2011-10-27,in,0.0,0.0,18494.2768538,7476.71279409,10193.0
2011-10-28,in,0.0,0.0,18011.7593956,7277.51688779,11720.0
2011-10-29,in,0.0,0.0,14515.872988,7104.11924401,12560.0
2011-10-30,in,0.0,0.0,12296.6495952,5490.99426442,11147.0
2011-10-31,in,0.0,0.0,13017.4196604,6373.76847019,11343.0
2011-11-01,in,0.0,1.0,11096.6331319,7269.77474807,11467.0
2011-11-02,in,0.0,1.0,10835.0124041,4939.54948556,11611.0
2011-11-03,in,0.0,0.0,12841.1226519,6147.44824024,10869.0
2011-11-04,in,0.0,0.0,16748.6415655,6618.0570634,11259.0
2011-11-05,in,0.0,0.0,18925.8375595,7617.8906316,11132.0
2011-11-06,in,0.0,0.0,16037.2256951,7808.01733029,10249.0
2011-11-07,in,0.0,0.0,13978.8163374,8437.58623382,9862.0
2011-11-08,in,0.0,0.0,15792.3775858,7337.98047764,10804.0
2011-11-09,in,0.0,0.0,19763.4926542,5493.73518916,11686.0
2011-11-10,in,0.0,0.0,16537.9341813,6960.05544663,11710.0
2011-11-11,in,0.0,0.0,13031.1864326,8407.35773678,9939.0
2011-11-12,in,0.0,0.0,12057.5314924,7396.46328112,8984.0
2011-11-13,in,0.0,0.0,11845.7747612,6612.68894327,8965.0
2011-11-14,in,0.0,0.0,12047.6706233,6472.3690401,9578.0
2011-11-15,in,0.0,0.0,13893.3471034,6503.04575119,10763.0
2011-11-16,in,0.0,0.0,15592.307714,5786.7746034,10825.0
2011-11-17,in,0.0,0.0,13936.6364905,7069.19415151,10662.0
2011-11-18,in,0.0,0.0,11490.8925847,7564.31300017,10136.0
