date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,iq,0.0,0.0,656.802492453,232.695227718,383.0
2011-09-09,iq,0.0,0.0,614.205918226,143.267732194,284.0
2011-09-11,iq,0.0,0.0,657.36379965,253.092887373,301.0
2011-09-12,iq,0.0,0.0,609.212183888,272.288039958,288.0
2011-09-13,iq,0.0,0.0,566.420100103,249.281903641,306.0
2011-09-14,iq,0.0,0.0,694.438626006,318.271375427,351.0
2011-09-15,iq,0.0,0.0,616.951941274,220.41655088,378.0
2011-09-16,iq,0.0,0.0,490.926778534,129.169070737,371.0
2011-09-17,iq,0.0,0.0,506.247620264,128.283130433,413.0
2011-09-18,iq,0.0,0.0,524.519046437,122.419735882,421.0
2011-09-19,iq,0.0,0.0,534.733051335,116.470590945,438.0
2011-09-20,iq,0.0,0.0,526.934010389,130.627874275,414.0
2011-09-21,iq,0.0,0.0,599.770497721,151.637181549,353.0
2011-09-22,iq,0.0,0.0,600.704854758,186.964209766,327.0
2011-09-23,iq,0.0,0.0,594.778518322,191.448162675,300.0
2011-09-24,iq,0.0,0.0,634.067084709,228.271687628,333.0
2011-09-25,iq,0.0,0.0,638.775277431,224.474871611,290.0
2011-09-26,iq,0.0,0.0,596.652306021,254.088668439,281.0
2011-09-27,iq,0.0,0.0,578.398006173,251.749522907,313.0
2011-09-28,iq,0.0,0.0,489.680486749,219.256393319,287.0
2011-09-29,iq,0.0,0.0,445.109165073,197.440961653,276.0
2011-09-30,iq,0.0,0.0,459.497824004,168.950199075,249.0
2011-10-01,iq,0.0,0.0,532.214087459,191.664438087,288.0
2011-10-02,iq,0.0,0.0,428.339037426,157.667729836,272.0
2011-10-03,iq,0.0,0.0,455.316056859,159.377524001,276.0
2011-10-04,iq,0.0,0.0,489.762285937,174.460525144,265.0
2011-10-05,iq,0.0,0.0,457.424956657,180.667958934,302.0
2011-10-06,iq,0.0,0.0,414.128743657,174.209514918,288.0
2011-10-07,iq,0.0,0.0,364.381140798,154.649072033,295.0
2011-10-08,iq,0.0,0.0,437.666388896,168.352695465,325.0
2011-10-09,iq,0.0,0.0,454.077629176,167.036678736,322.0
2011-10-10,iq,0.0,0.0,418.259867458,159.466690539,271.0
2011-10-11,iq,0.0,0.0,409.733797101,155.350991784,259.0
2011-10-12,iq,0.0,0.0,444.689170073,166.055212159,252.0
2011-10-13,iq,0.0,0.0,469.212862174,181.089590091,268.0
2011-10-14,iq,0.0,0.0,502.245279144,175.937939758,248.0
2011-10-15,iq,0.0,0.0,451.177540117,193.160117047,269.0
2011-10-16,iq,0.0,0.0,441.448691991,198.256174629,262.0
2011-10-17,iq,0.0,0.0,395.248884571,152.260501106,259.0
2011-10-18,iq,0.0,0.0,371.898119168,149.825951268,283.0
2011-10-19,iq,0.0,0.0,380.347011656,143.846207257,281.0
2011-10-20,iq,0.0,0.0,414.751391041,143.510273692,271.0
2011-10-21,iq,0.0,0.0,341.742893581,123.803019136,234.0
2011-10-22,iq,0.0,0.0,387.39489224,146.017983731,248.0
2011-10-23,iq,0.0,0.0,355.180397148,145.280670418,231.0
2011-10-24,iq,0.0,0.0,388.221813779,129.244743394,222.0
2011-10-25,iq,0.0,0.0,365.22511629,158.109801793,228.0
2011-10-26,iq,0.0,0.0,418.412967094,138.763755894,212.0
2011-10-27,iq,0.0,0.0,395.919921049,111.313326056,248.0
2011-10-28,iq,0.0,0.0,366.95290731,94.4639466638,263.0
2011-10-29,iq,0.0,0.0,380.816132819,119.609513461,284.0
2011-10-30,iq,0.0,0.0,348.916872272,102.360537414,251.0
2011-10-31,iq,0.0,0.0,335.416271886,105.173042485,254.0
2011-11-01,iq,0.0,0.0,352.043881706,120.055324612,236.0
2011-11-02,iq,0.0,0.0,321.706806445,95.1059697622,239.0
2011-11-03,iq,0.0,0.0,367.730842119,124.033595845,249.0
2011-11-04,iq,0.0,0.0,452.182180147,117.547691742,248.0
2011-11-05,iq,0.0,0.0,503.606271124,146.685069995,257.0
2011-11-06,iq,0.0,0.0,433.115097203,142.146668068,239.0
2011-11-07,iq,0.0,0.0,383.730504899,144.382525994,280.0
2011-11-08,iq,0.0,0.0,400.327732382,113.5519793,254.0
2011-11-09,iq,0.0,0.0,495.38150531,87.4725503331,245.0
2011-11-10,iq,0.0,0.0,475.347559151,120.078890498,209.0
2011-11-11,iq,0.0,0.0,344.455926521,148.5820599,210.0
2011-11-12,iq,0.0,0.0,329.39077905,138.535445857,230.0
2011-11-13,iq,0.0,0.0,330.751163972,123.360405098,237.0
