date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,ir,0.0,0.0,63424.6905739,33239.81326,54606.0
2011-09-09,ir,0.0,0.0,76469.6146092,28305.6723785,56431.0
2011-09-11,ir,0.0,0.0,95204.4417934,50683.0105552,72709.0
2011-09-12,ir,0.0,0.0,83503.9056316,47226.4620208,56842.0
2011-09-13,ir,1.0,0.0,81382.3559855,49932.7904426,44592.0
2011-09-14,ir,0.0,0.0,77967.832071,50986.0625062,64054.0
2011-09-15,ir,0.0,0.0,73644.2409556,39219.8279344,65768.0
2011-09-16,ir,0.0,0.0,80468.474441,32185.065414,62796.0
2011-09-17,ir,0.0,0.0,102476.508008,38982.7222135,71950.0
2011-09-18,ir,0.0,0.0,105003.373571,36358.5655047,76527.0
2011-09-19,ir,0.0,0.0,84805.6433598,30634.2933811,78279.0
2011-09-20,ir,0.0,1.0,63980.046107,23892.9667282,83536.0
2011-09-21,ir,0.0,0.0,89505.601759,35484.3285244,83813.0
2011-09-22,ir,0.0,0.0,88049.9118771,39663.7204652,72893.0
2011-09-23,ir,0.0,0.0,84641.9689815,39849.1282533,65564.0
2011-09-24,ir,0.0,0.0,93627.517317,48671.3671906,69691.0
2011-09-25,ir,0.0,0.0,98971.6136919,49896.1092885,76195.0
2011-09-26,ir,0.0,0.0,92747.7511744,53703.9362137,72120.0
2011-09-27,ir,0.0,0.0,100635.255137,60992.9687115,70778.0
2011-09-28,ir,0.0,0.0,98074.3545233,64469.5468732,68306.0
2011-09-29,ir,0.0,0.0,83960.7580953,53722.2309146,70159.0
2011-09-30,ir,0.0,0.0,82501.3660944,46388.9842862,74347.0
2011-10-01,ir,0.0,0.0,91955.8596058,50393.1117875,85776.0
2011-10-02,ir,0.0,0.0,92278.175159,52074.3278021,80964.0
2011-10-03,ir,0.0,0.0,96164.2837414,50599.4667928,82461.0
2011-10-04,ir,0.0,0.0,92083.7564177,47815.2128567,81554.0
2011-10-05,ir,0.0,0.0,88707.3455482,54432.1317283,85108.0
2011-10-06,ir,0.0,0.0,89091.2708659,54187.2199289,73280.0
2011-10-07,ir,0.0,0.0,88564.7660796,58938.5064589,71272.0
2011-10-08,ir,0.0,0.0,107861.414575,62811.8086924,81683.0
2011-10-09,ir,0.0,0.0,110888.357356,63166.6210455,80421.0
2011-10-10,ir,0.0,0.0,102453.085234,60806.0414927,74588.0
2011-10-11,ir,0.0,0.0,103825.978459,60812.8919157,74992.0
2011-10-12,ir,0.0,0.0,103931.224456,58604.0511845,72497.0
2011-10-13,ir,0.0,0.0,97452.9801201,59144.9926129,68311.0
2011-10-14,ir,0.0,0.0,100990.405028,53937.2707535,65670.0
2011-10-15,ir,0.0,0.0,94693.3649042,60621.0712585,72897.0
2011-10-16,ir,0.0,0.0,92253.8612344,61508.9385769,72375.0
2011-10-17,ir,0.0,0.0,89440.5013912,53316.23169,67922.0
2011-10-18,ir,0.0,0.0,88005.3222266,55298.9370186,68270.0
2011-10-19,ir,0.0,0.0,89356.1156913,52724.8477708,67742.0
2011-10-20,ir,0.0,0.0,86890.7944283,46506.0506212,61850.0
2011-10-21,ir,0.0,0.0,73852.5779213,41243.9805467,59307.0
2011-10-22,ir,0.0,0.0,86277.9135268,49832.7199071,66825.0
2011-10-23,ir,0.0,0.0,80331.1187689,50863.2102339,67388.0
2011-10-24,ir,0.0,0.0,83396.2596764,43047.1234577,66437.0
2011-10-25,ir,0.0,0.0,72623.2632944,47645.3530575,63462.0
2011-10-26,ir,0.0,0.0,86426.5822903,37804.3904385,65871.0
2011-10-27,ir,0.0,0.0,73357.6841978,32287.9614909,61772.0
2011-10-28,ir,0.0,0.0,74149.9420488,31681.1533808,58073.0
2011-10-29,ir,0.0,0.0,82942.1797459,41273.4608073,67333.0
2011-10-30,ir,0.0,0.0,82082.939634,38177.6599957,63430.0
2011-10-31,ir,0.0,0.0,80546.6630039,40713.4701947,61977.0
2011-11-01,ir,0.0,0.0,78966.5287057,43096.18659,61851.0
2011-11-02,ir,0.0,0.0,80209.4113758,38350.5316262,58764.0
2011-11-03,ir,0.0,0.0,74791.0701304,39143.6026516,52592.0
2011-11-04,ir,0.0,0.0,81416.2498667,33553.5382546,52740.0
2011-11-05,ir,0.0,0.0,98644.1014636,43007.127507,61271.0
2011-11-06,ir,0.0,0.0,89033.0037657,46022.7492845,59378.0
2011-11-07,ir,0.0,0.0,74762.8427554,47339.7407773,52156.0
2011-11-08,ir,0.0,0.0,83113.6363514,41124.218503,55858.0
2011-11-09,ir,0.0,0.0,98050.0658124,29285.3194917,55988.0
2011-11-10,ir,0.0,0.0,82159.7429292,32398.4451268,52692.0
2011-11-11,ir,0.0,0.0,58439.3867402,41884.8667708,51112.0
2011-11-12,ir,0.0,0.0,64334.260217,41821.265229,56825.0
2011-11-13,ir,0.0,0.0,66957.8607862,39157.6499044,55802.0
2011-11-14,ir,0.0,0.0,62232.108003,35000.6611918,51861.0
2011-11-15,ir,0.0,0.0,69740.4510107,34761.6991301,52014.0
2011-11-16,ir,0.0,0.0,72752.2306843,28102.1062574,55384.0
2011-11-17,ir,0.0,0.0,61363.1291327,31953.3677361,52191.0
2011-11-18,ir,0.0,0.0,57779.2092782,39679.6837466,51566.0
2011-11-19,ir,0.0,0.0,67631.673141,43408.7564639,57890.0
2011-11-20,ir,0.0,0.0,69128.4622985,40199.8092846,56711.0
2011-11-21,ir,0.0,0.0,65703.7233637,37979.7466088,55508.0
2011-11-22,ir,0.0,0.0,67221.0104215,34634.5760379,55168.0
2011-11-23,ir,0.0,0.0,86614.8416336,34278.1243834,57682.0
2011-11-24,ir,0.0,0.0,118257.953304,36751.9564528,59120.0
2011-11-25,ir,0.0,0.0,109720.161198,15002.5384842,42269.0
2011-11-26,ir,0.0,0.0,116434.767673,21134.6257456,59650.0
2011-11-27,ir,0.0,0.0,79761.3055106,37075.1958574,57493.0
2011-11-28,ir,0.0,0.0,69169.25529,39543.4853138,54842.0
2011-11-29,ir,0.0,0.0,66220.219961,33558.5679589,63061.0
2011-11-30,ir,0.0,1.0,67597.6969676,22524.2248168,77017.0
2011-12-01,ir,0.0,0.0,61665.305191,16633.7836118,60540.0
2011-12-02,ir,0.0,0.0,61459.8302232,8880.91505274,55616.0
2011-12-03,ir,0.0,0.0,80782.1579096,17379.2995062,63227.0
2011-12-04,ir,0.0,0.0,64370.5519116,34248.8927989,54130.0
2011-12-05,ir,0.0,0.0,78946.9604538,42528.5475054,54580.0
2011-12-06,ir,0.0,0.0,82688.3435536,50246.0120806,51985.0
2011-12-07,ir,0.0,0.0,104795.557055,63012.0561366,64385.0
2011-12-08,ir,0.0,0.0,74949.7090573,39805.4403609,62018.0
2011-12-09,ir,0.0,0.0,72453.2213189,36712.8636023,66399.0
2011-12-10,ir,0.0,0.0,79365.9221971,45873.0991327,72847.0
2011-12-11,ir,0.0,0.0,75291.6748505,44580.4262313,73556.0
2011-12-12,ir,0.0,1.0,62034.9895989,38933.77863,71250.0
2011-12-13,ir,0.0,1.0,64371.3820799,40418.9069344,68967.0
2011-12-14,ir,0.0,0.0,82221.607323,44554.8279259,69066.0
2011-12-15,ir,0.0,0.0,78947.0605049,42579.9141149,64504.0
2011-12-16,ir,0.0,0.0,85675.4851736,50861.9642377,69365.0
2011-12-17,ir,0.0,0.0,96808.2075464,54568.2445606,74754.0
2011-12-18,ir,0.0,0.0,93500.0426393,56090.2826906,73440.0
2011-12-19,ir,0.0,0.0,88348.7494863,51571.8770128,70743.0
2011-12-20,ir,0.0,0.0,85253.8908674,52488.506688,69780.0
2011-12-21,ir,0.0,0.0,88298.5273468,50691.0286597,66178.0
2011-12-22,ir,0.0,0.0,82863.8157255,48199.6520467,63133.0
2011-12-23,ir,0.0,0.0,80128.978762,52469.1120398,68638.0
2011-12-24,ir,0.0,0.0,84094.9251682,55578.8586754,72055.0
2011-12-25,ir,0.0,0.0,100115.324851,58668.8041756,84149.0
2011-12-26,ir,0.0,0.0,80556.2943886,51300.6981589,73897.0
2011-12-27,ir,0.0,1.0,84291.8795483,55844.2813784,85827.0
2011-12-28,ir,0.0,0.0,82607.6703778,49517.4305707,82359.0
2011-12-29,ir,0.0,0.0,79112.6919288,47200.9858009,72277.0
2011-12-30,ir,0.0,0.0,91959.1588536,48900.5793121,77315.0
2011-12-31,ir,0.0,1.0,91639.4480547,50625.4793361,111520.0
2012-01-01,ir,0.0,1.0,95423.1290903,46607.6063159,111022.0
2012-01-02,ir,0.0,0.0,109212.239522,46381.2113678,85785.0
2012-01-03,ir,0.0,0.0,112357.143784,58742.2854171,83282.0
2012-01-04,ir,0.0,0.0,109991.339739,62767.1608535,79784.0
2012-01-05,ir,0.0,0.0,112655.827373,54159.6143568,71133.0
2012-01-06,ir,0.0,0.0,147893.421934,38243.3753845,71176.0
2012-01-07,ir,1.0,0.0,232190.366296,96666.0135064,79736.0
2012-01-09,ir,0.0,0.0,200123.199948,56857.6910053,74397.0
2012-01-10,ir,0.0,0.0,159604.831376,55520.2040698,63101.0
2012-01-11,ir,0.0,0.0,108973.072641,54066.5471149,69889.0
2012-01-12,ir,0.0,0.0,102627.029189,38049.6493562,64733.0
2012-01-13,ir,0.0,0.0,104433.498523,30902.9955908,59358.0
2012-01-14,ir,0.0,0.0,107070.481581,30753.9755541,70280.0
2012-01-16,ir,0.0,0.0,93089.8634519,27255.5497399,73306.0
2012-01-17,ir,0.0,0.0,87848.9499098,23744.5506358,75438.0
2012-01-18,ir,0.0,0.0,85358.5302582,53016.5196642,75039.0
2012-01-19,ir,0.0,0.0,85113.7991962,37388.6741279,68178.0
2012-01-20,ir,0.0,0.0,81444.3898711,39155.6053601,67513.0
2012-01-21,ir,0.0,0.0,94318.2865051,39975.58991,76710.0
2012-01-22,ir,0.0,0.0,108268.743948,44239.2720357,71660.0
2012-01-23,ir,0.0,0.0,101755.070525,30711.278711,69674.0
2012-01-24,ir,0.0,0.0,102307.151672,42216.7786593,66624.0
2012-01-25,ir,0.0,0.0,104629.161219,49676.9542233,73848.0
2012-01-26,ir,0.0,0.0,87768.2123819,41329.5969202,63767.0
2012-01-27,ir,0.0,0.0,86358.3290335,38708.0285545,66106.0
2012-01-28,ir,0.0,0.0,97378.395555,44589.9940873,79108.0
2012-01-29,ir,0.0,0.0,97554.2206967,42560.2544546,78120.0
2012-01-30,ir,0.0,0.0,96674.3841949,46580.0849646,73121.0
2012-01-31,ir,0.0,0.0,92358.2735828,44473.058322,74593.0
2012-02-01,ir,0.0,0.0,106550.744138,47755.0794554,71437.0
2012-02-02,ir,0.0,0.0,88969.0029724,46300.376337,57847.0
2012-02-03,ir,0.0,0.0,95016.2997725,48395.5876743,60509.0
2012-02-04,ir,0.0,0.0,106145.426908,61381.7620965,75360.0
2012-02-05,ir,0.0,0.0,98624.4731338,57659.1173219,72847.0
2012-02-06,ir,0.0,0.0,93444.5312121,53357.9357997,69667.0
2012-02-07,ir,0.0,0.0,93618.1160958,47890.8849961,65242.0
2012-02-08,ir,0.0,0.0,98252.9963059,57542.920897,65792.0
2012-02-09,ir,1.0,0.0,85109.1788849,44856.2296116,23909.0
2012-02-10,ir,1.0,0.0,81216.0968023,39982.6348291,3536.0
2012-02-11,ir,1.0,0.0,94604.5862051,62078.0176065,27919.0
2012-02-12,ir,0.0,1.0,89792.658401,61035.0156383,98435.0
2012-02-13,ir,0.0,0.0,104595.359061,49183.3053121,81764.0
2012-02-14,ir,0.0,0.0,100615.297498,45053.9610208,65614.0
2012-02-15,ir,0.0,0.0,82766.0055248,43556.642789,55658.0
2012-02-16,ir,0.0,1.0,28934.4445971,16316.3742504,45451.0
2012-02-17,ir,0.0,1.0,4794.13646604,2581.36213808,46431.0
2012-02-18,ir,0.0,1.0,34402.0812579,21247.1772143,54917.0
2012-02-19,ir,1.0,0.0,122383.186952,73693.6413333,50769.0
2012-02-20,ir,1.0,0.0,104326.678419,54148.1137089,42692.0
2012-02-21,ir,0.0,0.0,86897.9774952,38225.2789517,54183.0
2012-02-22,ir,0.0,0.0,72831.5978736,39020.1653616,54570.0
2012-02-23,ir,0.0,0.0,59332.2700076,28897.66862,47256.0
2012-02-24,ir,0.0,0.0,58475.2138449,30713.4043238,44302.0
2012-02-25,ir,0.0,0.0,72955.5043479,42715.4586428,51959.0
2012-02-26,ir,0.0,0.0,68752.0763411,36208.954926,52696.0
2012-02-27,ir,0.0,0.0,55755.7935737,27481.0122034,50614.0
2012-02-28,ir,0.0,0.0,70673.5001367,36886.3506498,50293.0
2012-02-29,ir,0.0,0.0,64123.685842,39807.1389765,47158.0
2012-03-01,ir,0.0,0.0,58476.5329963,39267.8809061,45651.0
2012-03-02,ir,0.0,0.0,52409.9484986,35573.6096254,45941.0
2012-03-03,ir,0.0,0.0,60421.3520236,37235.5143788,54876.0
2012-03-04,ir,0.0,0.0,62961.4712663,40564.4302142,56021.0
2012-03-05,ir,0.0,0.0,65926.2570136,36852.3170426,56471.0
2012-03-06,ir,0.0,0.0,63039.344905,36953.80663,56033.0
2012-03-07,ir,0.0,0.0,60933.7670866,34492.7534859,52827.0
2012-03-08,ir,0.0,0.0,51944.2134925,34581.8438058,45034.0
2012-03-09,ir,0.0,0.0,56790.2410038,35796.7241515,46890.0
2012-03-10,ir,0.0,0.0,64878.6375385,46353.9530251,56276.0
2012-03-11,ir,0.0,0.0,71163.8869849,42635.5058056,58821.0
2012-03-12,ir,0.0,0.0,66504.1592112,44033.578929,56955.0
2012-03-13,ir,0.0,0.0,63121.0041287,45058.1425879,52689.0
2012-03-14,ir,0.0,0.0,59481.1466,42206.6473556,50405.0
2012-03-15,ir,0.0,0.0,52838.3522975,36320.5072544,46305.0
2012-03-16,ir,0.0,0.0,53182.1669874,37405.7756386,45753.0
2012-03-17,ir,0.0,0.0,65924.1262492,42845.0637261,52928.0
2012-03-18,ir,0.0,0.0,69427.7551522,40438.1867019,52735.0
2012-03-19,ir,0.0,0.0,67405.669765,44157.9142305,48843.0
2012-03-20,ir,0.0,0.0,64396.6249244,41585.8118867,44165.0
2012-03-21,ir,1.0,0.0,60225.2078079,39826.7946669,39397.0
2012-03-22,ir,1.0,0.0,55779.1639893,39437.8054815,38981.0
2012-03-23,ir,0.0,0.0,52322.0986178,38387.8549615,39381.0
2012-03-24,ir,0.0,0.0,62688.4021121,43041.6022453,43861.0
2012-03-25,ir,0.0,0.0,63740.3533478,43257.2067617,43530.0
2012-03-26,ir,0.0,0.0,57293.7467757,40213.4706525,43663.0
2012-03-27,ir,0.0,0.0,51879.6874165,36475.7022408,45035.0
2012-03-28,ir,0.0,0.0,46158.2276772,32808.0355184,43867.0
2012-03-29,ir,0.0,0.0,46137.837904,28927.8733816,40928.0
2012-03-30,ir,0.0,0.0,51359.8405203,29422.7544898,41319.0
2012-03-31,ir,0.0,0.0,56933.3920403,30523.0113936,40952.0
2012-04-01,ir,0.0,0.0,57360.0702924,31946.5809782,42239.0
