date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,is,0.0,0.0,405.06634552,129.401248585,271.0
2011-09-09,is,0.0,0.0,425.528283215,91.0871524176,292.0
2011-09-11,is,0.0,0.0,400.954210494,137.925279222,294.0
2011-09-12,is,0.0,0.0,361.611768887,143.850285261,291.0
2011-09-13,is,0.0,0.0,421.493848478,173.953727152,288.0
2011-09-14,is,0.0,0.0,422.228363199,173.884849014,256.0
2011-09-15,is,0.0,0.0,449.916917872,149.770220469,244.0
2011-09-16,is,0.0,0.0,503.586781418,133.205604198,239.0
2011-09-17,is,0.0,0.0,509.036863351,129.374901756,243.0
2011-09-18,is,0.0,0.0,513.116458471,118.834220605,262.0
2011-09-19,is,0.0,0.0,540.792349367,118.009849856,275.0
2011-09-20,is,0.0,0.0,498.680176052,122.026861977,286.0
2011-09-21,is,0.0,0.0,450.891296159,106.252813832,289.0
2011-09-22,is,0.0,0.0,404.013884616,114.121011156,290.0
2011-09-23,is,0.0,0.0,399.637701075,116.643913683,252.0
2011-09-24,is,0.0,0.0,391.287834352,125.549428196,245.0
2011-09-25,is,0.0,0.0,414.755891558,131.967936048,252.0
2011-09-26,is,0.0,0.0,390.473227299,151.610918185,263.0
2011-09-27,is,0.0,0.0,412.637601965,166.110389015,290.0
2011-09-28,is,0.0,0.0,407.875040728,175.405114656,271.0
2011-09-29,is,0.0,0.0,399.024630305,172.572443582,284.0
2011-09-30,is,0.0,0.0,391.887789954,138.425583276,281.0
2011-10-01,is,0.0,0.0,402.792299441,135.67257977,270.0
2011-10-02,is,0.0,0.0,377.662306237,134.25854724,256.0
2011-10-03,is,0.0,0.0,428.920923128,147.838879729,277.0
2011-10-04,is,0.0,0.0,456.340187684,160.447631558,276.0
2011-10-05,is,0.0,0.0,434.033907737,169.476138469,306.0
2011-10-06,is,0.0,0.0,425.090975107,180.661719174,303.0
2011-10-07,is,0.0,0.0,405.520947018,177.085206836,293.0
2011-10-08,is,0.0,0.0,412.869426352,156.486426181,283.0
2011-10-09,is,0.0,0.0,431.034883815,156.057742106,304.0
2011-10-10,is,0.0,0.0,419.490043539,160.204962255,322.0
2011-10-11,is,0.0,0.0,424.72405797,162.105382731,288.0
2011-10-12,is,0.0,0.0,449.509648881,168.130902311,279.0
2011-10-13,is,0.0,0.0,491.809515593,191.460359568,269.0
2011-10-14,is,0.0,0.0,499.462756822,175.182841304,245.0
