date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,it,0.0,0.0,35341.7151894,18325.1351114,31465.0
2011-09-09,it,0.0,0.0,39186.0812645,14327.6591576,32216.0
2011-09-11,it,0.0,0.0,41195.2087405,21619.6070833,32614.0
2011-09-12,it,0.0,0.0,41002.601489,22908.4359049,33303.0
2011-09-13,it,0.0,0.0,40835.5139829,24754.8351595,33998.0
2011-09-14,it,0.0,0.0,39945.1143319,25816.6517125,32989.0
2011-09-15,it,0.0,0.0,42647.737426,22483.5824852,34820.0
2011-09-16,it,0.0,0.0,46169.3084158,18280.3060104,36778.0
2011-09-17,it,0.0,0.0,44736.8792038,16776.0000794,37150.0
2011-09-18,it,0.0,0.0,47417.7537434,16197.2775011,38929.0
2011-09-19,it,0.0,0.0,49921.792173,17861.4732,40783.0
2011-09-20,it,0.0,0.0,48903.9396917,18169.1043754,40199.0
2011-09-21,it,0.0,0.0,46361.9104639,18168.6058876,39414.0
2011-09-22,it,0.0,0.0,46867.4040859,20884.4028023,40449.0
2011-09-23,it,0.0,0.0,49795.7216856,23231.4762343,39671.0
2011-09-24,it,0.0,0.0,48602.8848975,24992.4778182,38265.0
2011-09-25,it,0.0,0.0,50616.4297311,25243.4660463,39472.0
2011-09-26,it,0.0,0.0,48566.2312193,27834.7429782,39796.0
2011-09-27,it,0.0,0.0,48700.6936533,29182.5131333,40798.0
2011-09-28,it,0.0,0.0,46389.2667334,30137.9430728,40190.0
2011-09-29,it,0.0,0.0,46808.4720059,29668.9952011,39564.0
2011-09-30,it,0.0,0.0,50124.9317379,27950.8455788,41461.0
2011-10-01,it,0.0,0.0,50736.7349887,27532.0897164,41017.0
2011-10-02,it,0.0,0.0,48052.1891856,26833.4741778,39536.0
2011-10-03,it,0.0,0.0,53315.7377891,27785.8467031,43065.0
2011-10-04,it,0.0,0.0,53311.5809239,27438.3725652,42862.0
2011-10-05,it,0.0,0.0,52417.7441116,31887.6128711,44465.0
2011-10-06,it,0.0,0.0,50472.4476924,30413.3370093,42628.0
