date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,jm,0.0,0.0,308.488584355,91.9778638583,217.0
2011-09-09,jm,0.0,0.0,388.671216983,91.7471682468,206.0
2011-09-11,jm,0.0,1.0,289.403388462,87.8662586118,323.0
2011-09-12,jm,0.0,0.0,364.584891804,125.973878483,307.0
2011-09-13,jm,0.0,0.0,318.956557667,115.490745951,315.0
2011-09-14,jm,0.0,0.0,314.425116371,120.351827966,311.0
2011-09-15,jm,0.0,0.0,369.790602081,117.399580423,316.0
2011-09-16,jm,0.0,0.0,367.947389201,89.395345006,335.0
2011-09-17,jm,0.0,0.0,388.470842654,90.8259696762,302.0
2011-09-18,jm,0.0,0.0,561.498418691,130.909183804,290.0
2011-09-19,jm,0.0,0.0,566.814590051,126.103929131,321.0
2011-09-20,jm,0.0,0.0,540.507384345,136.424578206,323.0
2011-09-21,jm,0.0,0.0,537.767945114,131.49553587,280.0
2011-09-22,jm,0.0,0.0,510.378342628,152.541605952,199.0
2011-09-23,jm,0.0,0.0,539.852120602,171.805810988,196.0
2011-09-24,jm,0.0,0.0,476.699481131,161.423913923,175.0
2011-09-25,jm,0.0,0.0,456.448487062,147.851273144,180.0
2011-09-26,jm,1.0,0.0,455.382130886,176.211911238,174.0
2011-09-27,jm,0.0,0.0,466.564412386,186.811348364,193.0
2011-09-28,jm,0.0,0.0,399.957067452,166.120604509,183.0
2011-09-29,jm,0.0,0.0,288.366167746,110.416909858,161.0
2011-09-30,jm,0.0,0.0,313.437966784,103.770152173,164.0
2011-10-01,jm,0.0,0.0,299.035533363,91.9447211106,185.0
2011-10-02,jm,0.0,0.0,279.626863044,90.8031913631,189.0
2011-10-03,jm,0.0,0.0,299.611687411,90.2924468315,188.0
2011-10-04,jm,0.0,0.0,321.795565045,98.6111661434,175.0
2011-10-05,jm,0.0,0.0,316.343810061,104.648819778,150.0
2011-10-06,jm,0.0,0.0,255.001970019,95.6642142506,154.0
2011-10-07,jm,0.0,0.0,253.762165451,95.0635003155,164.0
2011-10-08,jm,0.0,0.0,296.254451721,101.869263757,171.0
2011-10-09,jm,0.0,0.0,327.486698416,110.179554442,174.0
2011-10-10,jm,0.0,0.0,297.231188745,101.871454825,150.0
2011-10-11,jm,0.0,0.0,286.482387039,93.3652168659,149.0
2011-10-12,jm,0.0,0.0,239.086706669,73.2195333574,160.0
2011-10-13,jm,0.0,0.0,266.504307812,87.8789931272,162.0
2011-10-14,jm,0.0,0.0,300.989418766,89.0355715519,170.0
2011-10-15,jm,0.0,0.0,254.547741799,92.9719961553,180.0
2011-10-16,jm,0.0,0.0,255.466303271,98.3123472979,152.0
2011-10-17,jm,0.0,0.0,234.368947955,77.5481919513,158.0
2011-10-18,jm,0.0,0.0,226.886887956,79.230198594,170.0
2011-10-19,jm,0.0,0.0,254.000399903,84.9674900136,175.0
2011-10-20,jm,0.0,0.0,267.131610255,80.123672237,191.0
2011-10-21,jm,0.0,0.0,249.386472559,77.9742013656,184.0
2011-10-22,jm,0.0,0.0,276.813240708,89.3378902952,150.0
2011-10-23,jm,0.0,0.0,220.327451261,76.6273604981,159.0
2011-10-24,jm,0.0,0.0,252.537840484,72.2274518021,150.0
2011-10-25,jm,0.0,0.0,240.038227895,84.4880607668,136.0
2011-10-26,jm,0.0,0.0,285.824556718,72.5712876721,170.0
2011-10-27,jm,0.0,0.0,290.015588948,72.6277194095,170.0
2011-10-28,jm,0.0,0.0,293.762592822,72.5256292047,159.0
2011-10-29,jm,0.0,0.0,243.365799017,67.1003667557,136.0
2011-10-30,jm,0.0,0.0,250.958882819,65.6225160494,131.0
2011-10-31,jm,0.0,0.0,236.739408106,66.6225743101,133.0
2011-11-01,jm,0.0,0.0,222.029075954,65.5808173974,140.0
2011-11-02,jm,0.0,0.0,284.055943893,65.1086357564,141.0
2011-11-03,jm,0.0,0.0,268.56703441,77.7168980533,141.0
2011-11-04,jm,0.0,0.0,287.039428912,66.9201350932,150.0
2011-11-05,jm,0.0,0.0,264.194266068,59.117746196,162.0
2011-11-06,jm,0.0,0.0,245.473234669,65.0036942254,144.0
2011-11-07,jm,0.0,0.0,216.986497124,66.8248452334,146.0
2011-11-08,jm,0.0,0.0,245.174167657,65.2095003511,142.0
2011-11-09,jm,0.0,0.0,302.452612947,50.3864914165,146.0
2011-11-10,jm,0.0,0.0,283.825095308,62.4192256134,143.0
2011-11-11,jm,0.0,0.0,214.089774422,87.0417667792,137.0
2011-11-12,jm,0.0,0.0,219.377070562,80.693609467,131.0
