date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,jo,0.0,0.0,883.172751325,302.934311687,675.0
2011-09-09,jo,0.0,0.0,1026.51667221,290.733710272,561.0
2011-09-11,jo,0.0,0.0,1171.69333998,478.203398507,730.0
2011-09-12,jo,0.0,0.0,1093.47003081,455.229633362,698.0
2011-09-13,jo,0.0,0.0,1010.08437114,483.05234779,709.0
2011-09-14,jo,0.0,0.0,987.243496762,497.536912905,731.0
2011-09-15,jo,0.0,0.0,1051.77091806,398.466275502,695.0
2011-09-16,jo,0.0,0.0,920.355751826,265.594222355,590.0
2011-09-17,jo,0.0,0.0,991.461615608,282.220787405,592.0
2011-09-18,jo,0.0,0.0,1191.92112305,313.202907319,682.0
2011-09-19,jo,0.0,0.0,1172.25285052,329.849033132,703.0
2011-09-20,jo,0.0,0.0,1145.77356986,328.256981554,707.0
2011-09-21,jo,0.0,0.0,1148.41009936,355.780697787,708.0
2011-09-22,jo,0.0,0.0,1049.00410623,366.406645607,651.0
2011-09-23,jo,0.0,0.0,906.347408472,324.09901519,517.0
2011-09-24,jo,0.0,0.0,879.243338243,346.211973594,576.0
2011-09-25,jo,0.0,0.0,998.888546766,387.953927161,696.0
2011-09-26,jo,0.0,0.0,945.601267138,419.990052461,649.0
2011-09-27,jo,0.0,0.0,960.425174963,449.89006863,624.0
2011-09-28,jo,0.0,0.0,935.04326998,476.22478244,619.0
2011-09-29,jo,0.0,0.0,861.160888926,406.073621613,559.0
2011-09-30,jo,0.0,0.0,751.220976165,309.999363496,520.0
2011-10-01,jo,0.0,0.0,871.12322361,358.880574109,535.0
2011-10-02,jo,0.0,0.0,952.889192001,415.46974032,582.0
2011-10-03,jo,0.0,0.0,982.816020992,395.905039574,668.0
2011-10-04,jo,0.0,0.0,930.035363889,362.597274902,632.0
2011-10-05,jo,0.0,0.0,953.632945556,407.592512638,656.0
2011-10-06,jo,0.0,0.0,814.402451342,369.461102104,586.0
2011-10-07,jo,0.0,0.0,718.653234404,348.898343345,499.0
2011-10-08,jo,0.0,0.0,775.809453855,330.487219839,501.0
2011-10-09,jo,0.0,0.0,913.592552359,386.749017409,605.0
2011-10-10,jo,0.0,0.0,945.559064986,421.000878412,599.0
2011-10-11,jo,0.0,0.0,915.951805396,407.200382304,654.0
2011-10-12,jo,0.0,0.0,908.008394709,392.357015517,714.0
2011-10-13,jo,0.0,0.0,891.52627999,403.779504809,663.0
2011-10-14,jo,0.0,0.0,816.117762957,320.795204385,507.0
2011-10-15,jo,0.0,0.0,671.303413779,316.458876087,502.0
2011-10-16,jo,0.0,0.0,794.363157209,399.884943674,571.0
2011-10-17,jo,0.0,0.0,846.398154465,355.139586602,541.0
2011-10-18,jo,0.0,0.0,881.343413079,413.587985197,518.0
