date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,jp,0.0,0.0,22956.6271735,9979.07592282,15839.0
2011-09-09,jp,0.0,0.0,26019.2924048,9274.84218628,15959.0
2011-09-11,jp,0.0,0.0,23601.2515625,11828.1461392,17113.0
2011-09-12,jp,0.0,0.0,20107.2269373,10293.0648215,15026.0
2011-09-13,jp,0.0,0.0,18601.8794863,11029.5672797,14801.0
2011-09-14,jp,0.0,0.0,18724.1605572,11722.3193745,14752.0
2011-09-15,jp,0.0,0.0,22161.9275227,10543.2393344,14643.0
2011-09-16,jp,0.0,0.0,23229.4398744,8661.72652315,14187.0
2011-09-17,jp,0.0,0.0,23761.5173095,8620.36675585,14348.0
2011-09-18,jp,0.0,0.0,25186.3092532,8240.90371172,14962.0
2011-09-19,jp,0.0,0.0,22745.818468,7984.31912094,14803.0
2011-09-20,jp,0.0,0.0,21580.1501009,7697.41167039,13709.0
2011-09-21,jp,0.0,0.0,20938.5179507,8038.50796169,13228.0
2011-09-22,jp,0.0,0.0,19917.8829981,8683.04229448,12933.0
2011-09-23,jp,0.0,0.0,19445.2716727,8874.63159921,13399.0
2011-09-24,jp,0.0,0.0,18991.6561061,9551.74105719,13923.0
2011-09-25,jp,0.0,0.0,19720.6946256,9589.1371877,14048.0
2011-09-26,jp,0.0,0.0,17945.253898,9931.00036734,12874.0
2011-09-27,jp,0.0,0.0,16815.761077,9791.37795268,12735.0
2011-09-28,jp,0.0,0.0,15785.934464,9978.117291,12496.0
2011-09-29,jp,0.0,0.0,15378.8598319,9105.36407459,11857.0
2011-09-30,jp,0.0,0.0,17203.4578515,9243.68216991,12823.0
2011-10-01,jp,0.0,0.0,18759.8410554,9897.47121152,14274.0
2011-10-02,jp,0.0,0.0,17347.1322629,9423.54616003,13409.0
2011-10-03,jp,0.0,0.0,17519.4201704,8867.98806268,13379.0
2011-10-04,jp,0.0,0.0,17018.7417005,8379.19443709,13113.0
2011-10-05,jp,0.0,0.0,17248.2014831,9309.13561001,13392.0
2011-10-06,jp,0.0,0.0,15389.5711298,8946.73882347,12705.0
2011-10-07,jp,0.0,0.0,15682.5053425,9903.28386923,13334.0
2011-10-08,jp,0.0,0.0,18330.5219274,10135.9184586,14097.0
2011-10-09,jp,0.0,0.0,18762.5342875,10161.9478663,14307.0
2011-10-10,jp,0.0,0.0,17048.4546299,9498.92400054,13119.0
2011-10-11,jp,0.0,0.0,17036.9552155,9550.7683014,12895.0
2011-10-12,jp,0.0,0.0,16670.9376585,9034.66491858,12383.0
2011-10-13,jp,0.0,0.0,17259.8435858,9963.13766083,13010.0
2011-10-14,jp,0.0,0.0,19237.4608302,9905.5112512,13979.0
2011-10-15,jp,0.0,0.0,16657.7183272,10290.9412609,14651.0
2011-10-16,jp,0.0,0.0,16766.8583998,10744.1954634,14155.0
2011-10-17,jp,0.0,0.0,16569.5893042,8840.19029788,11217.0
2011-10-18,jp,0.0,0.0,15630.6430344,9196.98772787,11707.0
2011-10-19,jp,0.0,0.0,15565.7939844,8811.53486653,11860.0
2011-10-20,jp,0.0,0.0,16844.1131524,8716.7086075,14008.0
2011-10-21,jp,0.0,0.0,15986.2951429,8608.86394573,13331.0
2011-10-22,jp,0.0,0.0,17626.8555679,9835.51539473,14007.0
2011-10-23,jp,0.0,0.0,16453.9341044,9168.26471383,12051.0
2011-10-24,jp,0.0,0.0,14240.8013083,6689.70602742,11255.0
2011-10-25,jp,0.0,0.0,12921.9664824,7715.0364163,10552.0
2011-10-26,jp,0.0,0.0,15433.6339953,6438.18698004,10651.0
2011-10-27,jp,0.0,0.0,16892.9024128,7192.69565406,11366.0
2011-10-28,jp,0.0,0.0,17022.2442276,6992.85779484,11543.0
2011-10-29,jp,0.0,0.0,17702.3185881,8457.49564022,11622.0
