date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,ke,0.0,0.0,344.085793334,114.767636201,244.0
2011-09-09,ke,0.0,0.0,402.86180173,99.8372169784,235.0
2011-09-11,ke,0.0,0.0,266.350886013,84.4816709309,177.0
2011-09-12,ke,0.0,0.0,359.187003421,145.952074413,275.0
2011-09-13,ke,0.0,0.0,414.37806881,164.889938897,282.0
2011-09-14,ke,0.0,0.0,405.29497442,170.714103592,289.0
2011-09-15,ke,0.0,0.0,408.024000393,136.72179111,302.0
2011-09-16,ke,0.0,0.0,414.113287525,105.684880881,257.0
2011-09-17,ke,0.0,0.0,324.091827915,71.6448025788,185.0
2011-09-18,ke,0.0,0.0,328.051079073,66.6949567791,216.0
2011-09-19,ke,0.0,0.0,513.72945139,113.736216188,314.0
2011-09-20,ke,0.0,0.0,490.105553298,122.619540539,403.0
2011-09-21,ke,0.0,0.0,501.349670309,123.509152838,347.0
2011-09-22,ke,0.0,0.0,485.215389493,149.349633376,336.0
2011-09-23,ke,0.0,0.0,417.463217944,132.164587537,279.0
2011-09-24,ke,0.0,0.0,304.511387991,94.4786445551,204.0
2011-09-25,ke,0.0,0.0,348.065989516,108.39502882,196.0
2011-09-26,ke,0.0,0.0,448.717682939,171.062303161,265.0
2011-09-27,ke,0.0,0.0,574.245490378,240.531026878,288.0
2011-09-28,ke,0.0,0.0,491.335337167,210.381018615,300.0
2011-09-29,ke,0.0,0.0,465.699820511,197.873470542,309.0
2011-09-30,ke,0.0,0.0,429.87392529,155.618153094,260.0
2011-10-01,ke,0.0,0.0,343.684068167,109.570771117,211.0
2011-10-02,ke,0.0,0.0,301.246104581,100.810465933,203.0
2011-10-03,ke,0.0,0.0,437.432687315,146.601953614,311.0
2011-10-04,ke,0.0,0.0,462.883884659,151.927556976,279.0
2011-10-05,ke,0.0,0.0,509.948162011,168.828273197,291.0
2011-10-06,ke,0.0,0.0,460.673242256,198.800196159,287.0
2011-10-07,ke,0.0,0.0,381.591818511,160.830515893,282.0
2011-10-08,ke,0.0,0.0,330.930233194,117.686195432,229.0
2011-10-09,ke,0.0,0.0,347.843471097,119.509069491,213.0
2011-10-10,ke,0.0,0.0,466.258173394,181.816950691,275.0
2011-10-11,ke,0.0,0.0,437.987527097,158.60484298,275.0
2011-10-12,ke,0.0,0.0,432.713553422,157.46180716,293.0
2011-10-13,ke,0.0,0.0,464.48097142,180.968500101,327.0
2011-10-14,ke,0.0,0.0,487.119768595,166.234285903,332.0
2011-10-15,ke,0.0,0.0,329.660182926,130.100931913,201.0
2011-10-16,ke,0.0,0.0,305.036938653,124.212453766,199.0
2011-10-17,ke,0.0,0.0,400.558305777,156.260105553,247.0
2011-10-18,ke,0.0,0.0,390.572271742,161.435163307,231.0
2011-10-19,ke,0.0,0.0,419.949478731,177.935214398,245.0
2011-10-20,ke,0.0,0.0,521.775021805,168.335037238,217.0
2011-10-21,ke,0.0,0.0,453.226937674,166.524402526,251.0
2011-10-22,ke,0.0,0.0,304.905721833,101.594804861,172.0
2011-10-23,ke,0.0,0.0,276.763525666,107.45301355,160.0
2011-10-24,ke,0.0,0.0,375.777645505,122.137258345,235.0
2011-10-25,ke,0.0,0.0,314.969578028,120.522497926,238.0
2011-10-26,ke,0.0,0.0,386.039302971,106.958737802,265.0
2011-10-27,ke,0.0,0.0,324.918687992,83.5216196601,258.0
2011-10-28,ke,0.0,0.0,386.364312921,103.340526733,234.0
2011-10-29,ke,0.0,0.0,269.955773191,79.3508091772,192.0
2011-10-30,ke,0.0,0.0,250.316525313,66.2815514231,195.0
2011-10-31,ke,0.0,0.0,349.126197788,112.511358697,239.0
2011-11-01,ke,0.0,0.0,330.89357833,144.104070504,271.0
2011-11-02,ke,0.0,0.0,392.824590312,122.409522748,269.0
2011-11-03,ke,0.0,0.0,388.720012166,125.202611817,266.0
2011-11-04,ke,0.0,0.0,404.730060097,104.6494889,249.0
2011-11-05,ke,0.0,0.0,358.714541924,89.6960362552,208.0
2011-11-06,ke,0.0,0.0,345.977230817,105.258694021,218.0
2011-11-07,ke,0.0,0.0,355.988934919,141.795220296,255.0
2011-11-08,ke,0.0,0.0,444.480838769,140.515930021,255.0
2011-11-09,ke,0.0,0.0,546.152785183,102.897287703,252.0
2011-11-10,ke,0.0,0.0,483.256092518,138.098972899,257.0
2011-11-11,ke,0.0,0.0,346.574107249,149.316282617,223.0
2011-11-12,ke,0.0,0.0,276.150630173,108.103214963,173.0
2011-11-13,ke,0.0,0.0,306.509979237,110.490498799,172.0
2011-11-14,ke,0.0,0.0,372.03790843,134.968833064,232.0
2011-11-15,ke,0.0,0.0,392.23601221,123.570351126,248.0
2011-11-16,ke,0.0,0.0,403.671820884,99.9841438652,236.0
2011-11-17,ke,0.0,0.0,366.965500659,125.007854138,236.0
2011-11-18,ke,0.0,0.0,313.12459429,134.371286314,220.0
2011-11-19,ke,0.0,0.0,262.960371867,97.762339756,170.0
2011-11-20,ke,0.0,0.0,271.020209308,92.7095394938,165.0
2011-11-21,ke,0.0,0.0,363.276222559,133.12504831,191.0
2011-11-22,ke,0.0,0.0,395.077759793,129.385892881,202.0
2011-11-23,ke,0.0,0.0,454.639243118,113.119955955,229.0
2011-11-24,ke,0.0,0.0,661.865245929,123.678879476,297.0
2011-11-25,ke,0.0,0.0,584.685574551,44.1815059863,221.0
2011-11-26,ke,0.0,0.0,438.175789036,44.1413156358,153.0
2011-11-27,ke,0.0,0.0,296.888838056,80.0951825551,161.0
2011-11-28,ke,0.0,0.0,297.213717414,105.21605686,224.0
2011-11-29,ke,0.0,0.0,312.559501972,90.2726973387,217.0
2011-11-30,ke,0.0,0.0,332.45769755,68.8013106718,214.0
2011-12-01,ke,0.0,0.0,392.383656526,58.6603871921,244.0
2011-12-02,ke,0.0,0.0,414.085216899,28.7255181336,197.0
2011-12-03,ke,0.0,0.0,272.41470696,31.673548447,143.0
2011-12-04,ke,0.0,0.0,232.24112896,69.5420608166,135.0
2011-12-05,ke,0.0,0.0,395.366925901,134.068721509,232.0
2011-12-06,ke,0.0,0.0,362.136240907,124.912818803,230.0
2011-12-07,ke,0.0,0.0,369.441251505,127.611004539,215.0
2011-12-08,ke,0.0,0.0,377.321626197,119.15794927,207.0
2011-12-09,ke,0.0,0.0,327.716372635,96.425077741,185.0
2011-12-10,ke,0.0,0.0,237.146743055,73.7324215163,136.0
2011-12-11,ke,0.0,0.0,249.987562638,77.4338229642,119.0
2011-12-12,ke,0.0,0.0,328.533248939,127.680591763,144.0
2011-12-13,ke,0.0,0.0,358.215379041,135.518549389,202.0
2011-12-14,ke,0.0,0.0,346.447884315,113.547220435,199.0
2011-12-15,ke,0.0,0.0,331.276083146,108.813162752,203.0
2011-12-16,ke,0.0,0.0,302.860743698,106.002890102,192.0
2011-12-17,ke,0.0,0.0,236.510332802,71.5642713759,147.0
2011-12-18,ke,0.0,0.0,203.344640726,61.9267922921,168.0
2011-12-19,ke,0.0,0.0,230.661344813,76.9156165673,223.0
2011-12-20,ke,0.0,0.0,313.669472327,115.54028549,243.0
2011-12-21,ke,0.0,0.0,316.37784111,111.486674128,227.0
2011-12-22,ke,0.0,0.0,320.439030506,117.133105995,182.0
2011-12-23,ke,0.0,0.0,276.769415566,110.071265878,142.0
2011-12-24,ke,0.0,0.0,218.878780732,75.6697902319,116.0
2011-12-25,ke,0.0,0.0,299.199523508,94.8309087041,131.0
