date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,kg,0.0,0.0,196.811896693,49.944341559,112.0
2011-09-09,kg,0.0,0.0,226.145534161,39.3642970247,109.0
2011-09-11,kg,0.0,0.0,165.912087101,41.3775837667,95.0
2011-09-12,kg,0.0,0.0,190.018923141,60.9161922277,81.0
2011-09-13,kg,0.0,0.0,214.973939911,71.4452807944,96.0
2011-09-14,kg,0.0,0.0,193.571742441,62.1017317906,109.0
2011-09-15,kg,0.0,0.0,206.099665971,52.9847478076,101.0
2011-09-16,kg,0.0,0.0,211.00004808,41.5186298799,94.0
2011-09-17,kg,0.0,0.0,202.220123797,37.6661106378,78.0
2011-09-18,kg,0.0,0.0,189.568024935,31.2452045557,75.0
2011-09-19,kg,0.0,0.0,177.23446744,25.6543151861,91.0
2011-09-20,kg,0.0,0.0,190.713381776,33.3289226546,85.0
2011-09-21,kg,0.0,0.0,212.68457366,38.4432291251,89.0
2011-09-22,kg,0.0,0.0,186.05902581,40.0637592356,88.0
2011-09-23,kg,0.0,0.0,176.428684087,38.0360588095,85.0
2011-09-24,kg,0.0,0.0,145.925826012,31.5552038781,86.0
2011-09-25,kg,0.0,0.0,139.532074629,29.1105741282,83.0
2011-09-26,kg,0.0,0.0,148.587157291,40.7103391422,86.0
2011-09-27,kg,0.0,0.0,142.248290136,39.128224968,97.0
2011-09-28,kg,0.0,0.0,145.175861954,43.0819579856,83.0
2011-09-29,kg,0.0,0.0,140.501630389,41.447530118,82.0
2011-09-30,kg,0.0,0.0,151.496557778,37.6233636596,67.0
2011-10-01,kg,0.0,0.0,162.437550267,38.7635942199,66.0
2011-10-02,kg,0.0,0.0,143.5840717,35.1137738936,66.0
2011-10-03,kg,0.0,0.0,162.330072445,38.9429244164,81.0
2011-10-04,kg,0.0,0.0,174.823283169,44.1406147954,85.0
2011-10-05,kg,0.0,0.0,154.640823415,40.7702031222,86.0
2011-10-06,kg,0.0,0.0,143.727034563,41.1328021335,81.0
