date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,kh,0.0,0.0,218.154225427,52.7310169544,135.0
2011-09-09,kh,0.0,0.0,259.534403918,52.9047986972,116.0
2011-09-11,kh,0.0,0.0,223.179683806,61.1186927867,112.0
2011-09-12,kh,0.0,0.0,205.101481917,56.6566548033,105.0
2011-09-13,kh,0.0,0.0,207.134310125,66.0453130523,119.0
2011-09-14,kh,0.0,0.0,227.089908456,80.2735274815,122.0
2011-09-15,kh,0.0,0.0,244.59788792,64.4678655718,110.0
2011-09-16,kh,0.0,0.0,223.373592609,43.6133670393,109.0
2011-09-17,kh,0.0,0.0,198.572001998,36.0167481069,99.0
2011-09-18,kh,0.0,0.0,218.924287907,37.1680665331,106.0
2011-09-19,kh,0.0,0.0,213.0033375,37.8066167544,118.0
2011-09-20,kh,0.0,0.0,229.154713971,43.4457769703,109.0
2011-09-21,kh,0.0,0.0,227.203436924,46.6505496309,110.0
2011-09-22,kh,0.0,0.0,199.244805082,44.6538983795,111.0
2011-09-23,kh,0.0,0.0,199.343271658,46.4843209037,122.0
2011-09-24,kh,0.0,0.0,177.132234566,43.9634252183,126.0
2011-09-25,kh,0.0,0.0,186.732045874,46.2636710413,122.0
2011-09-26,kh,0.0,0.0,188.179356644,55.3528899455,109.0
2011-09-27,kh,0.0,0.0,178.296752778,53.1017785924,102.0
2011-09-28,kh,0.0,0.0,174.525999712,56.8975599315,94.0
2011-09-29,kh,0.0,0.0,174.995260851,53.8520573465,101.0
2011-09-30,kh,0.0,0.0,205.217650774,59.1493038395,103.0
2011-10-01,kh,0.0,0.0,222.025409316,63.1160109885,121.0
2011-10-02,kh,0.0,0.0,197.521000855,57.4733140776,103.0
2011-10-03,kh,0.0,0.0,197.617162398,51.2682785059,98.0
2011-10-04,kh,0.0,0.0,183.678750587,45.5797700158,105.0
2011-10-05,kh,0.0,0.0,176.301889094,46.2297745904,119.0
2011-10-06,kh,0.0,0.0,175.680035729,51.5527119215,111.0
2011-10-07,kh,0.0,0.0,169.303809752,53.4924233504,103.0
2011-10-08,kh,0.0,0.0,204.225923647,60.0885854252,98.0
2011-10-09,kh,0.0,0.0,193.833434699,52.4538141021,115.0
2011-10-10,kh,0.0,0.0,169.114349743,46.2074134842,108.0
2011-10-11,kh,0.0,0.0,182.435455745,51.9349840647,107.0
2011-10-12,kh,0.0,0.0,195.348419579,56.4492331383,106.0
2011-10-13,kh,0.0,0.0,199.870198464,59.9993641684,113.0
2011-10-14,kh,0.0,0.0,199.837054971,51.4193270187,104.0
2011-10-15,kh,0.0,0.0,156.942948273,47.468831413,100.0
2011-10-16,kh,0.0,0.0,178.419192678,59.6727532227,102.0
2011-10-17,kh,0.0,0.0,182.244689328,50.1373534027,96.0
2011-10-18,kh,0.0,0.0,173.686851046,52.3435774492,101.0
2011-10-19,kh,0.0,0.0,177.561209604,51.525139141,94.0
2011-10-20,kh,0.0,0.0,194.316577747,52.6270935947,90.0
2011-10-21,kh,0.0,0.0,159.630157449,43.2318697518,85.0
2011-10-22,kh,0.0,0.0,162.228227765,45.0122157754,83.0
2011-10-23,kh,0.0,0.0,160.031413892,44.788460505,78.0
2011-10-24,kh,0.0,0.0,165.547935643,38.3151753996,85.0
