date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,kp,0.0,0.0,195.869654012,45.7360861339,88.0
2011-09-09,kp,0.0,0.0,222.089141662,42.7121310583,75.0
2011-09-11,kp,0.0,0.0,185.137692248,47.0143790667,75.0
2011-09-12,kp,0.0,0.0,211.169573098,59.29184805,63.0
2011-09-13,kp,0.0,0.0,185.202441994,56.8296879753,96.0
2011-09-14,kp,0.0,0.0,154.182095741,46.0976692468,100.0
2011-09-15,kp,0.0,0.0,169.859644389,37.720559643,99.0
2011-09-16,kp,0.0,0.0,154.099503762,25.1615579073,89.0
2011-09-17,kp,0.0,0.0,180.392875054,31.1786774657,77.0
2011-09-18,kp,0.0,0.0,155.965669163,22.3008399199,82.0
2011-09-19,kp,0.0,0.0,139.553910776,19.7251913501,78.0
2011-09-20,kp,0.0,0.0,190.962261643,33.2547922489,83.0
2011-09-21,kp,0.0,0.0,191.401683227,36.5335629639,77.0
2011-09-22,kp,0.0,0.0,182.091278817,39.1486232368,88.0
2011-09-23,kp,0.0,0.0,167.448348193,36.154471814,76.0
2011-09-24,kp,0.0,0.0,143.75949472,32.2856403947,77.0
2011-09-25,kp,0.0,0.0,150.920420638,33.7063889015,84.0
2011-09-26,kp,0.0,0.0,132.90167063,32.519822843,63.0
2011-09-27,kp,0.0,0.0,141.448757204,37.6137598363,71.0
2011-09-28,kp,0.0,0.0,129.449748131,36.6326755723,71.0
2011-09-29,kp,0.0,0.0,143.910576358,40.0251777575,58.0
2011-09-30,kp,0.0,0.0,136.811767182,32.781541887,61.0
2011-10-01,kp,0.0,0.0,146.275563785,34.4936339123,67.0
2011-10-02,kp,0.0,0.0,143.651636985,36.0073774944,54.0
2011-10-03,kp,0.0,0.0,125.157536185,25.634139253,53.0
2011-10-04,kp,0.0,0.0,134.52528212,28.5723931443,93.0
2011-10-05,kp,0.0,0.0,138.90451868,32.3608422132,85.0
2011-10-06,kp,0.0,0.0,110.427451029,24.995254265,72.0
2011-10-07,kp,0.0,0.0,108.92273075,27.1454088644,79.0
2011-10-08,kp,0.0,0.0,123.282722202,28.5787174583,76.0
2011-10-09,kp,0.0,0.0,112.50472084,22.703889686,68.0
2011-10-10,kp,0.0,0.0,101.221727583,20.5366282152,56.0
2011-10-11,kp,0.0,0.0,164.820997949,44.4081747799,77.0
2011-10-12,kp,0.0,0.0,145.908387463,36.9359179794,90.0
2011-10-13,kp,0.0,0.0,139.383164718,34.8644953952,94.0
2011-10-14,kp,0.0,0.0,159.310659207,36.8377268194,73.0
2011-10-15,kp,0.0,0.0,126.012586204,34.6597816666,69.0
2011-10-16,kp,0.0,0.0,114.779225863,30.998832843,59.0
2011-10-17,kp,0.0,0.0,105.188209948,20.8905639178,72.0
2011-10-18,kp,0.0,0.0,131.438698089,34.6499738044,107.0
2011-10-19,kp,0.0,0.0,154.453928902,41.9561847291,91.0
2011-10-20,kp,0.0,0.0,165.48250492,41.5477054695,78.0
2011-10-21,kp,0.0,0.0,118.614075327,27.3377999901,57.0
2011-10-22,kp,0.0,0.0,119.045174331,27.6998250925,58.0
2011-10-23,kp,0.0,0.0,101.428360918,22.0599880099,60.0
2011-10-24,kp,0.0,0.0,129.985786505,26.5734280997,56.0
2011-10-25,kp,0.0,0.0,157.897212632,48.4449973961,62.0
2011-10-26,kp,0.0,0.0,162.300381951,32.5927245215,75.0
2011-10-27,kp,0.0,0.0,132.103665927,24.9120630612,99.0
2011-10-28,kp,0.0,0.0,107.602648246,16.7993328921,98.0
2011-10-29,kp,0.0,0.0,107.813968839,19.9454536434,89.0
2011-10-30,kp,0.0,0.0,109.274671172,18.9622493231,71.0
2011-10-31,kp,0.0,0.0,103.70609835,18.4663327437,70.0
2011-11-01,kp,0.0,0.0,115.019495789,23.9342463189,78.0
2011-11-02,kp,0.0,0.0,142.332576405,23.0342866571,69.0
2011-11-03,kp,0.0,0.0,165.992447084,40.8584462872,80.0
2011-11-04,kp,0.0,0.0,189.3395117,37.0088464592,80.0
2011-11-05,kp,0.0,0.0,186.036947577,35.1480819763,58.0
2011-11-06,kp,0.0,0.0,147.863992132,29.7648469608,52.0
2011-11-07,kp,0.0,0.0,122.664375613,31.7065987474,49.0
2011-11-08,kp,0.0,0.0,149.696905701,31.695047527,45.0
2011-11-09,kp,0.0,0.0,167.324359231,20.3294548009,55.0
2011-11-10,kp,0.0,0.0,175.812856633,30.9778350225,71.0
2011-11-11,kp,0.0,0.0,126.339256096,39.2238336706,63.0
2011-11-12,kp,0.0,0.0,91.3562698697,21.9007125989,60.0
2011-11-13,kp,0.0,0.0,90.6090745323,17.6893974454,53.0
2011-11-14,kp,0.0,0.0,92.0876977868,16.2837278292,62.0
2011-11-15,kp,0.0,0.0,88.5275510433,13.8966366778,60.0
2011-11-16,kp,0.0,0.0,109.651152216,14.8712085378,61.0
2011-11-17,kp,0.0,0.0,118.988599472,26.0423313745,67.0
2011-11-18,kp,0.0,0.0,106.586917818,28.1983660972,66.0
2011-11-19,kp,0.0,0.0,106.775884069,25.5332377701,52.0
2011-11-20,kp,0.0,0.0,100.221794758,20.4500313884,44.0
2011-11-21,kp,0.0,0.0,116.486985138,25.9879494647,45.0
2011-11-22,kp,0.0,0.0,117.913892998,21.7822124237,59.0
2011-11-23,kp,0.0,0.0,144.412864462,20.6143112143,76.0
2011-11-24,kp,0.0,0.0,220.33707438,27.9076988015,74.0
2011-11-25,kp,0.0,0.0,205.833843357,10.6674060364,48.0
2011-11-26,kp,0.0,0.0,161.108783352,9.92224391752,47.0
2011-11-27,kp,0.0,0.0,98.3271418657,14.5308490723,52.0
2011-11-28,kp,0.0,0.0,90.1500615249,15.5689604062,57.0
2011-11-29,kp,0.0,0.0,106.638595203,20.4644170951,63.0
2011-11-30,kp,0.0,0.0,121.298522256,21.5062139986,59.0
2011-12-01,kp,0.0,0.0,112.816669911,12.2695779619,72.0
2011-12-02,kp,0.0,0.0,110.600902789,4.9811147729,62.0
2011-12-03,kp,0.0,0.0,100.151303472,7.1690960507,62.0
2011-12-04,kp,0.0,0.0,91.6482955942,15.7903688234,56.0
2011-12-05,kp,0.0,0.0,123.788544016,24.3397351786,47.0
2011-12-06,kp,0.0,0.0,122.825957603,29.1047028348,63.0
2011-12-07,kp,0.0,0.0,120.94272716,27.2613587584,69.0
2011-12-08,kp,0.0,0.0,129.285107176,28.7212131774,61.0
2011-12-09,kp,0.0,0.0,119.456090552,23.4395479806,68.0
2011-12-10,kp,0.0,0.0,115.034788553,25.6315137731,59.0
2011-12-11,kp,0.0,0.0,117.755238335,25.106945822,60.0
2011-12-12,kp,0.0,0.0,83.8356890259,17.390173171,73.0
2011-12-13,kp,0.0,0.0,115.667054261,28.4453747241,72.0
2011-12-14,kp,0.0,0.0,130.348540646,27.5989771434,68.0
2011-12-15,kp,0.0,0.0,115.50290526,23.7409160485,71.0
2011-12-16,kp,0.0,0.0,129.021949561,31.1149179635,62.0
2011-12-17,kp,0.0,0.0,117.928589598,25.1152701569,59.0
2011-12-18,kp,0.0,0.0,114.116672015,25.5546335952,53.0
2011-12-19,kp,0.0,0.0,131.425286551,31.5250257253,74.0
2011-12-20,kp,0.0,0.0,131.051399272,32.7485525594,85.0
2011-12-21,kp,0.0,0.0,127.975953833,29.6638886427,96.0
2011-12-22,kp,0.0,0.0,131.626407256,31.8011110331,99.0
2011-12-23,kp,0.0,0.0,106.168938347,26.5897954138,99.0
2011-12-24,kp,0.0,1.0,101.252034463,24.5004332228,106.0
2011-12-25,kp,0.0,1.0,111.284047224,22.4394325826,132.0
2011-12-26,kp,0.0,0.0,121.371849501,32.3409590999,113.0
2011-12-27,kp,0.0,0.0,144.348331856,42.9997436717,94.0
2011-12-28,kp,0.0,0.0,166.267262449,47.0865262068,86.0
2011-12-29,kp,0.0,0.0,170.541926952,48.3610883936,95.0
2011-12-30,kp,0.0,0.0,182.343560852,46.4214893902,96.0
2011-12-31,kp,0.0,0.0,183.14994394,49.9632519035,68.0
2012-01-01,kp,0.0,0.0,198.549681186,50.5643181885,54.0
2012-01-02,kp,0.0,0.0,226.964575758,47.4881854842,62.0
2012-01-03,kp,0.0,0.0,172.23526554,40.4851526124,63.0
2012-01-04,kp,0.0,0.0,162.145058627,41.683751431,61.0
2012-01-05,kp,0.0,0.0,207.289668742,45.3812233015,61.0
2012-01-06,kp,0.0,0.0,252.198044015,31.8344591102,66.0
2012-01-07,kp,0.0,0.0,209.089571065,34.1550114534,60.0
2012-01-09,kp,0.0,0.0,214.185565791,23.5579826508,63.0
2012-01-10,kp,0.0,0.0,179.548076849,24.5408608113,62.0
2012-01-11,kp,0.0,0.0,126.219137246,22.9177196578,66.0
2012-01-12,kp,0.0,0.0,133.005451707,18.1476145498,61.0
2012-01-13,kp,0.0,0.0,135.571896401,18.7837901172,66.0
2012-01-14,kp,0.0,0.0,121.067988603,12.9692379474,76.0
2012-01-16,kp,0.0,0.0,117.273433896,13.3709892656,88.0
2012-01-17,kp,0.0,0.0,127.14766342,13.4362731858,103.0
2012-01-18,kp,0.0,0.0,118.230429855,29.1488329432,89.0
2012-01-19,kp,0.0,0.0,121.759537425,18.6004837665,89.0
2012-01-20,kp,0.0,0.0,132.485009902,25.3108482476,80.0
2012-01-21,kp,0.0,0.0,145.610494929,26.5304250456,59.0
2012-01-22,kp,0.0,0.0,143.464486122,24.0017492461,40.0
2012-01-23,kp,0.0,0.0,171.239660966,23.4536601512,29.0
2012-01-24,kp,0.0,0.0,191.029495624,38.3819298933,39.0
2012-01-25,kp,0.0,0.0,168.287709316,40.9938899148,61.0
2012-01-26,kp,0.0,0.0,160.336656604,34.5505613534,85.0
2012-01-27,kp,0.0,0.0,145.066487622,28.4552621406,82.0
2012-01-28,kp,0.0,0.0,112.638234066,19.6256228885,69.0
2012-01-29,kp,0.0,0.0,88.5026508321,11.5943049297,73.0
2012-01-30,kp,0.0,1.0,69.8406435905,7.46480922192,78.0
2012-01-31,kp,0.0,1.0,87.8052996832,12.1456055265,93.0
2012-02-01,kp,0.0,0.0,131.02119372,22.1153721238,97.0
2012-02-02,kp,0.0,0.0,166.612531372,38.7520296935,92.0
