date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,kr,0.0,0.0,51254.8070154,24583.0712922,32547.0
2011-09-09,kr,0.0,0.0,45442.3576174,16733.9929181,21992.0
2011-09-11,kr,1.0,0.0,23209.6417928,11725.7181551,7330.0
2011-09-12,kr,1.0,0.0,45326.8355883,24461.9599088,7006.0
2011-09-13,kr,1.0,0.0,42999.7945301,25383.6502679,13881.0
2011-09-14,kr,0.0,0.0,42393.9748602,26386.9416282,33523.0
2011-09-15,kr,0.0,0.0,44833.7365004,22819.9013703,36708.0
2011-09-16,kr,0.0,0.0,31784.4514825,12367.1250514,26106.0
2011-09-17,kr,0.0,0.0,12236.1303327,4374.87485075,10916.0
2011-09-18,kr,0.0,1.0,10959.2459219,3558.90315971,19953.0
2011-09-19,kr,0.0,1.0,11092.2887288,3461.13939914,36250.0
2011-09-20,kr,0.0,1.0,20210.4601859,7307.68308361,35537.0
2011-09-21,kr,0.0,0.0,48535.3306875,17414.6749198,34694.0
2011-09-22,kr,0.0,0.0,49739.2935317,21790.4473455,34813.0
2011-09-23,kr,0.0,0.0,35602.2476276,16290.8952448,25488.0
2011-09-24,kr,0.0,0.0,14607.1572714,7082.47422336,10327.0
2011-09-25,kr,0.0,0.0,26332.5775071,12544.7608611,18671.0
2011-09-26,kr,0.0,0.0,43156.2142501,24370.7244087,32488.0
2011-09-27,kr,0.0,0.0,43133.403839,25225.3246291,32507.0
2011-09-28,kr,0.0,0.0,41145.5833142,25675.4496141,31822.0
2011-09-29,kr,0.0,0.0,40313.3631909,25285.4723575,30246.0
2011-09-30,kr,0.0,0.0,32702.8637023,17694.9432088,22524.0
2011-10-01,kr,0.0,0.0,14167.1391846,7147.98374822,9646.0
2011-10-02,kr,1.0,0.0,23118.6330175,12495.7573569,8105.0
2011-10-03,kr,1.0,0.0,44156.1046869,22622.8791983,16689.0
2011-10-04,kr,0.0,0.0,43227.4366323,21803.3397142,30589.0
2011-10-05,kr,0.0,0.0,43733.522133,24155.273134,31598.0
2011-10-06,kr,0.0,0.0,37515.6469701,24411.6931554,30117.0
2011-10-07,kr,0.0,0.0,27373.1113424,17549.20147,22166.0
2011-10-08,kr,0.0,0.0,12463.8480045,6902.57208363,9658.0
2011-10-09,kr,0.0,1.0,11424.1434216,6116.53926519,16588.0
2011-10-10,kr,0.0,1.0,21178.6471914,11880.85003,29815.0
2011-10-11,kr,0.0,0.0,39603.0209552,21839.4371733,29855.0
2011-10-12,kr,0.0,0.0,38955.435575,21171.3938556,28992.0
2011-10-13,kr,0.0,0.0,40589.1338111,23546.7767585,31483.0
2011-10-14,kr,0.0,0.0,31958.3251084,16171.5533069,26877.0
2011-10-15,kr,0.0,0.0,11495.9263931,6913.39763411,9434.0
2011-10-16,kr,0.0,0.0,19380.241469,12471.7340734,14760.0
2011-10-17,kr,0.0,0.0,36053.7564937,21144.5654222,27773.0
2011-10-18,kr,0.0,0.0,35306.3779728,21836.8891691,28186.0
2011-10-19,kr,0.0,0.0,36006.0758274,20954.4607328,27768.0
2011-10-20,kr,0.0,0.0,40696.4246998,21109.5059547,27184.0
2011-10-21,kr,0.0,0.0,31019.8404714,16518.5830296,20371.0
2011-10-22,kr,0.0,0.0,11689.3936173,6141.97995779,7843.0
2011-10-23,kr,0.0,0.0,16760.3092174,10153.125266,11963.0
2011-10-24,kr,0.0,0.0,34641.6037708,17356.9597671,25919.0
2011-10-25,kr,0.0,0.0,31295.1197301,18780.8782821,24370.0
2011-10-26,kr,0.0,0.0,35905.1290496,15393.0504711,24316.0
2011-10-27,kr,0.0,0.0,33041.571136,13591.101323,23980.0
2011-10-28,kr,0.0,0.0,25910.6043897,10581.2759903,13853.0
2011-10-29,kr,0.0,0.0,10046.8284907,4713.33043492,7621.0
2011-10-30,kr,0.0,0.0,14927.2273954,6653.20210964,13538.0
2011-10-31,kr,0.0,0.0,31708.7328432,15766.5123989,24353.0
2011-11-01,kr,0.0,0.0,30609.3454822,16424.1979739,25317.0
2011-11-02,kr,0.0,0.0,32001.9225839,12464.1031902,23994.0
2011-11-03,kr,0.0,0.0,29843.7521766,14669.6912567,23748.0
2011-11-04,kr,0.0,0.0,19724.3007569,7876.03028549,18024.0
2011-11-05,kr,0.0,0.0,11601.1935177,4541.48749198,9333.0
