date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,kw,0.0,1.0,2535.31914327,1069.1007262,2936.0
2011-09-09,kw,0.0,0.0,1705.26278974,526.806320901,1677.0
2011-09-11,kw,0.0,0.0,2433.79325363,1088.45179273,1195.0
2011-09-12,kw,0.0,0.0,2030.56883448,941.417694037,1210.0
2011-09-13,kw,1.0,0.0,2738.32858617,1427.67836606,1250.0
2011-09-14,kw,0.0,0.0,3348.20259055,1872.92615939,2142.0
2011-09-15,kw,1.0,0.0,4237.74631582,1959.28446109,1865.0
2011-09-16,kw,0.0,0.0,2581.27076485,880.68833435,1503.0
2011-09-17,kw,0.0,0.0,3233.98470455,1067.06917668,1450.0
2011-09-18,kw,0.0,0.0,1899.35434486,542.410532895,1643.0
2011-09-19,kw,0.0,0.0,2032.34857021,559.715390363,1774.0
2011-09-20,kw,0.0,0.0,1953.1650651,609.290646094,1570.0
2011-09-21,kw,0.0,0.0,3286.20200761,1045.60159974,1543.0
2011-09-22,kw,0.0,0.0,2695.435622,1033.28778318,1126.0
2011-09-23,kw,0.0,0.0,2198.06456018,869.247987934,1012.0
2011-09-24,kw,0.0,0.0,2059.238409,881.778129802,959.0
2011-09-25,kw,0.0,0.0,2309.24361342,964.584288547,1069.0
2011-09-26,kw,0.0,0.0,2257.06066411,1110.75212531,1143.0
2011-09-27,kw,0.0,0.0,2045.98016554,1031.80686596,1178.0
2011-09-28,kw,0.0,0.0,1966.06802634,1056.37602594,1183.0
2011-09-29,kw,0.0,0.0,1422.53074089,743.276245555,1110.0
2011-09-30,kw,0.0,0.0,1419.2471136,636.836002375,969.0
2011-10-01,kw,0.0,0.0,1423.72669867,607.69714109,1269.0
2011-10-02,kw,0.0,1.0,1437.90882591,653.507816629,1461.0
2011-10-03,kw,0.0,0.0,1692.473132,724.472467097,1146.0
2011-10-04,kw,0.0,0.0,1704.08339708,721.094152423,972.0
2011-10-05,kw,0.0,0.0,1767.48690472,819.361500037,1434.0
2011-10-06,kw,0.0,0.0,1500.86873782,814.795204134,1199.0
2011-10-07,kw,0.0,0.0,1288.96950395,683.019266973,1219.0
2011-10-08,kw,0.0,0.0,1747.65231183,846.927674594,1267.0
2011-10-09,kw,0.0,0.0,2171.96756594,1039.62279585,1807.0
2011-10-10,kw,0.0,0.0,1571.25532972,749.011703822,1263.0
2011-10-11,kw,0.0,0.0,1381.70708793,625.838719304,1266.0
2011-10-12,kw,0.0,0.0,1904.24109301,886.161642036,1153.0
2011-10-13,kw,0.0,0.0,1754.70658114,856.420733021,1274.0
2011-10-14,kw,0.0,0.0,1900.17151754,816.284105573,1064.0
2011-10-15,kw,0.0,0.0,1606.40264081,845.673277029,1087.0
2011-10-16,kw,1.0,0.0,2233.34319349,1278.06051487,1062.0
2011-10-17,kw,0.0,0.0,1653.60313279,821.141135334,917.0
2011-10-18,kw,0.0,0.0,1620.62062826,849.108543423,1121.0
2011-10-19,kw,0.0,0.0,1556.81584821,760.274323687,1246.0
2011-10-20,kw,0.0,0.0,1783.83146374,782.746644161,860.0
2011-10-21,kw,0.0,0.0,1339.46490013,594.23887331,781.0
2011-10-22,kw,0.0,0.0,1446.1105506,654.467726632,850.0
2011-10-23,kw,0.0,0.0,1305.44014872,669.070379164,879.0
2011-10-24,kw,0.0,0.0,1259.02923372,515.819058445,855.0
2011-10-25,kw,0.0,0.0,1355.50999282,680.673973436,801.0
2011-10-26,kw,0.0,0.0,1744.03568015,633.297877576,798.0
2011-10-27,kw,0.0,0.0,1154.1194134,385.131497995,846.0
2011-10-28,kw,0.0,0.0,1099.44059001,362.094869338,788.0
2011-10-29,kw,0.0,0.0,1181.18450937,466.567036133,920.0
2011-10-30,kw,0.0,0.0,1195.67429266,443.815437492,1114.0
2011-10-31,kw,0.0,0.0,1155.0013547,465.735379289,890.0
2011-11-01,kw,0.0,0.0,1113.8254197,481.846426773,791.0
2011-11-02,kw,0.0,0.0,1163.21551685,364.923402022,764.0
2011-11-03,kw,0.0,0.0,1161.76509003,463.794391608,811.0
2011-11-04,kw,0.0,0.0,1235.09754267,402.694848017,1103.0
2011-11-05,kw,0.0,1.0,1510.72411812,503.434280764,1539.0
2011-11-06,kw,0.0,0.0,1729.47051698,708.611699687,1108.0
2011-11-07,kw,0.0,0.0,1222.68234054,567.284827471,1088.0
2011-11-08,kw,0.0,1.0,1183.69033632,458.462711652,1367.0
2011-11-09,kw,0.0,1.0,1405.51508369,337.436806153,1549.0
2011-11-10,kw,0.0,1.0,1394.84097641,445.761540492,1504.0
2011-11-11,kw,0.0,0.0,1328.8703675,798.831915675,1245.0
2011-11-12,kw,0.0,0.0,1753.97686274,962.116112876,1077.0
2011-11-13,kw,0.0,0.0,1373.48101857,659.286348419,817.0
2011-11-14,kw,0.0,0.0,1437.41797794,655.44551847,680.0
2011-11-15,kw,1.0,0.0,1867.91554133,779.142781911,695.0
2011-11-16,kw,0.0,0.0,2179.94988467,727.939208243,791.0
2011-11-17,kw,1.0,0.0,1894.68288102,844.041614144,759.0
2011-11-18,kw,1.0,0.0,1536.08830099,879.017396247,722.0
2011-11-19,kw,1.0,0.0,1409.29755032,742.009790389,739.0
2011-11-20,kw,0.0,0.0,1129.77212432,522.454953348,707.0
2011-11-21,kw,0.0,0.0,975.304040077,433.860729136,708.0
2011-11-22,kw,0.0,0.0,1014.49681736,400.322414162,716.0
2011-11-23,kw,0.0,0.0,1370.68918618,431.47021695,890.0
2011-11-24,kw,0.0,0.0,1930.77826261,445.744294814,1196.0
2011-11-25,kw,0.0,0.0,1731.74210712,160.633323999,953.0
2011-11-26,kw,0.0,0.0,1667.87664465,228.853608222,1335.0
2011-11-27,kw,0.0,0.0,1118.38649135,404.48199528,823.0
2011-11-28,kw,0.0,0.0,985.902238979,445.709870673,655.0
2011-11-29,kw,0.0,0.0,984.289841363,374.195781811,609.0
2011-11-30,kw,0.0,0.0,1109.48028141,363.286509167,589.0
2011-12-01,kw,0.0,0.0,1435.9296665,267.212417892,689.0
2011-12-02,kw,0.0,0.0,1596.28808616,144.997986403,675.0
2011-12-03,kw,0.0,0.0,1986.76771547,348.307634604,671.0
2011-12-04,kw,0.0,0.0,1032.08994328,429.908287999,616.0
2011-12-05,kw,0.0,0.0,1070.21057292,433.779837103,722.0
2011-12-06,kw,0.0,0.0,928.045858974,398.604270475,663.0
2011-12-07,kw,0.0,0.0,933.294905666,394.493561719,679.0
2011-12-08,kw,0.0,0.0,982.932481538,377.15721131,678.0
2011-12-09,kw,0.0,0.0,983.037200281,397.564664911,732.0
2011-12-10,kw,0.0,0.0,973.571733672,415.096029413,737.0
2011-12-11,kw,0.0,0.0,1008.76984114,421.076363015,733.0
2011-12-12,kw,0.0,0.0,935.2846823,445.40821814,706.0
2011-12-13,kw,0.0,0.0,948.434951485,438.341187638,682.0
