date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,ky,0.0,0.0,140.74339124,30.6476641385,53.0
2011-09-09,ky,0.0,0.0,124.446950752,16.0203534403,58.0
2011-09-11,ky,0.0,0.0,129.461704329,28.2746822406,70.0
2011-09-12,ky,0.0,0.0,97.8885361636,22.0179008052,46.0
2011-09-13,ky,0.0,0.0,117.148720064,28.7334281456,51.0
2011-09-14,ky,0.0,0.0,111.303751903,26.393236011,56.0
2011-09-15,ky,0.0,0.0,110.458644508,19.7809725148,56.0
2011-09-16,ky,0.0,0.0,123.786694874,18.452724391,58.0
2011-09-17,ky,0.0,0.0,132.489046626,19.651883811,55.0
2011-09-18,ky,0.0,0.0,146.808320062,21.0008751932,68.0
2011-09-19,ky,0.0,0.0,110.582189086,11.8009849856,61.0
2011-09-20,ky,0.0,0.0,113.015337349,14.5142082528,59.0
2011-09-21,ky,0.0,0.0,121.939155565,16.0180121355,56.0
2011-09-22,ky,0.0,0.0,114.293401569,18.2107996525,51.0
2011-09-23,ky,0.0,0.0,117.619122724,20.2858980318,50.0
2011-09-24,ky,0.0,0.0,109.767214257,20.1416194966,52.0
2011-09-25,ky,0.0,0.0,129.291188418,25.8760658918,66.0
2011-09-26,ky,0.0,0.0,105.969135432,23.8646815661,54.0
2011-09-27,ky,0.0,0.0,105.804513324,24.3628570555,58.0
2011-09-28,ky,0.0,0.0,99.0882867304,23.0796203494,56.0
2011-09-29,ky,0.0,0.0,89.9210434491,20.3469693307,60.0
2011-09-30,ky,0.0,0.0,97.6589380717,18.4567444368,66.0
2011-10-01,ky,0.0,0.0,106.971069688,19.38179711,53.0
2011-10-02,ky,0.0,0.0,118.245706106,26.1632040776,55.0
2011-10-03,ky,0.0,0.0,109.539804984,20.9137927422,51.0
2011-10-04,ky,0.0,0.0,113.120947933,22.4206297373,51.0
2011-10-05,ky,0.0,0.0,111.757233729,23.9824724248,66.0
2011-10-06,ky,0.0,0.0,110.840340214,26.6153425569,53.0
2011-10-07,ky,0.0,0.0,115.191457414,30.4490400894,53.0
2011-10-08,ky,0.0,0.0,101.667546429,20.7659712467,67.0
2011-10-09,ky,0.0,0.0,115.213726806,23.5262927798,67.0
2011-10-10,ky,0.0,0.0,98.4140864607,19.9333363174,57.0
2011-10-11,ky,0.0,0.0,99.9350724636,20.2631728414,52.0
2011-10-12,ky,0.0,0.0,118.101730805,26.2920752585,50.0
2011-10-13,ky,0.0,0.0,108.995622375,22.3370419496,47.0
2011-10-14,ky,0.0,0.0,114.083415207,21.1427567091,47.0
2011-10-15,ky,0.0,0.0,113.366945359,28.974017557,56.0
2011-10-16,ky,0.0,0.0,111.773453982,30.0855673562,54.0
2011-10-17,ky,0.0,0.0,102.954050772,22.2645072371,44.0
2011-10-18,ky,0.0,0.0,93.8434506311,20.1258740509,44.0
2011-10-19,ky,0.0,0.0,94.7829613711,19.1794943009,41.0
2011-10-20,ky,0.0,0.0,93.9769012932,16.4796486537,39.0
2011-10-21,ky,0.0,0.0,82.9473042672,15.4753773919,45.0
2011-10-22,ky,0.0,0.0,100.349279315,20.8597119616,47.0
2011-10-23,ky,0.0,0.0,90.9875708743,20.6526443242,46.0
2011-10-24,ky,0.0,0.0,85.8683762564,14.1461908193,52.0
2011-10-25,ky,0.0,0.0,74.5143197029,15.5982764101,43.0
2011-10-26,ky,0.0,0.0,81.2570110008,11.9299156651,43.0
2011-10-27,ky,0.0,0.0,75.8648950513,9.45113145761,50.0
2011-10-28,ky,0.0,0.0,90.1727280762,11.6100940034,45.0
2011-10-29,ky,0.0,0.0,92.4311001988,14.9511891826,45.0
2011-10-30,ky,0.0,0.0,87.8307988823,13.3010867827,56.0
2011-10-31,ky,0.0,0.0,97.3789176443,16.8027937698,46.0
2011-11-01,ky,0.0,0.0,84.9336637681,14.489435729,43.0
2011-11-02,ky,0.0,0.0,82.8274986743,12.4826585313,38.0
2011-11-03,ky,0.0,0.0,92.8252611175,16.796216104,51.0
2011-11-04,ky,0.0,0.0,100.175744525,12.6148742358,57.0
2011-11-05,ky,0.0,0.0,103.89584963,14.4065693745,53.0
2011-11-06,ky,0.0,0.0,119.384289614,21.9814435157,48.0
2011-11-07,ky,0.0,0.0,88.9280217702,16.8568431363,43.0
2011-11-08,ky,0.0,0.0,93.6359780825,13.1745390348,44.0
2011-11-09,ky,0.0,0.0,104.378042925,8.08170301991,40.0
2011-11-10,ky,0.0,0.0,122.670337845,16.7986012613,37.0
2011-11-11,ky,0.0,0.0,96.9827365932,23.9898117546,38.0
2011-11-12,ky,0.0,0.0,84.6709839565,19.39496242,35.0
2011-11-13,ky,0.0,0.0,84.0705299727,16.7609246057,30.0
2011-11-14,ky,0.0,0.0,81.225134184,14.2605215603,32.0
2011-11-15,ky,0.0,0.0,90.7748746089,13.0877852395,36.0
2011-11-16,ky,0.0,0.0,86.1187465728,9.44032814229,37.0
2011-11-17,ky,0.0,0.0,71.4000657075,10.4909119433,35.0
2011-11-18,ky,0.0,0.0,73.5097097611,12.5984990872,32.0
2011-11-19,ky,0.0,0.0,70.4930535852,11.3871511357,35.0
2011-11-20,ky,0.0,0.0,63.4598574489,8.82135970356,41.0
2011-11-21,ky,0.0,0.0,68.7703420547,9.67797399088,37.0
2011-11-22,ky,0.0,0.0,76.4986338549,10.7964044968,35.0
2011-11-23,ky,0.0,0.0,95.108175527,10.6553347487,39.0
2011-11-24,ky,0.0,0.0,132.135090075,10.0757109699,47.0
2011-11-25,ky,0.0,0.0,115.083201273,3.42053714679,31.0
2011-11-26,ky,0.0,0.0,113.985002404,5.86872109075,37.0
2011-11-27,ky,0.0,0.0,85.2377044199,14.1042250256,41.0
2011-11-28,ky,0.0,0.0,75.4368879479,12.4422301377,51.0
