date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,kz,0.0,0.0,2010.47564503,898.618759741,1356.0
2011-09-09,kz,0.0,0.0,2147.32941488,703.877464426,1323.0
2011-09-11,kz,0.0,0.0,1651.12887209,761.039052302,1440.0
2011-09-12,kz,0.0,0.0,1721.81706402,914.978740609,1488.0
2011-09-13,kz,0.0,0.0,1920.31842507,984.759357299,1552.0
2011-09-14,kz,0.0,0.0,1864.59670184,1012.37433525,1584.0
2011-09-15,kz,0.0,0.0,2006.56539667,887.964398645,1580.0
2011-09-16,kz,0.0,0.0,2056.48095166,698.694490268,1372.0
2011-09-17,kz,0.0,0.0,1983.83482542,627.849109622,1198.0
2011-09-18,kz,0.0,0.0,2267.70680425,667.46260592,1320.0
2011-09-19,kz,0.0,0.0,2476.20626422,709.271681507,1375.0
2011-09-20,kz,0.0,0.0,2402.50589671,777.695103957,1347.0
2011-09-21,kz,0.0,0.0,2455.76363931,778.974393775,1308.0
2011-09-22,kz,0.0,0.0,2274.85805914,892.364059421,1270.0
2011-09-23,kz,0.0,0.0,1978.69713333,816.77715098,1137.0
2011-09-24,kz,0.0,0.0,1700.40182622,738.588527873,960.0
2011-09-25,kz,0.0,0.0,1857.62691108,784.542068348,1059.0
2011-09-26,kz,0.0,0.0,1779.60023469,847.784774468,1189.0
2011-09-27,kz,0.0,0.0,1777.76833063,881.462645327,1160.0
2011-09-28,kz,0.0,0.0,1698.51569906,883.600278185,1163.0
2011-09-29,kz,0.0,0.0,1611.5966695,835.465764512,1215.0
2011-09-30,kz,0.0,0.0,1585.3950889,720.533366382,1161.0
2011-10-01,kz,0.0,0.0,1429.14185875,606.578059714,970.0
2011-10-02,kz,0.0,0.0,1424.29158246,649.053684776,980.0
2011-10-03,kz,0.0,0.0,1759.06620295,752.839984017,1112.0
2011-10-04,kz,0.0,0.0,1690.24738619,692.709345684,1147.0
2011-10-05,kz,0.0,0.0,1795.239851,736.318267136,1233.0
2011-10-06,kz,0.0,0.0,1650.33738649,879.246396022,1172.0
2011-10-07,kz,0.0,0.0,1528.73740956,824.853536957,1121.0
2011-10-08,kz,0.0,0.0,1348.50971429,633.581026981,1034.0
2011-10-09,kz,0.0,0.0,1481.70532843,680.887198545,1071.0
2011-10-10,kz,0.0,0.0,1523.02801758,725.801537033,1153.0
2011-10-11,kz,0.0,0.0,1628.0877465,740.880156933,1176.0
2011-10-12,kz,0.0,0.0,1655.70508116,756.501290921,1191.0
2011-10-13,kz,0.0,0.0,1716.73222675,838.380617725,1306.0
2011-10-14,kz,0.0,0.0,1751.9466029,748.054286565,1296.0
2011-10-15,kz,0.0,0.0,1327.82986572,681.728883223,976.0
2011-10-16,kz,0.0,0.0,1355.08974606,733.702133734,1062.0
2011-10-17,kz,0.0,0.0,1513.61412891,744.405780623,1152.0
2011-10-18,kz,0.0,0.0,1504.68255721,785.501651089,1196.0
2011-10-19,kz,0.0,0.0,1545.27370864,816.814669544,1253.0
2011-10-20,kz,0.0,0.0,1901.31655673,754.295166861,1322.0
2011-10-21,kz,0.0,0.0,1614.48003669,728.700768947,1206.0
2011-10-22,kz,0.0,0.0,1302.99554564,583.831478601,957.0
2011-10-23,kz,0.0,0.0,1291.19991305,680.054978375,1066.0
2011-10-24,kz,0.0,0.0,1561.67333197,657.367023971,1089.0
2011-10-25,kz,0.0,0.0,1441.25734498,728.582332092,1065.0
2011-10-26,kz,0.0,0.0,1755.52955154,636.093234335,1136.0
2011-10-27,kz,0.0,0.0,1730.13272183,605.531742536,1121.0
2011-10-28,kz,0.0,0.0,1655.67014864,574.765094564,1064.0
2011-10-29,kz,0.0,0.0,1300.14574174,535.776663564,1032.0
2011-10-30,kz,0.0,0.0,1425.24720155,545.814166937,1020.0
2011-10-31,kz,0.0,0.0,1441.62994597,605.061084549,1097.0
2011-11-01,kz,0.0,0.0,1323.57431332,744.931424574,1068.0
2011-11-02,kz,0.0,0.0,1512.61419989,599.037906006,1051.0
2011-11-03,kz,0.0,0.0,1516.00804745,625.387046028,1045.0
2011-11-04,kz,0.0,0.0,1639.64020934,552.47914531,1004.0
2011-11-05,kz,0.0,0.0,1682.75033082,573.929183031,994.0
2011-11-06,kz,0.0,0.0,1585.38160788,655.507591042,1041.0
2011-11-07,kz,0.0,0.0,1454.91129923,752.131168527,1051.0
2011-11-08,kz,0.0,0.0,1586.29089764,629.00763014,1034.0
2011-11-09,kz,0.0,0.0,1931.27521026,457.157949651,1123.0
2011-11-10,kz,0.0,0.0,1714.16370811,615.469941718,1236.0
2011-11-11,kz,0.0,0.0,1256.61063403,687.009631937,970.0
2011-11-12,kz,0.0,0.0,1164.22595221,605.240292693,831.0
2011-11-13,kz,0.0,0.0,1296.25856673,618.077153887,895.0
2011-11-14,kz,0.0,0.0,1382.19146993,635.989501255,968.0
2011-11-15,kz,0.0,0.0,1434.88870289,572.292989812,1027.0
2011-11-16,kz,0.0,0.0,1612.10791088,513.251938508,1018.0
2011-11-17,kz,0.0,0.0,1574.84567524,691.918472654,964.0
2011-11-18,kz,0.0,0.0,1212.38277077,676.598947559,877.0
2011-11-19,kz,0.0,0.0,1103.49441766,563.297290975,800.0
2011-11-20,kz,0.0,0.0,1225.05995956,582.957584337,772.0
2011-11-21,kz,0.0,0.0,1355.73188213,638.701074475,866.0
2011-11-22,kz,0.0,0.0,1467.7969846,613.235221469,923.0
2011-11-23,kz,0.0,0.0,1755.36982343,563.724863377,1045.0
2011-11-24,kz,0.0,0.0,2427.58710541,581.495726155,1478.0
2011-11-25,kz,0.0,0.0,2087.55968676,203.44657547,954.0
2011-11-26,kz,0.0,0.0,1798.30516134,248.116911276,967.0
2011-11-27,kz,0.0,0.0,1211.03028361,451.629138609,761.0
2011-11-28,kz,0.0,0.0,1191.29104767,562.387233499,805.0
2011-11-29,kz,0.0,0.0,1262.39985622,485.439935358,802.0
2011-11-30,kz,0.0,0.0,1351.84018481,364.450371387,794.0
2011-12-01,kz,0.0,0.0,1754.37651389,333.740160323,874.0
2011-12-02,kz,0.0,0.0,1595.27074568,143.798575895,807.0
2011-12-03,kz,0.0,0.0,1470.49729876,248.157893337,699.0
2011-12-04,kz,0.0,0.0,957.718179426,396.26984655,652.0
2011-12-05,kz,0.0,0.0,1280.03547286,550.387383037,925.0
2011-12-06,kz,0.0,0.0,1201.39358753,532.402806972,846.0
2011-12-07,kz,0.0,0.0,1232.83913928,544.316074917,902.0
2011-12-08,kz,0.0,0.0,1223.81290602,485.505261387,887.0
2011-12-09,kz,0.0,0.0,1194.66327076,461.790848501,870.0
2011-12-10,kz,0.0,0.0,997.264461582,440.204457172,812.0
2011-12-11,kz,0.0,0.0,1040.22602453,460.484117415,882.0
2011-12-12,kz,0.0,0.0,1174.13944638,583.887649974,934.0
2011-12-13,kz,0.0,0.0,1189.07604987,569.793900839,897.0
2011-12-14,kz,0.0,0.0,1294.08474435,551.714101743,860.0
2011-12-15,kz,0.0,0.0,1259.60487888,542.670773211,819.0
2011-12-16,kz,0.0,0.0,1249.61869879,589.592717212,870.0
2011-12-17,kz,0.0,0.0,1202.15196784,533.34214878,924.0
2011-12-18,kz,0.0,0.0,1248.93776248,591.744904124,900.0
2011-12-19,kz,0.0,0.0,1268.03357096,620.603455244,886.0
2011-12-20,kz,0.0,0.0,1232.70882121,602.951953419,917.0
2011-12-21,kz,0.0,0.0,1209.46017212,563.419232336,986.0
2011-12-22,kz,0.0,0.0,1152.58690043,550.9879657,979.0
2011-12-23,kz,0.0,0.0,1104.82750441,586.533598594,949.0
2011-12-24,kz,0.0,0.0,1172.24254217,591.534033255,842.0
2011-12-25,kz,0.0,0.0,1391.68952677,614.846301516,969.0
2011-12-26,kz,0.0,0.0,1161.11897496,536.792442661,890.0
2011-12-27,kz,0.0,0.0,1315.74715695,585.307463791,930.0
2011-12-28,kz,0.0,0.0,1435.12598156,602.379897666,897.0
2011-12-29,kz,0.0,0.0,1388.32949887,631.286844651,880.0
