date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,la,0.0,0.0,157.90721944,36.3231574974,81.0
2011-09-09,la,0.0,0.0,167.267406924,25.1748411204,74.0
2011-09-11,la,0.0,0.0,142.030801836,32.4124406172,79.0
2011-09-12,la,0.0,0.0,155.470028024,45.5036616641,71.0
2011-09-13,la,0.0,0.0,171.496064424,52.0308023177,69.0
2011-09-14,la,0.0,0.0,156.067217343,45.0237555482,84.0
2011-09-15,la,0.0,0.0,157.605626919,35.3231652051,59.0
2011-09-16,la,0.0,0.0,151.920034618,25.3724960377,56.0
2011-09-17,la,0.0,0.0,133.883668169,20.1977694724,63.0
2011-09-18,la,0.0,0.0,162.486878516,24.58639047,57.0
2011-09-19,la,0.0,0.0,157.541748835,21.5496247564,65.0
2011-09-20,la,0.0,0.0,144.09455512,21.5025307449,65.0
2011-09-21,la,0.0,0.0,170.147658928,27.7645543682,66.0
2011-09-22,la,0.0,0.0,119.609373735,20.0318796178,59.0
2011-09-23,la,0.0,0.0,114.945960844,19.0180294048,46.0
2011-09-24,la,0.0,0.0,122.68100417,24.169943396,43.0
2011-09-25,la,0.0,0.0,111.369637548,20.0539510661,49.0
2011-09-26,la,0.0,0.0,111.728327575,25.9703887631,53.0
2011-09-27,la,0.0,0.0,114.03375325,27.315930638,52.0
2011-09-28,la,0.0,0.0,112.914559297,29.2341857759,51.0
2011-09-29,la,0.0,0.0,101.16117388,24.8685180708,44.0
2011-09-30,la,0.0,0.0,91.3987497338,16.3271200787,57.0
2011-10-01,la,0.0,0.0,91.123503808,15.0747310855,58.0
2011-10-02,la,0.0,0.0,92.9073405121,17.2126342616,54.0
2011-10-03,la,0.0,0.0,108.220048297,20.1926274752,62.0
2011-10-04,la,0.0,0.0,104.122690711,18.9174063409,60.0
2011-10-05,la,0.0,0.0,103.960217422,21.5842251823,54.0
2011-10-06,la,0.0,0.0,86.4798258813,17.7435617046,51.0
2011-10-07,la,0.0,0.0,102.261804031,24.8400063887,45.0
2011-10-08,la,0.0,0.0,109.106635192,23.7325385677,55.0
2011-10-09,la,0.0,0.0,112.502815587,22.7420830204,50.0
2011-10-10,la,0.0,0.0,114.406375511,25.8395100411,50.0
2011-10-11,la,0.0,0.0,113.676144927,24.7661001394,46.0
2011-10-12,la,0.0,0.0,100.024935274,20.0650048026,41.0
2011-10-13,la,0.0,0.0,106.337192561,21.5392904514,39.0
2011-10-14,la,0.0,0.0,100.170803597,16.6121659858,41.0
2011-10-15,la,0.0,0.0,97.3352561166,22.2877058131,49.0
2011-10-16,la,0.0,0.0,88.0639334407,20.0570449041,38.0
2011-10-17,la,0.0,0.0,92.3036317262,18.6734576828,29.0
2011-10-18,la,0.0,0.0,84.5749616799,17.1442630804,26.0
2011-10-19,la,0.0,0.0,81.4161334854,14.0157842968,40.0
2011-10-20,la,0.0,0.0,80.1936224369,12.3597364902,36.0
2011-10-21,la,0.0,0.0,74.0995918121,12.2513404353,33.0
2011-10-22,la,0.0,0.0,89.8476105496,17.3830933013,33.0
2011-10-23,la,0.0,0.0,69.062855001,12.1067225349,29.0
2011-10-24,la,0.0,0.0,61.6801012546,7.07309540963,30.0
2011-10-25,la,0.0,0.0,49.3263806484,6.38111307687,26.0
2011-10-26,la,0.0,0.0,80.0442197918,11.9299156651,27.0
2011-10-27,la,0.0,0.0,71.1233391106,8.4010057401,38.0
2011-10-28,la,0.0,0.0,70.1343440593,7.38824163851,30.0
2011-10-29,la,0.0,0.0,69.0152214818,8.72152702316,16.0
2011-10-30,la,0.0,0.0,61.3612430547,6.36138933083,25.0
2011-10-31,la,0.0,0.0,62.5148607099,7.46790834215,35.0
2011-11-01,la,0.0,0.0,57.8533651754,6.20975816959,33.0
2011-11-02,la,0.0,0.0,57.6191295126,5.94412311014,28.0
2011-11-03,la,0.0,0.0,74.9742493642,10.9821412988,26.0
2011-11-04,la,0.0,0.0,72.3491488236,6.88084049224,24.0
2011-11-05,la,0.0,0.0,47.6189310805,2.61937624991,19.0
2011-11-06,la,0.0,0.0,63.8567130492,6.5944330547,31.0
2011-11-07,la,0.0,0.0,71.8733326636,10.9935933498,41.0
2011-11-08,la,0.0,0.0,75.9944169945,8.78302602322,36.0
2011-11-09,la,0.0,0.0,82.839716607,5.22933724818,30.0
2011-11-10,la,0.0,0.0,72.0688234842,5.59953375377,39.0
2011-11-11,la,0.0,0.0,49.048740346,6.19091916248,35.0
2011-11-12,la,0.0,0.0,38.2052000779,3.46338614642,29.0
2011-11-13,la,0.0,0.0,59.734323928,8.71568079498,29.0
2011-11-14,la,0.0,0.0,78.8707824685,12.9023766498,31.0
2011-11-15,la,0.0,0.0,76.7111616413,9.51838926508,29.0
2011-11-16,la,0.0,0.0,67.8511336634,5.96231251092,30.0
2011-11-17,la,0.0,0.0,73.7032936336,11.1080244106,30.0
2011-11-18,la,0.0,0.0,68.8424266017,11.116322724,31.0
2011-11-19,la,0.0,0.0,60.934673438,8.35057749951,25.0
2011-11-20,la,0.0,0.0,62.2394755749,8.08624639493,32.0
