date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,lb,0.0,0.0,476.010168746,157.778715379,339.0
2011-09-09,lb,0.0,0.0,552.651512477,125.874205602,315.0
2011-09-11,lb,0.0,0.0,443.68914202,156.545191917,277.0
2011-09-12,lb,0.0,0.0,505.565498539,217.977217971,305.0
2011-09-13,lb,0.0,0.0,477.048911601,202.687155297,327.0
2011-09-14,lb,0.0,0.0,473.04094559,199.501813377,313.0
2011-09-15,lb,0.0,0.0,552.293222538,192.86448202,311.0
2011-09-16,lb,0.0,0.0,538.753456098,144.738556942,307.0
2011-09-17,lb,0.0,0.0,476.960567852,119.003074189,260.0
2011-09-18,lb,0.0,0.0,486.035312051,111.150973583,231.0
2011-09-19,lb,0.0,0.0,563.514716987,124.166885501,305.0
2011-09-20,lb,0.0,0.0,559.425919877,140.841576379,324.0
2011-09-21,lb,0.0,0.0,540.218817096,132.949500724,291.0
2011-09-22,lb,0.0,0.0,503.688362728,150.542610461,309.0
2011-09-23,lb,0.0,0.0,499.881271579,154.679972492,321.0
2011-09-24,lb,0.0,0.0,415.824035186,135.620237944,285.0
2011-09-25,lb,0.0,0.0,371.23212516,114.501591571,275.0
2011-09-26,lb,0.0,0.0,428.483895444,169.860380559,303.0
2011-09-27,lb,0.0,0.0,462.013041516,191.211514466,321.0
2011-09-28,lb,0.0,0.0,411.331608869,176.943756012,347.0
2011-09-29,lb,0.0,0.0,422.628904211,185.383498346,348.0
2011-09-30,lb,0.0,0.0,488.294690358,182.43782001,343.0
2011-10-01,lb,0.0,0.0,462.22067149,160.797131579,327.0
2011-10-02,lb,0.0,0.0,409.033616021,148.71716002,329.0
2011-10-03,lb,0.0,0.0,488.309974023,173.079664073,330.0
2011-10-04,lb,0.0,0.0,501.331473793,180.065682578,319.0
2011-10-05,lb,0.0,0.0,543.19213603,223.836409298,375.0
2011-10-06,lb,0.0,0.0,510.352775271,226.6336745,374.0
2011-10-07,lb,0.0,0.0,486.625136421,221.156185912,345.0
2011-10-08,lb,0.0,0.0,490.979858365,194.310159523,299.0
2011-10-09,lb,0.0,0.0,540.826788183,207.031376462,305.0
2011-10-10,lb,0.0,0.0,492.070432303,195.642004597,335.0
2011-10-11,lb,0.0,0.0,484.685101448,191.374410168,344.0
2011-10-12,lb,0.0,0.0,541.098746241,211.028498786,321.0
2011-10-13,lb,0.0,0.0,595.48827834,242.516455452,370.0
2011-10-14,lb,0.0,0.0,578.764643003,209.917370184,342.0
2011-10-15,lb,0.0,0.0,417.969040971,176.072875923,253.0
2011-10-16,lb,0.0,0.0,419.997221025,186.684802569,288.0
2011-10-17,lb,0.0,0.0,479.26885704,193.198466025,310.0
2011-10-18,lb,0.0,0.0,480.802864345,206.476559708,295.0
2011-10-19,lb,0.0,0.0,473.914806855,189.581924436,308.0
2011-10-20,lb,0.0,0.0,556.343255656,206.682260198,305.0
2011-10-21,lb,0.0,0.0,456.763155498,177.322032616,272.0
2011-10-22,lb,0.0,0.0,366.391554709,136.283451482,280.0
2011-10-23,lb,0.0,0.0,386.971235164,161.660353848,258.0
2011-10-24,lb,0.0,0.0,457.158397534,158.82314238,290.0
2011-10-25,lb,0.0,0.0,378.868583278,165.199927434,315.0
2011-10-26,lb,0.0,0.0,454.796703363,153.833123049,328.0
2011-10-27,lb,0.0,0.0,440.964702486,127.065211819,324.0
2011-10-28,lb,0.0,0.0,419.553665354,112.406819215,330.0
2011-10-29,lb,0.0,0.0,423.950646245,137.052567507,313.0
2011-10-30,lb,0.0,0.0,385.011721128,115.661624197,297.0
2011-10-31,lb,0.0,0.0,426.784145231,142.512584196,319.0
2011-11-01,lb,0.0,0.0,471.443380046,173.183255619,319.0
2011-11-02,lb,0.0,0.0,476.55821701,156.330437797,327.0
2011-11-03,lb,0.0,0.0,467.696507938,167.316152728,337.0
2011-11-04,lb,0.0,0.0,556.531914027,151.951894204,332.0
2011-11-05,lb,0.0,0.0,549.782204293,163.056171557,305.0
2011-11-06,lb,0.0,0.0,503.912757323,172.187974206,276.0
2011-11-07,lb,0.0,0.0,472.658526669,186.891086946,263.0
2011-11-08,lb,0.0,0.0,526.532746319,159.976545423,309.0
2011-11-09,lb,0.0,0.0,656.090555527,124.553305366,365.0
2011-11-10,lb,0.0,0.0,624.085343789,168.60818303,334.0
2011-11-11,lb,0.0,0.0,448.127127706,205.848062152,296.0
2011-11-12,lb,0.0,0.0,384.11714673,167.627889487,286.0
2011-11-13,lb,0.0,0.0,376.105002509,144.814388594,282.0
2011-11-14,lb,0.0,0.0,382.582153765,139.209853327,297.0
2011-11-15,lb,0.0,0.0,480.723279619,146.345234951,305.0
2011-11-16,lb,0.0,0.0,571.515318165,147.070375269,304.0
2011-11-17,lb,0.0,0.0,465.252041062,165.386141224,316.0
2011-11-18,lb,0.0,0.0,422.389125929,173.414634494,275.0
2011-11-19,lb,0.0,0.0,419.373928956,170.807267036,246.0
2011-11-20,lb,0.0,0.0,423.472510284,163.195154516,239.0
2011-11-21,lb,0.0,0.0,453.884257561,174.947991374,241.0
2011-11-22,lb,0.0,0.0,474.291529901,163.295618014,254.0
2011-11-23,lb,0.0,0.0,569.115050331,151.055039672,338.0
2011-11-24,lb,0.0,0.0,859.997874389,169.271944294,400.0
2011-11-25,lb,0.0,0.0,709.331004209,56.8335402851,260.0
2011-11-26,lb,0.0,0.0,591.176453146,74.3371338161,263.0
2011-11-27,lb,0.0,0.0,380.389158531,136.588284458,244.0
2011-11-28,lb,0.0,0.0,366.233923747,135.400739734,269.0
2011-11-29,lb,0.0,0.0,378.725823757,118.434703774,245.0
2011-11-30,lb,0.0,0.0,472.268264248,106.943253321,259.0
2011-12-01,lb,0.0,0.0,505.705913944,91.244064209,306.0
2011-12-02,lb,0.0,0.0,465.48756632,48.4017750011,284.0
2011-12-03,lb,0.0,0.0,435.150408195,62.4631226341,250.0
2011-12-04,lb,0.0,0.0,336.959884368,112.671835129,222.0
2011-12-05,lb,0.0,0.0,473.32044855,161.842397708,295.0
2011-12-06,lb,0.0,0.0,410.036151844,139.744098745,255.0
2011-12-07,lb,0.0,0.0,437.149789407,159.484430157,272.0
2011-12-08,lb,0.0,0.0,448.534613712,171.626924621,261.0
2011-12-09,lb,0.0,0.0,440.571117214,158.92708938,223.0
2011-12-10,lb,0.0,0.0,391.25350019,140.341664378,203.0
2011-12-11,lb,0.0,0.0,394.608416128,136.029728629,219.0
2011-12-12,lb,0.0,0.0,404.819969512,168.499556117,248.0
2011-12-13,lb,0.0,0.0,396.045621471,151.561031042,239.0
2011-12-14,lb,0.0,0.0,423.63296368,149.271026107,232.0
