date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,li,0.0,0.0,123.395433742,24.9816420356,51.0
2011-09-09,li,0.0,0.0,131.273060041,19.7305738165,60.0
2011-09-11,li,0.0,0.0,131.315193884,27.9264852952,61.0
2011-09-12,li,0.0,0.0,118.309004625,25.7365988298,65.0
2011-09-13,li,0.0,0.0,126.099104194,30.3923015659,70.0
2011-09-14,li,0.0,0.0,122.613655419,31.4645301872,44.0
2011-09-15,li,0.0,0.0,107.968059002,19.3279797038,53.0
2011-09-16,li,0.0,0.0,128.288170181,19.0325573239,48.0
2011-09-17,li,0.0,0.0,113.596166985,14.6844382111,44.0
2011-09-18,li,0.0,0.0,131.780241121,17.2515978657,45.0
2011-09-19,li,0.0,0.0,147.008062126,19.1223171223,51.0
2011-09-20,li,0.0,0.0,145.358382735,22.2844928544,55.0
2011-09-21,li,0.0,0.0,100.74280766,11.6649265691,58.0
2011-09-22,li,0.0,0.0,108.987041915,16.949067328,54.0
2011-09-23,li,0.0,0.0,101.305583125,15.9670828055,57.0
2011-09-24,li,0.0,0.0,91.7226643911,14.7971921096,53.0
2011-09-25,li,0.0,0.0,92.5754677984,14.2040524418,67.0
2011-09-26,li,0.0,0.0,93.4117191562,18.5125354219,56.0
2011-09-27,li,0.0,0.0,101.168303706,21.7222498098,55.0
2011-09-28,li,0.0,0.0,102.314598651,24.1629970195,52.0
2011-09-29,li,0.0,0.0,94.2298894603,21.4905395026,54.0
2011-09-30,li,0.0,0.0,109.076412441,22.033388475,56.0
2011-10-01,li,0.0,0.0,108.4996183,20.1129077429,59.0
2011-10-02,li,0.0,0.0,119.323532075,26.82821563,48.0
2011-10-03,li,0.0,0.0,114.518244966,21.3289244484,54.0
2011-10-04,li,0.0,0.0,110.739364489,20.5439929465,58.0
2011-10-05,li,0.0,0.0,109.03765368,20.9297639555,59.0
2011-10-06,li,0.0,0.0,100.786492912,23.9160535626,61.0
2011-10-07,li,0.0,0.0,101.979187985,23.9655883148,58.0
2011-10-08,li,0.0,0.0,112.028994348,24.5378518539,54.0
2011-10-09,li,0.0,0.0,102.847062312,19.6749204361,64.0
2011-10-10,li,0.0,0.0,102.365928074,21.2537567621,57.0
2011-10-11,li,0.0,0.0,111.55066398,23.3413042165,46.0
2011-10-12,li,0.0,0.0,108.675775759,22.5817252411,52.0
2011-10-13,li,0.0,0.0,121.378199598,27.1625978757,57.0
2011-10-14,li,0.0,0.0,123.771349773,23.9423385686,57.0
2011-10-15,li,0.0,0.0,95.1687503122,21.569503108,51.0
2011-10-16,li,0.0,0.0,108.998956062,28.6421799214,44.0
2011-10-17,li,0.0,0.0,102.980295313,22.4672331821,50.0
2011-10-18,li,0.0,0.0,84.5037899021,17.1914581855,59.0
2011-10-19,li,0.0,0.0,98.4403463738,19.9488889597,48.0
2011-10-20,li,0.0,0.0,110.144313233,21.2293490542,50.0
2011-10-21,li,0.0,0.0,98.1747652156,19.4935503414,52.0
2011-10-22,li,0.0,0.0,95.4528416236,18.2736593786,55.0
2011-10-23,li,0.0,0.0,78.2162451976,15.6092771385,49.0
2011-10-24,li,0.0,0.0,95.1591862694,16.6187057244,57.0
2011-10-25,li,0.0,0.0,97.7531244822,22.4847258492,54.0
2011-10-26,li,0.0,0.0,96.1179925246,14.1740796235,46.0
2011-10-27,li,0.0,0.0,92.7099013852,13.2980331313,48.0
2011-10-28,li,0.0,0.0,100.399873496,14.3984705039,35.0
2011-10-29,li,0.0,0.0,104.47521675,18.8131869409,31.0
2011-10-30,li,0.0,0.0,92.9030479668,14.3909026424,35.0
2011-10-31,li,0.0,0.0,104.021861137,19.3018673235,42.0
2011-11-01,li,0.0,0.0,101.814438145,20.0194074161,38.0
2011-11-02,li,0.0,0.0,93.8284339555,12.0766017935,47.0
2011-11-03,li,0.0,0.0,92.3578941862,15.6687294462,48.0
2011-11-04,li,0.0,0.0,81.4198380087,8.80528093332,50.0
2011-11-05,li,0.0,0.0,78.8203887716,8.08979684787,46.0
2011-11-06,li,0.0,0.0,82.2893229855,10.7148946525,48.0
2011-11-07,li,0.0,0.0,82.8937180025,14.5271402681,48.0
2011-11-08,li,0.0,0.0,83.0428632386,11.3118521017,44.0
2011-11-09,li,0.0,0.0,121.304523909,12.21490701,42.0
2011-11-10,li,0.0,0.0,115.351375633,15.7624307105,40.0
2011-11-11,li,0.0,0.0,84.3383959842,21.1503358529,41.0
2011-11-12,li,0.0,0.0,75.898228204,15.8628463055,43.0
2011-11-13,li,0.0,0.0,84.5904030884,16.7161853047,44.0
2011-11-14,li,0.0,0.0,90.0608131276,16.9453339832,38.0
2011-11-15,li,0.0,0.0,88.0039836991,13.9132639627,45.0
2011-11-16,li,0.0,0.0,87.3521462333,10.3621239608,40.0
2011-11-17,li,0.0,0.0,75.7873152407,11.7744424881,47.0
2011-11-18,li,0.0,0.0,74.6864413399,14.9653499361,39.0
2011-11-19,li,0.0,0.0,80.9671365295,16.2823464976,46.0
2011-11-20,li,0.0,0.0,86.717644137,16.1206296966,37.0
2011-11-21,li,0.0,0.0,78.8756797495,12.6079186245,40.0
2011-11-22,li,0.0,0.0,91.8789570437,14.7029935085,47.0
2011-11-23,li,0.0,0.0,100.741076044,11.8983078694,60.0
2011-11-24,li,0.0,0.0,167.602279741,16.233479629,66.0
2011-11-25,li,0.0,0.0,134.50424133,4.63365357688,47.0
2011-11-26,li,0.0,0.0,144.6021319,8.22442654547,48.0
2011-11-27,li,0.0,0.0,85.8167852275,11.2724490488,47.0
2011-11-28,li,0.0,0.0,80.4320738846,13.8600450782,48.0
2011-11-29,li,0.0,0.0,90.2466235968,14.5083986486,40.0
2011-11-30,li,0.0,0.0,100.660723438,15.3501341901,43.0
2011-12-01,li,0.0,0.0,106.044542063,9.48978680363,59.0
2011-12-02,li,0.0,0.0,111.889351834,4.14279961151,55.0
2011-12-03,li,0.0,0.0,102.508042346,7.25036708168,54.0
2011-12-04,li,0.0,0.0,83.0544482253,14.3701934707,43.0
2011-12-05,li,0.0,0.0,108.159579178,19.2962560989,53.0
2011-12-06,li,0.0,0.0,87.1280607287,14.5924492082,50.0
2011-12-07,li,0.0,0.0,94.5629199573,16.5356582757,50.0
2011-12-08,li,0.0,0.0,112.121575841,20.9531784061,53.0
2011-12-09,li,0.0,0.0,107.956281685,20.5282959507,33.0
2011-12-10,li,0.0,0.0,105.079914037,20.8627120502,30.0
2011-12-11,li,0.0,0.0,98.0353789282,16.8110335044,32.0
2011-12-12,li,0.0,0.0,93.0744465395,19.9862661986,37.0
2011-12-13,li,0.0,0.0,97.2114667751,20.0296500502,47.0
2011-12-14,li,0.0,0.0,99.3488727145,18.1007472328,58.0
2011-12-15,li,0.0,0.0,103.472441341,19.4980734576,49.0
2011-12-16,li,0.0,0.0,71.2246274615,10.8656080507,46.0
2011-12-17,li,0.0,0.0,68.274754786,9.02822411981,49.0
2011-12-18,li,0.0,0.0,69.1991881239,9.94651075726,45.0
2011-12-19,li,0.0,0.0,76.0038725991,12.3852942472,50.0
