date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,lk,0.0,0.0,421.284529018,147.896438404,270.0
2011-09-09,lk,0.0,0.0,482.67404547,124.921944862,303.0
2011-09-11,lk,0.0,0.0,410.624282603,148.546938053,298.0
2011-09-12,lk,0.0,0.0,401.377222871,167.437405164,257.0
2011-09-13,lk,0.0,0.0,389.930985104,152.675869349,279.0
2011-09-14,lk,0.0,0.0,381.313023271,158.009798208,295.0
2011-09-15,lk,0.0,0.0,446.947342535,153.448393214,302.0
2011-09-16,lk,0.0,0.0,521.162980899,140.913174508,308.0
2011-09-17,lk,0.0,0.0,527.526092191,134.539094919,271.0
2011-09-18,lk,0.0,0.0,521.443636605,121.076998461,296.0
2011-09-19,lk,0.0,0.0,483.420929184,105.311311285,327.0
2011-09-20,lk,0.0,0.0,484.45592156,120.962519721,315.0
2011-09-21,lk,0.0,0.0,511.263364354,126.217686891,315.0
2011-09-22,lk,0.0,0.0,485.215389493,149.349633376,313.0
2011-09-23,lk,0.0,0.0,490.748296957,161.901619733,298.0
2011-09-24,lk,0.0,0.0,427.339510878,146.20053026,284.0
2011-09-25,lk,0.0,0.0,461.538052032,154.661199658,310.0
2011-09-26,lk,0.0,0.0,465.162833623,179.273293713,332.0
2011-09-27,lk,0.0,0.0,458.200047531,182.396639717,365.0
2011-09-28,lk,0.0,0.0,450.194818505,188.591555973,341.0
2011-09-29,lk,0.0,0.0,437.023723189,182.483311722,344.0
2011-09-30,lk,0.0,0.0,456.192737043,167.698101051,328.0
2011-10-01,lk,0.0,0.0,463.110964441,160.417338106,257.0
2011-10-02,lk,0.0,0.0,455.484110126,170.549212915,233.0
2011-10-03,lk,0.0,0.0,536.121769209,188.387051504,271.0
2011-10-04,lk,0.0,0.0,574.343176999,198.108180022,277.0
2011-10-05,lk,0.0,0.0,572.4758658,195.074685417,296.0
2011-10-06,lk,0.0,0.0,508.455839192,223.852253399,286.0
2011-10-07,lk,0.0,0.0,470.471900462,209.39814693,294.0
2011-10-08,lk,0.0,0.0,395.381065126,148.032950229,296.0
2011-10-09,lk,0.0,0.0,393.683308374,139.951410325,265.0
2011-10-10,lk,0.0,0.0,410.897704257,155.424167526,246.0
2011-10-11,lk,0.0,0.0,435.433663965,157.156396925,267.0
2011-10-12,lk,0.0,0.0,438.773967335,160.200273371,334.0
2011-10-13,lk,0.0,0.0,463.161423206,180.167754525,329.0
2011-10-14,lk,0.0,0.0,505.369212376,173.7223168,329.0
2011-10-15,lk,0.0,0.0,415.808314352,173.963531815,266.0
2011-10-16,lk,0.0,0.0,371.94095122,159.70172627,275.0
2011-10-17,lk,0.0,0.0,361.565904329,137.451018774,295.0
2011-10-18,lk,0.0,0.0,380.203096386,155.456083184,309.0
2011-10-19,lk,0.0,0.0,472.589385535,205.545851115,317.0
2011-10-20,lk,0.0,0.0,525.72786288,169.620037523,271.0
2011-10-21,lk,0.0,0.0,449.844647094,165.272339349,260.0
2011-10-22,lk,0.0,0.0,391.851494074,140.878129407,268.0
2011-10-23,lk,0.0,0.0,369.381240948,155.770811589,270.0
2011-10-24,lk,0.0,0.0,440.440681907,148.994665939,297.0
2011-10-25,lk,0.0,0.0,408.374349443,167.505844575,257.0
2011-10-26,lk,0.0,0.0,487.295513586,143.17756965,247.0
2011-10-27,lk,0.0,0.0,396.068765655,107.966971756,250.0
2011-10-28,lk,0.0,0.0,398.747784489,107.601991753,231.0
2011-10-29,lk,0.0,0.0,400.696685768,132.674552944,193.0
2011-10-30,lk,0.0,0.0,398.829679088,121.612237829,211.0
2011-10-31,lk,0.0,0.0,431.063978901,146.88982941,249.0
2011-11-01,lk,0.0,0.0,355.404213762,157.490787436,242.0
2011-11-02,lk,0.0,0.0,368.871871391,112.947917125,246.0
2011-11-03,lk,0.0,0.0,377.787261823,120.820520404,245.0
2011-11-04,lk,0.0,0.0,400.586066308,103.480220868,263.0
2011-11-05,lk,0.0,0.0,360.172731119,90.3232812639,261.0
2011-11-06,lk,0.0,0.0,370.987633045,115.421602409,280.0
2011-11-07,lk,0.0,0.0,369.085517809,148.730856072,250.0
2011-11-08,lk,0.0,0.0,401.895848228,123.282844264,280.0
2011-11-09,lk,0.0,0.0,503.381783934,93.0975460168,298.0
2011-11-10,lk,0.0,0.0,448.003368444,125.484162874,271.0
2011-11-11,lk,0.0,0.0,363.343822116,158.600196562,253.0
2011-11-12,lk,0.0,0.0,337.866111916,139.776768392,235.0
2011-11-13,lk,0.0,0.0,383.416119481,147.320665065,237.0
2011-11-14,lk,0.0,0.0,366.151232663,131.560529199,243.0
2011-11-15,lk,0.0,0.0,426.991101899,137.30039014,281.0
2011-11-16,lk,0.0,0.0,469.445823647,121.006451037,283.0
2011-11-17,lk,0.0,0.0,384.220931724,132.508325386,278.0
2011-11-18,lk,0.0,0.0,349.897233477,154.922188927,260.0
2011-11-19,lk,0.0,0.0,345.135488075,139.660485366,246.0
2011-11-20,lk,0.0,0.0,359.739829395,134.985089503,239.0
2011-11-21,lk,0.0,0.0,378.256685345,139.856090078,255.0
2011-11-22,lk,0.0,0.0,441.106236662,148.928553785,238.0
2011-11-23,lk,0.0,0.0,536.320191882,139.368785513,257.0
2011-11-24,lk,0.0,0.0,767.314963077,148.961302352,307.0
2011-11-25,lk,0.0,0.0,679.670595688,53.4411030493,274.0
2011-11-26,lk,0.0,0.0,606.704938665,67.6358868613,306.0
2011-11-27,lk,0.0,0.0,412.882616645,123.844652018,261.0
2011-11-28,lk,0.0,0.0,384.916125831,146.709713087,260.0
2011-11-29,lk,0.0,0.0,361.206895276,109.403335185,223.0
2011-11-30,lk,0.0,0.0,369.526151632,78.6300693392,225.0
2011-12-01,lk,0.0,0.0,404.27407036,60.9069552123,252.0
2011-12-02,lk,0.0,0.0,503.456127021,36.7618238019,245.0
2011-12-03,lk,0.0,0.0,505.525799483,70.6116722258,228.0
2011-12-04,lk,0.0,0.0,357.208974544,121.698606429,203.0
2011-12-05,lk,0.0,0.0,451.447340922,158.373577455,294.0
2011-12-06,lk,0.0,0.0,371.387896697,129.482799979,266.0
2011-12-07,lk,0.0,0.0,387.229163615,134.700504791,239.0
2011-12-08,lk,0.0,0.0,388.492332236,123.594681423,224.0
2011-12-09,lk,0.0,0.0,398.221090253,123.975099953,203.0
2011-12-10,lk,0.0,0.0,356.968255335,127.024171721,176.0
2011-12-11,lk,0.0,0.0,358.315506448,125.212139261,167.0
2011-12-12,lk,0.0,0.0,406.432885285,166.41515331,211.0
2011-12-13,lk,0.0,0.0,409.211318418,160.158285641,210.0
2011-12-14,lk,0.0,0.0,380.837931655,128.176003435,209.0
2011-12-15,lk,0.0,0.0,355.208575845,119.275966863,211.0
2011-12-16,lk,0.0,0.0,328.311226362,117.609045953,216.0
2011-12-17,lk,0.0,0.0,296.617931194,97.1767474473,185.0
2011-12-18,lk,0.0,0.0,272.381401467,92.5079242882,192.0
2011-12-19,lk,0.0,0.0,322.442822331,119.897872884,233.0
2011-12-20,lk,0.0,0.0,324.654006378,120.896457665,240.0
2011-12-21,lk,0.0,0.0,330.079243678,117.472535826,235.0
2011-12-22,lk,0.0,0.0,331.617136222,122.527393771,237.0
2011-12-23,lk,0.0,0.0,307.146546542,126.23557765,201.0
2011-12-24,lk,0.0,0.0,268.521390794,99.6803967478,175.0
2011-12-25,lk,0.0,0.0,337.628820105,111.154261842,197.0
2011-12-26,lk,0.0,0.0,339.386126815,122.971756491,197.0
2011-12-27,lk,0.0,0.0,382.484638648,134.178290956,212.0
2011-12-28,lk,0.0,0.0,381.834424054,124.487234879,211.0
2011-12-29,lk,0.0,0.0,374.608506532,132.82567136,197.0
2011-12-30,lk,0.0,0.0,337.927849082,109.985297294,199.0
2011-12-31,lk,0.0,0.0,281.638684932,93.3810069447,185.0
2012-01-01,lk,0.0,0.0,278.684375701,84.6337572558,206.0
2012-01-02,lk,0.0,0.0,362.017711466,98.5753482206,223.0
2012-01-03,lk,0.0,0.0,343.812665353,114.811442344,231.0
2012-01-04,lk,0.0,0.0,357.044890471,121.191328215,257.0
2012-01-05,lk,0.0,0.0,409.96861414,100.846221993,270.0
2012-01-06,lk,0.0,0.0,485.036351326,71.5377262319,264.0
2012-01-07,lk,0.0,0.0,537.352983525,94.1239712841,232.0
