date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-09,lr,0.0,0.0,11.5305934539,0.0,1.0
2011-09-11,lr,0.0,0.0,18.8570945439,0.0,10.0
2011-09-12,lr,0.0,0.0,22.5994844596,0.0,2.0
2011-09-13,lr,0.0,0.0,15.8343280373,0.0,2.0
2011-09-14,lr,0.0,0.0,22.6304431615,0.0,5.0
2011-09-15,lr,0.0,0.0,14.6022072302,0.0,6.0
2011-09-16,lr,0.0,1.0,8.42351914172,0.0,11.0
2011-09-17,lr,0.0,0.0,18.1329912901,0.0,6.0
2011-09-18,lr,0.0,0.0,34.1872773925,0.507036390706,4.0
2011-09-19,lr,0.0,0.0,13.2208136051,0.0,6.0
2011-09-20,lr,0.0,0.0,12.6891384773,0.0,5.0
2011-09-21,lr,0.0,0.0,20.6560922256,0.0,3.0
2011-09-22,lr,0.0,0.0,22.4334347748,0.0,2.0
2011-09-23,lr,0.0,0.0,33.2033457483,0.644120005388,3.0
2011-09-24,lr,0.0,0.0,21.8186126715,0.0,6.0
2011-09-25,lr,0.0,0.0,16.5892748394,0.0,3.0
2011-09-26,lr,0.0,0.0,19.8773577313,0.0,4.0
2011-09-27,lr,0.0,0.0,17.8403889125,0.0,4.0
2011-09-28,lr,0.0,0.0,12.7081220817,0.0,3.0
2011-09-29,lr,0.0,0.0,10.2253998411,0.0,8.0
2011-09-30,lr,0.0,0.0,13.6431496292,0.0,5.0
2011-10-01,lr,0.0,0.0,22.1188484372,0.0,5.0
2011-10-02,lr,0.0,0.0,13.144358318,0.0,4.0
2011-10-03,lr,0.0,0.0,17.0968078751,0.0,6.0
2011-10-04,lr,0.0,0.0,16.6795155835,0.0,0.0
2011-10-05,lr,0.0,0.0,14.0845958578,0.0,1.0
2011-10-06,lr,0.0,0.0,25.0446324083,0.0,2.0
2011-10-07,lr,0.0,0.0,17.6276354603,0.0,10.0
2011-10-08,lr,0.0,0.0,18.6252687284,0.0,9.0
2011-10-09,lr,0.0,0.0,17.5747177122,0.0,11.0
2011-10-10,lr,0.0,0.0,20.8509708847,0.0,6.0
2011-10-12,lr,0.0,1.0,7.23461159855,0.0,12.0
2011-10-13,lr,0.0,1.0,11.8062811598,0.0,15.0
2011-10-14,lr,0.0,0.0,33.5390942018,0.767451669064,10.0
2011-10-15,lr,0.0,0.0,25.1758837421,0.0,3.0
2011-10-16,lr,0.0,0.0,28.3063714237,0.774984106653,10.0
2011-10-17,lr,0.0,0.0,20.1106859727,0.0,9.0
2011-10-18,lr,0.0,0.0,17.3665009064,0.0,4.0
2011-10-19,lr,0.0,0.0,32.8246955601,1.47486217155,3.0
2011-10-20,lr,0.0,0.0,38.8773129433,2.07181586053,5.0
2011-10-21,lr,0.0,0.0,26.6035552737,0.637277778499,5.0
2011-10-22,lr,0.0,0.0,12.8419285928,0.0,11.0
2011-10-23,lr,0.0,0.0,26.2741809596,0.712599440071,4.0
2011-10-24,lr,0.0,0.0,26.6314097641,0.0,4.0
2011-10-25,lr,0.0,0.0,13.6344293055,0.0,11.0
2011-10-26,lr,0.0,1.0,13.8359006461,0.0,14.0
2011-10-27,lr,0.0,0.0,17.528159405,0.0,11.0
2011-10-28,lr,0.0,0.0,18.471296699,0.0,6.0
2011-10-29,lr,0.0,0.0,30.588362325,0.626627710918,2.0
2011-10-30,lr,0.0,0.0,15.6106006092,0.0,6.0
2011-10-31,lr,0.0,0.0,15.536167528,0.0,7.0
2011-11-01,lr,0.0,0.0,30.6542323511,0.689241233227,5.0
2011-11-02,lr,0.0,0.0,36.0070979421,1.77223301158,4.0
2011-11-03,lr,0.0,0.0,29.8219521079,0.643280240782,6.0
2011-11-04,lr,0.0,0.0,23.4704557788,0.0,3.0
2011-11-05,lr,0.0,0.0,12.998490676,0.0,2.0
2011-11-06,lr,0.0,0.0,23.5138197582,0.0,2.0
2011-11-07,lr,0.0,0.0,22.5815755878,0.0,2.0
2011-11-08,lr,0.0,0.0,19.8589401585,0.0,5.0
2011-11-09,lr,0.0,0.0,21.3623861293,0.0,7.0
2011-11-10,lr,0.0,0.0,26.1327226934,0.0,2.0
2011-11-11,lr,0.0,0.0,11.9940528051,0.0,4.0
2011-11-12,lr,0.0,0.0,9.30971383016,0.0,2.0
2011-11-13,lr,0.0,0.0,9.99603136841,0.0,2.0
2011-11-14,lr,0.0,0.0,10.5663209015,0.0,3.0
2011-11-15,lr,0.0,0.0,18.4371731113,0.0,2.0
2011-11-16,lr,0.0,0.0,24.3061787059,0.0,4.0
2011-11-17,lr,0.0,0.0,10.3135161387,0.0,4.0
2011-11-18,lr,0.0,0.0,14.4573134562,0.0,3.0
2011-11-19,lr,0.0,0.0,10.5465754976,0.0,4.0
2011-11-20,lr,0.0,0.0,10.9760626764,0.0,4.0
2011-11-21,lr,0.0,0.0,13.7116478277,0.0,7.0
2011-11-22,lr,0.0,0.0,11.4442549522,0.0,4.0
2011-11-23,lr,0.0,0.0,20.0137384909,0.0,3.0
2011-11-24,lr,0.0,0.0,28.9831531579,0.0,1.0
2011-11-25,lr,0.0,0.0,23.0271454254,0.0,2.0
2011-11-26,lr,0.0,0.0,25.7480732091,0.0,2.0
2011-11-27,lr,0.0,0.0,18.00199607,0.0,5.0
2011-11-28,lr,0.0,0.0,23.307485023,0.0,3.0
2011-11-29,lr,0.0,0.0,15.3604821121,0.0,4.0
2011-11-30,lr,0.0,0.0,12.6939697602,0.0,2.0
2011-12-01,lr,0.0,0.0,6.16385951331,0.0,3.0
2011-12-02,lr,0.0,0.0,12.8529248074,0.0,3.0
2011-12-03,lr,0.0,0.0,12.0052744582,0.0,2.0
2011-12-04,lr,0.0,0.0,16.5372133981,0.0,1.0
