date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,ls,0.0,1.0,19.4233553112,0.0,27.0
2011-09-09,ls,0.0,0.0,42.4706958955,1.97305738165,25.0
2011-09-11,ls,0.0,0.0,52.2710965945,4.76793651382,29.0
2011-09-12,ls,0.0,0.0,30.1808685268,0.677278916573,20.0
2011-09-13,ls,0.0,1.0,27.1978460026,0.0,34.0
2011-09-14,ls,0.0,0.0,43.703877179,3.9330662734,17.0
2011-09-15,ls,0.0,0.0,64.780835401,7.15851100142,14.0
2011-09-16,ls,0.0,0.0,64.8489651465,5.19069745196,15.0
2011-09-17,ls,0.0,0.0,61.7065598439,4.35094465515,17.0
2011-09-18,ls,0.0,0.0,73.0520901868,5.58139930949,11.0
2011-09-19,ls,0.0,0.0,59.1063342567,3.1009162901,17.0
2011-09-20,ls,0.0,0.0,81.8522931906,8.15286323943,24.0
2011-09-21,ls,0.0,0.0,48.243034654,2.12089573983,21.0
2011-09-22,ls,0.0,0.0,39.8733080178,1.81597149943,15.0
2011-09-23,ls,0.0,0.0,41.3220141695,1.91604993667,8.0
2011-09-24,ls,0.0,0.0,43.9235294267,2.69039856538,7.0
2011-09-25,ls,0.0,0.0,32.1442596522,0.645638747354,14.0
2011-09-26,ls,0.0,0.0,39.6999806414,2.74259784028,16.0
2011-09-27,ls,0.0,0.0,52.3694748597,5.79259994928,20.0
2011-09-28,ls,0.0,0.0,46.5066357503,4.53056194115,24.0
2011-09-29,ls,0.0,0.0,35.1942960635,2.22315925889,19.0
2011-09-30,ls,0.0,0.0,25.0750373427,0.0,11.0
2011-10-01,ls,0.0,0.0,25.1401554597,0.0,2.0
2011-10-02,ls,0.0,0.0,36.1586460833,2.06370889462,7.0
2011-10-03,ls,0.0,0.0,43.9430474869,2.84385659312,11.0
2011-10-04,ls,0.0,0.0,50.8098260597,4.10879858931,7.0
2011-10-05,ls,0.0,0.0,59.2303303943,6.20141154238,21.0
2011-10-06,ls,0.0,0.0,44.9289185271,4.1234575108,21.0
2011-10-07,ls,0.0,0.0,29.6451127863,0.798852943828,17.0
2011-10-08,ls,0.0,0.0,11.2028994348,0.0,7.0
2011-10-09,ls,0.0,0.0,25.7117655781,0.0,7.0
2011-10-10,ls,0.0,0.0,30.8331108657,0.73288816421,20.0
2011-10-11,ls,0.0,1.0,24.0848024502,0.0,44.0
2011-10-12,ls,0.0,1.0,48.3003447816,4.10576822565,51.0
2011-10-13,ls,0.0,0.0,52.7731302598,4.79339962512,40.0
2011-10-14,ls,0.0,0.0,47.8207487759,2.99279232107,35.0
2011-10-15,ls,0.0,0.0,21.7856175414,0.0,7.0
2011-10-16,ls,0.0,0.0,21.572710054,0.0,10.0
2011-10-17,ls,0.0,0.0,46.1635806578,4.34849674493,15.0
2011-10-18,ls,1.0,0.0,82.188617576,16.4440034818,13.0
2011-10-19,ls,1.0,0.0,97.2250334556,19.9488889597,12.0
2011-10-20,ls,0.0,0.0,83.5577548666,13.0115365171,18.0
2011-10-21,ls,0.0,0.0,66.5782890543,9.43236306842,18.0
2011-10-22,ls,0.0,0.0,22.6700498856,0.0,7.0
2011-10-23,ls,0.0,0.0,26.4392941513,0.709512597205,8.0
2011-10-24,ls,0.0,0.0,37.8196765942,1.9175429682,11.0
2011-10-25,ls,0.0,0.0,30.4120831722,1.36271065753,14.0
2011-10-26,ls,0.0,0.0,34.1471815548,1.13392636988,15.0
2011-10-27,ls,0.0,0.0,42.7891852547,2.55731406371,9.0
2011-10-28,ls,0.0,0.0,44.6221659983,2.66638342664,11.0
2011-10-29,ls,0.0,0.0,23.3532837441,0.0,6.0
2011-10-30,ls,0.0,0.0,24.1306618096,0.0,4.0
2011-10-31,ls,0.0,0.0,29.8913394073,0.622640881403,10.0
2011-11-01,ls,0.0,0.0,36.8003993294,2.07097318097,18.0
2011-11-02,ls,0.0,0.0,39.8449514058,1.57520892959,18.0
2011-11-03,ls,0.0,0.0,26.735179896,0.0,19.0
2011-11-04,ls,0.0,0.0,34.4999313596,0.587018728888,18.0
2011-11-05,ls,0.0,0.0,24.8138260948,0.0,8.0
2011-11-06,ls,0.0,0.0,18.1315457426,0.0,13.0
2011-11-07,ls,0.0,0.0,29.2566063538,0.726357013407,13.0
2011-11-08,ls,0.0,0.0,47.4530647078,3.32701532403,16.0
2011-11-09,ls,0.0,0.0,58.2261714764,2.54477229376,18.0
2011-11-10,ls,0.0,0.0,56.1579065582,3.15248614209,17.0
2011-11-11,ls,0.0,0.0,38.9254135312,4.0673722794,17.0
2011-11-12,ls,0.0,0.0,20.7940351244,0.0,8.0
2011-11-13,ls,0.0,0.0,31.1648853484,1.33729482438,6.0
2011-11-14,ls,0.0,0.0,33.1802995733,1.35562671866,12.0
2011-11-15,ls,0.0,0.0,40.9032600291,2.52968435686,22.0
2011-11-16,ls,0.0,0.0,46.2452538882,2.59053099019,20.0
2011-11-17,ls,0.0,0.0,39.0419502755,2.47882999748,19.0
2011-11-18,ls,0.0,0.0,37.9005821725,3.15059998655,9.0
2011-11-19,ls,0.0,0.0,23.4687352259,0.0,4.0
2011-11-20,ls,0.0,0.0,20.7633795821,0.0,6.0
2011-11-21,ls,0.0,0.0,33.8038627498,1.48328454405,13.0
2011-11-22,ls,0.0,0.0,52.3199616499,4.67822520724,15.0
2011-11-23,ls,0.0,0.0,59.5288176624,3.75736037982,16.0
2011-11-24,ls,0.0,0.0,82.6837913387,3.38197492271,13.0
2011-11-25,ls,0.0,0.0,46.2358329572,0.0,9.0
2011-11-26,ls,0.0,0.0,25.7510645848,0.0,2.0
2011-11-27,ls,0.0,0.0,23.5304088527,0.0,3.0
2011-11-28,ls,0.0,0.0,34.1226980116,1.4589521135,7.0
2011-11-29,ls,0.0,0.0,37.3019377533,1.81354983107,7.0
2011-11-30,ls,0.0,0.0,36.5033392688,1.86062232608,10.0
2011-12-01,ls,0.0,0.0,30.2984405894,0.499462463349,7.0
2011-12-02,ls,0.0,0.0,32.8208765379,0.0,9.0
2011-12-03,ls,0.0,0.0,12.1391102778,0.0,6.0
2011-12-04,ls,0.0,0.0,12.181319073,0.0,7.0
2011-12-05,ls,0.0,0.0,27.0398947945,0.0,16.0
2011-12-06,ls,0.0,0.0,25.0823205128,0.0,12.0
2011-12-07,ls,0.0,0.0,32.8914504199,0.787412298841,14.0
2011-12-08,ls,0.0,0.0,23.6701104553,0.0,12.0
2011-12-09,ls,0.0,0.0,27.9416258478,0.0,10.0
2011-12-10,ls,0.0,0.0,21.5223920318,0.0,10.0
2011-12-11,ls,0.0,0.0,26.9952492701,0.0,12.0
2011-12-12,ls,0.0,0.0,37.456789461,2.85518088551,14.0
2011-12-13,ls,0.0,0.0,33.6501231144,1.54074231156,16.0
2011-12-14,ls,0.0,0.0,38.2111048902,2.08854775763,11.0
2011-12-15,ls,0.0,0.0,34.0701941002,1.39271953268,9.0
2011-12-16,ls,0.0,0.0,30.5248403406,0.776114860768,10.0
2011-12-17,ls,0.0,0.0,31.5114252859,0.752352009984,1.0
2011-12-18,ls,0.0,0.0,33.9705105335,1.53023242419,5.0
2011-12-19,ls,0.0,0.0,36.7760673866,2.18564016126,14.0
2011-12-20,ls,0.0,0.0,40.284241064,3.06468995038,15.0
