date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,lt,0.0,0.0,1270.77243792,544.914971476,898.0
2011-09-09,lt,0.0,0.0,1438.76182764,433.756567554,878.0
2011-09-11,lt,0.0,0.0,1273.48245153,543.292604123,944.0
2011-09-12,lt,0.0,0.0,1308.39120555,599.958131083,1000.0
2011-09-13,lt,0.0,0.0,1265.52821775,625.448473636,984.0
2011-09-14,lt,0.0,0.0,1248.24760175,658.469385688,907.0
2011-09-15,lt,0.0,0.0,1343.40306518,575.828434475,935.0
2011-09-16,lt,0.0,0.0,1389.88065838,446.1296196,933.0
2011-09-17,lt,0.0,0.0,1373.9228016,417.286296888,962.0
2011-09-18,lt,0.0,0.0,1509.93808483,421.854277067,959.0
2011-09-19,lt,0.0,0.0,1645.2568042,484.503272911,943.0
2011-09-20,lt,0.0,0.0,1555.12441561,474.488827719,960.0
2011-09-21,lt,0.0,0.0,1405.99134415,448.086981446,878.0
2011-09-22,lt,0.0,0.0,1386.9141146,503.629380752,871.0
2011-09-23,lt,0.0,0.0,1393.2123876,529.466644429,861.0
2011-09-24,lt,0.0,0.0,1384.84018074,582.368976744,863.0
2011-09-25,lt,0.0,0.0,1373.08151748,559.100774279,935.0
2011-09-26,lt,0.0,0.0,1238.24246103,577.775676047,890.0
2011-09-27,lt,0.0,0.0,1280.93992392,626.475443516,885.0
2011-09-28,lt,0.0,0.0,1143.73098735,599.984905271,849.0
2011-09-29,lt,0.0,0.0,1116.84089376,570.169592686,825.0
2011-09-30,lt,0.0,0.0,1205.55831269,541.326866496,843.0
2011-10-01,lt,0.0,0.0,1267.27990458,554.455509472,825.0
2011-10-02,lt,0.0,0.0,1255.8836902,570.129062819,815.0
2011-10-03,lt,0.0,0.0,1319.08448452,555.631561734,890.0
2011-10-04,lt,0.0,0.0,1280.47358095,532.338272695,834.0
2011-10-05,lt,0.0,0.0,1227.92067524,600.615924233,906.0
2011-10-06,lt,0.0,0.0,1169.58433347,563.993268601,831.0
2011-10-07,lt,0.0,0.0,1119.94243958,592.318528127,770.0
2011-10-08,lt,0.0,0.0,1159.73339949,534.006804408,756.0
2011-10-09,lt,0.0,0.0,1247.80495756,562.039690186,811.0
2011-10-10,lt,0.0,0.0,1230.2072822,583.445155179,804.0
2011-10-11,lt,0.0,0.0,1186.32408997,550.756555849,875.0
2011-10-12,lt,0.0,0.0,1229.88397175,555.177920177,898.0
2011-10-13,lt,0.0,0.0,1233.10047669,594.109507256,916.0
2011-10-14,lt,0.0,0.0,1222.77947611,513.425166604,867.0
2011-10-15,lt,0.0,0.0,984.148182646,493.257705658,763.0
2011-10-16,lt,0.0,0.0,1040.54221353,547.913763404,843.0
2011-10-17,lt,0.0,0.0,1078.87915336,507.98758277,847.0
2011-10-18,lt,0.0,0.0,1142.71575964,573.351961356,840.0
2011-10-19,lt,0.0,0.0,1230.31821877,581.833126677,875.0
2011-10-20,lt,0.0,0.0,1292.98418208,556.627861195,936.0
2011-10-21,lt,0.0,0.0,1085.20335887,484.331111659,848.0
2011-10-22,lt,0.0,0.0,1013.34491078,458.853335816,769.0
2011-10-23,lt,0.0,0.0,1043.3039356,525.185787332,774.0
2011-10-24,lt,0.0,0.0,1158.46632474,476.408311286,819.0
2011-10-25,lt,0.0,0.0,996.362141552,519.638768859,752.0
2011-10-26,lt,0.0,0.0,1241.4576307,434.227379093,839.0
2011-10-27,lt,0.0,0.0,1229.30824627,436.674713485,797.0
2011-10-28,lt,0.0,0.0,1179.70014918,402.503566744,726.0
2011-10-29,lt,0.0,0.0,1069.36914688,418.587310893,693.0
2011-10-30,lt,0.0,0.0,1056.7175797,386.805648131,667.0
2011-10-31,lt,0.0,0.0,1109.04334354,444.558439688,689.0
2011-11-01,lt,0.0,0.0,1049.6009157,449.385284064,739.0
2011-11-02,lt,0.0,0.0,1139.02453157,433.015599162,800.0
2011-11-03,lt,0.0,0.0,1078.36178822,446.436487103,827.0
2011-11-04,lt,0.0,0.0,1143.14925793,368.520296331,825.0
