date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,lu,0.0,0.0,881.168425879,356.72620943,788.0
2011-09-09,lu,0.0,0.0,1010.95508736,302.020123724,754.0
2011-09-11,lu,0.0,0.0,988.950974919,425.928424277,783.0
2011-09-12,lu,0.0,0.0,900.818199056,440.078843661,776.0
2011-09-13,lu,0.0,0.0,991.329244262,467.951539554,707.0
2011-09-14,lu,0.0,0.0,1082.78509438,550.255226925,702.0
2011-09-15,lu,0.0,0.0,1201.25486958,498.889088837,628.0
2011-09-16,lu,0.0,0.0,1208.53469625,383.988400534,538.0
2011-09-17,lu,0.0,0.0,1237.44152477,369.162150692,583.0
2011-09-18,lu,0.0,0.0,1273.52580479,349.378965897,599.0
2011-09-19,lu,0.0,0.0,1336.60582928,355.425675588,585.0
2011-09-20,lu,0.0,0.0,1141.22561114,336.927566345,586.0
2011-09-21,lu,0.0,0.0,1137.24233124,328.274327279,571.0
2011-09-22,lu,0.0,0.0,950.70657616,334.169804678,584.0
2011-09-23,lu,0.0,0.0,819.222490386,300.013613709,566.0
2011-09-24,lu,0.0,0.0,863.63523905,341.364445655,558.0
2011-09-25,lu,0.0,0.0,882.277160239,337.082101818,597.0
2011-09-26,lu,0.0,0.0,795.240500916,340.071858685,566.0
2011-09-27,lu,0.0,0.0,811.121755159,361.886560076,555.0
2011-09-28,lu,0.0,0.0,778.143524413,363.658617892,579.0
2011-09-29,lu,0.0,0.0,775.40167159,363.500894033,581.0
2011-09-30,lu,0.0,0.0,823.402824827,341.080883494,576.0
2011-10-01,lu,0.0,0.0,859.873653174,338.022248152,569.0
2011-10-02,lu,0.0,0.0,831.439248643,350.765182837,541.0
2011-10-03,lu,0.0,0.0,876.199010871,339.946559105,560.0
2011-10-04,lu,0.0,0.0,845.779335992,314.563664224,571.0
2011-10-05,lu,0.0,0.0,932.357538718,349.006346273,638.0
2011-10-06,lu,0.0,0.0,824.556095847,399.216654076,605.0
2011-10-07,lu,0.0,0.0,790.440195487,389.337238969,596.0
2011-10-08,lu,0.0,0.0,818.029789917,356.759410053,639.0
2011-10-09,lu,0.0,0.0,849.385220121,359.31345235,635.0
2011-10-10,lu,0.0,0.0,799.65122086,347.504978337,660.0
2011-10-11,lu,0.0,0.0,845.328696613,350.523945215,664.0
2011-10-12,lu,0.0,0.0,889.668762497,373.800637867,550.0
2011-10-13,lu,0.0,0.0,922.364201768,413.184717045,633.0
2011-10-14,lu,0.0,0.0,967.220520352,379.643166455,662.0
2011-10-15,lu,0.0,0.0,844.25168798,406.658341465,637.0
2011-10-16,lu,0.0,0.0,828.929376043,418.927716738,707.0
2011-10-17,lu,0.0,0.0,895.643645365,410.182777078,682.0
2011-10-18,lu,0.0,0.0,877.923513474,426.009458726,615.0
2011-10-19,lu,0.0,0.0,747.486676627,356.637390928,578.0
2011-10-20,lu,0.0,0.0,960.540381051,348.235077035,588.0
2011-10-21,lu,0.0,0.0,856.846946846,355.585942235,537.0
2011-10-22,lu,0.0,0.0,873.030836341,369.127790995,518.0
2011-10-23,lu,0.0,0.0,880.413105268,439.908310507,508.0
2011-10-24,lu,0.0,0.0,952.864743959,375.364244232,490.0
2011-10-25,lu,0.0,0.0,770.046313179,357.481985372,473.0
2011-10-26,lu,0.0,0.0,848.020763903,277.866350586,507.0
2011-10-27,lu,0.0,0.0,806.367546843,254.63908433,478.0
2011-10-28,lu,0.0,0.0,773.966972999,241.305456754,526.0
2011-10-29,lu,0.0,0.0,732.391223231,276.77562241,530.0
2011-10-30,lu,0.0,0.0,711.425914049,245.529920924,496.0
2011-10-31,lu,0.0,0.0,681.627338538,256.275872588,492.0
2011-11-01,lu,0.0,0.0,619.45060455,310.25685125,490.0
2011-11-02,lu,0.0,0.0,710.198116022,251.323899361,440.0
2011-11-03,lu,0.0,0.0,681.474771328,249.779210576,407.0
