date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,lv,0.0,0.0,1040.71880692,434.747379417,662.0
2011-09-09,lv,0.0,0.0,1144.09110604,334.975477762,661.0
2011-09-11,lv,0.0,0.0,1128.91139336,473.833676254,692.0
2011-09-12,lv,0.0,0.0,1019.35569378,451.871579697,648.0
2011-09-13,lv,0.0,0.0,1004.87081775,480.818322291,658.0
2011-09-14,lv,0.0,0.0,957.625068517,486.834247397,677.0
2011-09-15,lv,0.0,0.0,1008.87977227,414.538087176,676.0
2011-09-16,lv,0.0,0.0,1065.57517143,329.093018095,646.0
2011-09-17,lv,0.0,0.0,1140.9836058,337.647343495,603.0
2011-09-18,lv,0.0,0.0,1128.18015395,302.193688861,671.0
2011-09-19,lv,0.0,0.0,1094.38957065,304.38849688,714.0
2011-09-20,lv,0.0,0.0,1065.8876321,308.145043289,730.0
2011-09-21,lv,0.0,0.0,1068.60850447,327.210317693,608.0
2011-09-22,lv,0.0,0.0,1022.70070297,355.539088964,601.0
2011-09-23,lv,0.0,0.0,986.803435639,356.842482985,575.0
2011-09-24,lv,0.0,0.0,893.279671729,352.576742104,554.0
2011-09-25,lv,0.0,0.0,981.319411654,381.325232576,597.0
2011-09-26,lv,0.0,0.0,952.943914766,428.986272107,574.0
2011-09-27,lv,0.0,0.0,990.736264274,467.452751242,562.0
2011-09-28,lv,0.0,0.0,811.009245575,403.626209001,563.0
2011-09-29,lv,0.0,0.0,788.491943303,382.603973074,543.0
2011-09-30,lv,0.0,0.0,826.030695734,350.354788926,578.0
2011-10-01,lv,0.0,0.0,837.91402315,343.967769765,575.0
2011-10-02,lv,0.0,0.0,824.509749038,351.914415446,530.0
2011-10-03,lv,0.0,0.0,874.567479766,346.469360518,579.0
2011-10-04,lv,0.0,0.0,836.541858497,326.117140029,616.0
2011-10-05,lv,0.0,0.0,836.112826833,385.590573162,608.0
2011-10-06,lv,0.0,0.0,791.410384101,359.545708733,580.0
2011-10-07,lv,0.0,0.0,787.367717227,394.611122538,605.0
2011-10-08,lv,0.0,0.0,826.961931542,361.93794521,605.0
2011-10-09,lv,0.0,0.0,835.475042009,353.349847416,612.0
2011-10-10,lv,0.0,0.0,823.000086097,367.548036297,572.0
2011-10-11,lv,0.0,0.0,892.256465971,397.390875688,582.0
2011-10-12,lv,0.0,0.0,846.44955703,361.284123934,584.0
2011-10-13,lv,0.0,0.0,881.535659932,403.437998729,623.0
2011-10-14,lv,0.0,0.0,976.826118627,396.005061237,599.0
2011-10-15,lv,0.0,0.0,799.906487988,387.989292865,544.0
2011-10-16,lv,0.0,0.0,799.371929005,404.541703673,584.0
2011-10-17,lv,0.0,0.0,784.316752935,351.460738436,564.0
2011-10-18,lv,0.0,0.0,780.334774062,369.277534432,565.0
2011-10-19,lv,0.0,0.0,821.833118467,365.765818545,576.0
2011-10-20,lv,0.0,0.0,900.448732042,367.4020126,609.0
2011-10-21,lv,0.0,0.0,767.069177058,325.011667034,524.0
2011-10-22,lv,0.0,0.0,738.994618114,318.147554592,469.0
2011-10-23,lv,0.0,0.0,740.056097028,353.449322275,515.0
2011-10-24,lv,0.0,0.0,791.67918117,307.31872172,537.0
2011-10-25,lv,0.0,0.0,688.014278798,339.110313737,501.0
2011-10-26,lv,0.0,0.0,838.958702812,276.841184324,544.0
2011-10-27,lv,0.0,0.0,821.486404113,275.041476091,518.0
2011-10-28,lv,0.0,0.0,752.39748554,239.22381797,537.0
2011-10-29,lv,0.0,0.0,675.391040135,245.011434969,526.0
2011-10-30,lv,0.0,0.0,722.890889748,248.866041071,502.0
2011-10-31,lv,0.0,0.0,746.931131153,281.657305145,509.0
2011-11-01,lv,0.0,0.0,718.53520631,289.481317955,508.0
2011-11-02,lv,0.0,0.0,759.749766578,271.151650771,512.0
2011-11-03,lv,0.0,0.0,721.69124101,280.470184981,495.0
2011-11-04,lv,0.0,0.0,862.884403634,265.827538595,502.0
2011-11-05,lv,0.0,0.0,885.341642711,287.059778297,531.0
2011-11-06,lv,0.0,0.0,811.918364593,310.034041904,538.0
2011-11-07,lv,0.0,0.0,707.159867093,331.090516631,496.0
2011-11-08,lv,0.0,0.0,786.414030277,287.53474728,531.0
2011-11-09,lv,0.0,0.0,982.669761946,217.621833257,573.0
2011-11-10,lv,0.0,0.0,891.587009541,259.232644953,533.0
2011-11-11,lv,0.0,0.0,640.046272418,339.838284584,501.0
2011-11-12,lv,0.0,0.0,640.301428985,309.746086481,457.0
2011-11-13,lv,0.0,0.0,695.279515181,304.025260058,447.0
2011-11-14,lv,0.0,0.0,682.114715976,283.094084753,445.0
2011-11-15,lv,0.0,0.0,760.840677059,282.615440082,475.0
2011-11-16,lv,0.0,0.0,849.436982142,247.824780277,490.0
2011-11-17,lv,0.0,0.0,711.632613569,276.756599412,476.0
2011-11-18,lv,0.0,0.0,651.691206564,331.499356982,447.0
2011-11-19,lv,0.0,0.0,631.622688135,294.87008556,451.0
2011-11-20,lv,0.0,0.0,643.929010349,271.531319313,454.0
2011-11-21,lv,0.0,0.0,655.666068854,274.708454184,464.0
2011-11-22,lv,0.0,0.0,709.543807037,268.044326748,498.0
2011-11-23,lv,0.0,0.0,883.68353029,257.820091306,558.0
2011-11-24,lv,0.0,0.0,1246.27558579,284.171991114,733.0
2011-11-25,lv,0.0,0.0,1105.30298042,109.729945936,565.0
2011-11-26,lv,0.0,0.0,1053.69038056,138.680106477,513.0
2011-11-27,lv,0.0,0.0,740.851376728,250.36897627,469.0
2011-11-28,lv,0.0,0.0,669.783516978,279.382533424,459.0
2011-11-29,lv,0.0,0.0,688.858543952,257.729208591,447.0
2011-11-30,lv,0.0,0.0,747.790218601,187.202798217,462.0
2011-12-01,lv,0.0,0.0,858.831092188,181.143612111,521.0
2011-12-02,lv,0.0,0.0,936.83540818,102.487732437,465.0
2011-12-03,lv,0.0,0.0,799.01771116,127.510521707,512.0
2011-12-04,lv,0.0,0.0,608.56945305,236.583168461,445.0
2011-12-05,lv,0.0,0.0,766.585400799,301.000595614,505.0
2011-12-06,lv,0.0,0.0,682.210812949,300.041373302,602.0
2011-12-07,lv,0.0,0.0,730.404261803,318.43117318,543.0
2011-12-08,lv,0.0,0.0,741.484665812,292.397452129,459.0
2011-12-09,lv,0.0,0.0,701.511851693,259.547290223,443.0
2011-12-10,lv,0.0,0.0,739.679905771,316.650602419,430.0
2011-12-11,lv,0.0,0.0,720.101477742,308.824924988,434.0
2011-12-12,lv,0.0,0.0,661.172546085,307.335694136,422.0
