date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,ly,0.0,1.0,220.841256173,58.4575815974,243.0
2011-09-09,ly,0.0,0.0,232.836230438,41.1951945607,232.0
2011-09-11,ly,0.0,0.0,201.105560122,55.1701116889,201.0
2011-09-12,ly,0.0,0.0,196.928702164,63.8519123351,178.0
2011-09-13,ly,0.0,0.0,216.181658675,72.2218599335,178.0
2011-09-14,ly,0.0,0.0,234.705737709,80.7322513277,175.0
2011-09-15,ly,0.0,0.0,408.158162022,132.108637867,169.0
2011-09-16,ly,0.0,0.0,409.340093276,102.643279425,165.0
2011-09-17,ly,0.0,0.0,344.471521227,78.607535244,155.0
2011-09-18,ly,0.0,0.0,364.882814912,76.8324702189,153.0
2011-09-19,ly,0.0,0.0,348.409636847,67.2143057877,164.0
2011-09-20,ly,0.0,0.0,324.919094878,70.4207881895,162.0
2011-09-21,ly,0.0,0.0,320.444757647,68.3435184447,143.0
2011-09-22,ly,0.0,0.0,291.049476088,74.6642785754,165.0
2011-09-23,ly,0.0,0.0,287.364902111,75.4381833056,160.0
2011-09-24,ly,0.0,0.0,262.149935226,74.5239921375,186.0
2011-09-25,ly,0.0,0.0,257.302266059,70.5122795551,161.0
2011-09-26,ly,0.0,0.0,246.493423723,83.5263854813,132.0
2011-09-27,ly,0.0,0.0,248.052803461,86.3774022878,131.0
2011-09-28,ly,0.0,0.0,218.915982311,77.7013885097,163.0
2011-09-29,ly,0.0,0.0,241.662804269,89.6773833462,156.0
2011-09-30,ly,0.0,0.0,261.675872525,81.6356003936,153.0
2011-10-01,ly,0.0,0.0,315.630687103,98.3446742246,164.0
2011-10-02,ly,0.0,0.0,253.383655942,79.8666229737,136.0
2011-10-03,ly,0.0,0.0,233.596933519,65.6260392944,142.0
2011-10-04,ly,0.0,0.0,226.241895866,63.7586658156,142.0
2011-10-05,ly,0.0,0.0,276.794078886,94.3310582043,154.0
2011-10-06,ly,0.0,0.0,249.695271911,90.3308595872,119.0
2011-10-07,ly,0.0,0.0,236.260030002,87.3406676248,117.0
2011-10-08,ly,0.0,0.0,265.327499218,88.2553777987,124.0
2011-10-09,ly,0.0,0.0,245.337465316,74.4999271359,138.0
2011-10-10,ly,0.0,0.0,231.273103183,73.8271715461,149.0
