date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,ma,0.0,0.0,1617.97687165,651.54663761,1332.0
2011-09-09,ma,0.0,0.0,1945.65447734,541.945670665,1457.0
2011-09-11,ma,0.0,0.0,1827.54677761,816.517652996,1305.0
2011-09-12,ma,0.0,0.0,1884.06641369,990.071606207,1350.0
2011-09-13,ma,0.0,0.0,1946.84264684,1030.52051755,1343.0
2011-09-14,ma,0.0,0.0,1946.60583492,1028.55993278,1521.0
2011-09-15,ma,0.0,0.0,1980.17326129,846.343038313,1543.0
2011-09-16,ma,0.0,0.0,2252.07384651,759.444938219,1508.0
2011-09-17,ma,0.0,0.0,2076.59147816,663.796964283,1459.0
2011-09-18,ma,0.0,0.0,2053.89115738,600.829917111,1483.0
2011-09-19,ma,0.0,0.0,2255.57369246,623.912945327,1632.0
2011-09-20,ma,0.0,0.0,2092.19643267,649.913991765,1618.0
2011-09-21,ma,0.0,0.0,2365.0524591,735.760690756,1629.0
2011-09-22,ma,0.0,0.0,2247.32723318,849.230290463,1593.0
2011-09-23,ma,0.0,0.0,2212.04145578,865.954272231,1569.0
2011-09-24,ma,0.0,0.0,2070.08052299,885.559870535,1504.0
2011-09-25,ma,0.0,0.0,2084.020344,868.142010669,1543.0
2011-09-26,ma,0.0,0.0,2054.87975664,1041.62316012,1544.0
2011-09-27,ma,0.0,0.0,2080.82209538,1085.99280996,1523.0
2011-09-28,ma,0.0,0.0,2052.04928682,1139.36392458,1492.0
2011-09-29,ma,0.0,0.0,1960.27874719,1090.44683783,1419.0
2011-09-30,ma,0.0,0.0,2151.00071291,1010.86169531,1495.0
2011-10-01,ma,0.0,0.0,2179.04030845,977.703987547,1587.0
2011-10-02,ma,0.0,0.0,2040.34172475,963.219013278,1459.0
2011-10-03,ma,0.0,0.0,2233.02831364,1009.63137376,1550.0
2011-10-04,ma,0.0,0.0,2146.72708009,966.889657423,1627.0
2011-10-05,ma,0.0,0.0,2128.58545172,1080.01067486,1722.0
2011-10-06,ma,0.0,0.0,1901.33814367,1033.15920653,1651.0
2011-10-07,ma,0.0,0.0,1928.86920016,1084.14608529,1599.0
2011-10-08,ma,0.0,0.0,2153.61619692,1068.70587738,1575.0
2011-10-09,ma,0.0,0.0,2172.795342,1034.37267255,1654.0
2011-10-10,ma,0.0,0.0,2090.06916121,1038.01003194,1513.0
2011-10-11,ma,0.0,0.0,2222.30617391,1109.97157898,1519.0
2011-10-12,ma,0.0,0.0,2263.21480053,1086.27784621,1676.0
2011-10-13,ma,0.0,0.0,2397.90369224,1198.22275029,1733.0
2011-10-14,ma,0.0,0.0,2434.70703186,1096.40295506,1694.0
2011-10-15,ma,0.0,0.0,1975.33313884,1062.38064376,1521.0
2011-10-16,ma,0.0,0.0,2040.14779138,1160.99433003,1486.0
2011-10-17,ma,0.0,0.0,1964.41062392,984.66578781,1532.0
2011-10-18,ma,0.0,0.0,1930.16282409,1025.67417385,1635.0
