date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,mc,0.0,0.0,148.954766824,30.6700812898,72.0
2011-09-09,mc,0.0,0.0,134.286457749,20.3853352778,76.0
2011-09-11,mc,0.0,0.0,134.415036838,28.8802614267,67.0
2011-09-12,mc,0.0,0.0,180.829117193,47.43347844,73.0
2011-09-13,mc,0.0,0.0,175.454945047,52.2218754367,67.0
2011-09-14,mc,0.0,0.0,139.839575207,39.7393700404,66.0
2011-09-15,mc,0.0,0.0,144.040978442,29.4906193573,77.0
2011-09-16,mc,0.0,0.0,155.513260677,25.7207036386,67.0
2011-09-17,mc,0.0,0.0,93.6924234778,10.213704687,44.0
2011-09-18,mc,0.0,0.0,141.656892175,19.3273945972,48.0
2011-09-19,mc,0.0,0.0,157.18177319,23.5606452237,49.0
2011-09-20,mc,0.0,0.0,140.038991871,20.9183370598,56.0
2011-09-21,mc,0.0,0.0,134.945071628,21.3580829635,70.0
2011-09-22,mc,0.0,0.0,147.784226286,28.7497701895,70.0
2011-09-23,mc,0.0,0.0,131.566559294,25.1790071562,69.0
2011-09-24,mc,0.0,0.0,91.1332511172,15.1124274188,66.0
2011-09-25,mc,0.0,0.0,97.2029827839,16.5227396576,53.0
2011-09-26,mc,0.0,0.0,90.5613153851,17.297778108,68.0
2011-09-27,mc,0.0,0.0,102.223471593,22.1257410802,70.0
2011-09-28,mc,0.0,0.0,119.047536227,31.9561637971,51.0
2011-09-29,mc,0.0,0.0,118.582314919,29.836950692,49.0
2011-09-30,mc,0.0,0.0,126.861820478,28.5056885974,56.0
2011-10-01,mc,0.0,0.0,127.991118311,27.8884699716,56.0
2011-10-02,mc,0.0,0.0,98.1619519398,19.3885878816,44.0
2011-10-03,mc,0.0,0.0,133.062222681,28.4823769477,52.0
2011-10-04,mc,0.0,0.0,133.231769792,27.8920980694,61.0
2011-10-05,mc,0.0,0.0,106.849629754,20.8033985657,67.0
2011-10-06,mc,0.0,0.0,96.6240196507,19.5275423945,51.0
2011-10-07,mc,0.0,0.0,101.819074397,23.9518313509,51.0
2011-10-08,mc,0.0,0.0,107.094081913,21.9836288141,54.0
2011-10-09,mc,0.0,0.0,96.2389780675,17.2236404514,42.0
2011-10-10,mc,0.0,0.0,99.9873162713,19.8031772075,45.0
2011-10-11,mc,0.0,0.0,115.752151231,25.5911515681,54.0
2011-10-12,mc,0.0,0.0,119.379589743,27.1792603999,50.0
