date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,md,0.0,0.0,4325.2847064,1893.34458455,2861.0
2011-09-09,md,0.0,0.0,5497.07606116,1668.40537971,3195.0
2011-09-11,md,0.0,0.0,4754.88958715,2302.66253662,3365.0
2011-09-12,md,0.0,0.0,4057.19191652,2271.51343307,3044.0
2011-09-13,md,0.0,0.0,4106.24379606,2314.20583443,3353.0
2011-09-14,md,0.0,1.0,4108.56023331,2310.18442261,4587.0
2011-09-15,md,0.0,1.0,4124.68743271,1882.01824213,4513.0
2011-09-16,md,0.0,0.0,4792.5144254,1722.44649238,4406.0
2011-09-17,md,0.0,0.0,4833.75826952,1660.58418203,4140.0
2011-09-18,md,0.0,0.0,5106.93408528,1613.99409106,4397.0
2011-09-19,md,0.0,0.0,4924.69447561,1457.67818888,4650.0
2011-09-20,md,0.0,0.0,5043.3094292,1687.94866347,4610.0
2011-09-21,md,0.0,0.0,6864.04014058,2315.67062105,4435.0
2011-09-22,md,0.0,0.0,6332.65184275,2588.96868394,4339.0
2011-09-23,md,0.0,0.0,6221.78427593,2637.80067844,4155.0
2011-09-24,md,0.0,0.0,5657.53136071,2620.42469651,3886.0
2011-09-25,md,0.0,0.0,5947.39466722,2686.58254121,3982.0
2011-09-26,md,0.0,0.0,5650.91933077,3087.66865321,3807.0
2011-09-27,md,0.0,0.0,5719.32174803,3218.85020491,3914.0
2011-09-28,md,0.0,0.0,5398.00724805,3222.68432146,4211.0
2011-09-29,md,0.0,0.0,5154.72381572,3086.71060661,4536.0
2011-09-30,md,0.0,0.0,5505.20962437,2780.57953688,4758.0
2011-10-01,md,0.0,0.0,5440.99761868,2624.43889756,4592.0
2011-10-02,md,0.0,0.0,5090.59830676,2581.20663387,3983.0
2011-10-03,md,0.0,0.0,5330.49725697,2581.77165576,4049.0
2011-10-04,md,0.0,0.0,5333.39560197,2580.47435383,4084.0
2011-10-05,md,0.0,0.0,5787.98510497,3175.27934904,4587.0
2011-10-06,md,0.0,0.0,5833.12515698,3458.38148134,4363.0
2011-10-07,md,0.0,0.0,5897.09736576,3609.01254112,4295.0
2011-10-08,md,0.0,0.0,6008.30402434,3220.20882691,4333.0
2011-10-09,md,0.0,0.0,5720.02267201,2940.78659747,4412.0
2011-10-10,md,0.0,0.0,5274.99503429,2816.50659448,3984.0
2011-10-11,md,0.0,0.0,5401.49066666,2887.87737384,4089.0
2011-10-12,md,0.0,0.0,5833.98447784,3000.75606306,3927.0
2011-10-13,md,0.0,0.0,6129.00993621,3285.93842108,4267.0
2011-10-14,md,0.0,0.0,6317.71693239,3060.41403365,4427.0
2011-10-15,md,0.0,0.0,5244.65262369,3038.55722585,3693.0
2011-10-16,md,0.0,0.0,5262.38453548,3214.52715829,3962.0
2011-10-17,md,0.0,0.0,4995.04653226,2694.00537569,3960.0
2011-10-18,md,0.0,0.0,5015.41108373,2872.03676734,3731.0
2011-10-19,md,0.0,0.0,5057.52160547,2726.43888216,3694.0
2011-10-20,md,0.0,0.0,5653.6503818,2764.46106165,3629.0
2011-10-21,md,0.0,0.0,5172.5938941,2696.58451055,3452.0
2011-10-22,md,0.0,0.0,4575.22702552,2412.07802649,3216.0
2011-10-23,md,0.0,0.0,4601.99786181,2656.35735618,3368.0
2011-10-24,md,0.0,0.0,5074.70009538,2397.13633519,2906.0
2011-10-25,md,0.0,0.0,4156.00994399,2485.79804972,3306.0
2011-10-26,md,0.0,0.0,4756.56712157,2178.77933462,3981.0
2011-10-27,md,0.0,0.0,4569.67453786,1788.88915978,3204.0
2011-10-28,md,0.0,0.0,4600.06153089,1707.73928159,2859.0
2011-10-29,md,0.0,0.0,4225.94990109,1873.25941133,2612.0
2011-10-30,md,0.0,0.0,4314.53759989,1823.98381359,2353.0
2011-10-31,md,0.0,0.0,3737.66734514,1685.25798254,2174.0
2011-11-01,md,0.0,0.0,4335.30962016,2134.77686408,2183.0
2011-11-02,md,1.0,0.0,5063.28100592,2227.85734168,2211.0
2011-11-03,md,0.0,0.0,4066.46047742,1935.44090183,2296.0
2011-11-04,md,0.0,0.0,4257.46914231,1526.39978253,2249.0
2011-11-05,md,0.0,0.0,4046.16614393,1587.34200745,2353.0
2011-11-06,md,0.0,0.0,3520.44835419,1593.65465489,2353.0
2011-11-07,md,0.0,0.0,2862.75138575,1468.01116531,2095.0
2011-11-08,md,0.0,0.0,3201.26481589,1261.61895234,2229.0
2011-11-09,md,0.0,0.0,3956.42486515,968.853573798,2241.0
2011-11-10,md,0.0,0.0,3796.64695632,1319.00128422,2296.0
2011-11-11,md,0.0,0.0,2705.48392772,1605.76965777,2141.0
2011-11-12,md,0.0,0.0,2618.6050648,1506.57297369,2026.0
2011-11-13,md,0.0,0.0,2805.30084225,1458.2004407,2102.0
2011-11-14,md,0.0,0.0,2668.65766949,1308.57262128,2016.0
2011-11-15,md,0.0,0.0,3077.39610118,1223.11302056,2221.0
2011-11-16,md,0.0,0.0,3156.38254484,1027.00833001,2225.0
2011-11-17,md,0.0,0.0,2851.39617245,1308.27843058,2072.0
2011-11-18,md,0.0,0.0,2701.19012852,1460.68480593,1991.0
2011-11-19,md,0.0,0.0,2623.77535039,1412.76588424,1937.0
2011-11-20,md,0.0,0.0,2776.36876339,1421.70913889,1839.0
2011-11-21,md,0.0,0.0,2732.05813436,1377.99460439,1625.0
2011-11-22,md,0.0,0.0,3057.39539974,1381.93977559,1684.0
2011-11-23,md,0.0,0.0,3686.20880309,1286.1615826,1787.0
2011-11-24,md,0.0,0.0,5023.37300066,1279.61529317,2538.0
2011-11-25,md,0.0,0.0,4517.53875542,480.717028244,2043.0
2011-11-26,md,0.0,0.0,4062.88915348,694.465329072,1819.0
2011-11-27,md,0.0,0.0,2545.6812917,1248.59507858,1768.0
2011-11-28,md,0.0,0.0,2162.11854651,1081.0102302,1690.0
2011-11-29,md,0.0,0.0,2211.03742822,922.227591828,1587.0
2011-11-30,md,0.0,0.0,2252.53441722,641.659519927,1515.0
2011-12-01,md,0.0,0.0,2897.18493135,654.56488745,1798.0
2011-12-02,md,0.0,0.0,3199.14280828,449.753127114,1679.0
2011-12-03,md,0.0,0.0,2651.07017916,506.713038734,1539.0
2011-12-04,md,0.0,0.0,2134.81821478,967.299690945,1515.0
2011-12-05,md,0.0,0.0,2630.35008306,1186.07357177,1902.0
2011-12-06,md,0.0,0.0,2335.18949427,1065.45632959,1679.0
2011-12-07,md,0.0,0.0,2263.37367599,1088.62009042,1803.0
2011-12-08,md,0.0,0.0,2354.50609557,1159.71773756,1745.0
2011-12-09,md,0.0,0.0,2315.20753287,1084.81928421,1773.0
2011-12-10,md,0.0,0.0,2122.33007981,1014.38664149,1864.0
2011-12-11,md,0.0,0.0,2350.67809177,1104.33602177,1823.0
2011-12-12,md,0.0,0.0,2316.78132136,1259.76921354,1754.0
2011-12-13,md,0.0,0.0,2298.56857525,1170.38796194,1569.0
2011-12-14,md,0.0,0.0,2482.36270956,1154.22244131,1450.0
2011-12-15,md,0.0,0.0,2393.00705352,1102.78927892,1421.0
2011-12-16,md,0.0,0.0,2462.92795401,1242.01006274,1910.0
2011-12-17,md,0.0,0.0,2659.18839125,1280.56682123,2359.0
2011-12-18,md,0.0,0.0,2491.10711369,1279.8273686,2432.0
2011-12-19,md,0.0,1.0,2338.68061415,1171.01910345,2549.0
2011-12-20,md,0.0,1.0,2087.21663732,1100.52515847,2464.0
2011-12-21,md,0.0,1.0,2007.13026142,973.575234849,2323.0
2011-12-22,md,0.0,1.0,1975.21705508,970.860627987,2381.0
2011-12-23,md,0.0,1.0,2364.57537381,1339.05207763,2371.0
2011-12-24,md,0.0,0.0,2831.02489021,1622.72487488,2432.0
2011-12-25,md,0.0,0.0,3569.32867076,1758.88382716,2996.0
2011-12-26,md,0.0,0.0,3120.83883878,1716.06224096,2358.0
2011-12-27,md,0.0,0.0,3274.90321976,1783.44555308,2450.0
2011-12-28,md,0.0,0.0,3192.30894617,1564.4287333,2348.0
2011-12-29,md,0.0,0.0,3210.76589787,1656.17593792,2490.0
2011-12-30,md,0.0,0.0,3391.14586897,1597.12547129,2737.0
2011-12-31,md,0.0,0.0,3384.62865843,1554.10520927,2841.0
2012-01-01,md,0.0,0.0,3602.93323522,1561.13983128,2923.0
