date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,mg,0.0,0.0,302.177908249,97.0200635929,205.0
2011-09-09,mg,0.0,0.0,315.448391921,72.7457108637,194.0
2011-09-11,mg,0.0,0.0,225.658389539,67.5853367447,165.0
2011-09-12,mg,0.0,0.0,242.878830885,87.4230699529,233.0
2011-09-13,mg,0.0,0.0,345.926234434,130.537868293,267.0
2011-09-14,mg,0.0,0.0,339.34460876,135.777263787,285.0
2011-09-15,mg,0.0,0.0,348.967895073,111.995509739,255.0
2011-09-16,mg,0.0,0.0,349.320052062,84.5479047047,185.0
2011-09-17,mg,0.0,0.0,263.763046095,54.6906889914,128.0
2011-09-18,mg,0.0,0.0,307.995554588,61.0515373594,151.0
2011-09-19,mg,0.0,0.0,442.504424206,93.727067044,196.0
2011-09-20,mg,0.0,0.0,466.09461841,114.886776721,181.0
2011-09-21,mg,0.0,0.0,495.684702283,121.342325595,203.0
2011-09-22,mg,0.0,0.0,415.523206178,123.213447535,239.0
2011-09-23,mg,0.0,0.0,311.461585802,90.5327424629,228.0
2011-09-24,mg,0.0,0.0,220.067053506,60.687012561,130.0
2011-09-25,mg,0.0,0.0,253.718431918,71.3820921496,111.0
2011-09-26,mg,0.0,0.0,293.663405065,99.9003850462,164.0
2011-09-27,mg,0.0,0.0,278.748331788,96.648418655,195.0
2011-09-28,mg,0.0,0.0,303.264394711,114.206838677,198.0
2011-09-29,mg,0.0,0.0,342.966123972,134.847105851,204.0
2011-09-30,mg,0.0,0.0,358.437150533,123.641820267,187.0
2011-10-01,mg,0.0,0.0,230.891999463,64.4533947748,137.0
2011-10-02,mg,0.0,0.0,183.157631585,51.0957156101,124.0
2011-10-03,mg,0.0,0.0,285.398155748,84.278417778,177.0
2011-10-04,mg,0.0,0.0,326.510162267,97.046236835,184.0
2011-10-05,mg,0.0,0.0,350.155141218,104.985648879,186.0
2011-10-06,mg,0.0,0.0,317.325451448,123.644024441,183.0
2011-10-07,mg,0.0,0.0,284.416262244,109.874312838,165.0
2011-10-08,mg,0.0,0.0,226.817350841,71.0558161101,119.0
2011-10-09,mg,0.0,0.0,225.154494858,66.8307296494,118.0
2011-10-10,mg,0.0,0.0,281.723276272,95.3072725397,161.0
2011-10-11,mg,0.0,0.0,302.632781114,98.4943317134,175.0
2011-10-12,mg,0.0,0.0,289.687785064,93.7924677431,176.0
2011-10-13,mg,0.0,0.0,310.093830351,108.100652715,181.0
2011-10-14,mg,0.0,0.0,301.817724058,89.1075676689,209.0
2011-10-15,mg,0.0,0.0,186.079963881,60.2181456282,134.0
