date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,mk,0.0,0.0,334.125511694,111.944488705,205.0
2011-09-09,mk,0.0,0.0,388.196646281,91.4458603525,232.0
2011-09-11,mk,0.0,0.0,320.570607246,103.156823568,220.0
2011-09-12,mk,0.0,0.0,373.486216858,135.630673232,237.0
2011-09-13,mk,0.0,0.0,350.791267288,135.398439557,243.0
2011-09-14,mk,0.0,0.0,340.647723378,139.553804031,260.0
2011-09-15,mk,0.0,0.0,345.143079987,112.392368706,242.0
2011-09-16,mk,0.0,0.0,408.540678373,103.131262713,223.0
2011-09-17,mk,0.0,0.0,340.342298061,77.4570642589,200.0
2011-09-18,mk,0.0,0.0,394.578159905,84.6750772479,199.0
2011-09-19,mk,0.0,0.0,434.81786968,99.6379612088,212.0
2011-09-20,mk,0.0,0.0,427.200995404,101.987828487,198.0
2011-09-21,mk,0.0,0.0,443.417446442,113.567842223,207.0
2011-09-22,mk,0.0,0.0,398.523370705,113.821463937,195.0
2011-09-23,mk,0.0,0.0,373.205606211,109.500400916,203.0
2011-09-24,mk,0.0,0.0,327.279190073,102.892045361,173.0
2011-09-25,mk,0.0,0.0,324.128908401,98.4704673376,173.0
2011-09-26,mk,0.0,0.0,313.360698353,111.244414161,194.0
2011-09-27,mk,0.0,0.0,299.71853373,109.466783519,210.0
2011-09-28,mk,0.0,0.0,303.839646134,121.555383406,249.0
2011-09-29,mk,0.0,0.0,282.902728937,108.354640812,253.0
2011-09-30,mk,0.0,0.0,319.993873122,109.126901469,229.0
2011-10-01,mk,0.0,0.0,291.448355878,92.4092515787,216.0
2011-10-02,mk,0.0,0.0,267.666933021,87.2858589492,201.0
2011-10-03,mk,0.0,0.0,326.154488695,102.446792432,229.0
2011-10-04,mk,0.0,0.0,341.288549632,108.248966648,245.0
2011-10-05,mk,0.0,0.0,396.92951963,156.014634424,256.0
2011-10-06,mk,0.0,0.0,393.20072881,153.531500897,248.0
