date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,ml,0.0,0.0,107.904240534,18.2944344536,72.0
2011-09-09,ml,0.0,0.0,89.0938998526,10.1926676389,42.0
2011-09-11,ml,0.0,0.0,81.1562486568,12.08941176,41.0
2011-09-12,ml,0.0,0.0,87.3805130062,14.4935628567,40.0
2011-09-13,ml,0.0,0.0,68.2324786293,10.7515625899,41.0
2011-09-14,ml,0.0,0.0,115.935374317,29.4071338299,71.0
2011-09-15,ml,0.0,0.0,144.040978442,29.4906193573,62.0
2011-09-16,ml,0.0,0.0,96.1354702368,11.1829146255,69.0
2011-09-17,ml,0.0,0.0,82.5052684357,8.0634510687,45.0
2011-09-18,ml,0.0,0.0,95.8688058157,9.41591018838,40.0
2011-09-19,ml,0.0,0.0,96.953243276,10.410517657,60.0
2011-09-20,ml,0.0,0.0,94.7738631856,10.1909847214,62.0
2011-09-21,ml,0.0,0.0,143.207014788,23.6063022228,55.0
2011-09-22,ml,0.0,0.0,122.713687898,21.4094033326,34.0
2011-09-23,ml,0.0,0.0,135.553424727,25.8246227243,37.0
2011-09-24,ml,0.0,0.0,92.4168180343,15.1124274188,46.0
2011-09-25,ml,0.0,0.0,84.4131166281,12.5572821398,49.0
2011-09-26,ml,0.0,0.0,107.027009091,22.8330671025,56.0
2011-09-27,ml,0.0,0.0,110.543986722,25.8133645935,74.0
2011-09-28,ml,0.0,0.0,98.2431124206,23.382558876,68.0
2011-09-29,ml,0.0,0.0,66.7745074301,10.9159575702,59.0
2011-09-30,ml,0.0,0.0,77.1120869574,12.1149176539,54.0
2011-10-01,ml,0.0,0.0,95.3403228238,16.8798634039,56.0
2011-10-02,ml,0.0,0.0,92.1764670655,17.31123918,59.0
2011-10-03,ml,0.0,0.0,113.300506441,21.3617827108,65.0
2011-10-04,ml,0.0,0.0,139.699331433,29.932983294,58.0
2011-10-05,ml,0.0,0.0,134.897657565,30.8198497269,64.0
2011-10-06,ml,0.0,0.0,112.937165826,25.7763559607,51.0
2011-10-07,ml,0.0,0.0,98.26724622,23.1534369726,54.0
2011-10-08,ml,0.0,0.0,107.094081913,21.9836288141,58.0
2011-10-09,ml,0.0,0.0,121.99307079,25.8354606771,39.0
2011-10-10,ml,0.0,0.0,119.737897263,27.1376872844,52.0
2011-10-11,ml,0.0,0.0,110.719449004,24.0857897112,55.0
2011-10-12,ml,0.0,0.0,115.762026417,25.7854521743,66.0
2011-10-13,ml,0.0,0.0,105.194841297,21.8916598993,67.0
2011-10-14,ml,0.0,0.0,115.989339598,22.25612662,63.0
2011-10-15,ml,0.0,0.0,100.810068963,24.1111524638,66.0
2011-10-16,ml,0.0,0.0,72.7313906457,13.9494747793,63.0
2011-10-17,ml,0.0,0.0,99.0726163464,18.801507526,55.0
2011-10-18,ml,0.0,0.0,99.7525833711,22.117004556,57.0
2011-10-19,ml,0.0,0.0,119.184921515,27.9707898194,60.0
2011-10-20,ml,0.0,0.0,124.11187869,27.0060085552,65.0
2011-10-21,ml,0.0,0.0,105.311562206,22.8874604569,64.0
2011-10-22,ml,0.0,0.0,114.376736122,26.3148338379,58.0
2011-10-23,ml,0.0,0.0,107.063269858,24.0654414654,54.0
2011-10-24,ml,0.0,0.0,104.233885405,18.5396009998,59.0
2011-10-25,ml,0.0,0.0,92.8179560742,21.1520411166,49.0
2011-10-26,ml,0.0,0.0,114.490967113,18.5441363657,49.0
2011-10-27,ml,0.0,0.0,113.398722079,19.611624112,48.0
2011-10-28,ml,0.0,0.0,118.733956685,20.0508166777,43.0
2011-10-29,ml,0.0,0.0,107.813968839,19.9454536434,49.0
2011-10-30,ml,0.0,0.0,99.6681066735,16.6637948597,50.0
2011-10-31,ml,0.0,0.0,108.529637808,20.3129660181,54.0
2011-11-01,ml,0.0,0.0,95.2311954382,17.0958902278,50.0
2011-11-02,ml,0.0,0.0,100.546865901,12.7968259206,44.0
2011-11-03,ml,0.0,0.0,91.4161302784,15.960330581,52.0
2011-11-04,ml,0.0,0.0,95.3607759658,12.3362821531,49.0
2011-11-05,ml,0.0,0.0,113.689245741,15.6911080252,55.0
2011-11-06,ml,0.0,0.0,110.897994099,18.4258576424,53.0
2011-11-07,ml,0.0,0.0,98.8460502514,22.4266186262,36.0
2011-11-08,ml,0.0,0.0,103.330607475,17.5334305468,38.0
2011-11-09,ml,0.0,0.0,116.470877504,11.1812001405,36.0
2011-11-10,ml,0.0,0.0,123.833403367,17.0694192981,38.0
2011-11-11,ml,0.0,0.0,84.5923714733,20.012160036,33.0
2011-11-12,ml,0.0,0.0,88.2418515787,20.5319180615,29.0
2011-11-13,ml,0.0,0.0,91.7277050821,18.3445603138,26.0
2011-11-14,ml,0.0,0.0,71.7566476261,10.4215858107,43.0
2011-11-15,ml,0.0,0.0,77.4616071628,10.7383101601,50.0
2011-11-16,ml,0.0,0.0,77.4008133293,7.93131122015,53.0
2011-11-17,ml,0.0,0.0,72.0796323723,10.5409436516,56.0
2011-11-18,ml,0.0,0.0,62.8301831348,10.96603126,49.0
2011-11-19,ml,0.0,0.0,59.8414295335,8.51107925671,35.0
2011-11-20,ml,0.0,0.0,57.4441994342,6.57322437484,31.0
2011-11-21,ml,0.0,0.0,86.4258276827,15.5927696788,25.0
2011-11-22,ml,0.0,0.0,101.069051141,17.1617431217,24.0
2011-11-23,ml,0.0,0.0,128.715813977,16.9764915883,27.0
2011-11-24,ml,0.0,0.0,191.403923199,21.4674606165,41.0
2011-11-25,ml,0.0,0.0,161.726591209,7.01803028708,27.0
2011-11-26,ml,0.0,0.0,117.350842195,5.51235773195,21.0
2011-11-27,ml,0.0,0.0,74.7840233908,8.58641081544,17.0
2011-11-28,ml,0.0,0.0,57.5958726409,6.36912016616,20.0
2011-11-29,ml,0.0,0.0,52.1344243214,4.96107081093,20.0
2011-11-30,ml,0.0,0.0,52.9302642571,4.67526391273,21.0
2011-12-01,ml,0.0,0.0,69.9881192968,5.29822684717,35.0
2011-12-02,ml,0.0,0.0,69.8532017617,1.99244590916,28.0
2011-12-03,ml,0.0,0.0,53.4140285183,1.79227401267,32.0
2011-12-04,ml,0.0,0.0,38.4696549408,2.33931389976,32.0
2011-12-05,ml,0.0,0.0,55.4914162831,4.71091648618,39.0
2011-12-06,ml,0.0,0.0,50.423287858,4.85078380579,41.0
2011-12-07,ml,0.0,0.0,53.752323182,4.95661068334,42.0
2011-12-08,ml,0.0,0.0,71.9605785227,10.0190278526,36.0
