date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,mm,0.0,0.0,2013.78416227,900.393517002,1186.0
2011-09-09,mm,0.0,0.0,2223.34107559,730.96897054,1249.0
2011-09-11,mm,0.0,0.0,1522.8858529,694.861743407,1085.0
2011-09-12,mm,0.0,0.0,1606.64916768,846.818380985,1175.0
2011-09-13,mm,0.0,0.0,1666.06875454,841.244040111,1163.0
2011-09-14,mm,0.0,0.0,1649.95823906,884.53726233,1109.0
2011-09-15,mm,0.0,0.0,1766.31442275,770.878183918,1047.0
2011-09-16,mm,0.0,0.0,1948.02270968,657.59481437,929.0
2011-09-17,mm,0.0,0.0,1659.7429975,514.639383409,858.0
2011-09-18,mm,0.0,0.0,1733.37033047,495.081794553,847.0
2011-09-19,mm,0.0,0.0,1977.63107393,552.884384248,941.0
2011-09-20,mm,0.0,0.0,1824.83105147,573.329203059,888.0
2011-09-21,mm,0.0,0.0,1749.05887805,534.664622153,909.0
2011-09-22,mm,0.0,0.0,1537.17287349,578.107539192,955.0
2011-09-23,mm,0.0,0.0,1366.24325873,540.553163027,888.0
2011-09-24,mm,0.0,0.0,1239.79636539,517.908482196,665.0
2011-09-25,mm,0.0,0.0,1220.1434138,489.760465582,637.0
2011-09-26,mm,0.0,0.0,1241.60887661,567.242597283,775.0
2011-09-27,mm,0.0,0.0,1197.54111639,566.083594979,734.0
2011-09-28,mm,0.0,0.0,1202.47858833,600.337263835,746.0
2011-09-29,mm,0.0,0.0,1229.63105317,617.072082209,759.0
2011-09-30,mm,0.0,0.0,1254.53002687,553.545850504,751.0
2011-10-01,mm,0.0,0.0,1012.4746873,408.920982405,656.0
2011-10-02,mm,0.0,0.0,883.253578631,376.313040642,606.0
2011-10-03,mm,0.0,0.0,1174.93352904,477.341626743,769.0
2011-10-04,mm,0.0,0.0,1097.5462081,424.995588898,726.0
2011-10-05,mm,0.0,0.0,1181.07884935,458.957532598,716.0
2011-10-06,mm,0.0,0.0,1058.56830135,532.558249061,671.0
2011-10-07,mm,0.0,0.0,1013.23293425,518.320127953,631.0
2011-10-08,mm,0.0,0.0,933.29762395,416.712754895,568.0
2011-10-09,mm,0.0,0.0,943.76135569,406.488085044,624.0
2011-10-10,mm,0.0,0.0,1075.22333389,489.732754281,756.0
2011-10-11,mm,0.0,0.0,1057.29933655,454.812061147,711.0
2011-10-12,mm,0.0,0.0,991.483716244,423.777646226,646.0
2011-10-13,mm,0.0,0.0,1014.73257677,462.030197161,801.0
2011-10-14,mm,0.0,0.0,1020.56504833,404.353668414,724.0
2011-10-15,mm,0.0,0.0,756.954914801,358.335138183,535.0
2011-10-16,mm,0.0,0.0,815.321780267,411.212657498,568.0
2011-10-17,mm,0.0,0.0,1016.16561347,474.567727977,618.0
2011-10-18,mm,0.0,0.0,935.53004323,458.894399399,644.0
