date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,mn,0.0,0.0,204.07975927,48.4264441418,118.0
2011-09-09,mn,0.0,0.0,219.506709782,41.7414008069,117.0
2011-09-11,mn,0.0,0.0,225.715816577,61.7903267734,104.0
2011-09-12,mn,0.0,0.0,208.742336626,57.9742514267,97.0
2011-09-13,mn,0.0,0.0,199.823687414,62.9734380266,101.0
2011-09-14,mn,0.0,0.0,198.404867388,66.7621416678,101.0
2011-09-15,mn,0.0,0.0,217.420344818,54.8662685717,93.0
2011-09-16,mn,0.0,0.0,224.787349524,44.1725127706,94.0
2011-09-17,mn,0.0,0.0,198.572001998,36.0167481069,65.0
2011-09-18,mn,0.0,0.0,206.046388619,33.69904699,57.0
2011-09-19,mn,0.0,0.0,199.78244069,34.5190848627,81.0
2011-09-20,mn,0.0,0.0,198.034938,35.4002627166,76.0
2011-09-21,mn,0.0,0.0,192.778673754,37.0956177788,87.0
2011-09-22,mn,0.0,0.0,172.854764674,36.0901370464,98.0
2011-09-23,mn,0.0,0.0,175.422079059,38.7369340865,86.0
2011-09-24,mn,0.0,0.0,124.505990963,25.4163552043,80.0
2011-09-25,mn,0.0,0.0,111.271835555,20.4881971755,98.0
2011-09-26,mn,0.0,0.0,137.606154546,34.5955562159,113.0
2011-09-27,mn,0.0,0.0,130.750952037,33.9261363229,117.0
2011-09-28,mn,0.0,0.0,143.319364002,42.8680246059,98.0
2011-09-29,mn,0.0,0.0,157.725991688,45.847021795,72.0
2011-09-30,mn,0.0,0.0,152.980430577,38.4826796064,90.0
2011-10-01,mn,0.0,0.0,150.193659243,35.9614481213,89.0
2011-10-02,mn,0.0,0.0,164.002285558,43.6243227336,73.0
2011-10-03,mn,0.0,0.0,204.204401144,54.1165162007,90.0
2011-10-04,mn,0.0,0.0,205.668460165,53.7433109142,86.0
2011-10-05,mn,0.0,0.0,182.979990954,48.5412633199,94.0
2011-10-06,mn,0.0,0.0,133.014884195,33.5873729186,82.0
2011-10-07,mn,0.0,0.0,150.360726144,45.5084795668,88.0
2011-10-08,mn,0.0,0.0,156.905282802,41.0361071197,64.0
2011-10-09,mn,0.0,0.0,145.036206383,33.6643881551,85.0
2011-10-10,mn,0.0,0.0,156.770236623,41.8067074381,112.0
2011-10-11,mn,0.0,0.0,154.755593494,40.6447701376,100.0
2011-10-12,mn,0.0,0.0,159.172786324,41.8142467691,99.0
2011-10-13,mn,0.0,0.0,155.162390913,41.3509131431,110.0
2011-10-14,mn,0.0,0.0,174.682740359,42.2098953139,78.0
2011-10-15,mn,0.0,0.0,109.974620687,27.8785200362,63.0
2011-10-16,mn,0.0,0.0,137.50778544,41.0734535169,67.0
2011-10-17,mn,0.0,0.0,187.13716421,52.2264097945,85.0
2011-10-18,mn,0.0,0.0,163.124812807,47.920176538,87.0
2011-10-19,mn,0.0,0.0,167.831828256,47.1086986432,92.0
2011-10-20,mn,0.0,0.0,189.301956386,50.5497083212,88.0
2011-10-21,mn,0.0,0.0,125.265331887,29.880851152,87.0
2011-10-22,mn,0.0,0.0,110.875407466,24.9298425833,73.0
2011-10-23,mn,0.0,0.0,111.57119701,26.0708949208,76.0
2011-10-24,mn,0.0,0.0,148.380001577,32.7532950996,100.0
2011-10-25,mn,0.0,0.0,132.292259232,37.5278148843,95.0
2011-10-26,mn,0.0,0.0,163.558524447,33.1546680477,101.0
2011-10-27,mn,0.0,0.0,146.132373813,29.1524142206,108.0
2011-10-28,mn,0.0,0.0,153.364694051,29.8052680344,86.0
2011-10-29,mn,0.0,0.0,131.091984838,26.8017033333,64.0
2011-10-30,mn,0.0,0.0,132.090261856,26.4322263292,77.0
2011-10-31,mn,0.0,0.0,167.61799617,40.0103876114,97.0
2011-11-01,mn,0.0,0.0,164.490246666,41.7139721558,96.0
2011-11-02,mn,0.0,0.0,182.812483455,33.7836204304,99.0
2011-11-03,mn,0.0,0.0,179.223729098,45.9657520731,96.0
2011-11-04,mn,0.0,0.0,169.990948461,31.7218683936,90.0
2011-11-05,mn,0.0,0.0,141.742436249,23.2228398772,73.0
2011-11-06,mn,0.0,0.0,159.238145373,33.3082811228,77.0
2011-11-07,mn,0.0,0.0,161.96461246,48.7198956362,104.0
2011-11-08,mn,0.0,0.0,178.841436014,41.8104882271,106.0
2011-11-09,mn,0.0,0.0,226.380015431,32.5271276814,111.0
2011-11-10,mn,0.0,0.0,206.389005612,39.1964443142,105.0
2011-11-11,mn,0.0,0.0,139.52248282,45.6277248821,107.0
2011-11-12,mn,0.0,0.0,111.080919046,29.4290825548,80.0
2011-11-13,mn,0.0,0.0,125.286621575,30.7926548124,69.0
2011-11-14,mn,0.0,0.0,172.215954303,44.2917396954,87.0
2011-11-15,mn,0.0,0.0,179.514200727,44.2165712477,100.0
2011-11-16,mn,0.0,0.0,196.082060434,36.6823143932,97.0
2011-11-17,mn,0.0,0.0,165.897566571,42.7838301152,112.0
2011-11-18,mn,0.0,0.0,166.051198285,55.6134442472,112.0
2011-11-19,mn,0.0,0.0,134.936556791,37.9129894162,70.0
2011-11-20,mn,0.0,0.0,124.666134942,29.2143305548,79.0
2011-11-21,mn,0.0,0.0,155.315980183,40.8382063017,100.0
2011-11-22,mn,0.0,0.0,180.110232162,42.9043578042,101.0
2011-11-23,mn,0.0,0.0,213.479886596,38.1971060736,107.0
2011-11-24,mn,0.0,0.0,340.520933133,53.6686515413,100.0
2011-11-25,mn,0.0,0.0,321.352837078,21.0540908612,73.0
2011-11-26,mn,0.0,0.0,204.86672451,15.067111134,77.0
2011-11-27,mn,0.0,0.0,157.877382714,31.7036707031,64.0
2011-11-28,mn,0.0,0.0,174.039702111,45.9992012001,72.0
2011-11-29,mn,0.0,0.0,165.882259205,40.9288341901,62.0
2011-11-30,mn,0.0,0.0,163.201648126,33.1943737804,67.0
2011-12-01,mn,0.0,0.0,145.199232571,18.1255128982,79.0
2011-12-02,mn,0.0,0.0,155.714428927,8.56751740939,82.0
2011-12-03,mn,0.0,0.0,149.559279851,14.039479766,74.0
2011-12-04,mn,0.0,0.0,108.620202186,21.6386535728,77.0
2011-12-05,mn,0.0,0.0,150.822823744,33.761568151,105.0
2011-12-06,mn,0.0,0.0,120.240147969,28.2962388671,91.0
2011-12-07,mn,0.0,0.0,133.036999876,32.2179694417,83.0
2011-12-08,mn,0.0,0.0,139.042473756,32.0608891283,79.0
2011-12-09,mn,0.0,0.0,151.567942851,34.1547699145,65.0
2011-12-10,mn,0.0,0.0,133.588786707,32.2224744577,60.0
2011-12-11,mn,0.0,0.0,153.355659226,39.3342151211,63.0
2011-12-12,mn,0.0,0.0,162.082332117,49.9967478666,79.0
2011-12-13,mn,0.0,0.0,157.063684207,45.8286592777,86.0
2011-12-14,mn,0.0,0.0,152.07329742,35.1886958578,82.0
2011-12-15,mn,0.0,0.0,143.123165213,33.5165873625,76.0
2011-12-16,mn,0.0,0.0,123.91216938,28.7812991162,71.0
2011-12-17,mn,0.0,0.0,119.23890726,25.1152701569,59.0
2011-12-18,mn,0.0,0.0,119.132789467,27.8777821039,67.0
2011-12-19,mn,0.0,0.0,140.023202494,35.1907263911,71.0
2011-12-20,mn,0.0,0.0,152.069076513,41.1260892606,86.0
2011-12-21,mn,0.0,0.0,149.516460913,37.8214580194,87.0
2011-12-22,mn,0.0,0.0,139.220238444,34.8297882744,88.0
2011-12-23,mn,0.0,0.0,118.726554711,31.9077544966,86.0
2011-12-24,mn,0.0,0.0,101.252034463,24.5004332228,68.0
2011-12-25,mn,0.0,0.0,134.355130186,31.2549239544,71.0
2011-12-26,mn,0.0,0.0,116.876595816,30.8709155045,71.0
2011-12-27,mn,0.0,0.0,146.734254696,43.81105959,94.0
2011-12-28,mn,0.0,0.0,152.719559583,41.770305506,89.0
2011-12-29,mn,0.0,0.0,154.476383108,41.5603103383,77.0
2011-12-30,mn,0.0,0.0,162.523608586,39.168131673,78.0
2011-12-31,mn,0.0,0.0,126.699618753,28.5504296592,68.0
2012-01-01,mn,0.0,0.0,116.661959567,23.3373776255,70.0
2012-01-02,mn,0.0,0.0,152.285908896,26.2434709255,74.0
2012-01-03,mn,0.0,0.0,172.23526554,40.4851526124,82.0
2012-01-04,mn,0.0,0.0,166.099816154,43.2275940766,102.0
2012-01-05,mn,0.0,0.0,174.559721046,34.9658605766,93.0
2012-01-06,mn,0.0,0.0,211.099103509,24.1325738416,81.0
2012-01-07,mn,0.0,0.0,209.089571065,34.1550114534,66.0
2012-01-09,mn,0.0,0.0,248.731624789,29.6157496182,72.0
2012-01-10,mn,0.0,0.0,223.017611244,34.7662194827,76.0
2012-01-11,mn,0.0,0.0,194.816494445,45.1613887374,71.0
2012-01-12,mn,0.0,0.0,189.388197539,31.4914487776,81.0
2012-01-13,mn,0.0,0.0,161.856243663,24.7155133121,73.0
2012-01-14,mn,0.0,0.0,130.380910803,14.934274,65.0
2012-01-16,mn,0.0,0.0,130.852463084,15.970903845,82.0
2012-01-17,mn,0.0,0.0,150.389709422,17.6591019013,82.0
2012-01-18,mn,0.0,0.0,125.469027602,32.2171311477,80.0
2012-01-19,mn,0.0,0.0,154.846368247,27.3536525978,77.0
2012-01-20,mn,0.0,0.0,144.652000608,28.6412230171,77.0
2012-01-21,mn,0.0,0.0,128.401981892,21.3396897106,76.0
2012-01-22,mn,0.0,0.0,144.85734521,24.5871577643,78.0
2012-01-23,mn,0.0,0.0,161.650239952,21.7479394129,79.0
2012-01-24,mn,0.0,0.0,157.632730655,29.2160958889,74.0
2012-01-25,mn,0.0,0.0,153.595925169,35.8696536754,84.0
2012-01-26,mn,0.0,0.0,142.521472537,28.9977925645,89.0
2012-01-27,mn,0.0,0.0,141.282144467,27.2938228696,94.0
2012-01-28,mn,0.0,0.0,137.668952748,27.3569288748,78.0
2012-01-29,mn,0.0,0.0,151.527265819,28.6806490366,85.0
2012-01-30,mn,0.0,0.0,156.11437979,32.5737129684,97.0
2012-01-31,mn,0.0,0.0,148.171443215,29.6892579536,86.0
