date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,mo,0.0,0.0,201.388917546,51.6469895667,101.0
2011-09-09,mo,0.0,0.0,231.498091183,40.7374701767,100.0
2011-09-11,mo,0.0,0.0,174.710455356,44.8257157472,85.0
2011-09-12,mo,0.0,0.0,157.773287699,46.2375916909,82.0
2011-09-13,mo,0.0,0.0,152.172564207,43.4884317879,90.0
2011-09-14,mo,0.0,0.0,187.52262549,58.996645201,89.0
2011-09-15,mo,0.0,0.0,188.587929647,46.6265780707,94.0
2011-09-16,mo,0.0,0.0,195.526711221,37.4820964193,89.0
2011-09-17,mo,0.0,0.0,165.959963668,27.8401687323,91.0
2011-09-18,mo,0.0,0.0,172.464142986,27.1474728107,89.0
2011-09-19,mo,0.0,0.0,178.749291948,26.1674014899,87.0
2011-09-20,mo,0.0,0.0,179.411848041,30.6411063115,87.0
2011-09-21,mo,0.0,0.0,178.655041874,29.9002893195,94.0
2011-09-22,mo,0.0,0.0,175.427081478,36.4215993051,107.0
2011-09-23,mo,0.0,0.0,168.409198446,35.5003215556,92.0
2011-09-24,mo,0.0,0.0,166.587889873,38.9404643602,87.0
2011-09-25,mo,0.0,0.0,161.293957828,36.2264922485,90.0
2011-09-26,mo,0.0,0.0,142.827965148,38.6046319452,103.0
2011-09-27,mo,0.0,0.0,145.775107247,40.6047617592,100.0
2011-09-28,mo,0.0,0.0,152.088998237,46.1592406988,82.0
2011-09-29,mo,0.0,0.0,166.353930381,53.5049934251,71.0
2011-09-30,mo,0.0,0.0,162.764896786,41.8826123758,72.0
2011-10-01,mo,0.0,0.0,163.758180756,39.4814385573,70.0
2011-10-02,mo,0.0,0.0,153.236782403,39.2448061164,65.0
2011-10-03,mo,0.0,0.0,188.725206176,48.3180728871,83.0
2011-10-04,mo,0.0,0.0,178.679679121,45.541904154,80.0
2011-10-05,mo,0.0,0.0,153.341320698,40.7702031222,87.0
2011-10-06,mo,0.0,0.0,126.67467453,33.8740723452,77.0
2011-10-07,mo,0.0,0.0,124.594841692,34.4554927327,75.0
2011-10-08,mo,0.0,0.0,127.7043571,30.4073150399,65.0
2011-10-09,mo,0.0,0.0,131.47919412,29.015761095,82.0
2011-10-10,mo,0.0,0.0,146.39095361,37.6518574885,82.0
2011-10-11,mo,0.0,0.0,143.656666666,36.7739062677,90.0
2011-10-12,mo,0.0,0.0,149.43484306,38.0543194532,90.0
2011-10-13,mo,0.0,0.0,148.872069585,37.4943204153,78.0
2011-10-14,mo,0.0,0.0,151.647466556,33.9794304254,64.0
2011-10-15,mo,0.0,0.0,111.076704039,27.4881705028,67.0
2011-10-16,mo,0.0,0.0,133.224924949,39.3426650042,63.0
2011-10-17,mo,0.0,0.0,139.638827483,36.6287054546,60.0
2011-10-18,mo,0.0,0.0,147.137262101,42.4879563297,67.0
2011-10-19,mo,0.0,0.0,154.326103771,42.0473528905,64.0
2011-10-20,mo,0.0,0.0,141.591864615,32.2726452801,69.0
2011-10-21,mo,0.0,0.0,106.172549462,23.8578734792,57.0
2011-10-22,mo,0.0,0.0,115.518356421,27.1176255501,63.0
2011-10-23,mo,0.0,0.0,104.142400398,25.6377653679,61.0
2011-10-24,mo,0.0,0.0,110.056651258,21.2192862289,65.0
2011-10-25,mo,0.0,0.0,103.9002486,27.6514899998,69.0
2011-10-26,mo,0.0,0.0,116.427956061,23.231941032,81.0
2011-10-27,mo,0.0,0.0,120.909676488,21.0025143503,73.0
2011-10-28,mo,0.0,0.0,108.958713092,16.3596779138,62.0
2011-10-29,mo,0.0,0.0,117.079393585,22.4267837739,54.0
2011-10-30,mo,0.0,0.0,110.690869824,19.6624761135,56.0
2011-10-31,mo,0.0,0.0,116.614259401,23.0260507216,61.0
2011-11-01,mo,0.0,0.0,125.554111657,27.5989251982,68.0
