date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,mp,0.0,0.0,17.5930826957,0.0,8.0
2011-09-09,mp,0.0,0.0,32.2803984973,0.485365125662,17.0
2011-09-11,mp,0.0,0.0,38.0419915579,2.01490196,10.0
2011-09-12,mp,1.0,0.0,58.2536753375,6.58798311667,4.0
2011-09-13,mp,0.0,0.0,30.4609279595,0.767968756422,6.0
2011-09-14,mp,0.0,0.0,37.0515113797,2.38436220242,10.0
2011-09-15,mp,0.0,0.0,27.1775431023,0.0,16.0
2011-09-16,mp,0.0,0.0,48.0677351184,2.23658292509,16.0
2011-09-17,mp,0.0,0.0,60.1309583514,4.30050723664,6.0
2011-09-18,mp,0.0,0.0,34.3410647698,0.495574220441,19.0
2011-09-19,mp,0.0,0.0,19.0968509483,0.0,18.0
2011-09-20,mp,0.0,0.0,24.0470996142,0.0,15.0
2011-09-21,mp,0.0,0.0,33.0477726435,0.56205481483,19.0
2011-09-22,mp,0.0,0.0,43.5435666735,2.4467889523,23.0
2011-09-23,mp,0.0,0.0,43.8555197648,2.58246227243,25.0
2011-09-24,mp,0.0,0.0,21.8206375914,0.0,17.0
2011-09-25,mp,0.0,0.0,47.3225047764,3.30454793152,20.0
2011-09-26,mp,0.0,0.0,42.340355245,3.45955562159,18.0
2011-09-27,mp,0.0,0.0,36.8479955741,2.21257410802,15.0
2011-09-28,mp,0.0,0.0,42.764648936,3.89709314599,9.0
2011-09-29,mp,0.0,0.0,49.5052382671,5.82184403746,13.0
2011-09-30,mp,0.0,0.0,57.212193549,6.41377993441,9.0
2011-10-01,mp,0.0,0.0,44.4050818632,2.93562841807,13.0
2011-10-02,mp,0.0,0.0,46.6867820202,4.1546974032,13.0
2011-10-03,mp,0.0,0.0,47.4281189755,3.56029711847,15.0
2011-10-04,mp,0.0,0.0,40.0988821705,2.04088522459,10.0
2011-10-05,mp,0.0,0.0,29.3836481824,0.0,1.0
2011-10-06,mp,0.0,0.0,35.1360071457,1.56220339156,9.0
2011-10-07,mp,0.0,0.0,26.0467399619,0.0,8.0
2011-10-08,mp,1.0,0.0,34.8678406227,1.46557525427,1.0
2011-10-09,mp,0.0,0.0,37.9533998013,1.56578549558,3.0
2011-10-10,mp,0.0,0.0,38.2667506717,2.20035302306,7.0
2011-10-11,mp,0.0,1.0,30.1962133647,0.752680928474,35.0
2011-10-12,mp,0.0,1.0,7.23512665107,0.0,59.0
2011-10-13,mp,0.0,1.0,28.9285813566,0.0,45.0
2011-10-14,mp,0.0,1.0,27.9492384574,0.0,40.0
2011-10-15,mp,0.0,1.0,6.87341379296,0.0,38.0
2011-10-16,mp,0.0,1.0,12.5007077672,0.0,46.0
2011-10-17,mp,0.0,1.0,23.2392556862,0.0,35.0
2011-10-18,mp,0.0,0.0,69.2400284576,11.058502278,32.0
2011-10-19,mp,0.0,0.0,109.455540167,24.2904227379,35.0
2011-10-20,mp,0.0,0.0,90.263184502,15.2341586721,25.0
2011-10-21,mp,0.0,0.0,73.1638221642,12.0794930189,57.0
2011-10-22,mp,0.0,0.0,73.5279017929,11.7724256643,58.0
2011-10-23,mp,0.0,0.0,82.2696705222,15.3751431584,46.0
2011-10-24,mp,0.0,0.0,72.3505792812,9.26980049989,41.0
2011-10-25,mp,0.0,0.0,58.6780182078,8.87021079083,39.0
2011-10-26,mp,0.0,0.0,74.2304072489,8.42915289348,40.0
2011-10-27,mp,0.0,0.0,53.7767135632,4.77039505427,48.0
2011-10-28,mp,0.0,0.0,107.602648246,16.7993328921,29.0
2011-10-29,mp,0.0,0.0,107.813968839,19.9454536434,31.0
2011-10-30,mp,0.0,0.0,87.6599010502,13.2161131646,39.0
2011-10-31,mp,0.0,0.0,80.7942859235,11.695344071,35.0
2011-11-01,mp,0.0,0.0,79.1532014032,12.309040964,25.0
2011-11-02,mp,1.0,0.0,86.1830279147,9.72558769967,7.0
2011-11-03,mp,1.0,0.0,91.4161302784,15.960330581,4.0
2011-11-04,mp,1.0,0.0,70.4840518008,6.46186208017,4.0
2011-11-05,mp,0.0,0.0,79.7301203901,8.15937617308,9.0
2011-11-06,mp,1.0,0.0,90.9932259277,12.7563629832,9.0
2011-11-07,mp,1.0,0.0,70.2640598172,11.5999751515,5.0
2011-11-08,mp,1.0,0.0,60.9385633826,6.06926442006,5.0
2011-11-09,mp,0.0,0.0,31.1682629941,0.0,5.0
2011-11-10,mp,0.0,0.0,19.8744968367,0.0,9.0
2011-11-11,mp,0.0,1.0,14.28182895,0.0,15.0
2011-11-12,mp,0.0,0.0,22.8390674674,0.0,8.0
2011-11-13,mp,0.0,0.0,24.6098720952,0.0,3.0
2011-11-14,mp,0.0,0.0,17.9391619065,0.0,3.0
2011-11-15,mp,0.0,0.0,18.4432398007,0.0,7.0
2011-11-16,mp,0.0,0.0,19.3502033323,0.0,11.0
2011-11-17,mp,0.0,0.0,25.1706652729,0.0,13.0
2011-11-18,mp,0.0,0.0,34.7809942353,2.34986384143,9.0
2011-11-19,mp,0.0,0.0,23.467227268,0.0,9.0
2011-11-20,mp,0.0,0.0,13.4443871016,0.0,9.0
2011-11-21,mp,0.0,0.0,13.7780305001,0.0,10.0
2011-11-22,mp,0.0,0.0,24.6193842523,0.0,14.0
2011-11-23,mp,0.0,0.0,39.2426262124,0.60630327101,10.0
2011-11-24,mp,0.0,0.0,62.3175563904,1.4311640411,8.0
2011-11-25,mp,0.0,0.0,46.2075974883,0.0,4.0
2011-11-26,mp,0.0,0.0,43.7579411574,0.0,2.0
2011-11-27,mp,0.0,0.0,30.4675650851,0.0,4.0
2011-11-28,mp,0.0,0.0,30.0500205083,0.707680018463,8.0
2011-11-29,mp,0.0,0.0,35.546198401,1.8604015541,5.0
2011-11-30,mp,0.0,0.0,26.4651321285,0.467526391273,3.0
2011-12-01,mp,0.0,0.0,20.8919759095,0.0,8.0
2011-12-02,mp,0.0,0.0,18.9185754771,0.0,11.0
2011-12-03,mp,0.0,1.0,12.0181564166,0.0,13.0
2011-12-04,mp,0.0,0.0,14.7089857127,0.0,4.0
2011-12-05,mp,0.0,0.0,28.4571365554,0.0,8.0
2011-12-06,mp,0.0,0.0,19.3935722531,0.0,3.0
2011-12-07,mp,0.0,0.0,14.7818888751,0.0,7.0
2011-12-08,mp,0.0,0.0,24.3934164484,0.0,4.0
2011-12-09,mp,0.0,0.0,32.1118522989,0.669701370873,4.0
2011-12-10,mp,0.0,0.0,34.634129887,1.46465792989,6.0
2011-12-11,mp,0.0,0.0,17.8002104459,0.0,7.0
2011-12-12,mp,0.0,0.0,22.3561837402,0.0,3.0
2011-12-13,mp,0.0,0.0,13.3930273354,0.0,3.0
2011-12-14,mp,0.0,0.0,24.2806105125,0.0,3.0
2011-12-15,mp,0.0,0.0,16.3210626998,0.0,3.0
2011-12-16,mp,0.0,0.0,16.606785587,0.0,7.0
2011-12-17,mp,0.0,0.0,22.2754002574,0.0,8.0
2011-12-18,mp,0.0,0.0,23.8265578933,0.0,10.0
2011-12-19,mp,0.0,0.0,13.5110107669,0.0,8.0
2011-12-20,mp,0.0,0.0,13.5996735093,0.0,3.0
2011-12-21,mp,0.0,0.0,13.9379751699,0.0,1.0
2011-12-22,mp,0.0,0.0,13.9220238444,0.0,5.0
2011-12-23,mp,0.0,0.0,21.6904282645,0.0,7.0
2011-12-24,mp,0.0,0.0,22.5004521028,0.0,4.0
2011-12-25,mp,0.0,0.0,32.570940651,0.801408306523,3.0
2011-12-26,mp,0.0,0.0,22.4762684262,0.0,5.0
2011-12-27,mp,0.0,0.0,13.1225756232,0.0,7.0
2011-12-28,mp,0.0,0.0,7.38965610886,0.0,4.0
2011-12-29,mp,0.0,0.0,18.537165973,0.0,4.0
2011-12-30,mp,0.0,0.0,25.1052728709,0.0,0.0
2011-12-31,mp,0.0,0.0,16.3078717207,0.0,1.0
