date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,mt,0.0,0.0,228.287689808,66.8491901585,132.0
2011-09-09,mt,0.0,0.0,248.304758299,53.1796231141,158.0
2011-09-11,mt,0.0,0.0,229.3577074,68.9933645936,131.0
2011-09-12,mt,0.0,0.0,226.914964066,80.0143352112,112.0
2011-09-13,mt,0.0,0.0,234.692003574,77.8646933678,150.0
2011-09-14,mt,0.0,1.0,211.041170112,72.255736869,212.0
2011-09-15,mt,0.0,0.0,237.566605492,66.1791648458,150.0
2011-09-16,mt,0.0,0.0,291.569559584,66.3466196641,113.0
2011-09-17,mt,0.0,0.0,269.3750258,55.7845027713,115.0
2011-09-18,mt,0.0,0.0,252.126593523,46.6864697454,166.0
2011-09-19,mt,0.0,0.0,231.860194875,39.491741732,227.0
2011-09-20,mt,0.0,0.0,279.656771046,59.1004091785,187.0
2011-09-21,mt,0.0,0.0,379.552857748,86.6730897107,195.0
2011-09-22,mt,0.0,0.0,260.359477289,66.5850448801,252.0
2011-09-23,mt,0.0,1.0,202.842629409,50.2225432641,230.0
2011-09-24,mt,0.0,0.0,200.875159305,53.1011359908,184.0
2011-09-25,mt,0.0,0.0,275.392870826,79.3134357218,200.0
2011-09-26,mt,0.0,0.0,334.776281774,118.375113788,270.0
2011-09-27,mt,0.0,0.0,287.122745189,100.281817853,228.0
2011-09-28,mt,0.0,0.0,292.685404198,108.947313212,230.0
2011-09-29,mt,0.0,0.0,359.024738473,142.908617614,222.0
2011-09-30,mt,0.0,0.0,360.943704034,125.062990615,230.0
2011-10-01,mt,0.0,0.0,314.490826855,97.396240993,257.0
2011-10-02,mt,0.0,0.0,307.271026672,103.572396507,244.0
2011-10-03,mt,0.0,0.0,444.100868524,149.434841606,237.0
2011-10-04,mt,0.0,0.0,375.027736579,116.455484202,183.0
2011-10-05,mt,0.0,0.0,400.177304249,124.847798667,129.0
2011-10-06,mt,1.0,0.0,341.829347313,136.5741185,127.0
2011-10-07,mt,1.0,0.0,341.299514693,140.129558402,125.0
2011-10-08,mt,1.0,0.0,395.381065126,148.032950229,126.0
2011-10-09,mt,1.0,0.0,409.862074471,147.813849107,124.0
2011-10-10,mt,1.0,0.0,364.148863653,133.430181556,123.0
2011-10-11,mt,0.0,0.0,300.078917982,97.7701086861,122.0
2011-10-12,mt,0.0,0.0,209.690321406,60.9308732054,123.0
2011-10-13,mt,0.0,0.0,225.642744639,69.6648650832,126.0
2011-10-14,mt,0.0,0.0,237.242769143,64.3970657103,129.0
2011-10-15,mt,0.0,0.0,195.2690979,63.9353151115,134.0
2011-10-16,mt,0.0,0.0,189.372374554,65.5780035409,122.0
2011-10-17,mt,0.0,0.0,196.143595159,60.7678188263,105.0
2011-10-18,mt,0.0,0.0,190.101548193,62.0329562706,104.0
2011-10-19,mt,0.0,0.0,194.182767324,64.4248190063,100.0
2011-10-20,mt,0.0,0.0,223.994327543,55.2550122232,102.0
2011-10-21,mt,0.0,0.0,195.045423427,55.7168113714,99.0
2011-10-22,mt,0.0,0.0,213.195797688,62.9887790138,111.0
2011-10-23,mt,0.0,0.0,179.787329665,59.8563766756,103.0
2011-10-24,mt,0.0,0.0,176.908307137,44.1228839046,102.0
2011-10-25,mt,0.0,0.0,156.398687021,46.3024285816,84.0
2011-10-26,mt,0.0,0.0,175.932665944,36.7847510959,82.0
2011-10-27,mt,0.0,0.0,168.388517135,34.1216373002,80.0
2011-10-28,mt,0.0,0.0,170.891907638,34.0917201595,92.0
2011-10-29,mt,0.0,0.0,184.005728812,46.9756790329,110.0
2011-10-30,mt,0.0,0.0,171.26920153,38.6162082204,116.0
2011-10-31,mt,0.0,0.0,168.625578523,41.8792279595,112.0
2011-11-01,mt,0.0,0.0,133.694375083,40.9476047335,106.0
2011-11-02,mt,0.0,0.0,141.321041637,30.1588679233,94.0
2011-11-03,mt,0.0,0.0,139.696254372,30.6746398953,88.0
2011-11-04,mt,0.0,0.0,179.573064207,34.4934069559,99.0
2011-11-05,mt,0.0,0.0,220.186568417,45.7888856407,109.0
2011-11-06,mt,0.0,0.0,219.535752888,56.6219181631,118.0
2011-11-07,mt,0.0,0.0,182.161562015,57.7969647946,107.0
2011-11-08,mt,0.0,0.0,194.294019342,46.3967693465,94.0
2011-11-09,mt,0.0,0.0,217.145083265,29.3992250579,88.0
2011-11-10,mt,0.0,0.0,183.607937887,36.5165553338,99.0
2011-11-11,mt,0.0,0.0,154.281376775,49.5142077072,103.0
2011-11-12,mt,0.0,0.0,156.903767144,49.5759966711,102.0
2011-11-13,mt,0.0,0.0,178.333078829,53.5711509328,90.0
2011-11-14,mt,0.0,0.0,174.245602682,48.3979148865,101.0
2011-11-15,mt,0.0,0.0,163.845422822,37.4455609474,105.0
2011-11-16,mt,0.0,0.0,161.210791088,28.200655962,107.0
2011-11-17,mt,0.0,0.0,158.749965802,40.0025133242,100.0
2011-11-18,mt,0.0,0.0,159.348103144,52.9580951945,97.0
2011-11-19,mt,0.0,0.0,166.69809288,51.9847362195,112.0
2011-11-20,mt,0.0,0.0,154.347832207,42.2755500092,119.0
2011-11-21,mt,0.0,0.0,174.772065836,49.3609729688,99.0
2011-11-22,mt,0.0,0.0,185.392476278,46.4980552543,91.0
2011-11-23,mt,0.0,0.0,228.090196547,44.3730213966,94.0
2011-11-24,mt,0.0,0.0,311.861929438,44.4150672151,115.0
2011-11-25,mt,0.0,0.0,287.065841657,16.6672747134,83.0
2011-11-26,mt,0.0,0.0,303.352469333,26.6983763926,108.0
2011-11-27,mt,0.0,0.0,223.702287279,54.5185696383,106.0
2011-11-28,mt,0.0,0.0,168.0962828,47.4213214017,87.0
2011-11-29,mt,0.0,0.0,156.887843403,34.674281097,82.0
2011-11-30,mt,0.0,0.0,152.907373089,23.5890208018,84.0
2011-12-01,mt,0.0,0.0,169.708633814,19.2206375055,99.0
2011-12-02,mt,0.0,0.0,177.252305076,8.72024657627,113.0
2011-12-03,mt,0.0,0.0,201.939260383,20.9219769558,111.0
2011-12-04,mt,0.0,0.0,161.462880134,41.9650366997,101.0
2011-12-05,mt,0.0,0.0,173.849286566,43.121518614,110.0
2011-12-06,mt,0.0,0.0,155.95648331,38.8448399937,93.0
2011-12-07,mt,0.0,0.0,164.19611178,40.9615570126,83.0
2011-12-08,mt,0.0,0.0,171.28415926,40.5644082621,90.0
2011-12-09,mt,0.0,0.0,202.374652424,49.852421145,86.0
2011-12-10,mt,0.0,0.0,189.717394444,54.0217741803,91.0
2011-12-11,mt,0.0,0.0,194.434770941,54.3684288898,87.0
2011-12-12,mt,0.0,0.0,170.476015773,52.3633887569,86.0
2011-12-13,mt,0.0,0.0,162.938245328,45.4295137155,83.0
2011-12-14,mt,0.0,0.0,151.570949388,35.5270444304,81.0
2011-12-15,mt,0.0,0.0,159.969819618,39.7586556209,81.0
2011-12-16,mt,0.0,0.0,156.520468382,41.7821610623,74.0
2011-12-17,mt,0.0,0.0,168.562612881,43.6918709453,68.0
2011-12-18,mt,0.0,0.0,155.646515124,42.0490564946,73.0
2011-12-19,mt,0.0,0.0,148.541075456,40.7200323003,73.0
2011-12-20,mt,0.0,0.0,145.239950222,39.0235401325,85.0
2011-12-21,mt,0.0,0.0,145.733100039,37.4116356133,84.0
2011-12-22,mt,0.0,0.0,145.315374299,38.530626972,79.0
2011-12-23,mt,0.0,0.0,121.508523907,33.8680818086,76.0
2011-12-24,mt,0.0,0.0,113.952354917,29.1037654738,80.0
2011-12-25,mt,0.0,0.0,146.854811997,33.4240088056,96.0
2011-12-26,mt,0.0,0.0,124.364094415,29.706660276,86.0
2011-12-27,mt,0.0,0.0,154.268804255,38.4402671387,89.0
2011-12-28,mt,0.0,0.0,155.850785328,35.9629789651,90.0
2011-12-29,mt,0.0,0.0,144.274897786,35.0309462928,80.0
2011-12-30,mt,0.0,0.0,145.203372652,33.7288245036,93.0
2011-12-31,mt,0.0,0.0,143.311720209,35.747416721,89.0
2012-01-01,mt,0.0,0.0,149.890002867,35.6958704072,89.0
2012-01-02,mt,0.0,0.0,177.403101635,36.2113524076,86.0
2012-01-03,mt,0.0,0.0,161.643268039,40.1840048203,88.0
2012-01-04,mt,0.0,0.0,169.830341161,43.4459478507,89.0
2012-01-05,mt,0.0,0.0,187.834225602,33.615407331,88.0
2012-01-06,mt,0.0,0.0,250.1565434,28.327019112,83.0
2012-01-07,mt,0.0,0.0,284.480991278,38.4740320577,87.0
2012-01-09,mt,0.0,0.0,291.659715008,31.9621478645,101.0
2012-01-10,mt,0.0,0.0,246.872161133,32.2608482132,79.0
2012-01-11,mt,0.0,0.0,169.876821171,38.181577527,85.0
2012-01-12,mt,0.0,0.0,177.73337936,29.997891872,86.0
2012-01-13,mt,0.0,0.0,171.770911183,22.5072100061,77.0
2012-01-14,mt,0.0,0.0,159.727620959,22.3199669711,93.0
2012-01-16,mt,0.0,0.0,173.730116813,24.1855665755,79.0
2012-01-17,mt,0.0,0.0,159.955316681,17.130847878,93.0
2012-01-18,mt,0.0,0.0,146.269033395,40.7271595676,94.0
2012-01-19,mt,0.0,0.0,154.817709816,34.8909365016,102.0
2012-01-20,mt,0.0,0.0,152.210204177,31.6844389852,102.0
2012-01-21,mt,0.0,0.0,173.579412185,35.1493435278,101.0
2012-01-22,mt,0.0,0.0,155.518391196,29.18409607,97.0
2012-01-23,mt,0.0,0.0,150.988468918,24.0221392063,87.0
2012-01-24,mt,0.0,0.0,173.361924713,35.4174127862,90.0
2012-01-25,mt,0.0,0.0,179.985673345,40.5976986957,88.0
2012-01-26,mt,0.0,0.0,180.277467002,41.2607514288,93.0
2012-01-27,mt,0.0,0.0,179.477271955,38.9272483549,89.0
2012-01-28,mt,0.0,0.0,176.144206506,38.7932335615,92.0
2012-01-29,mt,0.0,0.0,182.069695319,38.4327409045,111.0
2012-01-30,mt,0.0,0.0,161.300776875,40.7923863368,103.0
2012-01-31,mt,0.0,0.0,165.121324641,43.1750054921,103.0
2012-02-01,mt,0.0,0.0,174.409044293,38.5437420714,110.0
2012-02-02,mt,0.0,0.0,180.917571838,42.9090485434,117.0
2012-02-03,mt,0.0,0.0,180.41918739,40.2033782749,107.0
2012-02-04,mt,0.0,0.0,172.794335155,45.4681572085,101.0
2012-02-05,mt,0.0,0.0,191.40889434,53.5724996599,100.0
2012-02-06,mt,0.0,0.0,180.009489071,49.3393084522,105.0
2012-02-07,mt,0.0,0.0,176.272333787,43.2556777085,104.0
2012-02-08,mt,0.0,0.0,207.529349009,56.684958945,116.0
2012-02-09,mt,0.0,0.0,229.7299895,61.7518187935,113.0
2012-02-10,mt,0.0,0.0,184.148443764,52.7307392691,114.0
2012-02-11,mt,0.0,0.0,173.296590141,54.9137512656,110.0
2012-02-12,mt,0.0,0.0,168.419671249,55.2213905526,114.0
2012-02-13,mt,0.0,0.0,207.6348314,53.285834999,112.0
2012-02-14,mt,0.0,0.0,213.416275454,50.4147526289,105.0
2012-02-15,mt,0.0,0.0,192.775562668,54.2023155204,110.0
2012-02-16,mt,0.0,0.0,183.099810157,53.4555823852,117.0
2012-02-17,mt,0.0,0.0,197.998161298,60.1628453929,100.0
2012-02-18,mt,0.0,0.0,182.305217908,56.7614504713,102.0
2012-02-19,mt,0.0,0.0,191.80477734,58.2030909864,103.0
2012-02-20,mt,0.0,0.0,192.985954362,50.3138509653,108.0
2012-02-21,mt,0.0,0.0,189.104679745,40.8640460556,111.0
2012-02-22,mt,0.0,0.0,192.87902686,53.4930486118,111.0
2012-02-23,mt,0.0,0.0,200.167563109,54.2698344871,92.0
2012-02-24,mt,0.0,0.0,168.397415788,46.0593472871,88.0
2012-02-25,mt,0.0,0.0,185.703140068,52.4939575017,94.0
2012-02-26,mt,0.0,0.0,182.979864254,51.3541576584,96.0
2012-02-27,mt,0.0,0.0,194.277837926,46.2965102004,93.0
2012-02-28,mt,0.0,0.0,194.744785094,51.191728765,96.0
2012-02-29,mt,0.0,0.0,176.125310651,54.2757942394,100.0
2012-03-01,mt,0.0,0.0,158.133587579,49.6711642844,99.0
2012-03-02,mt,0.0,0.0,145.518779685,45.0152175413,95.0
2012-03-03,mt,0.0,0.0,152.331016287,43.4794091416,96.0
2012-03-04,mt,0.0,0.0,166.102750221,46.0675219208,103.0
2012-03-05,mt,0.0,0.0,165.643382694,45.4435733851,110.0
2012-03-06,mt,0.0,0.0,168.057778871,45.9850186899,96.0
2012-03-07,mt,0.0,0.0,176.534499565,49.2742575196,101.0
2012-03-08,mt,0.0,0.0,155.285463738,49.2725302591,110.0
2012-03-09,mt,0.0,0.0,161.556631558,49.0201326424,113.0
2012-03-10,mt,0.0,0.0,155.440099461,53.9260822439,106.0
2012-03-11,mt,0.0,0.0,174.273141584,53.534575808,106.0
2012-03-12,mt,0.0,0.0,174.694663415,57.880334386,104.0
