date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,mu,0.0,0.0,187.659548754,43.0457281261,94.0
2011-09-09,mu,0.0,0.0,191.099959104,34.460923922,87.0
2011-09-11,mu,0.0,0.0,144.55956792,32.23843136,104.0
2011-09-12,mu,0.0,0.0,163.838461887,40.8454953233,97.0
2011-09-13,mu,0.0,0.0,173.01807081,51.4539066803,105.0
2011-09-14,mu,0.0,0.0,162.548566053,50.0716062508,129.0
2011-09-15,mu,0.0,0.0,179.371784475,41.1497014288,139.0
2011-09-16,mu,0.0,1.0,175.305857491,30.75301522,185.0
2011-09-17,mu,0.0,0.0,180.392875054,31.1786774657,144.0
2011-09-18,mu,0.0,0.0,206.046388619,33.69904699,123.0
2011-09-19,mu,0.0,0.0,199.78244069,34.5190848627,139.0
2011-09-20,mu,0.0,0.0,205.107614357,37.0093655673,107.0
2011-09-21,mu,0.0,0.0,238.219361138,50.0228785198,97.0
2011-09-22,mu,0.0,0.0,244.107873776,59.3346320933,110.0
2011-09-23,mu,0.0,0.0,316.291324364,88.4493328307,109.0
2011-09-24,mu,0.0,0.0,245.161281174,70.0667089417,101.0
2011-09-25,mu,0.0,0.0,212.311778186,55.5164052496,94.0
2011-09-26,mu,0.0,0.0,217.58238112,67.1153790589,91.0
2011-09-27,mu,0.0,0.0,175.919462741,52.3642538898,97.0
2011-09-28,mu,0.0,0.0,157.188979873,49.1033736395,135.0
2011-09-29,mu,0.0,0.0,173.84397624,53.1243268418,157.0
2011-09-30,mu,0.0,0.0,186.561500703,51.3102394753,164.0
2011-10-01,mu,0.0,0.0,182.844454731,48.4378688981,142.0
2011-10-02,mu,0.0,0.0,158.016800684,41.546974032,134.0
2011-10-03,mu,0.0,0.0,169.950759662,41.2994465742,119.0
2011-10-04,mu,0.0,0.0,175.917676619,42.8585897164,98.0
2011-10-05,mu,0.0,0.0,240.411666947,72.4266468582,95.0
2011-10-06,mu,0.0,0.0,258.500624001,88.2644916232,96.0
2011-10-07,mu,0.0,0.0,253.363743266,95.0089310254,98.0
2011-10-08,mu,0.0,0.0,234.112644181,73.2787627137,110.0
2011-10-09,mu,0.0,0.0,242.630663015,72.8090255447,110.0
2011-10-10,mu,0.0,0.0,199.974632543,59.4095316226,97.0
2011-10-11,mu,0.0,0.0,172.37005129,47.4188984938,105.0
2011-10-12,mu,0.0,0.0,160.378640765,42.5111508819,92.0
2011-10-13,mu,0.0,0.0,177.516294688,50.2697375465,94.0
2011-10-14,mu,0.0,0.0,191.452283433,48.3495164504,96.0
2011-10-15,mu,0.0,0.0,172.980913789,55.0035665579,86.0
2011-10-16,mu,0.0,0.0,171.600624805,56.5728699384,85.0
2011-10-17,mu,0.0,0.0,166.344145964,43.8701842274,86.0
2011-10-18,mu,0.0,0.0,170.166171633,50.8691104788,82.0
2011-10-19,mu,0.0,0.0,158.102446907,43.4283315617,88.0
2011-10-20,mu,0.0,0.0,165.48250492,41.5477054695,93.0
2011-10-21,mu,0.0,0.0,149.653272609,39.417293009,84.0
2011-10-22,mu,0.0,0.0,143.554474929,37.3947638749,87.0
