date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,mv,0.0,0.0,169.80148955,45.014715035,93.0
2011-09-09,mv,0.0,0.0,228.049514977,44.9894072322,86.0
2011-09-11,mv,0.0,0.0,183.542386894,48.1398509982,119.0
2011-09-12,mv,0.0,0.0,179.606429126,50.5155058467,112.0
2011-09-13,mv,0.0,0.0,161.997356074,46.9278682556,101.0
2011-09-14,mv,0.0,0.0,154.839874263,47.3199680336,97.0
2011-09-15,mv,0.0,0.0,173.899013378,43.0594139848,97.0
2011-09-16,mv,0.0,0.0,172.682142405,31.2870122837,98.0
2011-09-17,mv,0.0,0.0,188.304140321,33.8192815778,95.0
2011-09-18,mv,0.0,0.0,230.764122399,41.0699476472,92.0
2011-09-19,mv,0.0,0.0,224.753831287,41.0595993992,95.0
2011-09-20,mv,0.0,0.0,197.386598536,35.9957041718,92.0
2011-09-21,mv,0.0,0.0,187.281902845,35.4196735647,95.0
2011-09-22,mv,0.0,0.0,179.467478198,38.5524313334,95.0
2011-09-23,mv,0.0,0.0,181.954334701,40.5795603394,76.0
2011-09-24,mv,0.0,0.0,170.69855796,41.8427651135,94.0
2011-09-25,mv,0.0,0.0,165.892748394,38.9916615632,97.0
2011-09-26,mv,0.0,0.0,155.511092839,42.4119328988,95.0
2011-09-27,mv,0.0,0.0,154.616703908,43.6387853216,91.0
2011-09-28,mv,0.0,0.0,153.652748806,47.5312717163,78.0
2011-09-29,mv,0.0,0.0,151.108686541,45.5836764795,75.0
2011-09-30,mv,0.0,0.0,136.431496292,33.0252464971,64.0
2011-10-01,mv,0.0,0.0,171.746352571,44.0044055137,72.0
2011-10-02,mv,0.0,0.0,162.512066477,43.6429294746,67.0
2011-10-03,mv,0.0,0.0,174.913495953,43.3975995721,74.0
2011-10-04,mv,0.0,0.0,165.512116175,39.7369624405,80.0
2011-10-05,mv,0.0,0.0,144.687211994,37.9932011291,78.0
2011-10-06,mv,0.0,0.0,136.493246625,35.2495792876,79.0
2011-10-07,mv,0.0,0.0,112.816866946,29.7364797025,78.0
2011-10-08,mv,0.0,0.0,131.618565681,31.892073041,87.0
2011-10-09,mv,0.0,0.0,133.838234885,30.8291813182,92.0
2011-10-10,mv,0.0,0.0,132.464991503,32.8701495876,81.0
2011-10-11,mv,0.0,0.0,144.520413502,37.0193021078,73.0
2011-10-12,mv,0.0,0.0,136.251851773,32.7806058396,72.0
2011-10-13,mv,0.0,0.0,149.546228024,39.2799674219,78.0
2011-10-14,mv,0.0,0.0,157.9132352,36.070228446,75.0
2011-10-15,mv,0.0,0.0,141.900435637,41.3554478829,79.0
2011-10-16,mv,0.0,0.0,147.193131403,45.7240622926,73.0
2011-10-17,mv,0.0,0.0,138.408838753,36.2330658181,68.0
2011-10-18,mv,0.0,0.0,123.881039799,32.1435910538,81.0
2011-10-19,mv,0.0,0.0,128.86732331,31.7095366884,86.0
2011-10-20,mv,0.0,0.0,141.714076213,32.4584484816,72.0
2011-10-21,mv,0.0,0.0,120.824480201,28.6775000325,69.0
2011-10-22,mv,0.0,0.0,133.089078144,33.2703325063,58.0
2011-10-23,mv,0.0,0.0,117.139056778,30.641775923,64.0
2011-10-24,mv,0.0,0.0,122.26238119,25.7170478427,73.0
2011-10-25,mv,0.0,0.0,122.709863749,35.3977362983,62.0
2011-10-26,mv,0.0,0.0,154.710525406,30.5714191278,64.0
2011-10-27,mv,0.0,0.0,123.865659795,22.7876367474,61.0
2011-10-28,mv,0.0,0.0,125.604817553,21.6983054848,64.0
2011-10-29,mv,0.0,0.0,107.671035384,20.0520867494,66.0
2011-10-30,mv,0.0,0.0,115.278281422,21.2656894218,74.0
2011-10-31,mv,0.0,0.0,127.874609653,26.7356823868,84.0
2011-11-01,mv,0.0,0.0,114.033744346,24.123443163,82.0
2011-11-02,mv,0.0,0.0,115.222713415,21.8575404761,79.0
2011-11-03,mv,0.0,0.0,109.744783757,21.8715281866,80.0
2011-11-04,mv,0.0,0.0,132.539044398,21.7121830641,67.0
2011-11-05,mv,0.0,0.0,141.539120694,24.6236378675,69.0
2011-11-06,mv,0.0,0.0,149.381913758,32.4026077049,76.0
2011-11-07,mv,0.0,0.0,142.620477397,40.3201565921,73.0
2011-11-08,mv,0.0,0.0,156.22366258,34.4231739701,66.0
2011-11-09,mv,0.0,0.0,187.331693749,24.2926697589,62.0
2011-11-10,mv,0.0,0.0,176.780182926,30.6821246441,64.0
2011-11-11,mv,0.0,0.0,107.946475246,31.4814562917,58.0
2011-11-12,mv,0.0,0.0,105.510090075,27.7177706023,63.0
2011-11-13,mv,0.0,0.0,122.173716725,30.8043215036,67.0
2011-11-14,mv,0.0,0.0,125.621815162,29.3326401069,60.0
2011-11-15,mv,0.0,0.0,120.45619766,24.0254736535,57.0
2011-11-16,mv,0.0,0.0,118.972348402,17.8474636002,63.0
2011-11-17,mv,0.0,0.0,110.010838813,22.8062231141,66.0
2011-11-18,mv,0.0,0.0,97.8648910881,25.2570938653,66.0
2011-11-19,mv,0.0,0.0,111.324963586,27.9350607372,66.0
2011-11-20,mv,0.0,0.0,120.73668944,28.5437235935,76.0
2011-11-21,mv,0.0,0.0,113.432722939,24.5674227319,77.0
2011-11-22,mv,0.0,0.0,110.627797871,20.983268003,80.0
2011-11-23,mv,0.0,0.0,146.254242818,22.6378616757,80.0
