date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,mx,0.0,0.0,7719.94256036,3812.62790368,5687.0
2011-09-09,mx,0.0,0.0,8436.5508771,2931.64669953,5472.0
2011-09-11,mx,0.0,0.0,5408.21471518,2632.56213744,3934.0
2011-09-12,mx,0.0,0.0,6638.30119836,3486.95388988,4990.0
2011-09-13,mx,0.0,0.0,7359.30846164,4214.27643121,5971.0
2011-09-14,mx,0.0,0.0,7203.62738108,4398.35092706,5847.0
2011-09-15,mx,0.0,0.0,7925.01610586,3947.59949566,5085.0
2011-09-16,mx,0.0,0.0,8071.13525762,3012.24401598,3874.0
2011-09-17,mx,0.0,0.0,6346.54695155,2215.70841563,3479.0
2011-09-18,mx,0.0,0.0,5938.61497705,1877.55575478,3703.0
2011-09-19,mx,0.0,0.0,7719.48616612,2588.94460745,4794.0
2011-09-20,mx,0.0,0.0,8827.41066741,3101.08445335,5512.0
2011-09-21,mx,0.0,0.0,8446.96464744,3128.73783155,5575.0
2011-09-22,mx,0.0,0.0,7062.57311262,2950.79085539,5528.0
2011-09-23,mx,0.0,0.0,5455.97377336,2347.81741964,5206.0
2011-09-24,mx,0.0,0.0,4748.75687557,2237.55901312,4042.0
2011-09-25,mx,0.0,0.0,5016.34149182,2299.18628099,3752.0
2011-09-26,mx,0.0,0.0,5909.42152789,3155.86497422,4620.0
2011-09-27,mx,0.0,0.0,6886.39012022,3874.23656805,5400.0
2011-09-28,mx,0.0,0.0,6764.18679892,4128.98702991,5266.0
2011-09-29,mx,0.0,0.0,6597.65520858,3926.17436432,5141.0
2011-09-30,mx,0.0,0.0,6791.80794271,3546.62429774,5065.0
2011-10-01,mx,0.0,0.0,5570.04647998,2792.8129366,4171.0
2011-10-02,mx,0.0,0.0,4758.25771111,2442.61856075,3522.0
2011-10-03,mx,0.0,0.0,6411.30295318,3108.26413984,4608.0
2011-10-04,mx,0.0,0.0,7281.25007204,3513.98069582,5123.0
2011-10-05,mx,0.0,0.0,7090.95380551,4040.21317539,5345.0
2011-10-06,mx,0.0,0.0,6774.57306644,3819.48774681,5106.0
2011-10-07,mx,0.0,0.0,6266.03681829,3859.31285219,5030.0
2011-10-08,mx,0.0,0.0,5479.5540599,2917.01216908,4326.0
2011-10-09,mx,0.0,0.0,5062.87060246,2610.9945101,3748.0
2011-10-10,mx,0.0,0.0,5964.60420073,3255.63890688,4559.0
2011-10-11,mx,0.0,0.0,6774.86564514,3670.95487637,5127.0
2011-10-12,mx,0.0,0.0,6775.21376204,3539.60797098,5133.0
2011-10-13,mx,0.0,0.0,7049.66166142,3962.36671368,5403.0
2011-10-14,mx,0.0,0.0,7400.96012053,3659.2095581,4966.0
2011-10-15,mx,0.0,0.0,5233.1507433,3070.82998461,3861.0
2011-10-16,mx,0.0,0.0,4504.10982094,2729.49402363,3417.0
2011-10-17,mx,0.0,0.0,5692.5071118,3123.29027352,4328.0
2011-10-18,mx,0.0,0.0,6246.15149267,3635.21589058,5189.0
2011-10-19,mx,0.0,0.0,6567.37057095,3590.55195664,5094.0
2011-10-20,mx,0.0,0.0,7120.81880297,3544.18633207,4970.0
