date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,my,0.0,0.0,3359.1059227,1334.41757191,3237.0
2011-09-09,my,0.0,0.0,3843.94985306,1254.66884984,3063.0
2011-09-11,my,0.0,0.0,3825.75628434,1761.02431304,3137.0
2011-09-12,my,0.0,0.0,4160.28331368,1980.34772487,3484.0
2011-09-13,my,0.0,0.0,4325.45177025,2396.06252004,3621.0
2011-09-14,my,0.0,0.0,4201.16330644,2454.30349369,3417.0
2011-09-15,my,0.0,0.0,4689.4850623,2076.68826544,2963.0
2011-09-16,my,0.0,0.0,4624.39886977,1598.59764571,2579.0
2011-09-17,my,0.0,0.0,4179.80080261,1395.51459829,2543.0
2011-09-18,my,0.0,0.0,4789.14765769,1452.52804011,2707.0
2011-09-19,my,0.0,0.0,5444.0715088,1790.06111502,3130.0
2011-09-20,my,0.0,0.0,5441.71718918,1823.1135299,3219.0
2011-09-21,my,0.0,0.0,5008.11454601,1799.69951708,3197.0
2011-09-22,my,0.0,0.0,4180.18240066,1690.1194688,3218.0
2011-09-23,my,0.0,0.0,3681.20574995,1544.31243891,3010.0
2011-09-24,my,0.0,0.0,3507.98838455,1619.77744789,2544.0
2011-09-25,my,0.0,0.0,3712.89814502,1662.84851914,2762.0
2011-09-26,my,0.0,0.0,3928.24406995,2023.14812751,3075.0
2011-09-27,my,0.0,0.0,4079.42970356,2219.94935504,3157.0
2011-09-28,my,0.0,0.0,3940.12670873,2329.68228268,3027.0
2011-09-29,my,0.0,0.0,3950.05749987,2189.74108859,2865.0
2011-09-30,my,0.0,0.0,3999.87857508,2001.09933954,2752.0
2011-10-01,my,0.0,0.0,3570.69099453,1731.28685956,2554.0
2011-10-02,my,0.0,0.0,3543.40704563,1778.90293814,2483.0
2011-10-03,my,0.0,0.0,4325.18096101,2044.32260542,3005.0
2011-10-04,my,0.0,0.0,4356.54952097,2006.87047085,3123.0
2011-10-05,my,0.0,0.0,4319.39628281,2176.65188696,3263.0
2011-10-06,my,0.0,0.0,3847.39278246,2083.97932434,2995.0
2011-10-07,my,0.0,0.0,3491.44709762,2043.09121423,2873.0
2011-10-08,my,0.0,0.0,3417.04838103,1735.24110106,2711.0
2011-10-09,my,0.0,0.0,3619.12776676,1800.65331992,2833.0
2011-10-10,my,0.0,0.0,3963.69472281,2055.86317454,2986.0
2011-10-11,my,0.0,0.0,4193.49913102,2195.57026836,2997.0
2011-10-12,my,0.0,0.0,4193.96174874,2127.64825644,2883.0
2011-10-13,my,0.0,0.0,4209.10858739,2265.38139847,3059.0
2011-10-14,my,0.0,0.0,4295.79795091,2053.70327018,3010.0
2011-10-15,my,0.0,0.0,3330.16898269,1898.75325652,2478.0
2011-10-16,my,0.0,0.0,3446.78605982,2043.59805517,2689.0
2011-10-17,my,0.0,0.0,3902.97183656,1939.3406837,2821.0
2011-10-18,my,0.0,0.0,3758.91205339,2061.30482462,2956.0
2011-10-19,my,0.0,0.0,3751.89268238,1976.35712277,2916.0
2011-10-20,my,0.0,0.0,4095.69199678,1976.97831859,2907.0
2011-10-21,my,0.0,0.0,3565.07351637,1785.22191563,2505.0
2011-10-22,my,0.0,0.0,3110.3469568,1589.27746468,2170.0
2011-10-23,my,0.0,0.0,3250.21547652,1669.8742439,2226.0
2011-10-24,my,0.0,0.0,3704.5949154,1622.83307418,2589.0
2011-10-25,my,0.0,0.0,3371.3188643,1880.48468766,2587.0
2011-10-26,my,0.0,0.0,3924.14644423,1526.80056077,2560.0
2011-10-27,my,0.0,0.0,3635.77346047,1435.88891134,2669.0
2011-10-28,my,0.0,0.0,3330.73484742,1257.78231105,2338.0
2011-10-29,my,0.0,0.0,2872.9972378,1245.96755728,2181.0
2011-10-30,my,0.0,0.0,2886.77263185,1179.68175334,2171.0
2011-10-31,my,0.0,0.0,3352.35992339,1478.53770835,2464.0
2011-11-01,my,0.0,0.0,3435.74364841,1641.20546187,2583.0
