date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,nc,0.0,0.0,234.574435943,58.1117329702,165.0
2011-09-09,nc,0.0,0.0,236.292517,46.5950520636,158.0
2011-09-11,nc,0.0,0.0,214.303219109,57.7605228534,145.0
2011-09-12,nc,0.0,0.0,205.101481917,56.6566548033,120.0
2011-09-13,nc,0.0,0.0,259.527106215,90.6203132578,108.0
2011-09-14,nc,0.0,0.0,256.970159569,94.579700696,156.0
2011-09-15,nc,0.0,0.0,292.158588349,81.6135745004,149.0
2011-09-16,nc,0.0,0.0,292.647681456,63.1834676338,148.0
2011-09-17,nc,0.0,0.0,268.491721011,54.8314672672,122.0
2011-09-18,nc,0.0,0.0,274.728518158,50.548570485,101.0
2011-09-19,nc,0.0,0.0,239.445131121,44.3816805378,97.0
2011-09-20,nc,0.0,0.0,210.765755443,38.6184684181,88.0
2011-09-21,nc,0.0,0.0,282.283057996,62.9501392609,93.0
2011-09-22,nc,0.0,0.0,258.622396,64.839907236,108.0
2011-09-23,nc,0.0,0.0,259.146253155,67.7896346513,110.0
2011-09-24,nc,0.0,0.0,211.788541329,57.01506708,109.0
2011-09-25,nc,0.0,0.0,179.058126181,43.6200326961,118.0
2011-09-26,nc,0.0,0.0,159.952453148,43.5904008321,126.0
2011-09-27,nc,0.0,0.0,148.580627315,40.563858647,132.0
2011-09-28,nc,0.0,0.0,151.40997326,45.9856991227,102.0
2011-09-29,nc,0.0,0.0,171.541407019,52.3965963371,106.0
2011-09-30,nc,0.0,0.0,187.805244041,52.0228816902,101.0
2011-10-01,nc,0.0,0.0,195.904772926,52.8413115252,104.0
2011-10-02,nc,0.0,0.0,191.53551598,55.395965376,116.0
2011-10-03,nc,0.0,0.0,223.966117384,61.2371104376,121.0
2011-10-04,nc,0.0,0.0,228.95168207,61.9068518126,115.0
2011-10-05,nc,0.0,0.0,189.658092814,51.6232482926,130.0
2011-10-06,nc,0.0,0.0,183.209180117,54.6771187046,139.0
2011-10-07,nc,0.0,0.0,165.751981576,52.694028972,130.0
2011-10-08,nc,0.0,0.0,179.320323203,49.8295586453,140.0
2011-10-09,nc,0.0,0.0,214.165613164,61.0656343278,134.0
2011-10-10,nc,0.0,0.0,202.443455167,60.1429826302,118.0
2011-10-11,nc,0.0,0.0,197.533562427,57.9564314925,121.0
2011-10-12,nc,0.0,0.0,209.818672881,62.7213701537,115.0
2011-10-13,nc,0.0,0.0,243.263070499,78.6478151937,120.0
2011-10-14,nc,0.0,0.0,243.15837458,69.0707377863,120.0
2011-10-15,nc,0.0,0.0,213.075827582,73.8404044202,100.0
2011-10-16,nc,0.0,0.0,203.420608212,72.0722863599,94.0
2011-10-17,nc,0.0,0.0,195.698995252,55.7081704474,86.0
2011-10-18,nc,0.0,0.0,192.463807916,60.4531457864,92.0
2011-10-19,nc,0.0,0.0,190.939108957,56.6776530551,98.0
2011-10-20,nc,0.0,0.0,204.34582047,56.0894023838,102.0
2011-10-21,nc,0.0,0.0,180.69246989,51.4967860279,97.0
2011-10-22,nc,0.0,0.0,162.228227765,45.0122157754,91.0
2011-10-23,nc,0.0,0.0,148.761596013,40.109069109,89.0
2011-10-24,nc,0.0,0.0,150.832563586,33.3712817996,104.0
2011-10-25,nc,0.0,0.0,138.693497582,40.2571105122,87.0
2011-10-26,nc,0.0,0.0,172.365521917,35.4024421526,95.0
