date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,ng,0.0,0.0,2651.23932929,1119.77483973,1563.0
2011-09-09,ng,0.0,0.0,2814.10685409,812.460781614,1583.0
2011-09-11,ng,0.0,0.0,1972.09139895,888.238798191,1225.0
2011-09-12,ng,0.0,0.0,2070.63044732,1097.95932015,1597.0
2011-09-13,ng,0.0,0.0,2194.42499336,1174.96423741,1750.0
2011-09-14,ng,0.0,0.0,2310.76267539,1240.48209252,1865.0
2011-09-15,ng,0.0,0.0,2306.16096826,1001.76496522,1855.0
2011-09-16,ng,0.0,0.0,2437.75388882,828.642654685,1570.0
2011-09-17,ng,0.0,0.0,2090.5376936,668.709935236,1194.0
2011-09-18,ng,0.0,0.0,1934.16398373,561.901465534,1215.0
2011-09-19,ng,0.0,0.0,2647.91324004,744.488226702,1563.0
2011-09-20,ng,0.0,0.0,2695.41579577,858.48853999,1688.0
2011-09-21,ng,0.0,0.0,2875.49543588,911.424890508,1753.0
2011-09-22,ng,0.0,0.0,2680.5789647,1030.12423368,1855.0
2011-09-23,ng,0.0,0.0,2297.58263595,903.356396727,1756.0
2011-09-24,ng,0.0,0.0,1711.07716342,717.04165408,1477.0
2011-09-25,ng,0.0,0.0,1724.30921583,703.828992256,1410.0
2011-09-26,ng,0.0,0.0,1971.94738978,995.297601786,1775.0
2011-09-27,ng,0.0,0.0,2166.64131174,1134.71852407,1880.0
2011-09-28,ng,0.0,0.0,2201.8339063,1230.14376462,1715.0
2011-09-29,ng,0.0,0.0,2267.13430796,1278.844702,1583.0
2011-09-30,ng,0.0,0.0,2396.40009576,1137.21940722,1522.0
2011-10-01,ng,0.0,0.0,2142.06265473,959.040034774,1421.0
2011-10-02,ng,0.0,0.0,1872.6258763,876.467336599,1187.0
2011-10-03,ng,0.0,0.0,2552.40943179,1168.28773249,1453.0
2011-10-04,ng,0.0,0.0,2626.20564349,1205.80949306,1710.0
2011-10-05,ng,0.0,0.0,2431.36958496,1249.48681333,1888.0
2011-10-06,ng,0.0,0.0,2110.83856693,1158.97718953,1782.0
2011-10-07,ng,0.0,0.0,1961.78104514,1104.97963903,1709.0
2011-10-08,ng,0.0,0.0,1937.88262279,951.526468199,1494.0
2011-10-09,ng,0.0,0.0,1785.13503769,832.046554644,1404.0
2011-10-10,ng,0.0,0.0,1964.59120097,969.3507624,1687.0
2011-10-11,ng,0.0,0.0,2330.98556521,1169.26012173,1819.0
2011-10-12,ng,0.0,0.0,2472.9056287,1196.28942426,1839.0
2011-10-13,ng,0.0,0.0,2580.0061345,1297.94168757,1913.0
2011-10-14,ng,0.0,0.0,2594.70206539,1175.68829272,1802.0
2011-10-15,ng,0.0,0.0,1877.99788272,1004.43260864,1426.0
2011-10-16,ng,0.0,0.0,1744.343297,977.395226673,1353.0
2011-10-17,ng,0.0,0.0,2179.78576461,1103.1704231,1629.0
2011-10-18,ng,0.0,0.0,2293.95101543,1239.60476099,1759.0
2011-10-19,ng,0.0,0.0,2431.54750902,1240.7657467,1953.0
2011-10-20,ng,0.0,0.0,2603.7866785,1203.01435172,1912.0
2011-10-21,ng,0.0,0.0,2169.90147963,1061.35296613,1647.0
2011-10-22,ng,0.0,0.0,1830.79092146,895.576966884,1451.0
2011-10-23,ng,0.0,0.0,1635.58380415,867.411061615,1333.0
2011-10-24,ng,0.0,0.0,2153.96588891,952.295845605,1575.0
2011-10-25,ng,0.0,0.0,2011.88663198,1137.96516537,1690.0
2011-10-26,ng,0.0,0.0,2569.9045718,1124.55152401,2085.0
2011-10-27,ng,0.0,0.0,2462.05292221,919.910128541,2091.0
2011-10-28,ng,0.0,0.0,2254.3182019,790.541855321,2057.0
2011-10-29,ng,0.0,0.0,1965.70139756,816.708709098,1210.0
2011-10-30,ng,0.0,0.0,1769.85075556,693.391437061,865.0
2011-10-31,ng,0.0,0.0,2073.81028317,889.925744106,1170.0
2011-11-01,ng,0.0,0.0,2271.0523138,1061.868647,1325.0
2011-11-02,ng,0.0,0.0,2709.29948562,1139.48840021,1344.0
2011-11-03,ng,0.0,0.0,2693.12263986,1242.27398338,1387.0
2011-11-04,ng,0.0,0.0,3099.88276113,1083.73237753,1350.0
2011-11-05,ng,0.0,0.0,1935.06019936,709.196119664,1139.0
2011-11-06,ng,0.0,0.0,1354.87286817,555.397806163,965.0
2011-11-07,ng,0.0,0.0,1582.43151068,765.887003368,1030.0
2011-11-08,ng,0.0,0.0,1983.99710082,747.811929977,1128.0
2011-11-09,ng,0.0,0.0,2455.36920023,575.227097299,1334.0
2011-11-10,ng,0.0,0.0,2343.00345285,778.335191775,1318.0
2011-11-11,ng,0.0,0.0,1659.85396307,941.019712697,1205.0
2011-11-12,ng,0.0,0.0,1308.26995943,703.760064953,980.0
2011-11-13,ng,0.0,0.0,1198.00505211,571.212310563,928.0
2011-11-14,ng,0.0,0.0,1354.92941226,619.993151647,1097.0
2011-11-15,ng,0.0,0.0,1604.54179766,597.873825713,1120.0
2011-11-16,ng,0.0,0.0,1920.70901447,596.231251092,1151.0
2011-11-17,ng,0.0,0.0,1675.5983162,731.278273695,1248.0
2011-11-18,ng,0.0,0.0,1558.87257525,798.893059762,1129.0
2011-11-19,ng,0.0,0.0,1313.08247271,657.418192235,947.0
2011-11-20,ng,0.0,0.0,1272.8582946,600.587573151,828.0
2011-11-21,ng,0.0,0.0,1527.95196347,726.592508854,1027.0
2011-11-22,ng,0.0,0.0,1589.89660695,673.425730488,1060.0
2011-11-23,ng,0.0,0.0,1961.98962095,643.707575698,1188.0
2011-11-24,ng,0.0,0.0,3092.85693888,751.648038352,1428.0
2011-11-25,ng,0.0,0.0,2628.0818327,264.696951513,962.0
2011-11-26,ng,0.0,0.0,2055.59394166,326.692140718,1187.0
2011-11-27,ng,0.0,0.0,1192.05565733,536.702878606,837.0
2011-11-28,ng,0.0,0.0,1396.79915104,666.025260311,916.0
2011-11-29,ng,0.0,0.0,1422.32587144,565.721097725,921.0
2011-11-30,ng,0.0,0.0,1525.61169676,417.550496423,1031.0
2011-12-01,ng,0.0,0.0,1669.04199749,358.856228139,1245.0
2011-12-02,ng,0.0,0.0,1559.81703124,203.431222653,1063.0
2011-12-03,ng,0.0,0.0,1763.36334644,323.284746901,818.0
2011-12-04,ng,0.0,0.0,1049.67437663,438.700975075,653.0
2011-12-05,ng,0.0,0.0,1469.85958571,621.166535963,1065.0
2011-12-06,ng,0.0,0.0,1392.77853544,598.903280337,1059.0
2011-12-07,ng,0.0,0.0,1570.19846475,725.217757031,1070.0
2011-12-08,ng,0.0,0.0,1657.05280883,788.212542705,1076.0
2011-12-09,ng,0.0,0.0,1497.18436967,669.764162388,994.0
2011-12-10,ng,0.0,0.0,1164.95415169,519.191442311,862.0
2011-12-11,ng,0.0,0.0,1060.77531217,450.749396639,866.0
2011-12-12,ng,0.0,0.0,1332.20532903,684.122661316,1103.0
