date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,ni,0.0,0.0,247.15912608,68.1059203077,155.0
2011-09-09,ni,0.0,0.0,271.642268845,50.8074066249,149.0
2011-09-11,ni,0.0,0.0,216.188477132,60.6871228578,114.0
2011-09-12,ni,0.0,0.0,194.62544249,63.1179823082,120.0
2011-09-13,ni,0.0,0.0,242.751471473,84.6471261586,120.0
2011-09-14,ni,0.0,0.0,255.272735344,90.8237827437,108.0
2011-09-15,ni,0.0,0.0,273.452497988,78.4174267552,97.0
2011-09-16,ni,0.0,0.0,275.706729492,61.1246495453,102.0
2011-09-17,ni,0.0,0.0,256.610363991,52.9509091574,114.0
2011-09-18,ni,0.0,0.0,222.350465337,39.4406680457,99.0
2011-09-19,ni,0.0,0.0,246.916394809,41.5599906016,104.0
2011-09-20,ni,0.0,0.0,230.268749848,43.5426247584,118.0
2011-09-21,ni,0.0,0.0,211.266676502,38.4432291251,112.0
2011-09-22,ni,0.0,0.0,180.743053644,38.2426792703,126.0
2011-09-23,ni,0.0,0.0,189.794493487,42.473599004,107.0
2011-09-24,ni,0.0,0.0,201.455122637,51.6968233747,114.0
2011-09-25,ni,0.0,0.0,176.655287145,41.4017054268,107.0
2011-09-26,ni,0.0,0.0,165.86473372,47.7293631322,104.0
2011-09-27,ni,0.0,0.0,188.096912577,59.0614716498,131.0
2011-09-28,ni,0.0,0.0,176.28497523,57.6990508736,151.0
2011-09-29,ni,0.0,0.0,191.082217329,64.8088652754,112.0
2011-09-30,ni,0.0,0.0,185.301574803,50.4011098082,106.0
2011-10-01,ni,0.0,0.0,206.018356436,55.2740139802,122.0
2011-10-02,ni,0.0,0.0,178.575147997,48.8838813029,138.0
2011-10-03,ni,0.0,0.0,190.044962863,49.039238154,135.0
2011-10-04,ni,0.0,0.0,226.241895866,63.7586658156,132.0
2011-10-05,ni,0.0,0.0,258.601040837,86.3369007293,132.0
2011-10-06,ni,0.0,0.0,186.357934646,60.4894149021,122.0
2011-10-07,ni,0.0,0.0,171.611763086,56.0903370067,105.0
2011-10-08,ni,0.0,0.0,204.574940985,61.55627191,101.0
2011-10-09,ni,0.0,0.0,249.403832145,76.0683466545,98.0
2011-10-10,ni,0.0,0.0,221.431694536,69.3975412533,100.0
2011-10-11,ni,0.0,0.0,221.106347826,68.2943973542,117.0
2011-10-12,ni,0.0,0.0,213.306187271,62.9626012771,110.0
2011-10-13,ni,0.0,0.0,219.320459656,66.2133743505,126.0
2011-10-14,ni,0.0,0.0,201.732868354,52.101793319,126.0
2011-10-15,ni,0.0,0.0,160.316892427,49.0329527888,93.0
2011-10-16,ni,0.0,0.0,154.676395915,48.5997626523,93.0
2011-10-17,ni,0.0,0.0,164.489805256,46.6836442069,95.0
2011-10-18,ni,0.0,0.0,184.211217906,58.8868166675,97.0
2011-10-19,ni,0.0,0.0,183.490091885,53.8501186142,115.0
2011-10-20,ni,0.0,0.0,213.014309598,59.0520743423,115.0
