date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,nl,0.0,0.0,19102.1965314,8937.19939237,13684.0
2011-09-09,nl,0.0,0.0,21723.3526721,7003.18307532,12831.0
2011-09-11,nl,0.0,0.0,19453.1922126,10044.4084594,13331.0
2011-09-12,nl,0.0,0.0,17007.269436,10185.4809125,13004.0
2011-09-13,nl,0.0,0.0,16501.0614663,9945.64903406,12421.0
2011-09-14,nl,0.0,0.0,16526.1875109,9939.38217308,12884.0
2011-09-15,nl,0.0,0.0,19021.7868182,9361.34524264,12306.0
2011-09-16,nl,0.0,0.0,18643.9642484,7157.35047318,11405.0
2011-09-17,nl,0.0,0.0,17940.4115347,6569.18804949,11285.0
2011-09-18,nl,0.0,0.0,19616.727272,6609.64130469,11657.0
2011-09-19,nl,0.0,0.0,20344.0931429,6455.65187344,10740.0
2011-09-20,nl,0.0,0.0,18136.1362611,6455.59729289,9798.0
2011-09-21,nl,0.0,0.0,18869.3753751,6654.95010855,10522.0
2011-09-22,nl,0.0,0.0,16906.1204809,7221.18908889,10283.0
2011-09-23,nl,0.0,0.0,15777.0014164,6979.61679155,10240.0
2011-09-24,nl,0.0,0.0,15085.8893759,7312.75065191,10530.0
2011-09-25,nl,0.0,0.0,15439.4160743,7282.81874524,10670.0
2011-09-26,nl,0.0,0.0,12817.6580336,7269.60314647,10294.0
2011-09-27,nl,0.0,0.0,11953.5587942,6963.34750751,10513.0
2011-09-28,nl,0.0,0.0,12565.7773847,7803.21964014,10301.0
2011-09-29,nl,0.0,0.0,11984.2270657,7466.5841529,10172.0
2011-09-30,nl,0.0,0.0,13294.1359544,7003.62463898,10442.0
2011-10-01,nl,0.0,0.0,14413.3611676,7286.83786901,10391.0
2011-10-02,nl,0.0,0.0,13340.0461909,7083.34325132,9861.0
2011-10-03,nl,0.0,0.0,14085.7631155,7153.23828308,10190.0
2011-10-04,nl,0.0,0.0,14006.4300986,7100.33317994,10190.0
2011-10-05,nl,0.0,0.0,13879.9885286,7935.00070962,10567.0
2011-10-06,nl,0.0,0.0,12848.9532848,7903.14368835,9891.0
2011-10-07,nl,0.0,0.0,12722.778929,8064.18788051,9822.0
2011-10-08,nl,0.0,0.0,13355.644026,7426.80128803,10056.0
2011-10-09,nl,0.0,0.0,13869.0217962,7445.28745503,10395.0
2011-10-10,nl,0.0,0.0,13000.5008215,7247.61343068,10270.0
2011-10-11,nl,0.0,0.0,13201.4230724,7367.53954754,10557.0
2011-10-12,nl,0.0,0.0,13197.2658576,7048.35185944,10030.0
2011-10-13,nl,0.0,0.0,13641.7325906,7596.98751735,10602.0
2011-10-14,nl,0.0,0.0,14181.1250147,7140.21098006,10586.0
2011-10-15,nl,0.0,0.0,11944.7536065,7195.21435999,9822.0
2011-10-16,nl,0.0,0.0,12166.3711123,7728.13368651,10053.0
2011-10-17,nl,0.0,0.0,12601.8124904,7106.68706811,9235.0
2011-10-18,nl,0.0,0.0,12675.8172019,7585.96371171,9425.0
2011-10-19,nl,0.0,0.0,12643.8040137,7125.91980566,9376.0
2011-10-20,nl,0.0,0.0,13766.9895268,7018.27037038,9809.0
2011-10-21,nl,0.0,0.0,12133.5316682,6580.90423592,9118.0
2011-10-22,nl,0.0,0.0,11893.723303,6574.98121029,8815.0
2011-10-23,nl,0.0,0.0,11431.5468564,6895.13456367,9088.0
2011-10-24,nl,0.0,0.0,11604.3249321,5709.91702159,8749.0
2011-10-25,nl,0.0,0.0,10272.4811444,6427.9079061,8382.0
2011-10-26,nl,0.0,0.0,11810.1607929,5662.31470882,8689.0
2011-10-27,nl,0.0,0.0,12066.0744801,4958.16857524,8741.0
2011-10-28,nl,0.0,0.0,11866.480535,4625.56699725,9545.0
2011-10-29,nl,0.0,0.0,11296.312859,5275.27791658,7951.0
2011-10-30,nl,0.0,0.0,11363.8615814,5052.09974492,7373.0
2011-10-31,nl,0.0,0.0,10938.8984154,5229.40281659,7455.0
2011-11-01,nl,0.0,0.0,10739.8002373,5550.14385735,7333.0
2011-11-02,nl,0.0,0.0,10849.2019278,4959.7763231,7206.0
2011-11-03,nl,0.0,0.0,10818.90319,5423.23977666,7238.0
2011-11-04,nl,0.0,0.0,13788.07817,5266.13659006,7306.0
2011-11-05,nl,0.0,0.0,11955.237697,4991.22144421,7745.0
2011-11-06,nl,0.0,0.0,10680.7293522,5170.03551489,7526.0
