date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,np,0.0,0.0,323.341738416,97.0877451837,177.0
2011-09-09,np,0.0,0.0,302.442834407,66.5906866307,155.0
2011-09-11,np,0.0,0.0,272.829626127,81.0549207349,171.0
2011-09-12,np,0.0,0.0,260.762704072,81.2734699888,196.0
2011-09-13,np,0.0,0.0,270.742194298,93.4563273152,196.0
2011-09-14,np,0.0,0.0,302.285150488,114.058921929,172.0
2011-09-15,np,0.0,0.0,309.058568892,93.0606430184,177.0
2011-09-16,np,0.0,0.0,286.181302712,64.0186019076,141.0
2011-09-17,np,0.0,0.0,238.411708488,46.7726550429,108.0
2011-09-18,np,0.0,0.0,317.991451401,63.4249921533,162.0
2011-09-19,np,0.0,0.0,378.886758056,75.4556297258,201.0
2011-09-20,np,0.0,0.0,352.81160858,79.3545355305,198.0
2011-09-21,np,0.0,0.0,316.417550819,66.2779918697,178.0
2011-09-22,np,0.0,0.0,304.366251203,78.6920983088,194.0
2011-09-23,np,0.0,0.0,249.265053216,63.2296479099,141.0
2011-09-24,np,0.0,0.0,192.48840837,48.4271741768,110.0
2011-09-25,np,0.0,0.0,271.297551465,75.5397334405,174.0
2011-09-26,np,0.0,0.0,298.9175013,102.84741901,162.0
2011-09-27,np,0.0,0.0,299.934265105,107.163099062,169.0
2011-09-28,np,0.0,0.0,267.413155564,98.9172690484,129.0
2011-09-29,np,0.0,0.0,281.554368508,106.711644427,176.0
2011-09-30,np,0.0,0.0,234.451599154,70.3646922267,142.0
2011-10-01,np,0.0,0.0,199.798077601,52.4372237584,93.0
2011-10-02,np,0.0,0.0,271.189845625,87.3636765388,109.0
2011-10-03,np,0.0,0.0,280.969182416,83.1828053487,89.0
2011-10-04,np,1.0,0.0,285.316715566,84.2303710808,76.0
2011-10-05,np,0.0,0.0,232.882889959,68.990703409,76.0
2011-10-06,np,1.0,0.0,275.644986639,106.385203779,79.0
2011-10-07,np,0.0,0.0,222.931248153,79.8852943828,85.0
2011-10-08,np,0.0,0.0,163.064425107,43.8707048297,86.0
2011-10-09,np,0.0,0.0,202.987622985,56.6637708561,112.0
2011-10-10,np,0.0,0.0,155.398878763,41.0417371958,129.0
2011-10-11,np,0.0,0.0,139.438329975,33.5531248112,132.0
2011-10-12,np,0.0,1.0,132.825948149,31.4775563966,170.0
2011-10-13,np,0.0,1.0,150.40342124,38.347197001,195.0
2011-10-14,np,0.0,1.0,170.185605938,39.6544982542,175.0
2011-10-15,np,0.0,0.0,141.033208294,40.1639023391,99.0
2011-10-16,np,0.0,0.0,173.717086224,58.0584728137,140.0
2011-10-17,np,0.0,0.0,204.776909072,64.5027017165,159.0
2011-10-18,np,0.0,0.0,204.892750858,68.0183780383,147.0
2011-10-19,np,0.0,0.0,268.584154921,91.6171196669,164.0
2011-10-20,np,0.0,0.0,315.240620633,99.2985681569,187.0
2011-10-21,np,0.0,0.0,255.028700445,80.4894981838,138.0
2011-10-22,np,0.0,0.0,164.656151801,43.3153407492,103.0
2011-10-23,np,0.0,0.0,204.904529673,69.5322345261,153.0
2011-10-24,np,0.0,0.0,253.757830052,72.8666327915,161.0
2011-10-25,np,0.0,0.0,210.712290551,70.8609541915,141.0
2011-10-26,np,0.0,0.0,270.648031582,67.4686190077,97.0
2011-10-27,np,0.0,0.0,285.261235031,70.5818681585,112.0
2011-10-28,np,0.0,0.0,228.068848436,51.7278384769,116.0
2011-10-29,np,0.0,0.0,175.764188179,42.0161175012,141.0
2011-10-30,np,0.0,0.0,242.513151186,62.744335521,160.0
2011-10-31,np,0.0,0.0,251.087251021,72.2263422427,160.0
2011-11-01,np,0.0,0.0,229.38915582,68.342114972,154.0
2011-11-02,np,0.0,1.0,174.80365778,33.0793875214,181.0
