date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,nz,0.0,0.0,3112.30705105,1334.24679054,2049.0
2011-09-09,nz,0.0,0.0,3494.17998049,1154.73183261,2146.0
2011-09-11,nz,0.0,0.0,3251.00722722,1490.32072746,2389.0
2011-09-12,nz,0.0,0.0,2874.42591849,1376.23075848,2183.0
2011-09-13,nz,0.0,0.0,2801.37813827,1463.3893204,2196.0
2011-09-14,nz,0.0,0.0,2892.95386993,1599.18474676,2137.0
2011-09-15,nz,0.0,0.0,2994.76403656,1347.94762157,2141.0
2011-09-16,nz,0.0,0.0,3270.64345956,1139.64646279,2154.0
2011-09-17,nz,0.0,0.0,3528.49328562,1172.57958456,2169.0
2011-09-18,nz,0.0,0.0,3685.54956962,1120.84646133,2300.0
2011-09-19,nz,0.0,0.0,3575.17544901,1039.32377657,2270.0
2011-09-20,nz,0.0,0.0,3347.47654221,1100.09301311,2125.0
2011-09-21,nz,0.0,0.0,3279.10744369,1042.95048006,2098.0
2011-09-22,nz,0.0,0.0,3076.89026871,1193.09327513,2122.0
2011-09-23,nz,0.0,0.0,3104.48293551,1267.14769145,2022.0
2011-09-24,nz,0.0,0.0,3028.13979342,1343.85408341,2075.0
2011-09-25,nz,0.0,0.0,3188.7105575,1371.33669938,2162.0
2011-09-26,nz,0.0,0.0,2859.56625267,1436.43561884,2007.0
2011-09-27,nz,0.0,0.0,2736.30506142,1416.2906876,1977.0
2011-09-28,nz,0.0,0.0,2639.25157883,1457.33075774,1962.0
2011-09-29,nz,0.0,0.0,2605.51320857,1447.27667754,1934.0
2011-09-30,nz,0.0,0.0,2746.97034089,1319.8710451,1970.0
2011-10-01,nz,0.0,0.0,2973.15417463,1370.55099906,2120.0
2011-10-02,nz,0.0,0.0,2816.75852989,1369.61480306,1979.0
2011-10-03,nz,0.0,0.0,2897.57791914,1310.30692528,1969.0
2011-10-04,nz,0.0,0.0,2793.23761723,1242.2267735,1934.0
2011-10-05,nz,0.0,0.0,2865.94030476,1394.54242059,2050.0
2011-10-06,nz,0.0,0.0,2550.01970019,1462.17803333,1909.0
2011-10-07,nz,0.0,0.0,2534.06424097,1443.5272695,1900.0
2011-10-08,nz,0.0,0.0,2854.24982267,1450.70754445,1947.0
2011-10-09,nz,0.0,0.0,2905.42951033,1429.18622048,1957.0
2011-10-10,nz,0.0,0.0,2634.38099236,1323.59602456,1854.0
2011-10-11,nz,0.0,0.0,2662.00448134,1293.25413674,1874.0
2011-10-12,nz,0.0,0.0,2681.876644,1289.21122285,1862.0
2011-10-13,nz,0.0,0.0,2736.28680397,1397.27599072,1971.0
2011-10-14,nz,0.0,0.0,2903.00074922,1301.86465967,2017.0
2011-10-15,nz,0.0,0.0,2422.78999289,1327.6401051,1769.0
2011-10-16,nz,0.0,0.0,2411.60190288,1389.53278267,1767.0
2011-10-17,nz,0.0,0.0,2386.30201554,1229.1750799,1646.0
