date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,om,0.0,0.0,236.920180302,59.1878761733,169.0
2011-09-09,om,0.0,0.0,253.078324219,51.4487033202,153.0
2011-09-11,om,0.0,0.0,285.314936684,85.2975163067,139.0
2011-09-12,om,0.0,0.0,250.005356657,74.4442092183,111.0
2011-09-13,om,0.0,0.0,232.721489611,78.3328131551,137.0
2011-09-14,om,0.0,0.0,205.576127655,69.941291271,116.0
2011-09-15,om,0.0,0.0,297.59409697,84.356887929,124.0
2011-09-16,om,0.0,0.0,284.165139965,60.9468847088,118.0
2011-09-17,om,0.0,0.0,247.515805307,48.9182698168,110.0
2011-09-18,om,0.0,0.0,264.712374267,48.0706993828,109.0
2011-09-19,om,0.0,0.0,223.286257242,40.5462266641,109.0
2011-09-20,om,0.0,0.0,258.859954671,51.4912912241,113.0
2011-09-21,om,0.0,0.0,217.564503236,43.8402755567,111.0
2011-09-22,om,0.0,0.0,220.356837408,51.9942652364,118.0
2011-09-23,om,0.0,0.0,212.632823102,51.6492454486,119.0
2011-09-24,om,0.0,0.0,193.818604489,50.1457818896,108.0
2011-09-25,om,0.0,0.0,191.847992337,47.5854902139,112.0
2011-09-26,om,0.0,0.0,176.418146854,49.8176009509,112.0
2011-09-27,om,0.0,0.0,184.23997787,56.0518774031,104.0
2011-09-28,om,0.0,0.0,175.681801035,57.6769785607,109.0
2011-09-29,om,0.0,0.0,184.205537738,58.2184403746,91.0
2011-09-30,om,0.0,0.0,201.48642076,57.7240194097,103.0
2011-10-01,om,0.0,0.0,194.598741106,52.8413115252,119.0
2011-10-02,om,0.0,0.0,183.155837156,51.93371754,111.0
2011-10-03,om,0.0,0.0,201.569505646,53.404456777,119.0
2011-10-04,om,0.0,0.0,186.265775243,46.2600650907,116.0
2011-10-05,om,0.0,0.0,200.343055789,55.4757295084,126.0
2011-10-06,om,0.0,0.0,161.87660435,45.3038983553,119.0
2011-10-07,om,0.0,0.0,169.303809752,53.4924233504,112.0
2011-10-08,om,0.0,0.0,201.735363603,59.3557977981,105.0
2011-10-09,om,0.0,0.0,206.032741778,57.9340633366,107.0
2011-10-10,om,0.0,0.0,199.974632543,59.4095316226,101.0
2011-10-11,om,0.0,0.0,198.791737984,58.7091124209,108.0
2011-10-12,om,0.0,0.0,204.995255114,59.9337537024,116.0
2011-10-13,om,0.0,0.0,213.019553626,65.6749796978,115.0
2011-10-14,om,0.0,0.0,213.811674199,57.5589481553,116.0
2011-10-15,om,0.0,0.0,166.107499996,51.9896725,103.0
2011-10-16,om,0.0,0.0,168.191340868,55.0229282963,109.0
2011-10-17,om,0.0,0.0,171.236620846,45.9592406191,124.0
2011-10-18,om,0.0,0.0,174.860410851,53.0808109344,118.0
2011-10-19,om,0.0,0.0,192.155281626,57.4137264714,108.0
2011-10-20,om,0.0,0.0,196.823888428,53.3195553525,110.0
2011-10-21,om,0.0,0.0,175.14975609,49.5894976565,97.0
2011-10-22,om,0.0,0.0,166.896665974,46.39720703,94.0
2011-10-23,om,0.0,0.0,169.047268196,48.1308829308,94.0
2011-10-24,om,0.0,0.0,204.788927796,52.5288694994,89.0
2011-10-25,om,0.0,0.0,170.699689332,54.5859125589,84.0
2011-10-26,om,0.0,0.0,187.463231866,40.4599338887,90.0
2011-10-27,om,0.0,0.0,176.527907566,38.6932043291,96.0
2011-10-28,om,0.0,0.0,168.206438637,34.1405797485,95.0
2011-10-29,om,0.0,0.0,161.720953258,37.3977255813,79.0
2011-10-30,om,0.0,0.0,158.508314228,34.4768169511,81.0
2011-10-31,om,0.0,0.0,151.941492931,34.4704877883,93.0
2011-11-01,om,0.0,0.0,148.412252631,35.5594516738,91.0
2011-11-02,om,0.0,0.0,165.837038563,29.176763099,102.0
2011-11-03,om,0.0,0.0,162.383915626,39.5816198408,100.0
2011-11-04,om,0.0,0.0,183.811350775,35.8339624446,97.0
2011-11-05,om,0.0,0.0,168.319143046,30.1269274083,105.0
2011-11-06,om,0.0,0.0,166.346991149,35.43434162,109.0
2011-11-07,om,0.0,0.0,156.01003112,45.6265689292,119.0
2011-11-08,om,0.0,0.0,170.892927747,39.1130373737,105.0
2011-11-09,om,0.0,0.0,232.941755008,34.0518367915,139.0
2011-11-10,om,0.0,0.0,212.504235408,41.0930464584,125.0
2011-11-11,om,0.0,0.0,149.409902862,50.4306432907,104.0
2011-11-12,om,0.0,0.0,150.530217399,47.2234115414,81.0
2011-11-13,om,0.0,0.0,167.794582467,47.1717265212,82.0
2011-11-14,om,0.0,0.0,193.742948591,52.7592781666,84.0
2011-11-15,om,0.0,0.0,178.284651407,43.5849059441,85.0
2011-11-16,om,0.0,0.0,238.652507765,48.0835742721,90.0
2011-11-17,om,0.0,0.0,193.356474141,53.3247737667,106.0
2011-11-18,om,0.0,0.0,161.563328061,53.2635804058,109.0
2011-11-19,om,0.0,0.0,137.283279518,38.6867238941,102.0
2011-11-20,om,0.0,0.0,144.22160709,37.2482714574,106.0
2011-11-21,om,0.0,0.0,150.305787274,38.6106677761,91.0
2011-11-22,om,0.0,0.0,156.786604975,34.9835532865,101.0
2011-11-23,om,0.0,0.0,199.352541159,34.5592864476,127.0
2011-11-24,om,0.0,0.0,324.941544036,50.0907414385,156.0
2011-11-25,om,0.0,0.0,315.051801056,20.2119272268,100.0
2011-11-26,om,0.0,0.0,282.437620198,24.6218645361,140.0
2011-11-27,om,0.0,0.0,202.19384102,46.2345197754,101.0
2011-11-28,om,0.0,0.0,161.518860232,41.0454410708,107.0
2011-11-29,om,0.0,0.0,165.882259205,40.9288341901,98.0
2011-11-30,om,0.0,0.0,188.564066416,40.6747960408,96.0
