date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,pa,0.0,0.0,747.198654306,270.721033223,314.0
2011-09-09,pa,0.0,0.0,828.308199088,204.602799652,341.0
2011-09-11,pa,0.0,0.0,615.885777875,233.783348282,262.0
2011-09-12,pa,0.0,0.0,415.738371236,171.005696254,255.0
2011-09-13,pa,0.0,0.0,397.339473207,161.528460926,275.0
2011-09-14,pa,0.0,0.0,451.264124565,188.634010314,283.0
2011-09-15,pa,0.0,0.0,514.575636608,176.615826025,300.0
2011-09-16,pa,0.0,0.0,579.546798727,158.578100236,291.0
2011-09-17,pa,0.0,0.0,506.247620264,128.283130433,243.0
2011-09-18,pa,0.0,0.0,461.804812623,104.492159498,234.0
2011-09-19,pa,0.0,0.0,478.684544538,101.591088137,282.0
2011-09-20,pa,0.0,0.0,478.902492016,116.113666022,293.0
2011-09-21,pa,0.0,0.0,493.428210891,119.06722354,283.0
2011-09-22,pa,0.0,0.0,487.74044623,144.47234391,311.0
2011-09-23,pa,0.0,0.0,477.159395598,145.804892103,282.0
2011-09-24,pa,0.0,0.0,391.287834352,125.549428196,217.0
2011-09-25,pa,0.0,0.0,375.072457489,115.795394866,230.0
2011-09-26,pa,0.0,0.0,399.687934728,155.822332579,264.0
2011-09-27,pa,0.0,0.0,422.042447594,171.278267784,343.0
2011-09-28,pa,0.0,0.0,400.961904444,171.558511264,356.0
2011-09-29,pa,0.0,0.0,426.00094334,186.890681259,280.0
2011-09-30,pa,0.0,0.0,434.457070652,157.592202499,278.0
2011-10-01,pa,0.0,0.0,361.852754252,117.726471335,271.0
2011-10-02,pa,0.0,0.0,347.497585292,121.176945201,250.0
2011-10-03,pa,0.0,0.0,431.560436501,148.560044996,318.0
2011-10-04,pa,0.0,0.0,532.182641411,193.377931485,340.0
2011-10-05,pa,0.0,0.0,556.187163208,230.231735278,363.0
2011-10-06,pa,0.0,0.0,419.000846523,177.435617046,340.0
2011-10-07,pa,0.0,0.0,401.994677913,174.68133525,324.0
2011-10-08,pa,0.0,0.0,414.10927448,157.228068011,313.0
2011-10-09,pa,0.0,0.0,421.546694549,151.35248355,359.0
2011-10-10,pa,0.0,0.0,474.847967173,187.521015727,459.0
2011-10-11,pa,0.0,0.0,513.416434782,205.633679946,480.0
2011-10-12,pa,0.0,1.0,525.432190113,203.417634895,531.0
2011-10-13,pa,0.0,1.0,546.30732678,218.583910506,555.0
2011-10-14,pa,0.0,0.0,546.765636298,195.57049956,532.0
2011-10-15,pa,0.0,1.0,436.290971534,184.987958249,489.0
2011-10-16,pa,0.0,1.0,487.738708287,224.484617965,508.0
2011-10-17,pa,0.0,0.0,640.208522614,274.356185954,478.0
2011-10-18,pa,0.0,0.0,653.428471061,298.906499793,458.0
2011-10-19,pa,0.0,0.0,752.187860112,329.739767405,496.0
2011-10-20,pa,0.0,0.0,808.201351122,322.726452801,486.0
2011-10-21,pa,0.0,0.0,685.697715276,288.873711316,448.0
2011-10-22,pa,0.0,0.0,668.606244739,284.38740641,426.0
2011-10-23,pa,0.0,0.0,651.164061438,303.38022352,400.0
2011-10-24,pa,0.0,0.0,678.4811138,256.560460767,360.0
2011-10-25,pa,0.0,0.0,566.728628726,270.133786921,329.0
2011-10-26,pa,0.0,0.0,704.63169241,260.574473737,347.0
2011-10-27,pa,0.0,0.0,675.671721551,213.175520655,238.0
2011-10-28,pa,0.0,0.0,662.51907156,195.788403421,235.0
2011-10-29,pa,1.0,0.0,622.369408005,218.661141795,181.0
2011-10-30,pa,1.0,0.0,572.704935178,189.685063683,164.0
2011-10-31,pa,0.0,0.0,520.556436296,181.719102992,225.0
2011-11-01,pa,0.0,0.0,491.138142659,182.152906308,235.0
2011-11-02,pa,0.0,0.0,501.766586172,166.435447084,208.0
2011-11-03,pa,0.0,0.0,353.450032717,118.21952104,175.0
2011-11-04,pa,0.0,0.0,409.05095681,103.212607384,171.0
2011-11-05,pa,0.0,0.0,336.218513387,87.0942603096,167.0
2011-11-06,pa,0.0,0.0,297.07253462,87.1930592788,168.0
2011-11-07,pa,0.0,0.0,344.748358369,125.326964188,246.0
2011-11-08,pa,0.0,0.0,398.970689221,112.924620299,271.0
2011-11-09,pa,0.0,0.0,437.393703685,74.6369043603,273.0
