date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,pe,0.0,0.0,1054.31416163,437.773457675,734.0
2011-09-09,pe,0.0,0.0,1193.38307305,365.233637991,738.0
2011-09-11,pe,0.0,0.0,840.978260467,353.414990061,525.0
2011-09-12,pe,0.0,0.0,871.171017821,423.779627229,594.0
2011-09-13,pe,0.0,0.0,1007.21984867,476.348712368,716.0
2011-09-14,pe,0.0,0.0,1046.81216766,529.610730677,668.0
2011-09-15,pe,0.0,0.0,1123.40818529,461.799666781,699.0
2011-09-16,pe,0.0,0.0,1184.5893701,375.181327127,703.0
2011-09-17,pe,0.0,0.0,968.066498967,277.828700076,611.0
2011-09-18,pe,0.0,0.0,876.712927479,226.762853049,569.0
2011-09-19,pe,0.0,0.0,1041.09773777,266.437617552,684.0
2011-09-20,pe,0.0,0.0,1155.34969048,341.898628799,719.0
2011-09-21,pe,0.0,0.0,1084.841377,310.939709337,715.0
2011-09-22,pe,0.0,0.0,1050.64253714,375.240953857,747.0
2011-09-23,pe,0.0,0.0,1052.16434868,401.119523175,670.0
2011-09-24,pe,0.0,0.0,902.019027452,359.294699367,597.0
2011-09-25,pe,0.0,0.0,841.478216413,318.575633483,575.0
2011-09-26,pe,0.0,0.0,919.753784664,403.022786248,607.0
2011-09-27,pe,0.0,0.0,982.1990575,451.268180336,713.0
2011-09-28,pe,0.0,0.0,960.337249918,464.340962515,708.0
2011-09-29,pe,0.0,0.0,976.134352845,474.896329301,674.0
2011-09-30,pe,0.0,0.0,962.51654409,409.297060193,692.0
2011-10-01,pe,0.0,0.0,915.606204768,363.803606062,592.0
2011-10-02,pe,0.0,0.0,802.519622603,336.955529969,492.0
2011-10-03,pe,0.0,0.0,934.879005511,366.858995034,612.0
2011-10-04,pe,0.0,0.0,1067.38663488,412.279185451,655.0
2011-10-05,pe,0.0,0.0,1124.10916367,433.420482871,715.0
2011-10-06,pe,0.0,0.0,947.075575171,468.715909644,682.0
2011-10-07,pe,0.0,0.0,938.573665406,474.529640952,600.0
2011-10-08,pe,0.0,0.0,849.015766807,373.043034578,491.0
2011-10-09,pe,0.0,0.0,777.92900319,323.93247783,507.0
2011-10-10,pe,0.0,0.0,868.544249118,382.69535589,563.0
2011-10-11,pe,0.0,0.0,960.252537542,407.013341345,642.0
2011-10-12,pe,0.0,0.0,990.271633461,423.093029673,695.0
2011-10-13,pe,0.0,0.0,1030.56715534,470.037652917,734.0
2011-10-14,pe,0.0,0.0,972.835733823,382.638378814,723.0
2011-10-15,pe,0.0,0.0,661.617649356,305.551331521,627.0
2011-10-16,pe,0.0,0.0,672.442024615,327.890017704,576.0
2011-10-17,pe,0.0,0.0,771.576913487,345.074399764,632.0
2011-10-18,pe,0.0,0.0,850.272379192,411.061758419,691.0
2011-10-19,pe,0.0,0.0,929.971686883,459.410316485,653.0
2011-10-20,pe,0.0,0.0,1102.84265972,407.987590253,651.0
2011-10-21,pe,0.0,0.0,930.129909405,391.269742777,592.0
