date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,pf,0.0,0.0,174.24857483,46.143688782,93.0
2011-09-09,pf,0.0,0.0,187.495429736,35.6203135953,89.0
2011-09-11,pf,0.0,0.0,168.935515666,44.3528772387,97.0
2011-09-12,pf,0.0,0.0,165.340049194,51.1202697182,98.0
2011-09-13,pf,0.0,0.0,162.573106642,46.5661401513,99.0
2011-09-14,pf,0.0,0.0,165.475462929,50.8172215342,96.0
2011-09-15,pf,0.0,0.0,175.826131748,42.9073706143,79.0
2011-09-16,pf,0.0,0.0,177.477123225,32.8797407185,94.0
2011-09-17,pf,0.0,0.0,186.598325163,33.3613202848,98.0
2011-09-18,pf,0.0,0.0,194.825094995,32.3214021314,96.0
2011-09-19,pf,0.0,0.0,207.61337711,33.1730630549,91.0
2011-09-20,pf,0.0,0.0,194.912294972,35.3497774526,86.0
2011-09-21,pf,0.0,0.0,191.19267088,33.5858222629,90.0
2011-09-22,pf,0.0,0.0,149.903941469,29.8699266752,100.0
2011-09-23,pf,0.0,0.0,172.743400529,39.6493762611,92.0
2011-09-24,pf,0.0,0.0,175.285967037,43.4463839925,102.0
2011-09-25,pf,0.0,0.0,172.120544266,40.9786084563,96.0
2011-09-26,pf,0.0,0.0,151.530317014,39.6864543334,89.0
2011-09-27,pf,0.0,0.0,147.150406909,39.2407113336,99.0
2011-09-28,pf,0.0,0.0,149.281310575,42.8275645039,84.0
2011-09-29,pf,0.0,0.0,159.439101111,47.6362058713,80.0
2011-09-30,pf,0.0,0.0,162.925977515,41.9245252628,80.0
2011-10-01,pf,0.0,0.0,188.42910301,47.9819716657,89.0
2011-10-02,pf,0.0,0.0,162.672896474,42.8099238895,127.0
2011-10-03,pf,0.0,0.0,168.038166468,39.6604318955,93.0
2011-10-04,pf,0.0,0.0,180.957439328,42.8342010858,78.0
2011-10-05,pf,0.0,0.0,166.740543437,36.886849606,81.0
2011-10-06,pf,0.0,0.0,140.897401222,39.5984130562,79.0
2011-10-07,pf,0.0,0.0,136.282792325,39.0133429642,87.0
2011-10-08,pf,0.0,0.0,156.16932353,41.4492260642,80.0
2011-10-09,pf,0.0,0.0,230.54741689,68.4032174058,86.0
2011-10-10,pf,0.0,0.0,161.160476819,43.2548390757,81.0
2011-10-11,pf,0.0,0.0,144.293266944,34.0384822833,75.0
2011-10-12,pf,0.0,0.0,141.813685575,34.2308276435,77.0
2011-10-13,pf,0.0,0.0,150.428496426,38.4357876321,81.0
