date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,ph,0.0,0.0,12826.5301574,5473.26433123,9072.0
2011-09-09,ph,0.0,0.0,12545.454072,4366.34467046,8093.0
2011-09-11,ph,0.0,0.0,10538.8997279,5135.98509604,7024.0
2011-09-12,ph,0.0,0.0,11257.522759,5648.53672423,7127.0
2011-09-13,ph,0.0,0.0,11996.7318676,7005.41099608,7675.0
2011-09-14,ph,1.0,0.0,11683.178185,7195.21033951,6057.0
2011-09-15,ph,0.0,0.0,12811.4938184,5980.42327432,7606.0
2011-09-16,ph,0.0,0.0,11917.9707955,4339.53002041,7023.0
2011-09-17,ph,0.0,0.0,9721.6377316,3411.37736547,5665.0
2011-09-18,ph,0.0,0.0,10499.7805534,3327.28531604,5853.0
2011-09-19,ph,0.0,0.0,10933.6816622,3734.08830697,6433.0
2011-09-20,ph,0.0,0.0,11320.5257772,3942.83835196,7849.0
2011-09-21,ph,0.0,0.0,8742.51285473,3243.05628157,7058.0
2011-09-22,ph,0.0,0.0,10466.2900259,4455.60268214,6422.0
2011-09-23,ph,0.0,0.0,9750.54389437,4334.01730871,7571.0
2011-09-24,ph,0.0,0.0,7633.37245625,3700.48393205,6221.0
2011-09-25,ph,0.0,0.0,7852.97781965,3681.9273053,6438.0
2011-09-26,ph,0.0,0.0,7918.82255179,4246.25856994,6764.0
2011-09-27,ph,0.0,0.0,9724.3048965,5547.6608135,5961.0
2011-09-28,ph,0.0,0.0,8521.7231515,5259.51690983,6127.0
2011-09-29,ph,0.0,0.0,7738.93515423,4458.07707169,6371.0
2011-09-30,ph,0.0,0.0,9821.84114036,5166.65605827,5897.0
2011-10-01,ph,0.0,0.0,8510.10333589,4352.06912979,5460.0
2011-10-02,ph,0.0,0.0,8067.23651369,4253.02524174,4722.0
2011-10-03,ph,0.0,0.0,9316.99048318,4599.90387706,6201.0
2011-10-04,ph,0.0,0.0,8084.4520505,3861.35484492,5760.0
2011-10-05,ph,0.0,0.0,8574.68278777,4498.15706764,6231.0
2011-10-06,ph,0.0,0.0,8369.89884507,4745.97390356,6588.0
2011-10-07,ph,0.0,0.0,7322.68575748,4482.18604014,5977.0
2011-10-08,ph,0.0,0.0,7144.17148759,3800.96942196,5235.0
2011-10-09,ph,0.0,0.0,6750.28325037,3498.74768988,5898.0
2011-10-10,ph,0.0,0.0,8018.7358827,4334.69545542,6627.0
2011-10-11,ph,0.0,0.0,7604.41306568,4124.69148804,6433.0
2011-10-12,ph,0.0,0.0,7870.61194192,4139.61043014,6392.0
2011-10-13,ph,0.0,0.0,9062.53557771,5098.32434988,6297.0
2011-10-14,ph,0.0,0.0,8757.89387064,4368.34043867,5702.0
2011-10-15,ph,0.0,0.0,6307.502724,3743.25642,5519.0
2011-10-16,ph,0.0,0.0,7029.9434771,4351.46116033,5375.0
2011-10-17,ph,0.0,0.0,8478.6589693,4405.12357813,5419.0
2011-10-18,ph,0.0,0.0,7901.5781628,4524.40189867,5739.0
2011-10-19,ph,0.0,0.0,8137.41132506,4487.83961918,6684.0
2011-10-20,ph,0.0,0.0,8266.60331398,4157.54039398,6937.0
2011-10-21,ph,0.0,1.0,6634.62841898,3447.74161271,6863.0
2011-10-22,ph,0.0,0.0,6765.7340745,3632.13956526,5968.0
2011-10-23,ph,0.0,0.0,6367.44710206,3411.9448122,4965.0
2011-10-24,ph,0.0,0.0,6983.67032214,3180.77754486,6187.0
2011-10-25,ph,0.0,1.0,6425.77643028,3724.80620824,6547.0
2011-10-26,ph,0.0,0.0,8794.41604525,3586.32358441,6791.0
2011-10-27,ph,0.0,0.0,8474.50862217,3513.66097942,6665.0
2011-10-28,ph,0.0,0.0,8871.65282605,3553.32986367,6909.0
2011-10-29,ph,0.0,0.0,7665.81821617,3542.18790798,5314.0
2011-10-30,ph,0.0,0.0,6279.09072043,2703.55706258,4620.0
2011-10-31,ph,0.0,0.0,7816.54569189,3629.86547299,4159.0
2011-11-01,ph,0.0,0.0,8471.86608768,4272.60488573,4781.0
2011-11-02,ph,0.0,0.0,9271.2045181,3320.52038988,5244.0
2011-11-03,ph,0.0,0.0,8385.0242654,4062.86175269,5242.0
2011-11-04,ph,0.0,0.0,9978.33047062,3878.29213212,5351.0
2011-11-05,ph,0.0,0.0,8249.11449296,3166.46559948,5764.0
2011-11-06,ph,0.0,0.0,6931.12463121,3096.25277076,5719.0
2011-11-07,ph,0.0,1.0,5241.22249586,3032.2335046,5436.0
2011-11-08,ph,0.0,0.0,6676.74694453,3052.16564058,5786.0
2011-11-09,ph,0.0,0.0,9046.99844275,2529.4924136,5193.0
2011-11-10,ph,0.0,0.0,8428.31546622,3145.19855586,5385.0
2011-11-11,ph,0.0,0.0,6179.63752646,4067.27140572,5347.0
2011-11-12,ph,0.0,0.0,6278.66727468,3753.23462164,5054.0
2011-11-13,ph,0.0,0.0,6714.02055979,3564.08600382,4802.0
2011-11-14,ph,0.0,0.0,6831.23285401,3363.5668204,5392.0
2011-11-15,ph,0.0,0.0,7464.59392199,3477.31749598,5945.0
2011-11-16,ph,0.0,0.0,7047.34405363,2442.34814885,5562.0
2011-11-17,ph,0.0,0.0,6475.72570202,3170.96387259,5402.0
2011-11-18,ph,0.0,0.0,6306.57963216,3976.75290765,4698.0
2011-11-19,ph,0.0,0.0,6243.45581466,3707.73561801,4396.0
2011-11-20,ph,0.0,0.0,6186.86250076,3320.20866756,4700.0
2011-11-21,ph,0.0,0.0,7098.19080403,3802.40826311,4933.0
2011-11-22,ph,0.0,0.0,8077.7495489,3735.97946418,5082.0
2011-11-23,ph,0.0,0.0,9168.64718827,3205.52539383,6050.0
2011-11-24,ph,0.0,0.0,12634.8845581,3671.65134744,6587.0
2011-11-25,ph,0.0,0.0,10407.2111616,1247.80578504,4615.0
2011-11-26,ph,0.0,0.0,9238.89257619,1525.8206202,4687.0
2011-11-27,ph,0.0,0.0,6864.89636941,2937.21299202,5086.0
2011-11-28,ph,0.0,0.0,6505.82944005,3307.6964063,5393.0
2011-11-29,ph,0.0,0.0,6337.8871749,2988.42502973,5204.0
2011-11-30,ph,0.0,0.0,6992.30845113,2694.35459291,5226.0
2011-12-01,ph,0.0,0.0,7198.33029961,1753.15537832,5784.0
