date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,pk,0.0,1.0,1091.94399931,386.335409931,1612.0
2011-09-09,pk,0.0,0.0,1304.12809929,382.467719022,1304.0
2011-09-11,pk,0.0,0.0,1380.92429355,575.590326574,1054.0
2011-09-12,pk,0.0,0.0,2004.8973262,898.600897113,1217.0
2011-09-13,pk,0.0,0.0,2210.24493274,1160.40079095,1381.0
2011-09-14,pk,0.0,0.0,2334.24521692,1301.86176252,1505.0
2011-09-15,pk,0.0,0.0,2395.70042446,1004.73854322,1381.0
2011-09-16,pk,0.0,0.0,2035.80995796,655.318797052,1291.0
2011-09-17,pk,0.0,0.0,1757.78173599,541.326348412,1161.0
2011-09-18,pk,0.0,0.0,1684.14305142,463.361896112,1209.0
2011-09-19,pk,0.0,0.0,1981.66553302,596.687038341,1351.0
2011-09-20,pk,0.0,0.0,2151.50814784,667.777683063,1383.0
2011-09-21,pk,0.0,0.0,2273.41135977,766.080712613,1436.0
2011-09-22,pk,0.0,0.0,2006.96257304,761.563061404,1442.0
2011-09-23,pk,0.0,0.0,1896.41899104,748.914059005,1424.0
2011-09-24,pk,0.0,0.0,1655.80132312,711.657945721,1315.0
2011-09-25,pk,0.0,0.0,1713.84206487,715.104172382,1288.0
2011-09-26,pk,0.0,0.0,1752.42025875,841.363927171,1407.0
2011-09-27,pk,0.0,0.0,1810.3063632,919.693304233,1474.0
2011-09-28,pk,0.0,0.0,1825.01028838,1010.90596207,1330.0
2011-09-29,pk,0.0,0.0,1824.78610822,948.232847601,1167.0
2011-09-30,pk,0.0,0.0,1947.70206734,916.457888405,1177.0
2011-10-01,pk,0.0,0.0,1896.35820192,867.478197539,1127.0
2011-10-02,pk,0.0,0.0,1704.66609222,801.164149251,1010.0
2011-10-03,pk,0.0,0.0,2040.72656369,904.315468091,1175.0
2011-10-04,pk,0.0,0.0,2094.19645916,906.833334793,1220.0
2011-10-05,pk,0.0,0.0,1960.69070599,922.284003078,1132.0
2011-10-06,pk,0.0,0.0,1626.29518789,813.907967003,1144.0
2011-10-07,pk,0.0,0.0,1547.41314228,839.910886039,1275.0
2011-10-08,pk,0.0,0.0,1561.58114789,735.718777646,1213.0
2011-10-09,pk,0.0,0.0,1531.69077769,699.906116526,1188.0
2011-10-10,pk,0.0,0.0,1610.90676215,770.12355807,1283.0
2011-10-11,pk,0.0,0.0,1701.05335288,821.927573893,1368.0
2011-10-12,pk,0.0,0.0,1518.17074228,703.176249834,1343.0
2011-10-13,pk,0.0,0.0,1672.59797662,827.018262862,1411.0
2011-10-14,pk,0.0,0.0,1970.42131125,877.965822529,1275.0
2011-10-15,pk,0.0,0.0,1540.79025859,818.272236739,1057.0
2011-10-16,pk,0.0,0.0,1497.81207611,823.019011981,986.0
2011-10-17,pk,0.0,0.0,1734.38234542,802.197654443,1071.0
2011-10-18,pk,0.0,0.0,1769.72818498,909.008887252,1060.0
2011-10-19,pk,0.0,0.0,1801.15172208,889.912760307,1081.0
2011-10-20,pk,0.0,0.0,1946.9267435,881.503817711,1121.0
2011-10-21,pk,0.0,0.0,1563.04529169,727.312632296,996.0
2011-10-22,pk,0.0,0.0,1377.18927168,649.56089842,869.0
2011-10-23,pk,0.0,0.0,1245.31487571,582.249986565,949.0
2011-10-24,pk,0.0,0.0,1465.40580069,587.705351693,1063.0
2011-10-25,pk,0.0,0.0,1262.110828,642.066796475,1088.0
2011-10-26,pk,0.0,0.0,1516.06170737,540.027728709,1244.0
2011-10-27,pk,0.0,0.0,1458.98562015,529.513851024,1229.0
2011-10-28,pk,0.0,0.0,1379.04543441,477.426202515,1240.0
2011-10-29,pk,0.0,1.0,1201.8807208,474.951114883,1210.0
2011-10-30,pk,0.0,0.0,1280.07471945,480.951596468,1066.0
