date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,pl,0.0,0.0,13946.1825401,6458.71144251,10760.0
2011-09-09,pl,0.0,0.0,15467.5516531,4931.06478892,10764.0
2011-09-11,pl,0.0,0.0,14537.4181774,7434.17255008,10992.0
2011-09-12,pl,0.0,0.0,13102.092658,7777.45649442,10533.0
2011-09-13,pl,0.0,0.0,13277.6600864,7942.8514344,10634.0
2011-09-14,pl,0.0,0.0,13709.7186584,8192.77096647,10333.0
2011-09-15,pl,0.0,0.0,15016.9874265,7330.26324335,10584.0
2011-09-16,pl,0.0,0.0,15687.1502413,5985.60247435,10481.0
2011-09-17,pl,0.0,0.0,15423.1196488,5617.70934164,10066.0
2011-09-18,pl,0.0,0.0,16225.8826756,5431.543428,10604.0
2011-09-19,pl,0.0,0.0,16537.3391542,5209.3652417,11024.0
2011-09-20,pl,0.0,0.0,15567.8627198,5511.63619319,10792.0
2011-09-21,pl,0.0,0.0,15189.9322508,5316.37822776,10515.0
2011-09-22,pl,0.0,0.0,14577.7246722,6194.09998848,10683.0
2011-09-23,pl,0.0,0.0,14520.6153327,6404.0044349,10307.0
2011-09-24,pl,0.0,0.0,13483.2880478,6509.10003399,9840.0
2011-09-25,pl,0.0,0.0,14067.137322,6613.27554029,10183.0
2011-09-26,pl,0.0,0.0,13150.5393395,7465.4339158,10011.0
2011-09-27,pl,0.0,0.0,13143.2717663,7683.89746163,10333.0
2011-09-28,pl,0.0,0.0,12556.5598696,7797.83439539,10435.0
2011-09-29,pl,0.0,0.0,12442.8243873,7762.74559538,10231.0
2011-09-30,pl,0.0,0.0,13380.5265535,7050.47637486,10497.0
2011-10-01,pl,0.0,0.0,13484.9579331,6800.13940824,11044.0
2011-10-02,pl,0.0,0.0,12741.5781274,6754.23768424,10538.0
2011-10-03,pl,0.0,0.0,13705.6731898,6952.75433887,10506.0
2011-10-04,pl,0.0,0.0,13771.1899455,6976.31907171,10333.0
2011-10-05,pl,0.0,0.0,14056.7208982,8039.72417254,10829.0
2011-10-06,pl,0.0,0.0,12922.0348278,7949.92216921,10354.0
