date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,pr,0.0,0.0,519.582375613,161.421480473,332.0
2011-09-09,pr,0.0,0.0,560.387717913,142.211981819,318.0
2011-09-11,pr,0.0,0.0,499.618155793,174.624836533,349.0
2011-09-12,pr,0.0,0.0,468.456639172,167.334771163,312.0
2011-09-13,pr,0.0,0.0,419.142368723,168.953126413,301.0
2011-09-14,pr,0.0,0.0,466.131917357,204.260362007,317.0
2011-09-15,pr,0.0,0.0,546.268616355,182.430343001,339.0
2011-09-16,pr,0.0,0.0,545.710169285,142.023015743,337.0
2011-09-17,pr,0.0,0.0,601.309583514,155.893387328,340.0
2011-09-18,pr,0.0,0.0,602.39951117,139.751930164,304.0
2011-09-19,pr,0.0,0.0,558.215643104,135.884651523,294.0
2011-09-20,pr,0.0,0.0,520.548979885,128.191860443,312.0
2011-09-21,pr,0.0,0.0,530.141352822,142.199868152,283.0
2011-09-22,pr,0.0,0.0,540.995828368,166.993345995,275.0
2011-09-23,pr,0.0,0.0,540.884743766,174.961818957,289.0
2011-09-24,pr,0.0,0.0,527.546002946,188.218414216,328.0
2011-09-25,pr,0.0,0.0,474.504034379,159.279210299,335.0
2011-09-26,pr,0.0,0.0,423.40355245,160.523380842,302.0
2011-09-27,pr,0.0,0.0,451.685107037,182.906126263,320.0
2011-09-28,pr,0.0,0.0,402.218860263,173.810354311,324.0
2011-09-29,pr,0.0,0.0,390.285483083,157.189789011,269.0
2011-09-30,pr,0.0,0.0,440.28514166,162.482425005,288.0
2011-10-01,pr,0.0,0.0,518.494632343,193.017568488,295.0
2011-10-02,pr,0.0,0.0,484.824274825,186.268933577,279.0
2011-10-03,pr,0.0,0.0,486.138219499,170.894261686,299.0
2011-10-04,pr,0.0,0.0,503.176295623,174.155539165,299.0
2011-10-05,pr,0.0,0.0,524.898806168,199.558526982,290.0
2011-10-06,pr,0.0,0.0,416.612656156,164.031356114,270.0
2011-10-07,pr,0.0,0.0,417.931782116,181.235523889,298.0
2011-10-08,pr,0.0,0.0,449.546088029,170.739517123,305.0
2011-10-09,pr,0.0,0.0,464.929147566,171.453511767,320.0
2011-10-10,pr,0.0,0.0,450.560128877,173.827888822,319.0
2011-10-11,pr,0.0,0.0,459.234078255,178.385380048,319.0
2011-10-12,pr,0.0,0.0,428.078326855,159.591041835,334.0
2011-10-13,pr,0.0,0.0,437.873526898,171.079268102,310.0
2011-10-14,pr,0.0,0.0,508.676139925,181.118823529,276.0
2011-10-15,pr,0.0,0.0,426.151655163,182.340590507,295.0
2011-10-16,pr,0.0,0.0,442.070483769,198.392530195,297.0
2011-10-17,pr,0.0,0.0,474.570063486,177.569793301,262.0
2011-10-18,pr,0.0,0.0,455.341204094,187.994538726,273.0
2011-10-19,pr,0.0,0.0,491.333758081,197.267675568,273.0
2011-10-20,pr,0.0,0.0,473.881718636,171.038054183,273.0
2011-10-21,pr,0.0,0.0,376.904538422,137.324762741,252.0
2011-10-22,pr,0.0,0.0,421.326548369,161.351481164,250.0
2011-10-23,pr,0.0,0.0,409.094389035,157.09385401,265.0
2011-10-24,pr,0.0,0.0,397.315045544,126.069286799,262.0
2011-10-25,pr,0.0,0.0,359.536220655,146.017316095,242.0
2011-10-26,pr,0.0,0.0,423.994021066,120.255914614,228.0
2011-10-27,pr,0.0,0.0,393.9728798,113.429393513,228.0
2011-10-28,pr,0.0,0.0,387.122171275,105.673223031,255.0
2011-10-29,pr,0.0,0.0,381.024367146,120.296017287,247.0
2011-10-30,pr,0.0,0.0,393.869144445,118.945018481,231.0
2011-10-31,pr,0.0,0.0,390.706696108,125.571062657,240.0
2011-11-01,pr,0.0,0.0,373.504169121,127.193423295,233.0
2011-11-02,pr,0.0,0.0,373.459787631,89.0659084075,240.0
2011-11-03,pr,0.0,0.0,344.013332363,111.083900843,275.0
2011-11-04,pr,0.0,0.0,436.724713119,116.313517443,275.0
2011-11-05,pr,0.0,0.0,454.756982966,119.880065312,278.0
2011-11-06,pr,0.0,0.0,412.313054985,125.437569335,256.0
2011-11-07,pr,0.0,0.0,357.274880427,143.066360202,238.0
2011-11-08,pr,0.0,0.0,386.827402342,120.036562975,241.0
2011-11-09,pr,0.0,0.0,492.130468327,94.0237284542,250.0
2011-11-10,pr,0.0,0.0,518.265725204,136.555354385,264.0
2011-11-11,pr,0.0,0.0,372.426154928,172.905062711,246.0
2011-11-12,pr,0.0,0.0,355.043685175,149.19860458,246.0
2011-11-13,pr,0.0,0.0,355.72451483,130.377410802,241.0
2011-11-14,pr,0.0,0.0,355.195405749,119.19688771,212.0
2011-11-15,pr,0.0,0.0,370.094345334,116.858081155,204.0
2011-11-16,pr,0.0,0.0,401.194215757,95.671441593,230.0
2011-11-17,pr,0.0,0.0,374.127615646,127.731434837,223.0
2011-11-18,pr,0.0,0.0,343.32207213,148.824709957,212.0
2011-11-19,pr,0.0,0.0,359.048577201,147.009550798,224.0
2011-11-20,pr,0.0,0.0,367.887319781,135.116278816,215.0
2011-11-21,pr,0.0,0.0,335.682924913,118.802054696,226.0
2011-11-22,pr,0.0,0.0,335.601080071,100.990257601,235.0
2011-11-23,pr,0.0,0.0,452.075053967,106.709375698,274.0
2011-11-24,pr,0.0,0.0,625.401190918,121.648943494,302.0
2011-11-25,pr,0.0,0.0,562.892551221,44.9153938373,216.0
2011-11-26,pr,0.0,0.0,560.897245745,62.8408781443,257.0
2011-11-27,pr,0.0,0.0,376.689895598,107.660381763,225.0
2011-11-28,pr,0.0,0.0,355.591909348,121.720963176,225.0
2011-11-29,pr,0.0,0.0,348.35274433,111.624093246,208.0
2011-11-30,pr,0.0,0.0,372.717277477,100.518174124,203.0
2011-12-01,pr,0.0,0.0,385.45695553,66.9249707011,267.0
2011-12-02,pr,0.0,0.0,397.29008502,32.6761129102,259.0
2011-12-03,pr,0.0,0.0,425.976877433,59.7424670892,243.0
2011-12-04,pr,0.0,0.0,320.20330436,100.005669215,220.0
2011-12-05,pr,0.0,0.0,402.66848226,134.261119856,263.0
2011-12-06,pr,0.0,0.0,341.326871654,126.928842918,215.0
2011-12-07,pr,0.0,0.0,346.702484524,125.567470645,229.0
2011-12-08,pr,0.0,0.0,402.491371398,138.930519556,222.0
2011-12-09,pr,0.0,0.0,412.316183518,134.609975546,215.0
2011-12-10,pr,0.0,0.0,374.790762705,136.945516445,193.0
2011-12-11,pr,0.0,0.0,379.281407194,139.761998409,208.0
2011-12-12,pr,0.0,0.0,363.287985779,148.541062502,201.0
2011-12-13,pr,0.0,0.0,331.173039567,128.794335556,197.0
2011-12-14,pr,0.0,0.0,366.765011426,120.745525002,214.0
2011-12-15,pr,0.0,0.0,350.275114865,118.006318006,202.0
2011-12-16,pr,0.0,0.0,347.465052282,126.793290701,214.0
2011-12-17,pr,0.0,0.0,323.648462563,109.593906139,200.0
2011-12-18,pr,0.0,0.0,331.063751781,121.578105286,221.0
2011-12-19,pr,0.0,0.0,314.438068758,109.971019972,224.0
2011-12-20,pr,0.0,0.0,310.319822803,111.954354098,240.0
2011-12-21,pr,0.0,0.0,342.113935988,120.138749003,246.0
2011-12-22,pr,0.0,0.0,325.269102545,114.332565857,247.0
2011-12-23,pr,0.0,0.0,308.232401653,123.072767344,263.0
2011-12-24,pr,0.0,0.0,286.880764311,111.365605558,251.0
2011-12-25,pr,0.0,0.0,377.280062541,134.636595496,259.0
2011-12-26,pr,0.0,0.0,316.915384809,125.688727411,195.0
2011-12-27,pr,0.0,0.0,357.888426088,150.093444892,221.0
2011-12-28,pr,0.0,0.0,376.872461552,144.297419021,222.0
2011-12-29,pr,0.0,0.0,380.629807979,144.327623175,217.0
2011-12-30,pr,0.0,0.0,429.432299108,148.693833203,216.0
2011-12-31,pr,0.0,0.0,391.388921297,138.469583847,202.0
2012-01-01,pr,0.0,0.0,360.081625201,111.686021493,210.0
2012-01-02,pr,0.0,0.0,364.607608798,90.6024591475,243.0
2012-01-03,pr,0.0,0.0,362.737907729,113.358427315,251.0
2012-01-04,pr,0.0,0.0,367.792450056,130.454703553,265.0
2012-01-05,pr,0.0,0.0,427.047888987,122.008534778,288.0
2012-01-06,pr,0.0,0.0,510.000489009,84.2072789367,287.0
2012-01-07,pr,0.0,0.0,532.039799642,128.935168237,295.0
2012-01-09,pr,0.0,0.0,697.83039177,125.866935877,300.0
2012-01-10,pr,0.0,0.0,589.673683968,132.24797215,278.0
2012-01-11,pr,0.0,0.0,449.998663225,139.528469681,248.0
2012-01-12,pr,0.0,0.0,510.336135353,121.162014788,248.0
2012-01-13,pr,0.0,0.0,486.952117686,111.714120171,231.0
2012-01-14,pr,0.0,0.0,480.28070204,91.5706800528,239.0
2012-01-16,pr,0.0,0.0,453.045791997,88.3970957001,199.0
2012-01-17,pr,0.0,0.0,467.575278384,83.6887872715,211.0
2012-01-18,pr,0.0,0.0,372.787783931,147.278313818,223.0
2012-01-19,pr,0.0,0.0,408.95322896,105.038025976,240.0
2012-01-20,pr,0.0,0.0,392.047478283,117.895266838,268.0
2012-01-21,pr,0.0,0.0,395.795799852,106.121700183,278.0
2012-01-22,pr,0.0,0.0,344.036194874,84.2988266205,265.0
2012-01-23,pr,0.0,0.0,347.958991083,63.5380975005,253.0
2012-01-24,pr,0.0,0.0,356.677449871,91.0854754184,252.0
2012-01-25,pr,0.0,0.0,375.30830411,124.445737241,245.0
2012-01-26,pr,0.0,0.0,381.753944296,114.140247328,237.0
2012-01-27,pr,0.0,0.0,417.539194808,121.370403824,235.0
2012-01-28,pr,0.0,0.0,428.025289452,129.648054233,247.0
2012-01-29,pr,0.0,0.0,439.83135565,126.316901076,267.0
2012-01-30,pr,0.0,0.0,429.999256616,133.009327954,250.0
2012-01-31,pr,0.0,0.0,429.422793763,131.577393203,246.0
2012-02-01,pr,0.0,0.0,434.36374005,122.935450923,249.0
2012-02-02,pr,0.0,0.0,407.58106848,133.073007627,247.0
2012-02-03,pr,0.0,0.0,416.375447463,134.354566933,247.0
2012-02-04,pr,0.0,0.0,407.678372091,150.908111083,237.0
2012-02-05,pr,0.0,0.0,419.723755323,152.066355424,212.0
2012-02-06,pr,0.0,0.0,394.011882064,142.475799432,217.0
2012-02-07,pr,0.0,0.0,379.674303609,123.630689829,218.0
2012-02-08,pr,0.0,0.0,420.718424117,157.617884547,251.0
2012-02-09,pr,0.0,0.0,445.39707631,150.120536219,255.0
2012-02-10,pr,0.0,0.0,394.611100499,133.21116865,216.0
2012-02-11,pr,0.0,0.0,371.920104603,147.353865723,197.0
2012-02-12,pr,0.0,0.0,326.175611214,135.591778077,220.0
2012-02-13,pr,0.0,0.0,409.167515408,113.470280265,242.0
2012-02-14,pr,0.0,0.0,423.971412796,109.521853164,230.0
2012-02-15,pr,0.0,0.0,387.872349789,128.991275706,210.0
2012-02-16,pr,0.0,0.0,373.418026267,138.446460167,226.0
2012-02-17,pr,0.0,0.0,348.104326677,127.618373605,239.0
2012-02-18,pr,0.0,0.0,302.635090765,114.379837763,233.0
2012-02-19,pr,0.0,0.0,341.918945113,126.067920976,251.0
2012-02-20,pr,0.0,0.0,398.733124898,116.209907445,262.0
2012-02-21,pr,0.0,0.0,377.020459628,103.421434233,270.0
2012-02-22,pr,0.0,0.0,342.664227192,112.547964526,243.0
2012-02-23,pr,0.0,0.0,365.064486629,111.675345369,234.0
2012-02-24,pr,0.0,0.0,372.371912945,123.411407825,232.0
2012-02-25,pr,0.0,0.0,389.937230253,137.344361433,252.0
2012-02-26,pr,0.0,0.0,420.886218305,138.594531069,240.0
2012-02-27,pr,0.0,0.0,416.116060502,133.767469703,238.0
2012-02-28,pr,0.0,0.0,427.885192104,146.390184741,254.0
2012-02-29,pr,0.0,0.0,355.832930048,136.724409974,233.0
2012-03-01,pr,0.0,0.0,356.521736366,151.122603703,223.0
2012-03-02,pr,0.0,0.0,344.61630712,140.622487916,210.0
2012-03-03,pr,0.0,0.0,358.159505896,142.158266293,201.0
2012-03-04,pr,0.0,0.0,352.639998272,144.849769442,227.0
2012-03-05,pr,0.0,0.0,381.762133896,134.154119671,224.0
2012-03-06,pr,0.0,0.0,388.508674329,147.284762976,226.0
2012-03-07,pr,0.0,0.0,372.76054547,132.111774559,215.0
2012-03-08,pr,0.0,0.0,320.070645609,128.930046588,211.0
2012-03-09,pr,0.0,0.0,324.252966645,125.094928547,228.0
2012-03-10,pr,0.0,0.0,297.885980689,128.638283267,216.0
2012-03-11,pr,0.0,0.0,356.605982183,133.833002882,204.0
2012-03-12,pr,0.0,0.0,328.154851739,135.254338671,199.0
2012-03-13,pr,0.0,0.0,314.988772417,140.667048795,221.0
2012-03-14,pr,0.0,0.0,302.174426272,132.17530681,219.0
2012-03-15,pr,0.0,0.0,307.963792748,130.254516162,228.0
2012-03-16,pr,0.0,0.0,333.33467128,134.009438308,232.0
2012-03-17,pr,0.0,0.0,314.652667066,126.856312854,227.0
2012-03-18,pr,0.0,0.0,300.500258126,106.902627878,201.0
2012-03-19,pr,0.0,0.0,295.567442195,117.466931902,197.0
2012-03-20,pr,0.0,0.0,334.567933369,134.060743358,200.0
2012-03-21,pr,0.0,0.0,324.389741993,133.366251949,186.0
2012-03-22,pr,0.0,0.0,339.128799688,150.488562221,196.0
2012-03-23,pr,0.0,0.0,327.522189571,151.77919649,185.0
2012-03-24,pr,0.0,0.0,340.941524166,135.861990442,199.0
2012-03-25,pr,0.0,0.0,304.505778505,125.016525544,191.0
2012-03-26,pr,0.0,0.0,290.746202388,122.051383043,200.0
2012-03-27,pr,0.0,0.0,294.351151987,126.069533678,209.0
2012-03-28,pr,0.0,0.0,276.294613755,115.144067719,201.0
2012-03-29,pr,0.0,0.0,301.28430502,103.507397287,195.0
2012-03-30,pr,0.0,0.0,304.373148746,104.773990802,204.0
2012-03-31,pr,0.0,0.0,308.856522379,113.056834317,196.0
2012-04-01,pr,0.0,0.0,315.383768346,106.632410904,184.0
2012-04-02,pr,0.0,0.0,289.057712261,122.815768361,199.0
2012-04-03,pr,0.0,0.0,310.162730097,122.719245095,210.0
2012-04-04,pr,0.0,0.0,317.672905218,115.319177987,220.0
2012-04-05,pr,0.0,0.0,331.662089991,92.1910211856,199.0
